Ali Muhammad Buhar	id=g:1184661
Ali Muhammadwāla	id=g:1184662
Ali Masjid	id=g:1184663
Ali Masjid	id=g:1184664
Ali Mangal Post	id=g:1184665
Ali Lak	id=g:1184666
Alik Sar	id=g:1184667
Ali Khel	id=g:1184668
Ali Khel	id=g:1184669
Ali Akharak	id=g:1184670
Ali Khānzai Kili	id=g:1184671
Goth Wāsul	id=g:1184672
Ali Khān Khel	id=g:1184673
Ali Khān Chāndio	id=g:1184674
Ali Khanāna	id=g:1184675
Alīke Rohilla	id=g:1184676
Ali Kehar	id=g:1184677
Ali Kachha	id=g:1184678
Ali Jān	id=g:1184679
Ali Jān	id=g:1184680
Ali Jāj Minor	id=g:1184681
Alīgrām	id=g:1184682
Alīgrām	id=g:1184683
Alīgai	id=g:1184684
Alif Mīrjānzai	id=g:1184685
Ali Dhabiāni	id=g:1184686
Ali Dāwal Sar	id=g:1184687
Ali Dasht	id=g:1184688
Ali Daha	id=g:1184689
Alīdād Kili	id=g:1184690
Chak Ali Chappa	id=g:1184691
Ali Chāh	id=g:1184692
Ali Baksh Reg	id=g:1184693
Ali Bakhsh Pitāfi	id=g:1184694
Ali Bahār Wāh	id=g:1184695
Ali Bahār Wāh	id=g:1184696
Ali Bahār Wāh	id=g:1184697
Ali Bahar	id=g:1184698
Ali Bahar	id=g:1184699
Aliāna	id=g:1184700
Alīābad	id=g:1184701
Alīābād	id=g:1184702
Chak One Hundred Twelve	id=g:1184703
Chak One Hundred Five	id=g:1184704
Alharpind	id=g:1184705
Alhar	id=g:1184706
Aldāna Railway Station	id=g:1184707
Aldāna	id=g:1184708
Alchori	id=g:1184709
Albat Kārez	id=g:1184710
Alāwal Khel	id=g:1184711
Alāwalke	id=g:1184712
Alāwal	id=g:1184713
Alat	id=g:1184714
Alanpur	id=g:1184715
Alanggi Jhal	id=g:1184716
Alang	id=g:1184717
Mālgai	id=g:1184718
Alānābād	id=g:1184719
Ālamwāla	id=g:1184720
Alam Toba	id=g:1184721
Ālam Sher	id=g:1184722
Ālam Shāh Tāja	id=g:1184723
Alam Shāh Khel	id=g:1184724
Ālam Shāh Khagga	id=g:1184725
Ālamreg Railway Station	id=g:1184726
Ālampur	id=g:1184727
Alam Pīr	id=g:1184728
Ālam Khān Juneja	id=g:1184729
Chāh Alam Khān	id=g:1184730
Ālam Khān	id=g:1184731
Ālam Khān	id=g:1184732
Ālami Bānda	id=g:1184733
Ālamgīr	id=g:1184734
Ālamgarh	id=g:1184735
Ālamganj	id=g:1184736
Ālamābād	id=g:1184737
Alāhna	id=g:1184738
Alagrām	id=g:1184739
Alagh	id=g:1184740
Ala	id=g:1184741
Akwāl	id=g:1184742
Ākūke	id=g:1184743
Aktar Minor	id=g:1184744
Akri	id=g:1184745
Akri	id=g:1184746
Akrānwāla	id=g:1184747
Akramābād	id=g:1184748
Akrabai Kili	id=g:1184749
Akra	id=g:1184750
Akozai Kili	id=g:1184751
Akora	id=g:1184752
Akkānwāla	id=g:1184753
Akīwāli	id=g:1184754
Akike	id=g:1184755
Aki	id=g:1184756
Āki	id=g:1184757
Ākhūnd Kārez	id=g:1184758
Akhūn Dheri	id=g:1184759
Akhori	id=g:1184760
Akhmad	id=g:1184761
Akhero	id=g:1184762
Aghbarg	id=g:1184763
Akfāta	id=g:1184764
Akbarwāla	id=g:1184765
Akbar Shāh	id=g:1184766
Akbar Sāhu	id=g:1184767
Akbarpūra	id=g:1184768
Akbarpur	id=g:1184769
Akbarābād	id=g:1184770
Akbarābād	id=g:1184771
Akbar	id=g:1184772
Akbar	id=g:1184773
Akbar	id=g:1184774
Akaru	id=g:1184775
Ankār Kaur	id=g:1184776
Akāra	id=g:1184777
Chak One Hundred Seventeen GB	id=g:1184778
Akālgarh	id=g:1184779
Alīpur Chatha	id=g:1184780
Akālgarh	id=g:1184781
Akālgarh	id=g:1184782
Akālgarh	id=g:1184783
Chak Two Hundred Nine RB	id=g:1184784
Akālgarh	id=g:1184785
Akālgarh	id=g:1184786
Aka Khel Darra	id=g:1184787
Aju	id=g:1184788
Ajram Ghar	id=g:1184789
Ajoi Harai	id=g:1184790
Ajniānwāla	id=g:1184791
Ajnāla	id=g:1184792
Ajnāla	id=g:1184793
Ajjūwāla	id=g:1184794
Ajjowāl	id=g:1184795
Ajītpur	id=g:1184796
Ajitke	id=g:1184797
Ajatiān	id=g:1184798
Ajān Chak	id=g:1184799
Ajāibpur	id=g:1184800
Aiya Minor	id=g:1184801
Aithi	id=g:1184802
Airozi Jhal	id=g:1184803
Ainu Bhatti	id=g:1184804
Ainuāna	id=g:1184805
Ainu	id=g:1184806
Ainowāli	id=g:1184807
Ainoke	id=g:1184808
Aima Sheikhān	id=g:1184809
Āima Shāhji	id=g:1184810
Aima Saiyidān	id=g:1184811
Aīmal Chabutra	id=g:1184812
Aima Bāri	id=g:1184813
Aima	id=g:1184814
Ailampur	id=g:1184815
Aij Ghatrah	id=g:1184816
Aidulpur	id=g:1184817
Ahūri River	id=g:1184818
Ahūri Chāh	id=g:1184819
Ahugoi Hāmūn	id=g:1184820
Āhsanwāh	id=g:1184821
Ahsānpur	id=g:1184822
Goth Ahsān Junejo	id=g:1184823
Āhori	id=g:1184824
Ahorha	id=g:1184825
Ahnai Kili	id=g:1184826
Ahmaqzai Kili	id=g:1184827
Ahmadzai	id=g:1184828
Ahmadzai	id=g:1184829
Ahmad Zai	id=g:1184830
Ahmad Yar Rid	id=g:1184831
Zaildarān di Basti	id=g:1184832
Ahmad Yār Daulatāna	id=g:1184833
Ahmadwām	id=g:1184834
Ahmadwām	id=g:1184835
Ahmadwāla Minor	id=g:1184836
Ahmadwāla	id=g:1184837
Ahmad Wāl	id=g:1184838
Ahmadūn	id=g:1184839
Ahmad Tar	id=g:1184840
Ahmad Shāh	id=g:1184841
Ahmad Rājo	id=g:1184842
Ahmadpur Siāl	id=g:1184843
Ahmadpur Lamma	id=g:1184844
Ahmadpur East	id=g:1184845
Ahmadpur Branch	id=g:1184846
Ahmadpur	id=g:1184847
Ahmadpur	id=g:1184848
Ahmadpur	id=g:1184849
