Zandaī	id=g:1347139
Mahmūd Gat Nāla	id=g:1347140
Or Chum	id=g:1347141
Zhawar Kar Nāla	id=g:1347142
Zhawi Tangai Nāla	id=g:1347143
Gardāo Nāla	id=g:1347144
Chīna	id=g:1347145
Ziārat Mānda Nāla	id=g:1347146
Pīchi Kārez	id=g:1347147
Malkhāna	id=g:1347148
Mehat Tangi	id=g:1347149
Ghwazhi Nāla	id=g:1347150
Dargarn Nāla	id=g:1347151
Mīr Muhammad Minor	id=g:1347152
Saharao Minor	id=g:1347153
Bhīla Minor	id=g:1347154
Katora Inundation Canal	id=g:1347155
Sodhi Minor	id=g:1347156
Todepur Minor	id=g:1347157
Ziārat Juniper Reserved Forest	id=g:1347158
Miān Qāsim Mānda	id=g:1347159
Niāz Beg Distributary	id=g:1347160
Paimār Branch	id=g:1347161
Chhīna Distributary	id=g:1347162
Mehat Takrai	id=g:1347163
Dilshād Aghbarg	id=g:1347164
Tlerai Aghbarg	id=g:1347165
Handāl Distributary	id=g:1347166
Kāte Minor	id=g:1347167
Ghwa Khum Nāla	id=g:1347168
Sra Aghbarg	id=g:1347169
Shahīdān Reserved Forest	id=g:1347170
Shahīdān	id=g:1347171
Khān Muhammad	id=g:1347172
Chautra Nāla	id=g:1347173
Bajehi	id=g:1347174
Gohar Reserved Forest	id=g:1347175
Murdār Kach	id=g:1347176
Zargat Reserved Forest	id=g:1347177
Budhi Bāgh	id=g:1347178
Michan Khel Bānda	id=g:1347179
Qāsim Tangai	id=g:1347180
Ahmad Khān	id=g:1347181
Dirgi Manda	id=g:1347182
Shin Wām	id=g:1347183
Kamāl Kach	id=g:1347184
Sūr Dabak	id=g:1347185
Bizhgai Rāghā	id=g:1347186
Khaurai Shela	id=g:1347187
Charg Ghwazhai	id=g:1347188
Tharang	id=g:1347189
Chighegai	id=g:1347190
Hāji Kach	id=g:1347191
Bāgh Ghund	id=g:1347192
Mobin	id=g:1347193
Inzargai Nāla	id=g:1347194
Ghursingi	id=g:1347195
Malang Sāhib	id=g:1347196
Ghozhezha Nāla	id=g:1347197
Kushki Shela	id=g:1347198
Siragari Nāla	id=g:1347199
Yalan Gat Nāla	id=g:1347200
Turkwind Minor	id=g:1347201
Bho Āsal Minor	id=g:1347202
Mān Singh Minor	id=g:1347203
Zafarke Distributary	id=g:1347204
Gandiān Minor	id=g:1347205
Minor Number Seventeen	id=g:1347206
Rakh Distributary	id=g:1347207
Maujoke Distributary	id=g:1347208
Mirāli Minor	id=g:1347209
Chaharke Minor	id=g:1347210
Chaharke Sub Minor	id=g:1347211
Mīrian	id=g:1347212
Abu Samand Begu Khel	id=g:1347213
Khaurai	id=g:1347215
Pakistan Railways	id=g:1347216
Urak Nāla	id=g:1347217
Kuzhlai Nāla	id=g:1347218
Ziārat Kach Kili	id=g:1347219
Sra Kili	id=g:1347220
Shīnlezai	id=g:1347221
Bāgh	id=g:1347222
Sharan	id=g:1347223
Tauda Khezāi	id=g:1347224
Shigo	id=g:1347225
Khorain	id=g:1347226
Khaberzai	id=g:1347227
Kas	id=g:1347228
Mīrwandīn	id=g:1347229
Ambo Kili	id=g:1347230
Dumān Khezai	id=g:1347231
Dewāl Kili	id=g:1347232
Shahrig Rud	id=g:1347233
Sama Kili	id=g:1347234
Shaikhān Kili	id=g:1347235
Shor	id=g:1347236
Shaikh Amsa Ziārat	id=g:1347237
Khezai	id=g:1347238
Sre Kach	id=g:1347239
Shīn Rūd	id=g:1347240
Shīna	id=g:1347241
Zanini Koh	id=g:1347242
Sokuski	id=g:1347243
Shaikhān Jiga	id=g:1347244
Kālu Tangi	id=g:1347245
Daurān Tangi	id=g:1347246
Ali Khān	id=g:1347247
Sūr Bok Ridge	id=g:1347248
Tar	id=g:1347249
Ghabi Aghbarg	id=g:1347250
Sharan Ghat	id=g:1347251
Wirai	id=g:1347252
Lewān	id=g:1347253
Sarāwat	id=g:1347254
Sūr Kānb	id=g:1347255
Sper Bāz	id=g:1347256
Sutang	id=g:1347257
Tarkha	id=g:1347258
Barān Canal	id=g:1347259
Vial Knari	id=g:1347260
Walāghūni	id=g:1347261
Landidāk Canal	id=g:1347262
Pīr Mirz Ridge	id=g:1347263
Lūni	id=g:1347264
Vial Barāri	id=g:1347266
Tora Sira	id=g:1347267
Kun Khez	id=g:1347268
Shangal Pass	id=g:1347269
Kāro	id=g:1347270
Ganda Baian	id=g:1347271
Gumbadi	id=g:1347272
Tor Pazha Pass	id=g:1347273
Tor Fefan	id=g:1347274
Kaman Pass	id=g:1347275
Jumaito	id=g:1347276
Haul	id=g:1347277
Put	id=g:1347278
Uzh Ghar	id=g:1347279
Zikria Paski	id=g:1347280
Khūni	id=g:1347281
Wuch Dabak	id=g:1347282
Spaiu	id=g:1347283
Loe Spaiu	id=g:1347284
Tor Tabai	id=g:1347285
Kamān Ridge	id=g:1347286
Kundāki	id=g:1347287
Sawan Nāla	id=g:1347288
Bhitanniān Canal	id=g:1347289
Nund Kamān	id=g:1347290
Nāra	id=g:1347291
Lohra Nāla	id=g:1347292
Khuti Ridge	id=g:1347293
Takri Ridge	id=g:1347294
Takri	id=g:1347295
Dik	id=g:1347296
