Skhobai Shela	id=g:1363974
Koibār	id=g:1363975
Shīna Bahduna	id=g:1363976
Urdhām	id=g:1363977
Chīngai	id=g:1363978
Indar Bes	id=g:1363979
Palanra Khwāra	id=g:1363980
Khushdil	id=g:1363981
Saifuddīn	id=g:1363982
Sultān Muhammad	id=g:1363983
Shāh Gul Ganr	id=g:1363984
Desal	id=g:1363985
Ganr	id=g:1363986
Surwai	id=g:1363987
Shākh Mānda	id=g:1363988
Shākh	id=g:1363989
Kozh Kach	id=g:1363990
Shīn Ghar	id=g:1363991
Koibār	id=g:1363992
Roghāni	id=g:1363993
Sore Kaur	id=g:1363996
Sitok	id=g:1363997
Rahmat Koh	id=g:1363998
Sigik	id=g:1363999
Ghari Koh	id=g:1364002
Sarhad Kaur	id=g:1364003
Surāpi Āpi	id=g:1364004
Dhoki Kaur	id=g:1364005
Lasso Dhora	id=g:1364006
Lahru	id=g:1364007
Chalango	id=g:1364008
Milli Bhit	id=g:1364009
Mazīro Lak	id=g:1364010
Maziro Lak	id=g:1364011
Hūnd Kaur	id=g:1364012
Ziārat Baba Pir Bambol Ghāzi	id=g:1364013
Harāri Dhora	id=g:1364014
Sethar Dhora	id=g:1364015
Goth Muhammad	id=g:1364016
Goth Hassan	id=g:1364017
Dherānwāro Dhora	id=g:1364018
Sabri Loi Kaur	id=g:1364019
Lakkāwāri Kaur	id=g:1364020
Laloi	id=g:1364021
Dūna	id=g:1364022
Goth Faqīr Muhammad	id=g:1364023
Goth Samar	id=g:1364024
Lasso Dhora	id=g:1364025
Kuk Dhora	id=g:1364026
Goth Siddique	id=g:1364027
Kandewāri Kaur	id=g:1364028
Loi Kaur	id=g:1364029
Sarhad Kaur	id=g:1364030
Ganjāni Kaur	id=g:1364031
Behāro	id=g:1364032
Lasso Kaur	id=g:1364033
Lānwāi Dhora	id=g:1364034
Goth Mūsa	id=g:1364035
Kuk	id=g:1364036
Khakkar Kaur	id=g:1364037
Hār Baburo Kaur	id=g:1364038
Hammar Kaur	id=g:1364039
Goth Hashrik	id=g:1364040
Dhoro Kund	id=g:1364041
Goth Lawang	id=g:1364042
Goth Hāshim	id=g:1364043
Goth Jumma	id=g:1364044
Phtela Dhori	id=g:1364045
Jhankār Dhori	id=g:1364046
Rānwāro Dhoro	id=g:1364047
Goth Ali	id=g:1364048
Goth Allāh Bochālo	id=g:1364049
Goth Rahim Khan	id=g:1364050
Lotho Dhoro	id=g:1364051
Kathiāwāro Dhoro	id=g:1364052
Goth Bakar	id=g:1364053
Goth Eisa	id=g:1364054
Goth Abbās	id=g:1364055
Nanānwāro Kaur	id=g:1364056
Goth Dūiwesh	id=g:1364057
Goth Siryal	id=g:1364058
Goth Aesho	id=g:1364059
Kupāro Kaur	id=g:1364060
Goth Yūsuf	id=g:1364061
Kipwāro Dhoro	id=g:1364062
Goth Bachahal	id=g:1364063
Goth Pindo	id=g:1364064
Tociwāro Dhoro	id=g:1364065
Goth Yūsul	id=g:1364066
Shor	id=g:1364067
Goth Dodo	id=g:1364068
Goth Arif	id=g:1364069
Goth Ghatta	id=g:1364070
Goth Ghulam Qādir	id=g:1364071
Goth Doko Rindi	id=g:1364072
Goth Ramzān	id=g:1364073
Goth Bahādur	id=g:1364074
Goth Mūsa	id=g:1364075
Khuriāwaro Dhoro	id=g:1364076
Bhāro Dhoro	id=g:1364077
Goth Mūsa	id=g:1364078
Goth Usmān	id=g:1364079
Kabūtar	id=g:1364080
Hurro Khori	id=g:1364081
Goth Ismāil	id=g:1364082
Wiche Ji Dhori	id=g:1364083
Lānwāro Kaur	id=g:1364084
Goth Ahmad	id=g:1364085
Chhap Dhori	id=g:1364086
Janāzwari Dhori	id=g:1364087
Goth Bokhor	id=g:1364088
Kandewāri Dhori	id=g:1364089
Tarāiwāro Dhoro	id=g:1364090
Goth Siddique	id=g:1364091
Jāro Dhoro	id=g:1364092
Goth Pinhun	id=g:1364093
Choro Dhoro	id=g:1364094
Khoranwaro Dhoro	id=g:1364095
Thoranwāro Dhoro	id=g:1364096
Pīplānwāro Dhoro	id=g:1364097
Hamārwāri Dhoro	id=g:1364098
