Chak Jed	id=g:1386625
Mūsa Dūgal	id=g:1386626
Māngat Drain	id=g:1386627
Chandhar Minor	id=g:1386628
Chandhar Resthouse	id=g:1386629
Kot Būta	id=g:1386630
Mūsa Sub Minor	id=g:1386631
Ahmadpur Vugh Nāla Drain	id=g:1386632
Ahmadpur Kot Nikka Drain	id=g:1386633
Kot Sūjāna Minor	id=g:1386634
Qila Majja Singh	id=g:1386635
Kot Lāla	id=g:1386636
Bule	id=g:1386637
Būdha Chandu	id=g:1386638
Kot Gaura	id=g:1386639
Shori Branch	id=g:1386640
Qila Bhian	id=g:1386641
Kīrba	id=g:1386642
Chung	id=g:1386643
Jīnarān	id=g:1386644
Nūrpur Resthouse	id=g:1386645
Sangowāli Drain	id=g:1386646
Barewāla	id=g:1386647
Gājar Gola Railway Station	id=g:1386648
Kot Jān Bakhsh	id=g:1386649
Paliha	id=g:1386650
Kot Nawān	id=g:1386651
Pahlādpur	id=g:1386652
Kalriān Changrān	id=g:1386653
Dhapai	id=g:1386654
Warpāl Distributary	id=g:1386655
Wazīrke Minor	id=g:1386656
Saidnagar Drain	id=g:1386657
Rakh Chhichra Minor	id=g:1386658
Mehr Ali	id=g:1386659
Bucha Drain	id=g:1386660
Hardo Sahāran	id=g:1386661
Wazīrke Drain	id=g:1386662
Nāliānwāla Khūh	id=g:1386663
Saudāgarwāla Khūh	id=g:1386664
Rakh Baoli	id=g:1386665
Būrewāli	id=g:1386666
Chak Jed Drain	id=g:1386667
Nat Minor	id=g:1386668
Dogrānwāla	id=g:1386669
Kot Maujdīn	id=g:1386670
Tibbi Shāh Ināyat	id=g:1386671
Haddoke	id=g:1386672
Karnwāli	id=g:1386673
Jauriān	id=g:1386674
Kaurowāl	id=g:1386675
Mahatpur	id=g:1386676
Mangu Bahrām	id=g:1386677
Sakhniān	id=g:1386678
Bhindar	id=g:1386679
Jauriān Khurd	id=g:1386680
Bhāghwāl Awān	id=g:1386681
Mālo Chak	id=g:1386682
Aulakh	id=g:1386683
Bhon Bhatti	id=g:1386684
Rattiān	id=g:1386685
Malke Kalān	id=g:1386686
Slīmpur	id=g:1386687
Husainpur	id=g:1386688
Jamālpur	id=g:1386689
Nalwāh	id=g:1386690
Maliānwāla	id=g:1386691
Habībpur	id=g:1386692
Bharūpgarh	id=g:1386693
Kauloke	id=g:1386694
Mājra Khurd	id=g:1386695
Mājra Kalān	id=g:1386696
Jagatpur	id=g:1386697
Mānak Chand	id=g:1386698
Chak Maluk	id=g:1386699
Kot Chanda	id=g:1386700
Dusri	id=g:1386701
Ajjūwāli	id=g:1386702
Gadāre	id=g:1386703
Gondewāli	id=g:1386704
Khunsārpur	id=g:1386705
Tibbi	id=g:1386706
Malke Khurd	id=g:1386707
Kawarpur	id=g:1386708
Kaulpur	id=g:1386709
Nangal	id=g:1386710
Bhagal	id=g:1386711
Pannu Atāri	id=g:1386712
Nalwāh	id=g:1386713
Kotha Chishtiān	id=g:1386714
Mirān Pindi	id=g:1386715
Kot Mahārāi	id=g:1386716
Hamboke	id=g:1386717
Chak Jeta	id=g:1386718
Abvāla	id=g:1386719
Daulo Bhilo	id=g:1386720
Kot Bhāge	id=g:1386721
Khambrānwāla	id=g:1386722
Shāh Bilāk	id=g:1386723
Phullo Deota	id=g:1386724
Nawānpind	id=g:1386725
Gorīān	id=g:1386726
Kāla	id=g:1386727
Kapūrāwāli	id=g:1386728
Nawānpind	id=g:1386729
Chak Adil	id=g:1386730
Golāwāh Nāla	id=g:1386731
Chak Ikhtiyār	id=g:1386732
Kot Sharafdīn	id=g:1386733
Kotha Rahmat Khān	id=g:1386734
Jajje	id=g:1386735
Surāj	id=g:1386736
Tikka	id=g:1386737
Dugri Number Two	id=g:1386738
Dugrān	id=g:1386739
Bhidar	id=g:1386740
Jatta	id=g:1386741
Sindhowāla	id=g:1386742
Badhīān	id=g:1386743
Lālpur	id=g:1386744
Daur	id=g:1386745
Ārbi	id=g:1386746
Chhanni Gondal	id=g:1386747
Gaggar	id=g:1386748
Dittūwāli	id=g:1386749
Dugri Number One	id=g:1386750
Bharthānwāla	id=g:1386751
Siālkot	id=g:1386752
Ziārat Pīr Bukhāri	id=g:1386753
Bhohlanwāla	id=g:1386754
Chak Harrar	id=g:1386755
Dogrān	id=g:1386756
Khanna	id=g:1386757
Kot Harrar	id=g:1386758
Nandpur	id=g:1386759
Pākhar	id=g:1386760
Kajhūrīwāla	id=g:1386761
Giggewāli	id=g:1386762
Lālpur Ziārat	id=g:1386763
Mohla	id=g:1386764
Kān	id=g:1386765
Kot Miāna	id=g:1386766
Shāhbāzpur	id=g:1386767
Laloki	id=g:1386768
Chak Rahmān	id=g:1386769
Mahota	id=g:1386770
Khāsa	id=g:1386771
Ispar	id=g:1386772
Lālewāli	id=g:1386773
Kotli Pathānān	id=g:1386774
Ghughāt	id=g:1386775
Chak Mughal	id=g:1386776
Ratāla	id=g:1386777
Lāli	id=g:1386778
Kharane	id=g:1386779
Tan Nāla	id=g:1386780
Mahole	id=g:1386781
Mabru	id=g:1386782
Durgāpur	id=g:1386783
Sarobe	id=g:1386784
Pindi Khokar	id=g:1386785
Mungar	id=g:1386786
Nīwān Chaura	id=g:1386787
Chau Chak	id=g:1386788
Chak Bagge Purāna	id=g:1386789
Rumāl	id=g:1386790
Chak Bagge	id=g:1386791
Bāqarpur	id=g:1386792
Marāla Rāvi Link	id=g:1386793
Wadhāl	id=g:1386794
Muazzamābād	id=g:1386795
Nizāmuddīnpur	id=g:1386796
Chabrīwāli	id=g:1386797
Sherpur	id=g:1386798
Kotli Arāiān Kalān	id=g:1386799
Kotli Arāiān Khurd	id=g:1386800
Hāmūn Gakhar	id=g:1386801
Dūngarpur	id=g:1386802
Chak Karīm	id=g:1386803
Dhillo	id=g:1386804
Changāwāli	id=g:1386805
Chak Paniār	id=g:1386806
Adālatgarh	id=g:1386807
Naushahra Miāna	id=g:1386808
Mahiwāl	id=g:1386809
Khāsa	id=g:1386810
Nānowāl	id=g:1386811
Hīr	id=g:1386812
Patheri	id=g:1386813
Lille	id=g:1386814
Dotalāo Nāla	id=g:1386815
Chohdowāl	id=g:1386816
Jam	id=g:1386817
Chak Kāla	id=g:1386818
Rān	id=g:1386819
Bahādurpur	id=g:1386820
Bahādurpur	id=g:1386821
Dholo Chahān	id=g:1386822
Pīr Sabz	id=g:1386823
Rānjān	id=g:1386824
Charan	id=g:1386825
Kukar	id=g:1386826
Raul	id=g:1386827
Badhiān	id=g:1386828
Sidhārīwāl	id=g:1386829
Budha Kang	id=g:1386830
Mahtpur Kang	id=g:1386831
Rāmke	id=g:1386832
Bahlpur	id=g:1386833
Chak Mīrzai	id=g:1386834
Māri	id=g:1386835
Maujoke	id=g:1386836
Wahng Nāla	id=g:1386837
Dhūl Reserved Forest	id=g:1386838
Hattār	id=g:1386839
Shaikh Chogahi	id=g:1386840
Chakrāla	id=g:1386841
Kotli Rānjhān	id=g:1386842
Chak Bhoga	id=g:1386843
Machrāla	id=g:1386844
Chak Chohār	id=g:1386845
Niyāla	id=g:1386846
Hakīmpur	id=g:1386847
Pegoki	id=g:1386848
Tirghri	id=g:1386849
Gujgarān	id=g:1386850
Shakar Kot	id=g:1386851
Shāmpur	id=g:1386852
Chobāra	id=g:1386853
Māri Ferry	id=g:1386854
Nandpur	id=g:1386855
Pejoke	id=g:1386856
Dhārīwāl	id=g:1386857
Gujrāt	id=g:1386858
Choai	id=g:1386859
Kuri Ferry	id=g:1386860
Shaikh Alike	id=g:1386861
Rehan	id=g:1386862
Dhindeh	id=g:1386863
Mota	id=g:1386864
Kakiānwāla	id=g:1386865
Mirān Khor	id=g:1386866
Jhammat	id=g:1386867
Boivān	id=g:1386868
Kot Rānjha	id=g:1386869
Jhammat	id=g:1386870
Chak Kamāl	id=g:1386871
Gondal	id=g:1386872
Kasāb	id=g:1386873
Kot Mrhru	id=g:1386874
Mionwāl	id=g:1386875
Koliān	id=g:1386876
Shāh Jahāni	id=g:1386877
Shero Chak	id=g:1386878
Bido Bhatti	id=g:1386879
Khalīlpur	id=g:1386880
Jasso Sarāi	id=g:1386881
Darya	id=g:1386882
Chak Mīrān	id=g:1386883
Hasan Dhīndah	id=g:1386884
Chak Qāzi	id=g:1386885
