Chapli Bāzār	id=g:7041288
Bajori Gate	id=g:7041289
Railway Road	id=g:7041290
State Bank Colony	id=g:7041291
Muhallah Islāmābād	id=g:7041292
Mission High School	id=g:7041293
Ziārat Qabūl Shāh	id=g:7041294
Jāmia Government High School	id=g:7041295
Ghalla Mandi	id=g:7041296
Dabgari Chauk	id=g:7041297
Dabgari Road	id=g:7041298
Kohāt Road	id=g:7041299
Major Asad Shahīd Road	id=g:7041300
Kohāti Gate	id=g:7041301
Sarki Gate Police Post	id=g:7041302
Asia Park	id=g:7041303
Circular Road	id=g:7041304
Rahmānābād	id=g:7041305
Wahābābād	id=g:7041306
Dār-ul-Alūm	id=g:7041307
Rāmdās Chauki	id=g:7041308
Mahmūdābād	id=g:7041309
Guldaro Chauk	id=g:7041310
Wazīr Bāgh Road	id=g:7041311
Hājīābād	id=g:7041312
Salīmābād	id=g:7041313
Luqmānābād	id=g:7041314
Murshadābād	id=g:7041315
Malikābād	id=g:7041316
Audit Colony	id=g:7041317
Dora Road	id=g:7041318
Akramābād	id=g:7041319
Garhi Qamruddīn	id=g:7041320
Achher	id=g:7041321
Guishan Rahmān Colony	id=g:7041322
Bilāl Colony	id=g:7041323
Nāzimābād	id=g:7041324
Kohāt Road	id=g:7041325
Bahiār Kale	id=g:7041326
Garhi Ata Muhammad	id=g:7041327
Gharībābād	id=g:7041328
Khāista-ābād	id=g:7041329
Rashīdgarhi	id=g:7041330
Āfrīdīābād	id=g:7041331
Wazīr Bāgh	id=g:7041332
Gulf Hotel	id=g:7041333
Āghā Mir Jāni Road	id=g:7041334
Shādbād Colony	id=g:7041335
Yakkatūt Chauki	id=g:7041336
Shāhbāz Chauk	id=g:7041337
Kūchi Bāzār	id=g:7041338
Yakkatūt Road	id=g:7041339
Haider Colony	id=g:7041340
Munawwar Shāh Colony	id=g:7041341
Salīm Colony	id=g:7041342
Sabz Bāba Road	id=g:7041343
Muhallah Fazal-ul-Haq	id=g:7041344
Ganj Muhallah	id=g:7041345
Bāzār Kalān	id=g:7041346
Gulf Hotel	id=g:7041347
Lahori Gate	id=g:7041348
Sheikhābād Colony	id=g:7041349
Khyber Line	id=g:7041350
Ghanta Ghar	id=g:7041351
Muhābat Khān Masjid	id=g:7041352
Frontier College for Women	id=g:7041353
Government High School Number One	id=g:7041354
Hashtnagri Road	id=g:7041355
Police Station Hashtnagri	id=g:7041356
Saint Anthony Cambridge School	id=g:7041357
Sikandarābād Road	id=g:7041358
Government High School Number Two	id=g:7041359
Firdaus Chauk	id=g:7041360
Hashtnagri New Check Post	id=g:7041361
Bāba Bukhari Shāh	id=g:7041362
Al-Awān Hotel	id=g:7041363
Sabzi Mandi	id=g:7041364
Gurh Mandi	id=g:7041365
Abdullāh Shāh Market	id=g:7041366
Faqīrābād Number One	id=g:7041367
Tahmas Khan Stadium	id=g:7041368
Chauk Faqīrābād	id=g:7041369
Government College Peshāwar	id=g:7041370
Jim Khāna	id=g:7041371
Zaryāb Road	id=g:7041372
Faqīrābād Number Two	id=g:7041373
Zahīrabād	id=g:7041374
Commerce College Hostel	id=g:7041375
Zaryāb Colony	id=g:7041376
Saīdābād	id=g:7041377
Faqīrābād Number Two	id=g:7041378
Coca Cola Factory	id=g:7041379
Eīdgāh Colony	id=g:7041380
Afghān Colony	id=g:7041381
Afghān Colony Number Two	id=g:7041382
Police Chauki Faqīrābād Number Two	id=g:7041383
Afghān Road	id=g:7041384
Latifābād	id=g:7041385
Rashīdābād	id=g:7041386
Zarqa Market	id=g:7041387
Sardār Colony	id=g:7041388
Laqhkarābād	id=g:7041389
Qazīābād	id=g:7041390
Jahāngīrābād Mahāl Jhallariān	id=g:7041391
Wazīr Colony	id=g:7041392
Muhallah Afzalābād	id=g:7041393
Dalazak Road	id=g:7041394
Yūsufābād	id=g:7041395
Gharībābād	id=g:7041396
Supply Road	id=g:7041397
Railway Colony	id=g:7041398
Sikandar Town	id=g:7041399
Muhallah Sate	id=g:7041400
Gulbahār Police Station	id=g:7041401
Government Boys Primary School	id=g:7041402
Gulbahār Colony Number Two	id=g:7041403
Shahīn Town	id=g:7041404
Shāhdhand Muslimābād	id=g:7041405
Asad Anwar Colony	id=g:7041406
Gulbahar Colony	id=g:7041407
Bostānābād	id=g:7041408
Chammanābād	id=g:7041409
Shāhdhand	id=g:7041410
Akhunābād Number Four	id=g:7041411
Miskīnābād Number One	id=g:7041412
Miskīnābād Number Three	id=g:7041413
Miskīnābād Number Two	id=g:7041414
Akhunābād Number Two	id=g:7041415
Akhunābād Number Five	id=g:7041416
Akhunābād Number Three	id=g:7041417
Akhunābād Number One	id=g:7041418
Ziārat Rahmān Bāba	id=g:7041419
Khāmosh Colony	id=g:7041420
Takya	id=g:7041421
Garhi Miān Fazālur Rahmān	id=g:7041422
Tāze Khel	id=g:7041423
Garhi Miān Amin	id=g:7041424
Sanobar Garhi	id=g:7041425
Phandu Road	id=g:7041426
Tauhīd Colony	id=g:7041427
Shāhīn Muslim Town	id=g:7041428
Wāhid Colony	id=g:7041429
Gulbahār Colony Number Four	id=g:7041430
Gulbahār Colony Number One	id=g:7041431
Gulbahār Colony Number Three	id=g:7041432
Muhallah Fazalābād	id=g:7041433
Raīs Hotel	id=g:7041434
Munawwarābād	id=g:7041435
Muhallah Munawwar Bādshāh	id=g:7041436
Gharībābād	id=g:7041437
Garhi Urnar Khān	id=g:7041438
Purāni	id=g:7041439
Arbāb Colony	id=g:7041440
Badni Nāla	id=g:7041441
Bābu Garhi	id=g:7041442
Lālkurti	id=g:7041443
Sadr Road	id=g:7041444
Sunehri Masjid	id=g:7041445
Mall Road	id=g:7041446
Gulbarg Number One	id=g:7041447
Pākistān Television Centre	id=g:7041448
Arbab Road	id=g:7041449
Lāndi Arbāb	id=g:7041450
Chārkhāna Road	id=g:7041451
Lālārukh Colony	id=g:7041452
Bot	id=g:7041453
Abdul Jalil Shahīd Road	id=g:7041454
Cantonment	id=g:7041455
Hospital Road	id=g:7041456
Hasan Garhi Colony	id=g:7041457
Dal	id=g:7041458
Bashīrābād	id=g:7041459
Jewelery Bāzār	id=g:7041460
Jahāngīrpura	id=g:7041461
Ihsān Colony	id=g:7041462
Safaid Dheri	id=g:7041463
Salīmābād	id=g:7041464
Ganj Chauk	id=g:7041465
Mund Bheri Chauk	id=g:7041466
Shāhinābād	id=g:7041467
Sabzi Mandi	id=g:7041468
Yadgār Chauk	id=g:7041469
Islāmābād Colony	id=g:7041470
Husainābād Colony	id=g:7041471
Nizāmābād	id=g:7041472
Nishtar Colony	id=g:7041473
Gulbahār	id=g:7041474
Nishtarābād Road	id=g:7041475
Aslamābād	id=g:7041476
Sarfrāz Colony	id=g:7041477
