Andrūt	id=g:7100400
Tarāla	id=g:7100401
Tanuchhi	id=g:7100402
Hil	id=g:7100403
Olaggar	id=g:7100404
Sākhāra Karatot	id=g:7100405
Rangur	id=g:7100406
Aihal	id=g:7100567
Gorh	id=g:7100568
Kambili	id=g:7100569
Kharand	id=g:7100570
Pothi	id=g:7100571
Goth	id=g:7100572
Panthal	id=g:7100573
Hallān	id=g:7100574
Nara Ut	id=g:7100575
Chahot	id=g:7100576
Sambla na Nār	id=g:7100577
Danna	id=g:7100578
Keri	id=g:7100579
Meliān	id=g:7100580
Retāi	id=g:7100581
Kosa	id=g:7100582
Rājdhān	id=g:7100583
Danna	id=g:7100584
Sāgair	id=g:7100585
Naili	id=g:7100586
Baruthiān	id=g:7100607
Tarān na Nār	id=g:7100608
Ainti	id=g:7100609
Thamla	id=g:7100610
Dhaliot	id=g:7100611
Dagāla	id=g:7100612
Namb Jāgir	id=g:7100613
Poin Paliat	id=g:7100614
Bāla Paliat	id=g:7100615
Kotli Jāgir	id=g:7100616
Dewal	id=g:7100617
Gāla	id=g:7100618
Kedi	id=g:7100619
Sutāl	id=g:7100620
Tarkholiān	id=g:7100621
Mahuri	id=g:7100622
Nisriān	id=g:7100623
Basuta	id=g:7100624
Sāmāliān	id=g:7100625
Thāra	id=g:7100626
Kalor	id=g:7100627
Muhri	id=g:7100628
Parhand	id=g:7100629
Bagāh	id=g:7100630
Jabri	id=g:7100631
Narāli	id=g:7100632
Chhanni Sāilah	id=g:7100633
Sāilah	id=g:7100634
Narnāh	id=g:7100635
Fafrila	id=g:7100636
Kharāwat	id=g:7100637
Ranjiot	id=g:7100638
Jalo	id=g:7100639
Talla Pirān	id=g:7100640
Pirān ni Jalo	id=g:7100641
Palirān	id=g:7100642
Paur	id=g:7100643
Haud	id=g:7100644
Potha	id=g:7100645
Dinga	id=g:7100646
Kund	id=g:7100647
Haijān	id=g:7100648
Palattiān	id=g:7100649
Phiriān Fateh Salāhān	id=g:7100650
Phiriān	id=g:7100651
Sāmbha	id=g:7100652
Shihni	id=g:7100653
Dandeot	id=g:7100654
Shakar	id=g:7100655
Shakar Kotli	id=g:7100656
Badneri	id=g:7100657
Patiān	id=g:7100658
Didihan	id=g:7100659
Hel	id=g:7100660
Chhilla	id=g:7100661
Kamdiāla	id=g:7100662
Baruthiān	id=g:7100663
Pharl	id=g:7100664
Barandi	id=g:7100789
Gharāla	id=g:7100793
Sehr	id=g:7100794
Thuthār	id=g:7100796
Nala Musalmānān	id=g:7100799
Manmor	id=g:7100802
Bārin	id=g:7100804
Phari	id=g:7100806
Khad	id=g:7100807
Jandrāh	id=g:7100810
Sagetar	id=g:7100812
Pajand	id=g:7100813
Maniānda	id=g:7100815
Sakrāna	id=g:7100817
Chak Bārjun	id=g:7100821
Bangu	id=g:7100884
Kili Kulli	id=g:7100885
Kas Ghāt	id=g:7100890
Thuthār Reserved Forest	id=g:7100891
Nalasebr Reserved Forest	id=g:7100893
Banāhil Reserved Forest	id=g:7100894
Bhaogarh Protected Forest	id=g:7100895
Rājdhani Protected Forest	id=g:7100897
Bālimāh Protected Forest	id=g:7100899
Khad Protected Forest	id=g:7100900
Baghām Reserved Forest	id=g:7100901
Kas Chhal	id=g:7100902
Dhan Dhār	id=g:7100904
Bālimāh	id=g:7100905
Khairli	id=g:7100906
Dhamnāl	id=g:7100907
Anchhoha	id=g:7100908
Pandora Hardo	id=g:7100909
Pind	id=g:7100910
Marigāla	id=g:7100911
Barutha	id=g:7100912
Dāngali Shāh Khāki	id=g:7100913
Palāla Mallahan	id=g:7100914
Chakiāli Hardo	id=g:7100915
Chaumukh	id=g:7100916
Kāhli	id=g:7100917
Sihāli Umar Khān	id=g:7100918
Gāra Dhok	id=g:7100919
Sianni Mal	id=g:7100920
Chak Tanyām	id=g:7100921
Harno	id=g:7100922
Baliām	id=g:7100923
Madāl	id=g:7100924
Kamālpur	id=g:7100925
Chak Land	id=g:7100926
Kangar	id=g:7100927
Patina	id=g:7100928
Thathi	id=g:7100929
Nautla	id=g:7100930
Banora	id=g:7100931
Kanela	id=g:7100932
Ther	id=g:7100933
Jala Puth	id=g:7100934
Kherli	id=g:7100935
Luna	id=g:7100936
Sanot	id=g:7100937
Sāndi	id=g:7100938
Mehila	id=g:7100939
Wara	id=g:7100942
Bari Gora	id=g:7100943
Balawal	id=g:7100944
Pachhar	id=g:7100945
Dungi	id=g:7100946
Pel	id=g:7100947
Badill	id=g:7100948
Kini Saiyidān	id=g:7100949
Khaira	id=g:7100950
Neli Saiyidān	id=g:7100954
Badheri Khatras	id=g:7100955
Chhochh	id=g:7100956
Barotiān	id=g:7100957
Malot	id=g:7100958
Ganer	id=g:7100960
Bela Bahādur Shāh	id=g:7100966
Pipli	id=g:7100967
Makreti	id=g:7100969
