Hārpur	id=g:7488963
Berāi	id=g:7488964
Chhota Bīl	id=g:7488965
Kirtānipāra	id=g:7488966
Mātiakurer Bīl	id=g:7488967
Uttar Gorgrām	id=g:7488968
Kukrādānga	id=g:7488969
Singimari Bīl	id=g:7488970
Musurat Gorgrām	id=g:7488971
Dakshinpāra	id=g:7488972
Rāmkola	id=g:7488973
Patkāmuri	id=g:7488974
Chaora Bīl	id=g:7488975
Rāndāngapāra	id=g:7488976
Sarhadda	id=g:7488977
Uttar Bālāpāra	id=g:7488978
Beribāri	id=g:7488979
Berilbāri	id=g:7488980
Hossainpur	id=g:7488981
Bālādāngi	id=g:7488982
Chak Rāmpur	id=g:7488983
Aligārpāra	id=g:7488984
Beribari	id=g:7488985
Chak Sākoa	id=g:7488986
Bandaria	id=g:7488987
Singir Bīl	id=g:7488988
Bhāndārdana	id=g:7488989
Dakhin Balapāra	id=g:7488990
Duosuo	id=g:7488991
Ārāzi Jugirghopa	id=g:7488992
Kāempur	id=g:7488993
Hāshimpur	id=g:7488994
Hāshimpur	id=g:7488995
Chak Kanchan	id=g:7488996
Uttampāra	id=g:7488997
Deul	id=g:7488998
Kachinia	id=g:7488999
Kurharia	id=g:7489000
Gochahār	id=g:7489001
Kismat Nasratpur	id=g:7489002
Khamar Satnala	id=g:7489003
Gandalgram	id=g:7489004
Bara Hāshimpur	id=g:7489005
Bhabanipur	id=g:7489006
Sonāpukur	id=g:7489007
Bangalipur	id=g:7489008
Sonāpukui	id=g:7489009
Chak Sudān	id=g:7489010
Sonāpukur	id=g:7489011
Kundat	id=g:7489012
Changmaripara	id=g:7489013
Mandalpāra	id=g:7489014
Uttar Palāshbāri	id=g:7489015
Batlāgāri	id=g:7489016
Kutipara	id=g:7489017
Botlāgāri	id=g:7489018
Bachuniopara	id=g:7489019
Sāshkāndār	id=g:7489020
Jot Raghu	id=g:7489021
Baradāha	id=g:7489022
Kaya	id=g:7489023
Botlāgāri	id=g:7489024
Khord Botlagari	id=g:7489025
Chak Dubālia	id=g:7489026
Nalbari Bīl	id=g:7489027
Nalbari	id=g:7489028
Dighaldāngi	id=g:7489029
Subarnakhuli	id=g:7489030
Sonakhul	id=g:7489031
Dakhin Balapāra	id=g:7489032
Musrat Khūkāpāra	id=g:7489033
Chhit Alokdihi	id=g:7489034
Khairātnagar Railway Station	id=g:7489035
Chhota Elangamari	id=g:7489036
Ārāzi Khukapāra	id=g:7489037
Bara Sangalshi	id=g:7489038
Bara Sangalshi	id=g:7489039
Paschim Ārāzi Charāikhola	id=g:7489040
Uttar Musrat Khukapāra	id=g:7489041
Chak Dubulia	id=g:7489042
Saruppāra	id=g:7489043
Uttar Ārāzi Charāikhola	id=g:7489044
Bengmāri	id=g:7489045
Darwāni Railway Station	id=g:7489046
Musrat Kukhapara	id=g:7489047
Sālhāti	id=g:7489048
Khalisha Kukhāpara	id=g:7489049
Paschim Kuchiāmor	id=g:7489050
Ārāzi Charāikhola	id=g:7489051
Arāzi Kuchiamor	id=g:7489052
Hariballab	id=g:7489053
Gurguri	id=g:7489054
Kukhāpāra	id=g:7489055
Guragram	id=g:7489056
Pora Kukhāpāra	id=g:7489057
Arazikanial Khata	id=g:7489058
Khalisha	id=g:7489059
Kāmārpāra	id=g:7489060
Maheshpur	id=g:7489061
Shingdai	id=g:7489062
Bāniapāra	id=g:7489063
Ārāzi Rāmkola	id=g:7489064
Itakhola	id=g:7489065
Shingdai	id=g:7489066
Srinath	id=g:7489067
