Petit Mariemont	id=g:2789063
Petit Louis	id=g:2789064
Petit Leez	id=g:2789065
Petit Lannoy	id=g:2789066
Petit Lannoy	id=g:2789067
Petit-Lanaye	id=g:2789068
Petit Hubeaumel	id=g:2789069
Petit Howardries	id=g:2789070
Petit Hornu	id=g:2789071
Petit Hollaye	id=g:2789072
Bois de Petit Han	id=g:2789073
Petit Han	id=g:2789074
Petit Hameau	id=g:2789075
Petit-Halleux	id=g:2789076
Petit Halleux	id=g:2789077
Petit-Hallet	id=g:2789078
Petit-Hallet	id=g:2789079
Petit Hainin	id=g:2789080
Petit Fraîneux	id=g:2789081
Petit Fois	id=g:2789082
Petit Fetignies	id=g:2789083
Petit-Fays	id=g:2789084
Petit-Fays	id=g:2789085
Petit Faan	id=g:2789086
Petite Virée	id=g:2789087
Petite Trissogne	id=g:2789088
Petite Thiérache	id=g:2789089
Petites Tombales	id=g:2789090
Petites Tailles	id=g:2789091
Petite Somme	id=g:2789092
Petite Sille	id=g:2789093
Ferme Petite Rosière	id=g:2789094
Petite Rosière	id=g:2789095
Lettelingen	id=g:2789096
Lettelingen	id=g:2789097
Petite Marbaise	id=g:2789098
Petite Langlir	id=g:2789099
Petite Hunelle	id=g:2789100
Petite Hoursinne	id=g:2789101
Petite Honnelle	id=g:2789102
Petite Hollande	id=g:2789103
Petite Hollande	id=g:2789104
Petite Hollande	id=g:2789105
Petite Haie	id=g:2789106
Petite Flandre	id=g:2789107
Petite Espierres	id=g:2789108
Petite Éneille	id=g:2789109
Petite Eau	id=g:2789110
Petite Dendre	id=g:2789111
Petite Croix	id=g:2789112
Petite-Chapelle	id=g:2789113
Petite-Chapelle	id=g:2789114
Ferme Petite Bilande	id=g:2789115
Petit Dour	id=g:2789116
Petit Coo	id=g:2789117
Petit Chenoy	id=g:2789118
Petit Chêne	id=g:2789119
Petit Canton	id=g:2789120
Petit Bruxelles	id=g:2789121
Petit Bruxelles	id=g:2789122
Petit Brin	id=g:2789123
Petit Bois du Sart	id=g:2789124
Petit Bois	id=g:2789125
Petit Bois	id=g:2789126
Petit Bois	id=g:2789127
Petit Bois	id=g:2789128
Petit Biernausaut	id=g:2789129
Petit Berleur	id=g:2789130
Petit Barvaux	id=g:2789131
Petit Baisieux	id=g:2789132
Petit Axhe	id=g:2789133
Petit Avin	id=g:2789134
Petit Aaz	id=g:2789135
Bois de Petigny	id=g:2789136
Petigny	id=g:2789137
Petigny	id=g:2789138
Peterskirche	id=g:2789139
Petersheimbos	id=g:2789140
Petersheim	id=g:2789141
Petersberg	id=g:2789142
Petergensfeld	id=g:2789143
Petegemstraat	id=g:2789144
Petegem	id=g:2789145
Petegem	id=g:2789146
Petegem	id=g:2789147
Pessoux	id=g:2789149
Pessoux	id=g:2789150
Peselhoek	id=g:2789151
Pesche	id=g:2789152
Pesche	id=g:2789153
Pery Rosette	id=g:2789154
Perwijsbroek	id=g:2789155
Perwez	id=g:2789156
Perwez	id=g:2789157
Perwez	id=g:2789158
Perwez	id=g:2789159
Pervijze	id=g:2789160
Pervijze	id=g:2789161
Péruwelz	id=g:2789162
Péruwelz	id=g:2789163
Bois Pertot	id=g:2789164
Pertendonk	id=g:2789165
Perstallehoekbos	id=g:2789166
Perre	id=g:2789167
Perquièse	id=g:2789168
Peront	id=g:2789169
Bois de Péronnes	id=g:2789170
Péronnes	id=g:2789171
Péronnes	id=g:2789172
Péronnes	id=g:2789173
Péronnes	id=g:2789174
Permansstraat	id=g:2789175
Perlinkbeek	id=g:2789176
Perkiets	id=g:2789177
Perk	id=g:2789178
Perk	id=g:2789179
Périmont	id=g:2789180
Ferme du Péril	id=g:2789181
Perenboom	id=g:2789182
Peren	id=g:2789183
Pereboom	id=g:2789184
Pereboom	id=g:2789185
Perchepet	id=g:2789186
Perbais	id=g:2789187
Pepinusfort	id=g:2789188
Fort de Pepinster	id=g:2789189
Pepinster	id=g:2789190
Pepinster	id=g:2789191
Pepingen	id=g:2789192
Pepingen	id=g:2789193
Peperstraat	id=g:2789194
Peperstraat	id=g:2789195
Peperhol	id=g:2789196
Peperendaal	id=g:2789197
Peperbos	id=g:2789198
Pensemont	id=g:2789199
Pennepoel	id=g:2789200
Pennemans Polder	id=g:2789201
Penneel	id=g:2789202
Penen	id=g:2789203
Penant	id=g:2789204
Peltheide	id=g:2789205
Pellendijk	id=g:2789206
Pellenberg	id=g:2789207
Pellenberg	id=g:2789208
Pellaines	id=g:2789209
Pellaines	id=g:2789210
Pelikaan	id=g:2789211
Pelikaan	id=g:2789212
Pelgrimhoeve	id=g:2789213
Pekgat	id=g:2789214
Pejensbos	id=g:2789215
Peissant	id=g:2789216
Peissant	id=g:2789217
Peisegem	id=g:2789218
Peischweid	id=g:2789219
Peinwinning	id=g:2789220
Peijenbeek	id=g:2789221
Peervenshoek	id=g:2789222
Peerstalle	id=g:2789223
Peersbos	id=g:2789224
Peerdsloop	id=g:2789225
Peerdsbos	id=g:2789226
Peerds	id=g:2789227
Peerdestokbeek	id=g:2789228
Peerderloop	id=g:2789229
Peerdenhoek	id=g:2789230
Peerdeken	id=g:2789231
Peer	id=g:2789232
Peer	id=g:2789233
Pecrot Chaussée	id=g:2789234
Pecrot	id=g:2789235
Pecq	id=g:2789236
Pecq	id=g:2789237
Peau	id=g:2789238
Bois du Pays	id=g:2789239
Payot	id=g:2789240
Paviljoen	id=g:2789241
Pavé	id=g:2789242
Pavé d'Ath	id=g:2789243
Pauwstraat	id=g:2789244
Pauwhoeven	id=g:2789245
Pauwenberghoeve	id=g:2789246
Pauwelsbos	id=g:2789247
Pauwelsbeek	id=g:2789248
Ferme des Pauvres	id=g:2789249
Paulatem	id=g:2789250
Paulatem	id=g:2789251
Paudure	id=g:2789252
Pâture	id=g:2789253
Pâturages	id=g:2789254
Pattoterij	id=g:2789255
Patrouille	id=g:2789256
Patloy	id=g:2789257
Patignies	id=g:2789258
Patignies	id=g:2789259
Patershoek	id=g:2789260
Paterberg	id=g:2789261
Patatestraat	id=g:2789262
Pataterhoek	id=g:2789263
Pataterhoek	id=g:2789264
Hameau du Patard	id=g:2789265
Château de la Pasture	id=g:2789266
Pastorijgoed	id=g:2789267
Pastoorsbos	id=g:2789268
Passe Tout Outre	id=g:2789269
Passendale	id=g:2789270
Passendale	id=g:2789271
Passendaalbeek	id=g:2789272
Passemarebeek	id=g:2789273
Pasbrughoeve	id=g:2789274
Pasbrug	id=g:2789275
Pas Bayard	id=g:2789276
Pas à Wasmes	id=g:2789277
Parwijs	id=g:2789278
Bois de la Part du Prince	id=g:2789279
Parochieveld	id=g:2789280
Parmavaart	id=g:2789281
Parkhoeve	id=g:2789282
Parkbosbeek	id=g:2789283
Park	id=g:2789284
Bois de Paris	id=g:2789285
Parike	id=g:2789286
Parike	id=g:2789287
Parijs	id=g:2789288
Parijs	id=g:2789289
Parfondvaux	id=g:2789290
Parfondruy	id=g:2789291
Parfondruth	id=g:2789292
Parfond Bois	id=g:2789293
Parette	id=g:2789294
Ferme de Parensart	id=g:2789295
Parelsberg	id=g:2789296
Fort Parel	id=g:2789297
Bois Pardon	id=g:2789298
Par de là l'Eau	id=g:2789299
Pardassenhoek	id=g:2789300
Ferme du Parc	id=g:2789301
Paradis	id=g:2789302
Paradis	id=g:2789303
Paradis	id=g:2789304
Paradis	id=g:2789305
Paradis	id=g:2789306
Paradis	id=g:2789307
Paradijs	id=g:2789308
Paradijs	id=g:2789309
Papinglo	id=g:2789310
Papignies	id=g:2789311
Papignies	id=g:2789313
Papevijvers	id=g:2789314
Papeterie	id=g:2789315
Papestraat	id=g:2789316
Papestraat	id=g:2789317
Paperode	id=g:2789318
Hof te Papenmunt	id=g:2789319
Papenmunt	id=g:2789320
Papenmeersenbeek	id=g:2789321
Papenkasteel	id=g:2789322
Papendaal	id=g:2789323
Papenbrugge	id=g:2789324
Papenbroek	id=g:2789325
Papenbraak	id=g:2789326
Papelandbeek	id=g:2789327
Papegem	id=g:2789328
Papegaai	id=g:2789329
Panottes	id=g:2789330
Pannesheydt	id=g:2789331
Pannenwinning	id=g:2789332
Pannenwinning	id=g:2789333
Pannensterz	id=g:2789334
Pannenhuishoeve	id=g:2789335
Pannenhoeve	id=g:2789336
Pannenhoeve	id=g:2789337
Pannekeethof	id=g:2789338
Panisborne	id=g:2789339
Panhoven	id=g:2789340
Panemolen	id=g:2789341
Pandoerenhoek	id=g:2789342
Pandgatheide	id=g:2789343
Pamelse	id=g:2789344
Pamelhof	id=g:2789345
Pamel	id=g:2789346
Roosdaal	id=g:2789347
Palmhof	id=g:2789348
Pallenbour	id=g:2789349
Pallemaat	id=g:2789350
Château de Pallandt	id=g:2789351
Pallandt	id=g:2789352
Pallaaraard	id=g:2789353
Paliseul	id=g:2789354
Paliseul	id=g:2789355
Palange	id=g:2789356
Pairin	id=g:2789357
Paireux	id=g:2789358
Pair	id=g:2789359
Paillaart	id=g:2789360
Pailhe	id=g:2789361
Pailhe	id=g:2789362
Pailhe	id=g:2789363
Pailette	id=g:2789364
Paifve	id=g:2789365
Paifve	id=g:2789366
Padraye	id=g:2789367
Pa d'là l'Eau	id=g:2789368
Paddestraat	id=g:2789369
Paddeschoothof	id=g:2789370
Padde Poelen	id=g:2789371
Paddenhoek	id=g:2789372
Paddenhoek	id=g:2789373
Paddekoten	id=g:2789374
Paddegat	id=g:2789375
Paddebroeken	id=g:2789376
Paddebeek	id=g:2789377
Pachy	id=g:2789379
Pachtgoedhof	id=g:2789380
Pachtgoederen	id=g:2789381
Pachtgoed	id=g:2789382
Paardveehoeve	id=g:2789383
Paardenkouter	id=g:2789384
Paardenmarkt	id=g:2789385
Paar	id=g:2789386
Paanders	id=g:2789387
Paal	id=g:2789388
Paal	id=g:2789389
Bois d'Ozo	id=g:2789390
Ozo	id=g:2789391
Oxhe	id=g:2789392
Ovifat	id=g:2789393
Overwinden	id=g:2789394
Overwinden	id=g:2789395
Overwijs	id=g:2789396
Overstraat	id=g:2789397
Overstehindel	id=g:2789398
Oversleensehoeve	id=g:2789399
Overslag	id=g:2789400
Overrepen	id=g:2789401
Overrepen	id=g:2789402
Overpelt	id=g:2789403
Overpelt	id=g:2789404
Overoth	id=g:2789405
Overnellen	id=g:2789406
Overnellebeek	id=g:2789407
