Mala Jasikova	id=g:788327
Mala Ivanča	id=g:788329
Mala Ibrovica	id=g:788330
Mala Grabovnica	id=g:788332
Mala Drenova	id=g:788333
Mala Draguša	id=g:788334
Mala Bresnica	id=g:788337
Mala Braina	id=g:788338
Mala Bota	id=g:788339
Mala Blizna	id=g:788340
Mala Biljanica	id=g:788341
Makrešane	id=g:788342
Makce	id=g:788347
Majur	id=g:788348
Majkovac	id=g:788349
Majilovac	id=g:788350
Majdevo	id=g:788351
Majdanska Šuma	id=g:788354
Majdan Planina	id=g:788355
Opština Majdanpek	id=g:788356
Majdanpek	id=g:788357
Majdan	id=g:788358
Majdan	id=g:788359
Magovo	id=g:788362
Maglič	id=g:788363
Magaška Reka	id=g:788365
Magaš	id=g:788366
Magareče Brdo	id=g:788369
Madljika	id=g:788373
Mađersko Brdo	id=g:788374
Mađere	id=g:788375
Mađer	id=g:788377
Mađere	id=g:788379
Mađere	id=g:788381
Mačkovac	id=g:788383
Mačkovac	id=g:788384
Mačkovac	id=g:788385
Mačkatica	id=g:788386
Mačka Reka	id=g:788387
Mačja Stena	id=g:788388
Donja Mačina	id=g:788390
Maćja	id=g:788391
Mačevac	id=g:788393
Maćedonce	id=g:788395
Lužnice	id=g:788396
Lužnica	id=g:788397
Lužnica	id=g:788398
Lužane	id=g:788400
Lupoglav	id=g:788403
Lupoglav	id=g:788404
Lunjevac	id=g:788405
Lunga Čuka	id=g:788406
Lukovska Reka	id=g:788408
Lukovska Banja	id=g:788409
Lukovo	id=g:788411
Lukovo	id=g:788412
Lukovo	id=g:788413
Lukovo	id=g:788414
Lukovica	id=g:788416
Lukomir	id=g:788418
Lukocrevo	id=g:788419
Lukino Selo	id=g:788420
Lukićevo	id=g:788421
Luke	id=g:788422
Lukavica	id=g:788425
Lukavica	id=g:788426
Lukavica	id=g:788427
Lukavac	id=g:788428
Lukare	id=g:788430
Lukarce	id=g:788432
Lukar	id=g:788433
Luka	id=g:788434
Lugomir	id=g:788437
Lugavčina	id=g:788439
Lugare	id=g:788440
Lug	id=g:788442
Ludoška Humka	id=g:788444
Lučko Brdo	id=g:788445
Lučka Reka	id=g:788446
Lučka	id=g:788448
Lučina	id=g:788449
Lučica	id=g:788450
Opština Lučani	id=g:788451
Lučani	id=g:788452
Lučane	id=g:788453
Lubnički Vrh	id=g:788454
Lubnički Vis	id=g:788455
Lubnička Reka	id=g:788456
Lubnica	id=g:788457
Lozovik	id=g:788459
Lozovik	id=g:788460
Lozovica	id=g:788461
Lozno	id=g:788462
Loznica	id=g:788464
Loznica	id=g:788465
Loznac	id=g:788467
Lozna	id=g:788468
Lozanj	id=g:788471
Lozane	id=g:788473
Lozan	id=g:788475
Lovnica	id=g:788476
Lovci	id=g:788477
Lovci	id=g:788478
Lovac	id=g:788481
Loret	id=g:788483
Loret	id=g:788484
Lopužnje	id=g:788485
Lopušnik	id=g:788486
Lopatnica	id=g:788488
Lopatnica	id=g:788489
Lopatnica	id=g:788490
Lopaš	id=g:788495
Lopaš	id=g:788496
Lopardince	id=g:788497
Lomnička Reka	id=g:788498
Lomnica	id=g:788499
Lomnica	id=g:788500
Lom	id=g:788502
Lokvenik	id=g:788505
Lokve	id=g:788507
Lokva	id=g:788508
Lokva	id=g:788510
Lokva	id=g:788511
Lok	id=g:788515
Logorište	id=g:788518
Loćika	id=g:788520
Loćika	id=g:788521
Ločevci	id=g:788522
Loboder	id=g:788524
Ljutovnica	id=g:788525
Ljutova	id=g:788526
Ljutice	id=g:788528
Ljutež	id=g:788530
Ljuta Strana	id=g:788531
Ljuša	id=g:788534
Ljupten	id=g:788535
Ljuljaci	id=g:788537
Ljukten	id=g:788538
Ljukovo	id=g:788539
Ljudska Reka	id=g:788542
Ljubova Reka	id=g:788547
