Bački Gračac	id=g:3204668
Bački Brestovac	id=g:3204669
Bački Breg	id=g:3204670
Opština Bačka Topola	id=g:3204671
Bačka Topola	id=g:3204672
Opština Bačka Palanka	id=g:3204673
Bačka Palanka	id=g:3204674
Bačka	id=g:3204675
Bačinci	id=g:3204679
Bačevci	id=g:3204684
Bačevci	id=g:3204685
Opština Bač	id=g:3204690
Bač	id=g:3204692
Babina Luka	id=g:3204724
Azbukovica	id=g:3204751
Avala	id=g:3204757
Opština Apatin	id=g:3204792
Apatin	id=g:3204793
Ajkina Glavica	id=g:3204811
Amzići	id=g:3204824
Aljinovići	id=g:3204830
Alin Potok	id=g:3204833
Železnička Stanica Aleksa Šantić	id=g:3204839
Aleksa Šantić	id=g:3204840
Železnička Stanica Aleksandrovo Predgrađe	id=g:3204841
Akmačići	id=g:3204852
Adaševci	id=g:3204871
Podrebelj	id=g:3211619
Čikarići	id=g:3211620
Velika Reka	id=g:3211621
Gledeće	id=g:3211625
Rogota	id=g:3211654
Neštin	id=g:3214558
Ljuba	id=g:3214560
Pištinac	id=g:3214561
Mohorac	id=g:3214564
Sinkerek	id=g:3214565
Ðipša	id=g:3214568
Novi Dvor	id=g:3214572
Emilijin Dvor	id=g:3214574
Bešenovački Prnjavor	id=g:3214575
Prnjavor Jazački	id=g:3214576
Stanica Beočin	id=g:3214586
Šakotinac	id=g:3214588
Pasuljište	id=g:3214589
Zmajevac	id=g:3214590
Dobrodol	id=g:3214591
Novi Stan	id=g:3214592
Stanica Rumenka	id=g:3214926
Dunđerskog Salaš	id=g:3214933
Srdićev Salaš	id=g:3214938
Fernbahov Salaš	id=g:3214940
Antalov Majur	id=g:3214943
Staro Durđevo	id=g:3214946
Mali Sarak	id=g:3214948
Drapšin Salaš	id=g:3214954
Novi Kisač	id=g:3214981
Dudašev Salaš	id=g:3214987
Šarlota Pusta	id=g:3215019
Irmova Pusta	id=g:3215022
Otov Majur	id=g:3215023
Novi Majur	id=g:3215039
Novi Majur	id=g:3215040
Donji Majur	id=g:3215041
Karađorđevo	id=g:3215044
Gornji Majur	id=g:3215045
Petkovac	id=g:3215051
Donji Panjik	id=g:3215054
Selište	id=g:3215057
Mali Bač	id=g:3215085
Labudnjača	id=g:3215092
Staparska Pustara	id=g:3215099
Botkinih Salaši	id=g:3215112
Vojnovićevih Salaši	id=g:3215116
Dunđerskog Gede Salaši	id=g:3215127
Dunđerskog Salaš	id=g:3215130
Pivničkih Salaši	id=g:3215137
Džigurshih Salaši	id=g:3215138
Starobečejski Salaši	id=g:3215139
Hadžićev Salaš	id=g:3215140
Gavanskih Salaši	id=g:3215143
Starobečejski Šor	id=g:3215151
Brazilija	id=g:3215155
Drljan	id=g:3215157
Babinih Salaši	id=g:3215162
Leđenčev Salaši	id=g:3215175
Gajićevih Salaši	id=g:3215176
Osmak	id=g:3215189
Radojevići	id=g:3215296
Kovačići	id=g:3215300
Semzin Salaš	id=g:3215316
Matarići	id=g:3215373
Žarkovac	id=g:3215375
Stanica Žarkovac	id=g:3215377
Popin Salaš	id=g:3215379
Gradina	id=g:3215381
Bošnjaci	id=g:3215383
Bukovac	id=g:3215386
Lugomerci	id=g:3215388
Čičovi	id=g:3215390
Rajići	id=g:3215392
Šiđani	id=g:3215393
Turski Salaš	id=g:3215404
Sederin Salaš	id=g:3215420
Bodroški Salaši	id=g:3215807
Stanica Bački Monoštor	id=g:3215825
Vamošerov Salaš	id=g:3215827
Nanadići	id=g:3215829
Gornji Salaši	id=g:3215833
Rančevo	id=g:3215836
Bilići	id=g:3215838
Stanica Milčić	id=g:3215842
Šaponje Salaši	id=g:3215845
Pujgeri	id=g:3215849
Milčić	id=g:3215850
Obzir	id=g:3215852
Repićevi Salaši	id=g:3215853
Lenija Salaši	id=g:3215855
Pekanovići	id=g:3215860
Novo Selo	id=g:3215869
Bešlićev Salaš	id=g:3215873
Boricev Salaš	id=g:3215874
Mišićevo	id=g:3215878
Fabijanov Salaš	id=g:3215884
Stantićev Salaš	id=g:3215886
Stanica Ðurđin	id=g:3215889
Ðurđin	id=g:3215891
Jagićev Salaš	id=g:3215892
Rafajlovićev Salaš	id=g:3215894
Jagodnjak	id=g:3215896
Kalmarovi Salaši	id=g:3215906
Gajerov Salaš	id=g:3215907
Lelbahov Salaš	id=g:3215924
Mićunovo	id=g:3215926
Mali Jaraš	id=g:3215930
Lelbahov Salaš	id=g:3215932
Stari Žednik	id=g:3215933
Kinštaršor	id=g:3215935
Orom	id=g:3215936
Višnjevac	id=g:3215937
Bogaraš	id=g:3215938
Prokopčanih Salaš	id=g:3215939
Dukajev Salaš	id=g:3215940
Topalskog Salaš	id=g:3215941
Donji Vukovići	id=g:3216054
Čolića Vis	id=g:3216055
Bajići	id=g:3216056
Rajić Brdo	id=g:3216061
Beli Gaj	id=g:3216064
Gornja Pološnica	id=g:3216075
Ivaševica	id=g:3216079
Borovac	id=g:3216082
Veliko Brdo	id=g:3216091
Kruščica	id=g:3216094
Leštansko	id=g:3216097
Narančići	id=g:3216099
Svojdrug	id=g:3216104
Ćeranići	id=g:3216108
Gornji Skakavci	id=g:3216113
Gajčani	id=g:3216121
Divčibar Sanatorium	id=g:3216123
Mrčići	id=g:3216126
Šipovica	id=g:3216140
Radanovci	id=g:3216148
Kandići	id=g:3216151
Šepci	id=g:3216155
Taor	id=g:3216156
Crveni Breg	id=g:3216159
Mravinci	id=g:3216161
Ostreš	id=g:3216164
Pali	id=g:3216167
Vasiljevići	id=g:3216184
Vasići	id=g:3216185
Ploska	id=g:3216186
Ćebići	id=g:3216187
Lazarevići	id=g:3216188
Kosići	id=g:3216189
Prokići	id=g:3216190
Jagodići	id=g:3216191
Vrnjača	id=g:3216192
Ružići	id=g:3216195
Trutinac	id=g:3216196
Jezdinovac	id=g:3216197
Vodice	id=g:3216198
Matići	id=g:3216200
Jasikovac	id=g:3216203
Donje Košlje	id=g:3216204
Ravno Brdo	id=g:3216205
Bankovci	id=g:3216206
Plazović	id=g:3216211
Bačevački Vis	id=g:3216212
Srećkovići	id=g:3216213
Kotline	id=g:3216214
Stojanovici	id=g:3216216
Zarube	id=g:3216217
Žabari	id=g:3216218
Goštak	id=g:3216219
Žuberice	id=g:3216220
Rogljevići	id=g:3216221
Donji Bačevci	id=g:3216278
Kraljevo Brdo	id=g:3216280
Maglješ Planina	id=g:3216284
Miškovići	id=g:3216288
Savići	id=g:3216293
Selaci	id=g:3216295
Gračanica	id=g:3216297
Brlog	id=g:3216298
Tošići	id=g:3216301
Sitarice	id=g:3216316
Poćuta	id=g:3216319
Kneževići	id=g:3216321
Bucure	id=g:3216323
Provalija	id=g:3216331
Razbojište	id=g:3216333
Ozorci	id=g:3216336
Žuta Stena	id=g:3216339
Stajčići	id=g:3216342
Gornji Savkovići	id=g:3216343
Donji Savkovići	id=g:3216345
Valjeć	id=g:3216356
Jovičići	id=g:3216358
Nemić Kamen	id=g:3216360
Erakovići	id=g:3216362
Bubnjava	id=g:3216363
Poljane	id=g:3216368
Sarići	id=g:3216369
Aluga	id=g:3216371
Degurić	id=g:3216376
Stanica Iverak	id=g:3216379
Popare	id=g:3216381
Kličevak	id=g:3216384
Dublje	id=g:3216387
Pošare	id=g:3216389
Ćosići	id=g:3216400
Boškovići	id=g:3216402
Tupanci	id=g:3216404
Kotarci	id=g:3216405
Ðurđevići	id=g:3216406
Jazavnik	id=g:3216407
Gornji Kraj	id=g:3216408
Radijevica	id=g:3216416
Drenajić	id=g:3216418
Ðorđići	id=g:3216421
Madžari	id=g:3216422
Orašće	id=g:3216423
Dumani	id=g:3216424
Kik	id=g:3216425
Marjanovići	id=g:3216436
Brajići	id=g:3216437
Leleci	id=g:3216438
Gornji Puljezi	id=g:3216439
Jalovik	id=g:3216441
Birčani	id=g:3216442
Donja Kokorava	id=g:3216445
Dugo	id=g:3216451
Turski Atar	id=g:3216452
Zakućani	id=g:3216454
Laze	id=g:3216455
Gorice	id=g:3216456
Veleš	id=g:3216457
Ćuver	id=g:3216458
Vis	id=g:3216460
Miletina	id=g:3216461
Rupavci	id=g:3216464
Čivljani	id=g:3216466
Sklop	id=g:3216467
Sredica	id=g:3216468
Mitrovići	id=g:3216475
Krupina	id=g:3216477
Koralica	id=g:3216479
Ponor	id=g:3216481
Tepavac	id=g:3216485
Vrnčić	id=g:3216489
Ropović	id=g:3216496
Vujkovići	id=g:3216500
Brđani	id=g:3216502
Tusto Čelo	id=g:3216504
Slovac	id=g:3216522
Dubrava	id=g:3216525
Bara	id=g:3216529
Balačka	id=g:3216531
Mitrovići	id=g:3216567
Brazda	id=g:3216572
Dubljani	id=g:3216573
Donja Mala	id=g:3216574
Koren	id=g:3216576
Marinovac	id=g:3216588
Staro Selo	id=g:3216590
Markovići	id=g:3216592
Živanovići	id=g:3216594
Andrići	id=g:3216596
Kacapa	id=g:3216599
Janjčići	id=g:3216646
Donja Lukića Mala	id=g:3216647
Gornja Mahala	id=g:3216648
Krivo Brdo	id=g:3216649
Plužac	id=g:3216650
Gornji Popovići	id=g:3216651
Pavitnjaci	id=g:3216652
Ðuričici	id=g:3216653
Golovo	id=g:3216654
Jaksići	id=g:3216656
Ravno Brdo	id=g:3216657
Dolovsko Brdo	id=g:3216658
Ćirkovići	id=g:3216662
Despići	id=g:3216666
Kikanovići	id=g:3216667
Leskova Ravan	id=g:3216668
Branjevac	id=g:3216670
Mijatovići	id=g:3216672
Delci	id=g:3216673
Samardžići	id=g:3216676
Mijakovac	id=g:3216677
Radalj	id=g:3216692
Petrovići	id=g:3216695
Strovljević	id=g:3216696
Gornji Radići	id=g:3216697
Lipovo Brdo	id=g:3216699
Žarkovići	id=g:3216701
Rogulja	id=g:3216704
Kik	id=g:3216706
Avala	id=g:3216727
Bukovica	id=g:3216728
Bukovica	id=g:3216729
Tomilice	id=g:3216731
Suva Jaruga	id=g:3216732
Prnjavor	id=g:3216736
Rasnica	id=g:3216737
Brđani	id=g:3216738
Donji Kraj	id=g:3216740
Lukići	id=g:3216741
Marković	id=g:3216742
Sevarica	id=g:3216746
Jasikovac	id=g:3216747
Kamenica	id=g:3216748
Donji Ružići	id=g:3216749
Brda	id=g:3216750
Donje Crniljevo	id=g:3216751
Braznik	id=g:3216753
Mojković	id=g:3216759
Grujića Mahala	id=g:3216761
Zavlaka	id=g:3216762
Mali Gradac	id=g:3216775
Gračanica	id=g:3216776
Šurice	id=g:3216779
Krivajica	id=g:3216780
Savići	id=g:3216783
Perići	id=g:3216784
Pajići	id=g:3216785
Logor	id=g:3216786
Rejinovac Mala	id=g:3216791
Gornja Mala	id=g:3216792
Suvaja	id=g:3216793
Poljane	id=g:3216795
Prekorečka Mala	id=g:3216796
Prnjavor	id=g:3216798
Lipovača	id=g:3216799
Donji Kostajnik	id=g:3216801
Kostajnik	id=g:3216802
Velika Bobija	id=g:3216812
Kulište	id=g:3216813
Simići	id=g:3216814
Železnička Stanica Brasina	id=g:3216815
Baranje	id=g:3216816
Brasma	id=g:3216817
Gučevo	id=g:3216819
Andrača	id=g:3216820
Donja Borina	id=g:3216821
Veliki Cip	id=g:3216822
Lipik	id=g:3216833
Zbegovina	id=g:3216834
Ciganska Mala	id=g:3216835
Ševarice	id=g:3216836
Gajić	id=g:3216837
Grabljanska Mala	id=g:3216838
Tamnavska Mala	id=g:3216840
Gunjaćka Mala	id=g:3216848
Gornja Mala	id=g:3216849
Cerje	id=g:3216851
Lipovica	id=g:3216856
Lazica Mala	id=g:3216858
Batalage	id=g:3216859
Colićka Mala	id=g:3216860
Mala Preseka	id=g:3216861
Prnjavor	id=g:3216864
Velika Bara	id=g:3216865
Radučića Mala	id=g:3216874
Carić	id=g:3216875
Tavtić Mala	id=g:3216876
Bobija	id=g:3216877
Ćukovine	id=g:3216878
Bela Glavica	id=g:3216879
Borkovac	id=g:3216881
Brđani	id=g:3216889
Kik	id=g:3216890
Rakita	id=g:3216893
Bučje	id=g:3216894
Bukovik	id=g:3216895
Pomijača	id=g:3216896
Bukorska Glavica	id=g:3216897
Filipovići	id=g:3216958
Brdarica	id=g:3216960
Adžići	id=g:3216962
Veliko Selo	id=g:3216964
Majur	id=g:3216966
Debeli Rt	id=g:3216967
Terzići	id=g:3216971
Donja Mala	id=g:3216973
Klupci	id=g:3216975
Čitluk	id=g:3216977
Obrež	id=g:3216978
Železnička Stanica Lipnica	id=g:3216979
Gornja Koviljača	id=g:3216983
Baščeluci	id=g:3216985
Duboka Mala	id=g:3216990
Točak	id=g:3216991
Ciganska Mala	id=g:3217002
Bukovica	id=g:3217003
Skupljen	id=g:3217004
Vučevica	id=g:3217005
Ðunarina Mala	id=g:3217007
Prekorečka Mala	id=g:3217008
Kopljević	id=g:3217018
Milačka Mala	id=g:3217020
Vratačka Mala	id=g:3217028
Slatina	id=g:3217029
Kumovac	id=g:3217031
Glogovac	id=g:3217034
Dumača	id=g:3217035
Pocerski Pričinović	id=g:3217047
Železnička Stanica Klenak	id=g:3217051
Pusta Bokšina	id=g:3217068
Kritovac Pusta	id=g:3217082
Flug Pusta	id=g:3217083
Fišer Pusta	id=g:3217085
Koh Pusta	id=g:3217086
Železnička Stanica Ruma	id=g:3217091
Železnička Stanica Voganj	id=g:3217093
Zasavica Druga	id=g:3217094
Kurjakovac Pusta	id=g:3217096
Raca-Sava Stanica	id=g:3217097
Bogaroš	id=g:3220575
Neradin	id=g:3220584
Bogatić	id=g:3220596
Vis	id=g:3220788
Vukova Kuća	id=g:3237241
Vukanovac	id=g:3237355
Bubanj	id=g:3237362
Bajir	id=g:3237366
Mali Prnjavor	id=g:3237371
Velika Tronoša	id=g:3237381
Mala Tronoša	id=g:3237392
Navalija	id=g:3237399
Grobuša	id=g:3237414
Srednja Mala	id=g:3237419
Slatina	id=g:3237924
Tešići	id=g:3237933
Rejinovac	id=g:3237936
Donja Mala	id=g:3237955
Lunjevac	id=g:3237956
Šurički Gradac	id=g:3238284
Karlagan	id=g:3238285
Mali Gradar	id=g:3238286
Cikotski Gradac	id=g:3238287
Draginac	id=g:3238288
Mitrovići	id=g:3238289
Mala Reka	id=g:3238290
Mitrići	id=g:3238291
Donja Badanja	id=g:3238429
Donja Badanja	id=g:3238430
Banja	id=g:3238431
Cigankulja	id=g:3238432
Krstići	id=g:3238433
Zavlačica	id=g:3238434
Matićevka	id=g:3238437
Jezdimirovići	id=g:3238438
Donja Zavlaka	id=g:3238439
Božića Brdo	id=g:3238440
Marići	id=g:3238441
Matići	id=g:3238442
Čama	id=g:3238443
Skorići	id=g:3238444
Skorića Krst	id=g:3238445
Bukovička Reka	id=g:3238514
Rikoć	id=g:3238515
Gračanička Reka	id=g:3238522
Skakavac	id=g:3238523
Nedino Brdo	id=g:3238529
Ðurići	id=g:3238530
Majstorovići	id=g:3238531
Ðakovići	id=g:3238532
Banjevac	id=g:3238533
Banjevac	id=g:3238534
Despići	id=g:3238535
Badišići	id=g:3238536
Kovačevac	id=g:3238537
Drenov Ostenjak	id=g:3238538
Kovačevac	id=g:3238539
Jovići	id=g:3238540
Kaldrmići	id=g:3238541
Kneževići	id=g:3238542
Ilijino Brdo	id=g:3238543
Jovići	id=g:3238544
Trikovići	id=g:3238545
Maksimovići	id=g:3238546
Mirkovići	id=g:3238547
Donji Popovići	id=g:3238548
Mramorje	id=g:3238549
Gligorići	id=g:3238550
Nikolići	id=g:3238551
Vlajkovići	id=g:3238553
Ðurići	id=g:3238554
Vasići	id=g:3238555
Pantelići	id=g:3238556
Belovodić	id=g:3238557
Stara Sudnica	id=g:3238612
Bastavska Reka	id=g:3238615
Stavska Reka	id=g:3238616
Sljivora Reka	id=g:3238617
Petrčka Reka	id=g:3238618
Donjani	id=g:3238620
Ðurići	id=g:3238621
Lice	id=g:3238622
Kik	id=g:3238623
Aćimovići	id=g:3238624
Rajkovići	id=g:3238627
Krst	id=g:3238628
Grčani	id=g:3238631
Topalovići	id=g:3238637
Sklap Potok	id=g:3238639
Dražnica	id=g:3238641
Petrc	id=g:3238642
Vis	id=g:3238643
Petrac	id=g:3238644
Dumer	id=g:3238645
Ajdarovača	id=g:3238647
Presadi	id=g:3238649
Jašarov Breg	id=g:3238652
Petkov Vis	id=g:3238653
Zvijezda	id=g:3238754
Jezero	id=g:3238826
Jerina Voda	id=g:3238828
Vranjača	id=g:3238832
Krušljak	id=g:3238845
Slem	id=g:3238846
Gorička Reka	id=g:3238851
Adžići	id=g:3238858
Bobija	id=g:3238860
Tisiće	id=g:3238867
Barovače	id=g:3238879
Vrbica Koliba	id=g:3238882
Orlić	id=g:3238887
Korita	id=g:3238888
Dobra Voda	id=g:3238892
Rudna Reka	id=g:3238893
Simići	id=g:3238894
Kutanj	id=g:3238895
Tašići	id=g:3238896
Sred	id=g:3238897
Vazica	id=g:3238898
Sokolac	id=g:3238902
Šip	id=g:3238905
Šilja	id=g:3238913
Kalkan	id=g:3238914
Rečica	id=g:3238915
Senokos	id=g:3238918
