Verkhneye	id=g:475436
Verkhne-Yazvinskiy	id=g:475437
Verkhneyarkeyevo	id=g:475438
Verkhneyanaktayevo	id=g:475439
Verkhneyaikovo	id=g:475440
Verkhneyablochnyy	id=g:475441
Prud Verkhnevyksunskiy	id=g:475442
Verkhne-Vyazovyy	id=g:475443
Verkhne-Vulanskiy	id=g:475444
Ozero Verkhne-Voron’yavr	id=g:475445
Verkhnevolzhskoye Vodokhranilishche	id=g:475446
Verkhnevolzhskaya Nizina	id=g:475447
Stantsiya Verkhnevol’skiy	id=g:475448
Verkhnevol’skiy	id=g:475449
Verkhnevologodskiy	id=g:475450
Verkhne-Vodyanyy	id=g:475451
Verkhnevodyanoy	id=g:475452
Verkhneveslyanskiy	id=g:475453
Verkhne-Verbovka	id=g:475454
Verkhne-Vasil’yevskoye	id=g:475455
Verkhniye Usly	id=g:475456
Verkhneuslonskiy Rayon	id=g:475457
Verkhouslino	id=g:475458
Verkhneusinskoye	id=g:475459
Verkhneusenka	id=g:475460
Verkhneural’skoye Vodokhranilishche	id=g:475461
Verkhneural’skiy Rayon	id=g:475462
Verkhneural’sk	id=g:475463
Ozero Verkhne-Ukhtinskoye	id=g:475464
Verkhne-Uglichino	id=g:475465
Verkhneye Turovo	id=g:475466
Verkhne-Turinskiy	id=g:475467
Verkhnetulomskoye Vodokhranilishche	id=g:475468
Verkhnetulomskiy	id=g:475469
Verkhnetsimlyanskiy	id=g:475470
Verkhnetroitskiy	id=g:475471
Verkhnetoyemskiy Rayon	id=g:475472
Verkhnetimofeyevskaya	id=g:475473
Verkhne-Timersyany	id=g:475474
Ternovskoy	id=g:475475
Verkhneternovoy	id=g:475476
Verkhnetermen'gskiy Pogost	id=g:475477
Verkhne-Tavrichanskiy	id=g:475478
Vyshetalovka	id=g:475479
Verkhnetalovka	id=g:475480
Verkhne-Sysol’skaya	id=g:475481
Verkhne-S”yezzheye	id=g:475482
Verkhneye Syaglovo	id=g:475483
Verkhne-Svechnikovskiy	id=g:475484
Verkhnesvechnikovo	id=g:475485
Verkhnesul’skaya	id=g:475486
Verkhne-Sul’skaya	id=g:475487
Vishhnestolbetskoye	id=g:475488
Verkhne-Stepnaya	id=g:475489
Verkhnyaya Stavropol’ka	id=g:475490
Verkhnespasskoye	id=g:475491
Spasskiy Pogost	id=g:475492
Verkhnesolonovskiy	id=g:475493
Verkhne-Solënyye	id=g:475494
Verkhnesolënyy	id=g:475495
Verkhnesoinskiy	id=g:475496
Verkhnesmorodino	id=g:475497
Verkhneshirokinskiy	id=g:475498
