Ostanovochnyy Punkt Roshchitsa	id=g:501292
Ozero Roshchinskoye	id=g:501293
Roshchinskiy	id=g:501294
Roshchinskiy	id=g:501295
Roshchino	id=g:501296
Roshchino	id=g:501297
Roshchino	id=g:501298
Roshchino	id=g:501299
Roshchino	id=g:501300
Roshchino	id=g:501301
Roshchino	id=g:501302
Roshchino	id=g:501303
Roshchino	id=g:501304
Roshchino	id=g:501305
Roshchino	id=g:501306
Roshchinka	id=g:501307
Roshchepkino	id=g:501308
Ostanovochnyy Punkt Roshcha	id=g:501309
Stantsiya Roshcha	id=g:501310
Roshcha	id=g:501311
Roshcha	id=g:501312
Roshcha	id=g:501313
Roshcha	id=g:501314
Roshcha	id=g:501315
Roshcha	id=g:501316
Roshcha	id=g:501317
Mariyenburg	id=g:501318
Fort Roshal’	id=g:501319
Roshal’	id=g:501320
Rory	id=g:501321
Ropsu	id=g:501322
Ropsha	id=g:501323
Ropsha	id=g:501324
Ropruchey-Zhitnyy Ruchey	id=g:501325
Ropruchey-Klimovo	id=g:501326
Ropruchey	id=g:501327
Ozero Roppomo	id=g:501328
Ropotovo	id=g:501329
Ropotka	id=g:501330
Roplya	id=g:501331
Ropcha	id=g:501332
Ropcha	id=g:501333
Urochishche Ropa-Tundra	id=g:501334
Ostrov Ropaki	id=g:501335
Mys Rono-Niyemi	id=g:501336
Ronkovitsy	id=g:501337
Ronga	id=g:501338
Ronga	id=g:501339
Rondova	id=g:501340
Ostrov Rondo	id=g:501341
Roncharka	id=g:501342
Romovitsa	id=g:501343
Romon	id=g:501344
Romodanovskiy Rayon	id=g:501345
Romodanovo	id=g:501346
Romadonovo	id=g:501347
Romodanovo	id=g:501348
Romodanovo	id=g:501349
Romadanovka	id=g:501350
Romodanovka	id=g:501351
Romodan	id=g:501352
Rominy	id=g:501353
Rominskaya	id=g:501354
Romenniki	id=g:501355
Ostrova Rombaki	id=g:501356
Rombaka	id=g:501357
Ozero Rombak	id=g:501358
Romashovka	id=g:501359
Ostanovochnyy Punkt Romashkovo	id=g:501360
Romashkovo	id=g:501361
Romashkovo	id=g:501362
Romashkovka	id=g:501363
Sovkhoz Romashkinskiy	id=g:501364
Romashkino	id=g:501365
Romashkino	id=g:501366
Romashkino	id=g:501367
Romashkin	id=g:501368
Romashki	id=g:501369
Romashki	id=g:501370
Romashki	id=g:501371
Romashki	id=g:501372
Romashi	id=g:501373
Romashi	id=g:501374
Romashevskiy	id=g:501375
Romasheva	id=g:501376
Romashenki	id=g:501377
Romas	id=g:501378
Romarovka	id=g:501379
Romanyata	id=g:501380
Romantsëvo	id=g:501381
Romantsëvo	id=g:501382
Romantsëvo	id=g:501383
Romantsëvo	id=g:501384
Romantsevo	id=g:501385
Romantsëvo	id=g:501386
Romantsevo	id=g:501387
Romanovy Darki	id=g:501388
Romanovskoye	id=g:501389
Romanovskoye	id=g:501390
Romanovskoye	id=g:501391
Romanovskiy Rayon	id=g:501392
Gorki	id=g:501393
Romodanovskiye Dvoriki	id=g:501394
Romanovskiy	id=g:501395
Romanovskiy	id=g:501396
Romanovskiy	id=g:501397
Romanovskiy	id=g:501398
Romanovskiy	id=g:501399
Romanovskiy	id=g:501400
Romanovskiy	id=g:501401
Romanovskiy	id=g:501402
Romanovskiy	id=g:501403
Romanovskaya	id=g:501404
Romanovskaya	id=g:501405
Romanov Ostrov	id=g:501406
Romanovo	id=g:501407
Romanovo	id=g:501408
Romanovo	id=g:501409
Romanovo	id=g:501410
Romanovo	id=g:501411
Romanovo	id=g:501412
Romanovo	id=g:501413
Romanovo	id=g:501414
Romanovo	id=g:501415
Romanovo	id=g:501416
Romanovo	id=g:501417
Romanovo	id=g:501418
Romanovo	id=g:501419
Romanovo	id=g:501420
Romanovo	id=g:501421
Romanovo	id=g:501422
Romanovo	id=g:501423
Romanovo	id=g:501424
Romanovo	id=g:501425
Romanovo	id=g:501426
Romanovo	id=g:501427
Romanovo	id=g:501428
Romanovo	id=g:501429
Romanovo	id=g:501430
Romanovo	id=g:501431
Romanovo	id=g:501432
Romanovo	id=g:501433
Verkhneye Romanovo	id=g:501434
Romanovo	id=g:501435
Romanovo	id=g:501436
Romanovo	id=g:501437
Romanovo	id=g:501438
Romanovka	id=g:501439
Romanovka	id=g:501440
Romanovka	id=g:501441
Romanovka	id=g:501442
Romanovka	id=g:501443
Romanovka	id=g:501444
Romanovka	id=g:501445
Romanovka	id=g:501446
Romanovka	id=g:501447
Romanovka	id=g:501448
Romanovka	id=g:501449
Romanovka	id=g:501450
Romanovka	id=g:501451
Romanovka	id=g:501452
Romanovka	id=g:501453
Romanovka	id=g:501454
Romanovka	id=g:501455
Romanovka	id=g:501456
Romanovka	id=g:501457
Romanovka	id=g:501458
Romanovka	id=g:501459
Romanovka	id=g:501460
Romanovka	id=g:501461
Romanovka	id=g:501462
Romanovka	id=g:501463
Romanovka	id=g:501464
Romanovka	id=g:501465
Romanovka	id=g:501466
Romanovka	id=g:501467
Romanovka	id=g:501468
Romanovka	id=g:501469
Romanovka	id=g:501470
Romanovka	id=g:501471
Romanovka	id=g:501472
Romanovka	id=g:501473
Romanovka	id=g:501474
Romanovka	id=g:501475
Romanovka	id=g:501476
