Burannaya	id=g:570887
Burangulovo	id=g:570888
Burangulova	id=g:570889
Buranchino	id=g:570890
Buranchino	id=g:570891
Boranchi	id=g:570892
Buranchi	id=g:570893
Buranbayevo	id=g:570894
Buraly	id=g:570895
Buraly	id=g:570896
Burakovskiy	id=g:570897
Burakovo	id=g:570898
Burakovo	id=g:570899
Burakovo	id=g:570900
Burakovo	id=g:570901
Burakovo	id=g:570902
Burakovo	id=g:570903
Burakovo	id=g:570904
Burakovo	id=g:570905
Burakovo	id=g:570906
Burakovo	id=g:570907
Burakova Gora	id=g:570908
Burakovo	id=g:570909
Bura-Kirta	id=g:570910
Buraki	id=g:570911
Buradagar Gora	id=g:570912
Stantsiya Burachikha	id=g:570913
Burachikha	id=g:570914
Burachikha	id=g:570915
Burachevskaya	id=g:570916
Bupel	id=g:570917
Buozero	id=g:570918
Bunyrëvo	id=g:570919
Bunyatka	id=g:570920
Bunyatino	id=g:570921
Bunyatino	id=g:570922
Bunyakovo	id=g:570923
Bunteikha	id=g:570924
Bunosovo	id=g:570925
Bun’kovo	id=g:570926
Bun’kovo	id=g:570927
Bunino	id=g:570928
Bunino	id=g:570929
Bunino	id=g:570930
Urochishche Bunino	id=g:570931
Bunino	id=g:570932
Bunino	id=g:570933
Bunino	id=g:570934
Bunakovo	id=g:570935
Bunako-Sokolovets	id=g:570936
Stantsiya Bumkombinat	id=g:570937
Stantsiya Bumazhnyy	id=g:570938
Bulzak-Aul	id=g:570939
Bulyzhino	id=g:570940
Urochishche Bulynki	id=g:570941
Bulynino	id=g:570942
Bulym-Bulykhchi	id=g:570943
Bulygino	id=g:570944
Bulygino	id=g:570945
Bulygino	id=g:570946
Bulychëvo	id=g:570947
Bulychikha	id=g:570948
Bulychi	id=g:570949
Bulychi	id=g:570950
Bulychëvo-Lomakino	id=g:570951
Bulychëvo	id=g:570952
Bulychëvo	id=g:570953
Bulychëvo	id=g:570954
Bulychëvka	id=g:570955
Bulychi	id=g:570956
Bulyarovo	id=g:570957
Bulyak	id=g:570958
Bulyak-Bash	id=g:570959
Bulyakay	id=g:570960
Bulyak	id=g:570961
Bulyak	id=g:570962
Bulyak	id=g:570963
Bulyak	id=g:570964
Bulazh	id=g:570965
Bulungusi	id=g:570966
Bulukta	id=g:570967
Bulukhtinskaya	id=g:570968
Bulukhta	id=g:570969
Balka Buluk	id=g:570970
Urochishche Koinsay	id=g:570971
Bul’shevo	id=g:570972
Bulovitsa	id=g:570973
Bulatovo	id=g:570974
Bulochkin	id=g:570975
Bulmukta	id=g:570976
Nizhniye Balmazy	id=g:570977
Bullyak	id=g:570978
Bul’kunovka	id=g:570979
Bulkovo	id=g:570980
Bul’kaypanovo	id=g:570981
Bulizha	id=g:570982
Bulina	id=g:570983
Bulgurt	id=g:570984
Bulgurino	id=g:570985
Bulgat-Irzu	id=g:570986
Bulgarovka	id=g:570987
Bulgar	id=g:570988
Bulgar	id=g:570989
Bolgar	id=g:570990
Bulgakovo-Dergachëvka	id=g:570991
Bulgakovo	id=g:570992
Bulgakovo	id=g:570993
Bulgakovo	id=g:570994
Bulgakovo	id=g:570995
Bulgakovo	id=g:570996
Bulgakovo	id=g:570997
Bulgakovo	id=g:570998
Bulgakovo	id=g:570999
Bulgakovo	id=g:571000
Bulgakovo	id=g:571001
Bulgakova	id=g:571002
Bulgakovo	id=g:571003
Bulgakova	id=g:571004
Bulgakovo	id=g:571005
Bulgakovo	id=g:571006
Bulgakovo	id=g:571007
Raz”yezd Bulgakovka	id=g:571008
Bulgakovka	id=g:571009
Bulgakovka	id=g:571010
Bulgakovka	id=g:571011
Bulgakovka	id=g:571012
Bulgakovka	id=g:571013
Bulgakov	id=g:571014
Bulgaki	id=g:571015
Bulekovskiy	id=g:571016
Buldyr'ya	id=g:571017
Buldyri	id=g:571018
Buldyri	id=g:571019
Buldyr’	id=g:571020
Buldygino	id=g:571021
Buldyga	id=g:571022
Bul’deyevo	id=g:571023
Buldeyevo	id=g:571024
Buldaki	id=g:571025
Buldakovo	id=g:571026
Bulayevskaya	id=g:571027
Bulayevo	id=g:571028
Bulayevo	id=g:571029
Bulay	id=g:571030
Bulavkino	id=g:571031
Bulavkino	id=g:571032
Bulavki Pervyye	id=g:571033
Bulavinskiy	id=g:571034
Bulat-Yelga	id=g:571035
Bulatovtsy	id=g:571036
Bulatovskaya	id=g:571037
Bulatovo	id=g:571038
Bulatovo	id=g:571039
Bulatovo	id=g:571040
Bulatovo	id=g:571041
Bulatovo	id=g:571042
Bulatovo Pervoye	id=g:571043
Urochishche Bulatovka	id=g:571044
Bulatovka	id=g:571045
Bulatovo	id=g:571046
Bulatov	id=g:571047
Bulatnikovo	id=g:571048
Bulatnikovo	id=g:571049
Bulatnikovo	id=g:571050
Bulatnaya	id=g:571051
Bulan-Turgan	id=g:571052
Bulantsevo	id=g:571053
Bulan-Saz	id=g:571054
Bulanovo	id=g:571055
Bulanovo	id=g:571056
Bulanovka	id=g:571057
Bulanovka	id=g:571058
Bulanovka	id=g:571059
Bulanovka	id=g:571060
Bulanov	id=g:571061
Bulanka	id=g:571062
Bulanino	id=g:571063
Bulanets	id=g:571064
Bulandikha	id=g:571065
Bulakovo	id=g:571066
Bulakovo	id=g:571067
Bulach	id=g:571068
Bulach	id=g:571069
Bula	id=g:571070
Bukuzi	id=g:571071
Ozero Buksozero	id=g:571072
Bukrovo	id=g:571073
Bukrova Pervaya	id=g:571074
Bukrino	id=g:571075
Bukrino	id=g:571076
Bukreyevskiy	id=g:571077
Bukreyevo	id=g:571078
Bukreyevo	id=g:571079
Bukreyevka	id=g:571080
Bukreyevka	id=g:571081
Bukreyevka	id=g:571082
Bukreyevka	id=g:571083
Bukreyevka	id=g:571084
Bukreyevka	id=g:571085
Bukreyev Bobrik	id=g:571086
Bukreyeva	id=g:571087
Bukreyev	id=g:571088
Bukovyy Uchastok	id=g:571089
Bukovo	id=g:571090
Bukovo	id=g:571091
Bukovo	id=g:571092
Bukovo	id=g:571093
Bukovo	id=g:571094
Bukovichi	id=g:571095
Bukovets	id=g:571097
Bukontovo	id=g:571098
Bukolovo	id=g:571099
Bukabay	id=g:571100
Bukobory	id=g:571101
Buklyata	id=g:571102
Buklendy	id=g:571103
Bukishino	id=g:571104
Bukinskiy Zavod	id=g:571105
Bukino Vtoroye	id=g:571106
Bukino Pervoye	id=g:571107
Bukino	id=g:571108
Bukino	id=g:571109
Bukino	id=g:571110
Buki	id=g:571111
Bukhvostovo	id=g:571112
Bukhvalovo	id=g:571113
Bukhty	id=g:571114
Bukhtorma	id=g:571115
Bukhteyevka	id=g:571116
Polyarnaya Stantsiya Bukhta Tikhaya	id=g:571117
Bukhta Radosti	id=g:571118
Bukhma	id=g:571119
Bukhovoye	id=g:571120
Bukhovets	id=g:571121
Bukhova Gora	id=g:571122
Bukhor’	id=g:571123
Bukhonovo	id=g:571124
Stantsiya Bukholovo	id=g:571125
Bukholovo	id=g:571126
Bukholovo	id=g:571127
Bukholovo	id=g:571128
Bukholovo	id=g:571129
Bukholovo	id=g:571130
Bukholovka	id=g:571131
Bukhin-Nur	id=g:571132
Bukhary	id=g:571133
Bukharevskiy	id=g:571134
Bukharay	id=g:571135
Bukhalovo	id=g:571136
Bukhalovo	id=g:571137
Bukhaidze	id=g:571138
Bukeni	id=g:571139
Bukava	id=g:571140
Bukatovka	id=g:571141
Bukari	id=g:571142
Bukarevskiy	id=g:571143
Bukarevo	id=g:571144
Bukanovskaya	id=g:571145
Bukanovo	id=g:571146
Bukan’	id=g:571147
Bukaley	id=g:571148
Bukaley	id=g:571149
Gora Bukabashi	id=g:571150
Buinskiy Rayon	id=g:571151
Sovkhoz Buinskiy	id=g:571152
Buinsk	id=g:571153
Buinsk	id=g:571154
Buinsk	id=g:571155
Buguyan	id=g:571156
Buguruslanskiy Rayon	id=g:571157
Buguruslanovka	id=g:571158
Buguruslan	id=g:571159
Bugurna	id=g:571160
Bugunzh	id=g:571161
Bugunzha	id=g:571162
Boguny	id=g:571163
Bugundyr-Akhtyrskiy	id=g:571164
Bugulov	id=g:571165
Bugul’minsko-Belebeyevskaya Vozvyshennost’	id=g:571166
Bugul’minskiy Rayon	id=g:571167
Sovkhoz Bugul’minskiy	id=g:571168
Bugul’minka	id=g:571169
Bugul’ma	id=g:571170
Bugul’da	id=g:571171
Bugul’chan	id=g:571172
Bugu	id=g:571173
Stantsiya Bugrysh	id=g:571174
Verkhniy Bugrysh	id=g:571175
Bugry Fenyutiny	id=g:571176
Bugry Dubovyye	id=g:571177
Bugryanka	id=g:571178
Bugry Sovkhoz	id=g:571179
Bugry	id=g:571180
Bugry	id=g:571181
Bugry	id=g:571182
Bugry	id=g:571183
Bugry	id=g:571184
Bugry	id=g:571185
Bugry	id=g:571186
Bugry	id=g:571187
Bugry	id=g:571188
Bugry	id=g:571189
