Novotroitskiy	id=g:804647
Ul’yanovskiy	id=g:804648
Peski Ak-B’ye-Tugan	id=g:804649
Mikhaylovskiy	id=g:804650
Peski It-Khuduk	id=g:804651
Ul’yanovo	id=g:804652
Peski Karagelyun	id=g:804653
Peski Kop-Khuduk	id=g:804654
Peski Uter	id=g:804655
Peski Tanka	id=g:804656
Balka Ulan-Gelyun	id=g:804657
Peski Tanki	id=g:804658
Malaya Kugul’ta	id=g:804659
Tarabanovka	id=g:804660
Peski Bulan	id=g:804661
Istomin	id=g:804662
Balka Ramazanka	id=g:804663
Balka Zapadnaya	id=g:804664
Bugor Dzherga	id=g:804665
Peski Bayan	id=g:804666
Peski Kultambur	id=g:804667
Imeni Kirova	id=g:804669
Imeni Kirova	id=g:804670
Balka Kirpichnaya	id=g:804671
Peski Kyzyltak	id=g:804672
Peski Sukhanda	id=g:804673
Balka Fedulkin Yar	id=g:804674
Peski Makarovskiye	id=g:804675
Peski Melekta	id=g:804676
Peski Bur-Khuduk	id=g:804677
Petrovskiy	id=g:804678
Novaya Kista	id=g:804679
Peski Chenta	id=g:804680
Balka Krasnyy Yar	id=g:804681
Peski Indershtel’ma	id=g:804682
Peski Shtil’ma	id=g:804683
Peski Adryk	id=g:804684
Berestovka	id=g:804686
Kolodets Goryachev	id=g:804687
Aleksandrovskiy	id=g:804689
Krasnyy Boyets	id=g:804690
Kibyakin	id=g:804692
Tsagan Anon	id=g:804693
Krasnyy Gay	id=g:804694
Ozero Solënoye	id=g:804695
Shabanov	id=g:804696
Goryache-Klyuchevskoy Zakaznik	id=g:804697
Cheloshov	id=g:804698
Ozero Kuk”yazhnoye	id=g:804699
Lysyy Kutyk Khrebet	id=g:804700
Karibov	id=g:804701
Kandybka	id=g:804702
Gora Tseett	id=g:804703
Gora Solodki	id=g:804704
Stantsiya Severskaya	id=g:804706
Staro-Mar'yerskoye	id=g:804707
Stantsiya Il’skaya	id=g:804708
Ozero Il’men’ Kalinin	id=g:804709
Gora Klyuchevaya	id=g:804711
Ozero Il’men Karasyachiy	id=g:804713
Khrebet Kotkh	id=g:804714
Prorva	id=g:804715
Bazovyy	id=g:804716
Kaverze	id=g:804717
Larin	id=g:804718
Kozelin	id=g:804719
Tlyabgu	id=g:804720
Vlasov	id=g:804721
Mayachnyy	id=g:804722
Kolkhoznyy	id=g:804723
Grannoy Bugor	id=g:804724
Malyy Dysh	id=g:804725
Peski Gashuk	id=g:804726
Kobylyachiv	id=g:804727
Bezhikova	id=g:804728
Bol’shoy Chibiy	id=g:804729
Ozero Il’men Soldusov	id=g:804730
Gordiyenko	id=g:804731
Malyy Chibiy	id=g:804732
Ozero Bol’shoye	id=g:804733
Ozero Il’men’ Spornyy	id=g:804734
Chernov	id=g:804735
Triskulak	id=g:804736
Yerik Peschanyy	id=g:804737
Kravchenko	id=g:804738
Peschanyy	id=g:804739
Novorozhdestvenskiy	id=g:804740
Leninskiy Put’	id=g:804742
Peschanka	id=g:804743
Kryukovskoye Vodokhranilishche	id=g:804744
Nodlina	id=g:804745
Pervomayskiy	id=g:804746
Badzhankinovskiy	id=g:804747
Batrak	id=g:804748
Nizhnyaya Kara	id=g:804749
Brata	id=g:804750
Salyno-Khulsunskiye	id=g:804751
Yerik Nikol’sk	id=g:804753
Ozero Krivoye	id=g:804762
Grachevka	id=g:804763
Chekryshchin Bugor	id=g:804764
Stavka	id=g:804766
Mashtak-Kulak	id=g:804767
Peski Bol’shiye Braty	id=g:804768
Peski Malyye Braty	id=g:804769
Krazgulakskiy	id=g:804770
Peski Zaytsev	id=g:804771
Peski Kazavlanskiye	id=g:804772
Yerik Krivoy	id=g:804773
Kazgulakskiy	id=g:804774
Borisovka	id=g:804775
Balka Zagista	id=g:804777
Grechkin	id=g:804778
Beloliska	id=g:804779
Popovskiy	id=g:804780
Simovka	id=g:804781
Gora Gurmayskiy Shakhan	id=g:804782
Balka Tsagan-Sala	id=g:804783
Belousov	id=g:804784
Ozero Peschanoye	id=g:804785
Velikiy Oktyabr'	id=g:804786
Balka Nyukhansyul	id=g:804787
Tavricheskiy	id=g:804788
Kapitanskiy Bugor	id=g:804789
Balka Churyum	id=g:804790
Gora Krasnaya Skala	id=g:804791
Gora Armeyskaya	id=g:804792
Gora Kutsaya	id=g:804793
Balka Burcha	id=g:804794
Sheret	id=g:804796
Ordynskiy	id=g:804797
Peski Tosty	id=g:804799
Balka Argamazhe	id=g:804800
Balka Kucherla	id=g:804801
Stantsiya Bogdo	id=g:804802
Sukhoy Yar	id=g:804803
Peski Shkili	id=g:804804
Balka Khuryn Sala	id=g:804805
Balka Sukhoy Yar	id=g:804806
Peski Bol’shive Bolkhuny	id=g:804807
Golovchenko	id=g:804808
Ozero Shirokoye	id=g:804809
Stantsiya Shedok	id=g:804810
Balka Dzhurak	id=g:804811
Khrebet Terpegem	id=g:804812
Gera	id=g:804813
Malakhov	id=g:804814
Solenaya	id=g:804815
Kamenka	id=g:804816
Sipsi	id=g:804817
Balka Stryukova	id=g:804818
Krutoy	id=g:804819
Zhukov	id=g:804820
Sladkiy	id=g:804821
Soyedinennyy	id=g:804822
Dyatlov	id=g:804823
Glubokiy Yar	id=g:804824
Khara Zukha	id=g:804825
Ternovka	id=g:804827
Balka Chernolikha	id=g:804828
Sukhaya Tsitse	id=g:804830
Gvozdev	id=g:804833
Balka Kamyshanaya	id=g:804834
Bogoslovskiy	id=g:804836
Vladimirovskaya	id=g:804837
Balka Bol’shaya Kamenka	id=g:804838
Gora Semikolennaya	id=g:804839
Balka Ivashkina	id=g:804840
Balka Krutoy Yar	id=g:804841
Novaya Kugul’ta	id=g:804845
Krivulya	id=g:804847
Tsitse	id=g:804848
Stantsiya Kabardinskaya	id=g:804849
Popova	id=g:804850
Protopopova	id=g:804851
Travaleva Balka	id=g:804858
Saratovskiy	id=g:804859
Balka Koshka	id=g:804860
Veselyy	id=g:804861
Stantsiya Tverskaya	id=g:804862
Andreye-Dmitriyevskiy	id=g:804863
Balka Tsitse	id=g:804864
Pchela	id=g:804865
Imeni Lenina Kolkhoz	id=g:804866
Sharyn Sala	id=g:804867
Starozelenyy	id=g:804868
Ar-Khara	id=g:804870
Komsomolets Sovkhoz	id=g:804873
Stantsiya Komsomol’skaya	id=g:804874
Zavetnyy	id=g:804875
Novaya Koloniya	id=g:804876
Trunovskiy	id=g:804877
Makhach-Kala	id=g:804879
Denisovo	id=g:804880
Krasnyy	id=g:804881
Dolom Buluk	id=g:804882
Balka Vtoraya	id=g:804883
Balka Korennaya	id=g:804884
Balka Berëzovaya	id=g:804885
Pervaya Balka	id=g:804886
Yalmata	id=g:804887
Balka Malaya Yalmata	id=g:804888
Lipki	id=g:804889
Balka Godzhur	id=g:804890
Balka Ar-Nur	id=g:804891
Pervomayskiy	id=g:804892
Petrovskiy	id=g:804893
Balka Shangala	id=g:804894
Imeni Krupskoy	id=g:804896
Stantsiya Pshekhskaya	id=g:804897
Radishchevo	id=g:804899
Khapchin	id=g:804900
Balka Sukhaya	id=g:804901
Novogorbokonevskiy	id=g:804902
Ivashchenko	id=g:804903
Druzhnyy	id=g:804904
Rodniki	id=g:804906
Stantsiya Belorechenskaya	id=g:804907
Kurgan Mugutinskiy	id=g:804908
Petrovskiy	id=g:804909
Litvinov	id=g:804910
Gashun	id=g:804911
Orlovskiy	id=g:804912
Balka Salgan	id=g:804913
Balka Kruglik	id=g:804914
Balka Orlova	id=g:804915
Balka Glubokaya	id=g:804916
Balka Sukhoy Kelermes	id=g:804918
Burgusun	id=g:804919
Kutsiy Yar	id=g:804920
Kuberla	id=g:804921
Balka Gashun-Kol’	id=g:804922
Pomorskiy	id=g:804923
Balka Barsuk	id=g:804924
Balka Rudnëva	id=g:804925
Kapustin	id=g:804926
Imeni Gorodovikova	id=g:804927
Shlyakhov	id=g:804928
Balka Sal’vin-Sala	id=g:804929
Chernigovskiy	id=g:804930
Sadovyy Nosacher	id=g:804931
Mamatsev	id=g:804932
Privolenskiy	id=g:804933
Barkhanchak	id=g:804934
Yalmta	id=g:804935
Stantsiya Ipatovo	id=g:804936
Chikalov	id=g:804937
Balka Verkhnyaya Kurunta	id=g:804938
Pikalin	id=g:804939
Balka Bashantinskaya	id=g:804940
Balka Lipovaya	id=g:804941
Balka Kazelga	id=g:804942
Balka Levashëva	id=g:804943
Khanka	id=g:804944
Sharkel’	id=g:804945
Tsidinov-Byurche	id=g:804947
Balka Yusup	id=g:804948
Batkhanta	id=g:804950
Balka Kruten’kaya	id=g:804951
Petrovka	id=g:804952
Sergeyevka	id=g:804953
Tatarenka	id=g:804954
Balka Zurmuta	id=g:804955
Bryanskiy	id=g:804956
Kiren Ulyun	id=g:804957
Stantsiya Khanskaya	id=g:804958
Orun-Bushrun	id=g:804959
Tsaryn	id=g:804960
Bulukta	id=g:804961
Balka Zurmuta	id=g:804962
Alekseyenka	id=g:804963
Rekord	id=g:804964
Karskiy	id=g:804965
Balka Raguli	id=g:804966
Balka Dzhukhta	id=g:804967
Gora Chistaya	id=g:804968
Sinyavka	id=g:804969
Balka Kamennaya	id=g:804970
Kishinskogo	id=g:804972
Tavun-Tolga	id=g:804973
Krasnyy Manych	id=g:804974
Balka Golub’	id=g:804975
Gremuchaya	id=g:804976
Khar’kol	id=g:804977
Bugor Baratinskiy	id=g:804978
Burkhan	id=g:804979
Zhuravlev	id=g:804980
Nesmashnyy	id=g:804981
Troitskiy	id=g:804982
Gryaznushenskiy	id=g:804983
Komar’kov	id=g:804984
Bezladnyy	id=g:804985
Lagernyy	id=g:804986
Balka Drozdovskaya	id=g:804987
Rovnyy	id=g:804988
Orden Lenina	id=g:804989
Kiyevskiy	id=g:804990
Gora Goryachaya	id=g:804991
Lesnaya Dacha	id=g:804992
Novopeschanyy	id=g:804993
Balka Magodynka	id=g:804994
Mugta	id=g:804995
Pervomayskiy	id=g:804996
Tenginka	id=g:804997
Chapayev	id=g:804998
Khugun	id=g:804999
