Gainda	id=g:1506733
Ozera Gagauch	id=g:1506734
Gagarysovo	id=g:1506735
Ozero Gagar’ye	id=g:1506736
Gagar’ye	id=g:1506737
Gagar’ye	id=g:1506738
Gagar’ye	id=g:1506739
Stantsiya Gagarskiy	id=g:1506740
Gagarskaya	id=g:1506741
Gagarka	id=g:1506742
Urochishche Gagarkino	id=g:1506743
Gagarka	id=g:1506744
Gagarino	id=g:1506745
Gagarina	id=g:1506746
Gagarino	id=g:1506747
Gagarinka	id=g:1506748
Gaganova	id=g:1506749
Gadenovo	id=g:1506750
Gadatskiy	id=g:1506751
Vozvyshennost' Gabrey	id=g:1506752
Gabay	id=g:1506753
Ozero Fyrkal	id=g:1506754
Mys Fusa	id=g:1506755
Funtusovo	id=g:1506756
Funtiki	id=g:1506757
Mys Frunze	id=g:1506758
Frunze	id=g:1506759
Frunze	id=g:1506760
Imeni Frunze	id=g:1506761
Froly	id=g:1506762
Frolovskiy	id=g:1506763
Frolovskiy	id=g:1506764
Frolovka	id=g:1506765
Frolovka	id=g:1506766
Frolovka	id=g:1506767
Udintseva	id=g:1506768
Frolova	id=g:1506769
Freganka	id=g:1506770
Ostrov Fredena	id=g:1506771
Frantsevo	id=g:1506772
Proliv Fram	id=g:1506773
Foteyevka	id=g:1506774
Forpost-Kargat	id=g:1506775
Forpost	id=g:1506776
Forpost	id=g:1506777
Ozero Formachëvo	id=g:1506778
Formachëvo	id=g:1506779
Mys Forakera	id=g:1506780
Urochishche Fomkina Izba	id=g:1506781
Fomka	id=g:1506782
Fominskoye	id=g:1506783
Fominskoye	id=g:1506784
Fominskoye	id=g:1506785
Fominka	id=g:1506786
Fomina	id=g:1506787
Fomina	id=g:1506788
Fomino	id=g:1506789
Ostrov Fomin	id=g:1506790
Fomikha	id=g:1506791
Fomikha	id=g:1506792
Fomichëvskiy	id=g:1506793
Fomenkino	id=g:1506794
Fokintsy	id=g:1506795
Fokino	id=g:1506796
Fokino	id=g:1506797
Fokina	id=g:1506798
Fokina	id=g:1506799
Bukhta Foki	id=g:1506800
