Urochishche Volynkskoye	id=g:1536088
Urochishche Listvyanka	id=g:1536089
Urochishche Staroivanovshina	id=g:1536090
Muratovo	id=g:1536091
Urochishche Verkhneivanovskoye	id=g:1536092
Turzyanka	id=g:1536093
Razdol'noye	id=g:1536094
Orlovka	id=g:1536095
Urochishche Mikhaylovskoye	id=g:1536096
Urochishche Samarskoye	id=g:1536097
Urochishche Novoorlovka	id=g:1536098
Urochishche Andreyevskoye	id=g:1536099
Urochishche Shilka	id=g:1536100
Urochishche Ust'-Shilka	id=g:1536101
Shchelkanovka	id=g:1536102
Urochishche Zotina	id=g:1536103
Urochishche Zhivoy Klyuch	id=g:1536104
Ostrov Kazachinskiy	id=g:1536105
Urochishche Dobrovol'noye	id=g:1536106
Urochishche Tyul'kovka	id=g:1536107
Urochishche Yërzovka	id=g:1536108
Urochishche Mysy	id=g:1536109
Dolgovo	id=g:1536110
Urochishche Vladimirovka	id=g:1536111
Urochishche Malaya Spoloshnaya	id=g:1536112
Urochishche Ledyashevo	id=g:1536113
Ozero Zakharovskoye	id=g:1536114
Ozero Shuch'ye	id=g:1536115
Urochishche Popkovo	id=g:1536116
Urochishche Belokopytovskoye	id=g:1536117
Belokopytovskiye Ostrova	id=g:1536118
Shapkino	id=g:1536119
Urochishche Preobrazhenskoye	id=g:1536120
Raz"yezd Kemskiy	id=g:1536121
Ostanovochnyy Punkt Medvezhiy	id=g:1536122
Stantsiya Pirovskaya	id=g:1536123
Urochishche Tikhonovka	id=g:1536124
Pastbishche Selivanova	id=g:1536125
Bol'shaya Minanzhil'	id=g:1536126
Minanzhil'	id=g:1536127
Stantsiya Kacha	id=g:1536128
Sukhaya	id=g:1536129
Sukhoy	id=g:1536130
Stantsiya Snezhitsa	id=g:1536131
Yelovka	id=g:1536132
Karakusha	id=g:1536133
Elita	id=g:1536134
Stantsiya Bugach	id=g:1536135
Ostanovochnyy Punkt Ovinnyy	id=g:1536136
Minino	id=g:1536137
Serebryakovka	id=g:1536139
Malyy Arey	id=g:1536140
Yermolayeva	id=g:1536141
Orla	id=g:1536142
Kalantat	id=g:1536143
Urochishche Izreva	id=g:1536144
Voskhod	id=g:1536145
Porozhnaya	id=g:1536146
Karen'ka	id=g:1536147
Kuyuk	id=g:1536148
Bobrovka	id=g:1536149
Pervomayskiy	id=g:1536150
Urochishche Novotroitskoye	id=g:1536151
Cheremshanka	id=g:1536152
Mostovskoye	id=g:1536153
Itat	id=g:1536154
Krivaya Cheremshanka	id=g:1536155
Shilinka	id=g:1536156
Perelyubka	id=g:1536157
Listvyanka	id=g:1536158
Tazyrachevo	id=g:1536159
Komarovo	id=g:1536162
Krasnyye Klyuchi	id=g:1536163
Yentaul'ka	id=g:1536164
Lapina	id=g:1536165
Urochishche Novonikol'skoye	id=g:1536166
Kirillovka	id=g:1536167
Urochishche Plotnikovo	id=g:1536168
Borovoy	id=g:1536169
Novomikhaylovka	id=g:1536170
Ostanovochnyy Punkt Karabarik	id=g:1536171
Sel’ki	id=g:1536172
Ostanovochnyy Punkt Mar'yevka	id=g:1536173
Ostanovochnyy Punkt Ozernyy	id=g:1536174
Berezovka	id=g:1536175
Raz"yezd Novopyatnitskiy	id=g:1536176
Stantsiya Gromadskaya	id=g:1536177
Ostanovochnyy Punkt Sibiryak	id=g:1536178
Ostanovochnyy Punkt Iligan	id=g:1536179
Tochil'noye	id=g:1536180
Urochishche Kapralovo	id=g:1536181
Ostanovochnyy Punkt Kapralovo	id=g:1536182
Urochishche Kharitonovskoye	id=g:1536183
Novoroshchinskiy	id=g:1536184
Bol’shaya Polyana	id=g:1536185
Novoitkul’skoye	id=g:1536186
Zalesnyy	id=g:1536187
Ostanovochnyy Punkt Oyësh	id=g:1536188
Kuznetskiy	id=g:1536189
Urochishche Nikolayevskoye	id=g:1536190
Urochishche Novodubrovskoye	id=g:1536191
Borodino	id=g:1536192
Nizinka	id=g:1536193
Solonechnoye	id=g:1536194
Stantsiya Kamala	id=g:1536195
Lesnaya Dacha Verkhnekargatskaya	id=g:1536196
Ozero Krugloye	id=g:1536197
Belapakhovo	id=g:1536198
Verkhovaya	id=g:1536199
Preobrazhenka	id=g:1536200
Loshchinka	id=g:1536201
Orlovka	id=g:1536202
Kanachul	id=g:1536203
Chukhlomino	id=g:1536204
Ozero Taylakhovo	id=g:1536205
Ozero Ryamskoye	id=g:1536206
Zelënaya Dubrava	id=g:1536207
Ozero Chirukhino	id=g:1536208
Urochishche Poplygina	id=g:1536209
Stepnyaki	id=g:1536210
Amonash	id=g:1536211
Taray	id=g:1536212
Agul	id=g:1536213
Urochishche Tygish	id=g:1536214
Ozero Okhovo	id=g:1536215
Ozero Kargat	id=g:1536216
Urochishche Chetyrkina	id=g:1536217
Sovlokh	id=g:1536218
Urochishche Klyukina	id=g:1536219
Bychkovka	id=g:1536220
Polevskoy Gorod	id=g:1536221
Strelka	id=g:1536222
Kriolitovyy	id=g:1536223
Tal’niki	id=g:1536224
Pervoye Maya	id=g:1536225
Latyntsevo	id=g:1536226
Stantsiya Konda	id=g:1536227
Obgonnyy Punkt Kabinetnoye	id=g:1536228
Nyurikh	id=g:1536229
Raz”yezd Nyurikh	id=g:1536230
Kalinovka	id=g:1536231
Unerchik	id=g:1536232
Stantsiya Verkhnekondinskaya	id=g:1536233
Sovkhoznyy	id=g:1536234
Stantsiya Geologicheskaya	id=g:1536235
Snegirevka	id=g:1536236
Raz”yezd Mansiyskiy	id=g:1536237
Dvurechnaya	id=g:1536238
Kuz'minka	id=g:1536239
Stantsiya Kommunisticheskaya	id=g:1536240
Stantsiya Pantyng	id=g:1536241
Stantsiya Von”yëgan	id=g:1536242
Un”yugan	id=g:1536243
Urochishche Bannikova	id=g:1536244
Zapasnoy Imbezh	id=g:1536245
Bulatnovka	id=g:1536246
Krest'yanskoye	id=g:1536247
Boguslavka	id=g:1536248
Verkhnyaya Agashul	id=g:1536249
Blagodatka	id=g:1536250
Sergeyevka	id=g:1536251
Zelënaya Sloboda	id=g:1536252
Stantsiya Agirish	id=g:1536253
Stantsiya Sobolinaya	id=g:1536254
Ostanovochnyy Punkt Yanyg’ya	id=g:1536255
Induk	id=g:1536256
Bessarabov	id=g:1536257
Shirotak	id=g:1536258
Malaya Aga	id=g:1536259
Stepanov	id=g:1536260
Novobryanka	id=g:1536261
Shudrovo	id=g:1536262
Gryaznovskaya	id=g:1536263
Komsomol’skiy Nomer Dva	id=g:1536264
Komenki	id=g:1536265
Argysuk	id=g:1536266
Stantsiya Torn	id=g:1536267
Urochishche Krasnaya Polyana	id=g:1536268
Pantyng	id=g:1536269
Aldarak	id=g:1536270
Malaya Argaza	id=g:1536271
Gniloy	id=g:1536272
Talaya	id=g:1536273
Bolotnyy	id=g:1536274
Tayezhnyy	id=g:1536275
Ushkanka	id=g:1536276
Biresuk	id=g:1536277
Paul’ya	id=g:1536278
Inkvoyyugaya	id=g:1536279
Porten	id=g:1536280
Shbushma	id=g:1536281
Shoushma	id=g:1536282
Tul’t’ya	id=g:1536283
Seron’ye	id=g:1536284
Symor’ya	id=g:1536285
Nava	id=g:1536286
Malaya Nava	id=g:1536287
Bol’shaya Nava	id=g:1536288
Snezhinsk	id=g:1536289
Bolotnyy	id=g:1536290
Khora	id=g:1536291
Pervyy Barak	id=g:1536292
Amyn’ya	id=g:1536293
Izumrud	id=g:1536294
Gora Kotël	id=g:1536295
Ostanovochnyy Punkt Korkodin	id=g:1536296
Ostanovochnyy Punkt Kosoy Brod	id=g:1536297
Ostanovochnyy Punkt Mokraya Budka	id=g:1536298
Stantsiya Sysert’	id=g:1536299
Stantsiya Keramik	id=g:1536300
Ostanovochnyy Punkt Novoalekseyevka	id=g:1536301
Ostanovochnyy Punkt Budka	id=g:1536302
Stantsiya Severka	id=g:1536303
Ostanovochnyy Punkt Palkino	id=g:1536304
Ostanovochnyy Punkt Peregon	id=g:1536305
Ostanovochnyy Punkt Lipovaya	id=g:1536306
Ostanovochnyy Punkt Chusovodstroy	id=g:1536307
Ostanovochnyy Punkt Sportivnaya	id=g:1536308
Ostanovochnyy Punkt Ogorodnaya	id=g:1536309
Petropavlovka	id=g:1536310
Ostanovochnyy Punkt Gat’	id=g:1536311
Stantsiya Makartsevo	id=g:1536312
Ostanovochnyy Punkt Gornoshchitinskiy	id=g:1536313
Stantsiya Sedel’nikovo	id=g:1536314
Kompressornyy Zavod Ostanovochnyy Punkt	id=g:1536315
Stantsiya Bobrovka	id=g:1536316
Ostanovochnyy Punkt Khutoryata	id=g:1536317
Zelenino	id=g:1536318
Khrebet Zherbay	id=g:1536319
Poperechnyy Tazik	id=g:1536320
Prodol'nyy Tazik	id=g:1536321
Nepomnyashchiy	id=g:1536322
Stantsiya Kunavino	id=g:1536323
Sotsgorod Ostanovochnyy Punkt	id=g:1536324
Raz”yezd Sosnovka	id=g:1536325
Malyy Arbay	id=g:1536326
Ostanovochnyy Punkt Kurmanka	id=g:1536327
Ostanovochnyy Punkt Brusyany	id=g:1536328
Dur'ya	id=g:1536329
Ostanovochnyy Punkt Pervomayskaya	id=g:1536330
Gora Chubarova	id=g:1536331
Gora Obmanskaya	id=g:1536332
Gora Tolstikha	id=g:1536333
Gora Bol’shoy Kamen’	id=g:1536334
Stantsiya Muranitnyy	id=g:1536335
Prodol'noye Dizo	id=g:1536336
Stantsiya Rezhik	id=g:1536337
Poperechnoye Dizo	id=g:1536338
Kamenka	id=g:1536339
Bol'shaya Vilista	id=g:1536340
Stantsiya Uzumrud	id=g:1536341
Bol'shoy Shir	id=g:1536342
Malaya Vilista	id=g:1536343
Gora Shemanaikha	id=g:1536344
Gora Leshach’ya	id=g:1536345
Gora Vysokiy Kamen’	id=g:1536346
Koy	id=g:1536347
Gora Vysokaya	id=g:1536348
Malyy Koy	id=g:1536349
Rozhdestvenka	id=g:1536350
Kandalka	id=g:1536351
Tonen'kaya	id=g:1536352
Mostovaya	id=g:1536353
Bol'shaya Rechka	id=g:1536354
Talaya	id=g:1536355
Ozero Tolovoye	id=g:1536356
Ozero Amyn’yatur	id=g:1536357
Ozero Okhpttur	id=g:1536358
Tul’t’ya	id=g:1536359
Malaya Lova	id=g:1536360
Kedrovyy	id=g:1536361
Lova	id=g:1536362
Novaya Vorpavla	id=g:1536363
Ozero Sokhpttur	id=g:1536364
Dashin	id=g:1536365
Uda	id=g:1536366
Ozero Nyarsamitur	id=g:1536367
Skvoznoy	id=g:1536368
Manin	id=g:1536369
Shargan	id=g:1536370
Ozero Protochnoye	id=g:1536371
Mamza	id=g:1536372
Ozero Man’-Ketlokhtur	id=g:1536373
Bol'shaya Rechka	id=g:1536374
Ozero Kish	id=g:1536375
Ozero Mishkino	id=g:1536376
Nitl’yega	id=g:1536377
Sazonovka	id=g:1536378
Okhan	id=g:1536379
Samsonovka	id=g:1536380
Ozero Polyntur	id=g:1536381
Ozero Symytur	id=g:1536382
Bol'shaya Rechka	id=g:1536383
Verkhniy	id=g:1536384
Potanay	id=g:1536385
Timofeyev	id=g:1536386
Yakhlya	id=g:1536387
Zakharovka	id=g:1536388
Antan’yega	id=g:1536389
Vykhtop’ya	id=g:1536390
Ozero Nakhmurtyu	id=g:1536391
Naydysh	id=g:1536392
Tunga	id=g:1536393
Bol'shaya Rechka	id=g:1536394
Ozero Mulym’yatyu	id=g:1536395
Bol’shoy Pidym	id=g:1536396
Linkova	id=g:1536397
Khaymazova	id=g:1536398
Berezovyy	id=g:1536399
Ambarchik	id=g:1536400
Belausov	id=g:1536401
Sobach'ya Rechka	id=g:1536402
Malaya Zhiderba	id=g:1536403
Un”yugan	id=g:1536404
Shaybinka	id=g:1536405
Sredniy	id=g:1536406
Nizhnyaya Shamka	id=g:1536407
Srednyaya Shamka	id=g:1536408
Verkhnyaya Shamka	id=g:1536409
Linkov	id=g:1536410
Bol'shoye Kuzho	id=g:1536411
Maloye Kuzho	id=g:1536412
Mamzinka	id=g:1536413
Bol'shoye Peno	id=g:1536414
Or'ye	id=g:1536415
Orus	id=g:1536416
Or'ye	id=g:1536417
Raz"yezd Koy	id=g:1536418
Ostanovochnyy Punkt Vilistaya	id=g:1536419
Raz"yezd Lukashevich	id=g:1536420
Stantsiya Kravchenko	id=g:1536421
Raz"yezd Iley	id=g:1536422
Raz"yezd Konok	id=g:1536423
Raz"yezd Khabaydak	id=g:1536424
Ostanovochnyy Punkt Otrogi	id=g:1536425
Ostanovochnyy Punkt Argaza	id=g:1536426
Ostanovochnyy Punkt Elektrodepo	id=g:1536427
Ostanovochnyy Punkt VIZ	id=g:1536428
Stantsiya Zvezda	id=g:1536429
Ostanovochnyy Punkt Sadovaya	id=g:1536430
Sabyaninskaya	id=g:1536431
Kholodnaya	id=g:1536432
Vekshina	id=g:1536433
Ozero Sorumpuze	id=g:1536434
Tugr	id=g:1536435
Malaya Mulym’ya	id=g:1536436
Terpeyeva	id=g:1536437
Malaya Kholodnaya	id=g:1536438
Kartop’ya	id=g:1536439
Kanachul	id=g:1536440
Levyy Irbeychik	id=g:1536441
Adymnempiyugan	id=g:1536442
Yelovyy	id=g:1536443
Sukhaya Kozyla	id=g:1536444
Tarakan	id=g:1536445
Orlovka	id=g:1536446
Shalagin	id=g:1536447
Oblava	id=g:1536448
Podozrimel'nyy	id=g:1536449
Malaya Kamala	id=g:1536450
Kaylyk	id=g:1536451
Kil'chug	id=g:1536452
Ozero Yuzhnoye	id=g:1536453
Bulankova	id=g:1536454
Aleksandrov	id=g:1536455
Inkala	id=g:1536456
Irsha	id=g:1536457
Irsha-Borodinskiy Ugol'nyy Razrez	id=g:1536458
Ozernyy	id=g:1536459
Karabarikha	id=g:1536460
Ozero Krugloye	id=g:1536461
Izba Mishkino	id=g:1536462
Il’ka-Kandra	id=g:1536463
Kandra	id=g:1536464
Ozero Lem’yatur	id=g:1536465
Lem’ya	id=g:1536466
Ostanovochnyy Punkt Stoyba	id=g:1536467
Ostanovochnyy Punkt Kalinovka	id=g:1536468
Raz"yezd Unerchik	id=g:1536469
Tosymkanan	id=g:1536470
Vyrs’	id=g:1536471
Ostanovochnyy Punkt Yeliseyevka	id=g:1536472
Man’ukh	id=g:1536473
Raz"yezd Kozyla	id=g:1536474
Ostanovochnyy Punkt Pervoye Maya	id=g:1536475
Bol’shoy Voy	id=g:1536476
Stantsiya Malyy Irbey	id=g:1536477
Malyy Voy	id=g:1536478
Ostanovochnyy Punkt Yudino	id=g:1536479
Nëkhsapr”yugan	id=g:1536480
Raz"yezd Korostylevo	id=g:1536481
Ozero Ust’tor	id=g:1536482
Ozero Esstytor	id=g:1536483
Ostanovochnyy Punkt Posëlok-Khomutovo	id=g:1536484
Ostanovochnyy Punkt Posëlok-Petropavlovka	id=g:1536485
Raz"yezd Agul	id=g:1536486
Ostanovochnyy Punkt Pereyaslovka	id=g:1536487
Stantsiya Pereyaslovka	id=g:1536488
Raz"yezd Avda	id=g:1536489
Ostanovochnyy Punkt Tat'yanovka	id=g:1536490
Ozero Torynkhutkhudymtor	id=g:1536491
Ay-Akrysh”yëgan	id=g:1536492
Por”yugan	id=g:1536493
Tat’yugan	id=g:1536494
Yëvayugan	id=g:1536495
Ay-Yëvayugan	id=g:1536496
Yank”yugan	id=g:1536497
Nëkhsapr”yugan	id=g:1536498
Vay	id=g:1536499
Malyy Vay	id=g:1536500
Ostanovochnyy Punkt Kosogor	id=g:1536501
Ostanovochnyy Punkt Nalivnaya	id=g:1536502
Man’ Leplya	id=g:1536503
Ostanovochnyy Punkt Nalobino	id=g:1536504
Stantsiya Buynaya	id=g:1536505
Les’ya	id=g:1536506
Nempelshosh	id=g:1536507
Raz"yezd Ural	id=g:1536508
Ostanovochnyy Punkt Ugol'naya Vtoraya	id=g:1536509
Ostanovochnyy Punkt Irsha	id=g:1536510
Ostanovochnyy Punkt Yuzhnyy	id=g:1536511
Ostanovochnyy Punkt Mikhalëvka	id=g:1536512
Ozero Turtastur	id=g:1536513
Ostanovochnyy Punkt Kamalinka	id=g:1536514
Ostanovochnyy Punkt Solnechnyy	id=g:1536515
Ostanovochnyy Punkt Yagodnaya	id=g:1536516
Boloto Kondinskoye	id=g:1536517
Boloto Vekshinskoye	id=g:1536518
Boloto Terpeyeva	id=g:1536519
Boloto Verkhovoye	id=g:1536520
Gora Listvyanaya	id=g:1536521
Boloto Khalt”yugansoim”yeng	id=g:1536522
Boloto Vokhloptyyyeng	id=g:1536523
