Mys Uglovoy	id=g:2120256
Uglezavodsk	id=g:2120257
Mys Uglevoy	id=g:2120258
Uglegorskiy Rayon	id=g:2120259
Reyd Uglegorsk	id=g:2120260
Uglegorsk	id=g:2120261
Uglegorka	id=g:2120262
Ugledarsk	id=g:2120263
Ugatkyn	id=g:2120264
Uenshiri	id=g:2120265
Uembetsu	id=g:2120266
Udova	id=g:2120267
Udochka	id=g:2120268
Reyd Udobnyy	id=g:2120269
Sopka Udobnaya	id=g:2120270
Udarnyy	id=g:2120271
Udarnik	id=g:2120272
Udarnik	id=g:2120273
Udanna	id=g:2120274
Khudyami	id=g:2120275
Zaliv Udacha	id=g:2120276
Uchyugey-Yuryakh	id=g:2120277
Uchyugey	id=g:2120278
Uchugey-Kyuyel’	id=g:2120279
Gora Uchkaren	id=g:2120280
Gora Uchir	id=g:2120281
Uchir	id=g:2120282
Uchinney	id=g:2120283
Uchilikan	id=g:2120284
Uchichkil'	id=g:2120285
Uchasan	id=g:2120286
Ubiyenka	id=g:2120287
Ubiyenka	id=g:2120288
Ubegayushchaya	id=g:2120289
Gora Uaza-Ina	id=g:2120290
Uaza	id=g:2120291
Mys Uaz	id=g:2120292
Uaz	id=g:2120293
Mys Uarki	id=g:2120294
Uarki	id=g:2120295
Uarki	id=g:2120296
Mys Uangi	id=g:2120297
Mys Uandi	id=g:2120298
Uandi	id=g:2120299
Zaliv Uala	id=g:2120300
Ozero Uabyk	id=g:2120301
Tyvlino	id=g:2120302
Tyvlinka	id=g:2120303
Bukhta Tyvlikap	id=g:2120304
Mys Tyutikova	id=g:2120305
Tyutalnan	id=g:2120306
Tyushevka	id=g:2120307
Ostrov Tyurmus	id=g:2120308
Tyumsyu	id=g:2120309
Mys Tyumi	id=g:2120310
Bukhta Tyulen'ye Ozero	id=g:2120311
Ostrov Tyuleniy	id=g:2120312
Tyugyuren	id=g:2120313
Tyubelyakh	id=g:2120314
Ozero Tytyl’	id=g:2120315
Tytkun	id=g:2120316
Tyskizy	id=g:2120317
Ozero Tyrkynaygytkhyn	id=g:2120318
Tyrkylen	id=g:2120319
Tyray	id=g:2120320
Tyray	id=g:2120321
Tynytyndzhak	id=g:2120322
Protoka Tynyal’kut	id=g:2120323
Tynupytku	id=g:2120324
Tynnakh	id=g:2120325
Tynkindya	id=g:2120326
Tynkili	id=g:2120327
Tynkili	id=g:2120328
Tynkili	id=g:2120329
Tynkili	id=g:2120330
Tyngynvayam	id=g:2120331
Tymtey	id=g:2120332
Gora Tumrok	id=g:2120333
Tymovskoye	id=g:2120334
Tymovskiy Rayon	id=g:2120335
Tymovskaya	id=g:2120336
Laguna Tymna	id=g:2120337
Laguna Tymlat	id=g:2120338
Tymlat	id=g:2120339
Tymlat	id=g:2120340
Gory Tymkyney	id=g:2120341
Gora Tymkyney	id=g:2120342
Tymkiveyem	id=g:2120343
Tymi	id=g:2120344
Tym’	id=g:2120345
Tyl’pyrgyn	id=g:2120346
Tyl’pyrgyn	id=g:2120347
Ozero Tyl’menskoye	id=g:2120348
Tylmay	id=g:2120349
Tylmay	id=g:2120350
Gora Tyllakh-Khaya	id=g:2120351
Gora Tyllakh-Khaya	id=g:2120352
Tyllakh	id=g:2120353
Tylkhoy	id=g:2120354
Tylkhoy	id=g:2120355
