Astakhnovo	id=g:7080483
Mololovo	id=g:7080484
Kudebka	id=g:7080485
Grikhnevo	id=g:7080486
Litvinovo	id=g:7080487
Derganovo	id=g:7080488
Ladygino	id=g:7080489
Vorontsovo	id=g:7080490
Kitovo	id=g:7080491
Golubevo	id=g:7080492
Manushkino	id=g:7080493
Gorodishche	id=g:7080494
Terekhovo	id=g:7080495
Pleteny	id=g:7080496
Bridanovo	id=g:7080497
Barashkovo	id=g:7080498
Mitelevka	id=g:7080499
Berëzavets	id=g:7080500
Kraynevo	id=g:7080501
Belousovo	id=g:7080502
Anchiki	id=g:7080503
Surtovo	id=g:7080504
Sil’niki	id=g:7080505
Viry	id=g:7080506
Bulygi	id=g:7080507
Artyukhi	id=g:7080508
Vdovishino	id=g:7080509
Arapy	id=g:7080510
Uvarovo	id=g:7080511
Zalogi	id=g:7080512
Kuznechkovo	id=g:7080513
Matyushi	id=g:7080514
Fronino	id=g:7080515
Yazykovo	id=g:7080516
Babentsy	id=g:7080517
Shil’skoye	id=g:7080518
Apanaskovo	id=g:7080519
Deyany	id=g:7080520
Shablavino	id=g:7080521
Shury	id=g:7080522
Rozhkovo	id=g:7080523
Nesterovo	id=g:7080524
Sur’ni	id=g:7080525
Nedoseki	id=g:7080526
Aristovo	id=g:7080527
Borovki	id=g:7080528
Pukhly	id=g:7080529
Malyshevo	id=g:7080530
Avdenkovo	id=g:7080531
Abakany	id=g:7080532
Pogorel’tsevo	id=g:7080533
Avseykovo	id=g:7080534
Shëlkovo	id=g:7080535
Klevy	id=g:7080536
Tabalenka	id=g:7080537
Babinino	id=g:7080538
Kresty	id=g:7080539
Ozero Kudo	id=g:7080540
Kislyaki	id=g:7080541
Golovanovo	id=g:7080542
Polekhnovo	id=g:7080543
Shibirevo	id=g:7080544
Sazonovo	id=g:7080545
Tarasovo	id=g:7080546
Ozero Chertino	id=g:7080547
Shcherby	id=g:7080548
Dymovo	id=g:7080549
Pleshivka	id=g:7080550
Mar’ino	id=g:7080551
Mishnëvo	id=g:7080552
Novosel’ye	id=g:7080553
Orlovo	id=g:7080554
Laptëvo	id=g:7080555
Miroyedy	id=g:7080556
Mashury	id=g:7080557
Sereno	id=g:7080558
Lipitsa	id=g:7080559
Ozero Krugloye	id=g:7080560
Veresenets	id=g:7080561
Mikheykovo	id=g:7080562
Tran’ki	id=g:7080563
Vas’kovo	id=g:7080564
Stolbovo	id=g:7080565
Myzniki	id=g:7080566
Bukino	id=g:7080567
Kobyl’ya Gora	id=g:7080568
Kotovo	id=g:7080569
Bal’ti	id=g:7080570
Ozero Nivno	id=g:7080571
Zhadro	id=g:7080572
Grechukhi	id=g:7080573
Shoporevo	id=g:7080574
Ruby	id=g:7080575
Myshen’kino	id=g:7080576
Martinovo	id=g:7080577
Kosilovo	id=g:7080578
Pokhomovo	id=g:7080579
Sergeykovo	id=g:7080580
Alino	id=g:7080581
Maksimtsevo	id=g:7080582
Ozero Kutso	id=g:7080583
Mostishchi	id=g:7080584
Mavrino	id=g:7080585
Ozero Krushinnoye	id=g:7080586
Khrenovo	id=g:7080587
Pyatnitsino	id=g:7080588
Kerosily	id=g:7080589
Strizhenets	id=g:7080590
Berdushki	id=g:7080591
Lamki	id=g:7080592
Rovnyy-Bor	id=g:7080593
Vel’itsa	id=g:7080594
