Wādī ‘Aţshān	id=g:107975
Wādī ash Shayyiţ al ‘Aţshān	id=g:107976
Ābār ‘Aţsah	id=g:107977
‘Atrabān	id=g:107978
‘Atqah	id=g:107979
‘Atmah	id=g:107980
Wādī al ‘Atk	id=g:107981
Qulbān Ḩafar al ‘Atsh	id=g:107982
Qārat ‘Atj	id=g:107983
Al ‘Aţyān	id=g:107984
Ra’s ‘Aţīyah	id=g:107985
Jabal Atiq Wurayk	id=g:107986
Wādī ‘Atīq	id=g:107987
Khubb ‘Atīq	id=g:107988
Khabrat ‘Atīq	id=g:107989
Ath Thuwayr	id=g:107990
Ath Thuqbah	id=g:107991
Ath Thumāmī	id=g:107992
Ath Thulaymā’	id=g:107993
Ath Thu‘aylibī	id=g:107994
Ath Thāyāt	id=g:107995
Ath Thāyāt	id=g:107996
Ath Thāyah	id=g:107997
Ath Tharthār	id=g:107998
Ath Thamīlah	id=g:107999
Ābār ath Thumāmah	id=g:108000
Ath Thamalah	id=g:108001
Ath Tha‘labīyah	id=g:108002
Jabal Athrub	id=g:108003
Jabal Athrabah	id=g:108004
Jabal ‘Athrab	id=g:108005
Jabal al Athqab	id=g:108006
Jabal Athlān	id=g:108008
Sha‘īb al Athlah	id=g:108009
Jabal Athlab	id=g:108010
Jabal al Athl	id=g:108011
Athīrayn	id=g:108012
Athfālah	id=g:108013
Sha‘īb Athab	id=g:108015
‘Aţf Wuzrān	id=g:108016
‘Aţf al Jabbārah	id=g:108018
Wādī ‘Aţf	id=g:108019
‘Aţf	id=g:108020
Bi’r al Aţbaq	id=g:108021
Khashm al ‘Uţāsh	id=g:108022
Atarish	id=g:108023
Wādī ‘Atanna	id=g:108024
Wādī ‘Atabin	id=g:108025
Jāl al Aswidah	id=g:108026
Jabal al Aswadayn	id=g:108027
Aswadan	id=g:108028
Wādī al Aswad	id=g:108029
Jabal al Aswad	id=g:108030
Ar Ra’s al Aswad	id=g:108031
Jabal al Aswad	id=g:108032
Aş Şuwayyah	id=g:108033
As Suwayriqīyah	id=g:108034
As Suwayjah	id=g:108035
‘Ayn aş Şuwaybah	id=g:108036
As Sūt	id=g:108037
Jabal as Suraydiḩ	id=g:108038
Aş Şūr al Janūbī	id=g:108039
As Sūq	id=g:108040
As Sūq	id=g:108041
Bi’r aş Şunaynā	id=g:108042
Aş Şummān	id=g:108043
Aş Şumm	id=g:108044
Aş Şumm	id=g:108045
Aş Şulbī	id=g:108046
Aş Şulb	id=g:108047
As Sulayyil	id=g:108048
As Sulayyil	id=g:108049
As Sulayyil	id=g:108050
As Sulaymī	id=g:108051
As Sulaymānīyah	id=g:108052
Aş Şulaybī	id=g:108053
As Sulaybah	id=g:108054
Aş Şulayb	id=g:108055
Aş Şulālī	id=g:108056
As Suka‘a	id=g:108057
As Suḩayrah	id=g:108058
Aş Şuḩayn	id=g:108059
Aş Şufuq	id=g:108060
As Sufh	id=g:108061
Aş Şufay	id=g:108062
Aş Şufayrī	id=g:108063
Aş Şufayrī	id=g:108064
As Sudd	id=g:108065
As Sudayr	id=g:108066
As Subaykhah	id=g:108067
Z̧ahrat ash Shīr	id=g:108068
As Slaylat	id=g:108069
As Sitārah	id=g:108070
As Sirr	id=g:108071
As Sirār	id=g:108072
Aş Şimākhah	id=g:108073
As Silf	id=g:108074
As Sikak	id=g:108075
As Sikak	id=g:108076
As Sihlīyah	id=g:108077
As Sihām	id=g:108078
Aş Şaḩāf	id=g:108079
Ābār aş Şidr	id=g:108080
As Sidr	id=g:108081
As Sibākh	id=g:108082
As Sayyārīyāt	id=g:108083
As Sayyāf	id=g:108084
As Sayl al Kabīr	id=g:108085
As Sayḩ	id=g:108086
Qalīb as Sā’ibīyah	id=g:108087
As Saybīyah	id=g:108088
As Sawţ	id=g:108089
Aş Şawrah	id=g:108090
Aş Şawr	id=g:108091
Aş Şawḩ	id=g:108092
Aş Sawfīyah	id=g:108093
As Sūdah	id=g:108094
As Sawādah	id=g:108095
As Sawādah	id=g:108096
