Jabal Maydān	id=g:395175
Burqān Mab‘ūj	id=g:395176
Bayḑā’ Nathīl	id=g:395177
Mazāri‘ Badā’i‘ al Luhayb	id=g:395178
Rufā’i‘ al Luhayb	id=g:395179
Mazāri‘ Buruqīyah	id=g:395180
Burqān al Uţrūḩah	id=g:395181
Fiyāḑ Ruḩayyah	id=g:395182
Ābār al Uţrūḩah	id=g:395183
Ruḩayyah	id=g:395184
Fayḑat ar Rudayyifah	id=g:395185
Ābār al ‘Iz̧āmīyāt	id=g:395186
Fayḑat Jizā’	id=g:395187
Sha‘īb al ‘Iz̧āmī	id=g:395188
Jibāl Umm Zarāyib	id=g:395189
Qā‘ al Mindassah	id=g:395190
Qā‘ al Jithyāthah	id=g:395191
Fayḑat as Surbātīyah	id=g:395192
Qā‘ at Tūmān	id=g:395193
Sha‘īb Mab‘ūj	id=g:395194
Sha‘īb al ‘Isharāt	id=g:395195
Al Mindassah	id=g:395196
Qā‘ al Khawīl	id=g:395197
Qā‘ al ‘Uqaylah	id=g:395198
Fayḑat ‘Uqaylat al Misām	id=g:395199
Abraq al Milayḩīyah	id=g:395200
Abraq al ‘Ammālah	id=g:395201
Abraq Hadī	id=g:395202
Fiyāḑ Murayḩāt	id=g:395203
Ḑil‘ān al Li‘ā‘ah	id=g:395204
Di‘b al Furaysāt	id=g:395205
Ḑulay‘ Abū Quwaybī‘ah	id=g:395206
Ash Sha‘afah	id=g:395207
Al Jilf	id=g:395208
Ḑulay‘ Mishrif	id=g:395209
Al Mindassah al Gharbīyah	id=g:395210
Qā‘ al Bughaythī	id=g:395211
Jibāl aş Şufrān	id=g:395212
Al Hurayr	id=g:395213
Al Khabrā’ aş Şamīd	id=g:395214
Jar‘ā’ al Qā‘id	id=g:395215
Al Khuţţah	id=g:395216
Sha‘īb aş Şulubīyah	id=g:395217
Al Khabrā’ al Kharibah	id=g:395218
Al ‘Iblah	id=g:395219
Sha‘īb al Miqtasim	id=g:395220
Sha‘īb Nahārah	id=g:395221
Jabal ar Ruḩayl	id=g:395222
Jabal al Buwayb	id=g:395223
Sha‘īb al Bughaythī	id=g:395224
Kuḩaylāt Di‘b al Ghazāl	id=g:395225
Fayḑat Jildīyah	id=g:395226
Al Qā‘id	id=g:395227
Qā‘ az̧ Z̧ifīrīyah	id=g:395228
Di‘b al Khabrā’	id=g:395229
Sha‘īb al Muḩaná	id=g:395230
Sha‘īb Abū ‘Ajārim	id=g:395231
Ḑulayyi‘ al Qirayyinatayn	id=g:395232
Sha‘īb Abū Kharīţ	id=g:395233
Fayḑat aţ Ţarfā’	id=g:395234
Ḑulay‘ ar Rukbān	id=g:395235
Ḑulay‘āt al Kiz̧aymah	id=g:395236
Qā‘ al ‘Izibah	id=g:395237
Sha‘īb Wutidah	id=g:395238
Sha‘īb al Ghuraybayn	id=g:395239
Bi’r al Juwayḑi‘	id=g:395240
Sha‘īb Şaffāq	id=g:395241
Sha‘īb Ruwayyah	id=g:395242
Wādī al ‘Ubaythirānah	id=g:395243
Al Khuraymī	id=g:395244
Sha‘īb al Dīmāsah	id=g:395245
Bi’r ar Rikhayşīyah	id=g:395246
Sha‘īb al Jifrah	id=g:395247
As Suwayfilah	id=g:395248
Şadyān	id=g:395249
Minshār	id=g:395250
Qā‘ Abū Jathyā	id=g:395251
Qārat Munayşifah	id=g:395252
An Nīşīyah	id=g:395253
Qā‘ al Khafaq	id=g:395254
Zibārat al Qubūr	id=g:395255
Abraq Nāzil	id=g:395256
Abraq Maţar	id=g:395257
Zibārat Naflā	id=g:395258
Abraq Abū Ruḑḑām	id=g:395259
Zibārat Umm Ḩarmalah	id=g:395260
Jidhībat Qamrā’ al Hashāyim	id=g:395261
Ābār Mibhil	id=g:395262
Zibārat al Jammāl	id=g:395263
Jabal Fayyāḑah	id=g:395264
Mazāri‘ Fayyāḑah	id=g:395265
Al Kuthaylāt	id=g:395266
Mazāri‘ Bayţ	id=g:395267
Nufūd al Finaydah	id=g:395268
Jidhībat Murḑī	id=g:395269
Qawnasat Majḩūd	id=g:395270
Sha‘īb Hirmūl	id=g:395271
Jidhībat al ‘Iqāb	id=g:395272
Jidhbān al ‘Ijil	id=g:395273
Mazāri‘ ar Rikhayşīyah	id=g:395274
Zibārat ash Shajarah	id=g:395275
Zibārat Mishrif	id=g:395276
Mibārī	id=g:395277
Jadīd	id=g:395278
Jibāl al Midārī	id=g:395279
Al Wusayţā’	id=g:395280
Ash Shahabā’	id=g:395281
Mazāri‘ Sharqāt	id=g:395282
Jabal ar Rubayyiḑ	id=g:395283
Aţ Ţuwāl	id=g:395284
Jabal al ‘Awjā’	id=g:395285
Jabal al Jumaymā’	id=g:395286
Mazāri‘ at Tūm	id=g:395287
Qā‘ al Kasr	id=g:395288
Munīfat al Qā‘id	id=g:395289
Sahlat al Qā‘id	id=g:395290
At Turbīyah	id=g:395291
Mazāri‘ Muşaybīḩāt	id=g:395292
Sha‘īb Mibārī	id=g:395293
Al Maḩalānī	id=g:395294
Ash Shabbākīyah	id=g:395295
Fayḑat Ni‘mah	id=g:395296
Jabal ‘Abd Minyah	id=g:395297
Jabal Umm Fatkhah	id=g:395298
Sha‘īb Mibḩil	id=g:395299
Sha‘īb Mudaysīs	id=g:395300
Mazāri‘ aţ Ţawqī	id=g:395301
Sha‘īb ‘Ulū al Bīyyiḑah	id=g:395302
Jabal Minyat as Samrā’	id=g:395304
Mazāri‘ al Qurayy	id=g:395305
Jabal Umm Majnūn	id=g:395306
Mazāri‘ an Nuhaydayn	id=g:395307
Jibāl aţ Ţuwāl	id=g:395308
Mazāri‘ ‘Addālāt	id=g:395309
Jibāl ad Dir‘	id=g:395310
Mazāri‘ al Juraysīyah	id=g:395311
‘Ayn Muşawda‘ah	id=g:395312
Mazāri‘ al ‘Addāl	id=g:395313
