Jabal Dilling	id=g:376449
Dilling	id=g:376450
Dilkwoi	id=g:376451
Khor Dilikwā	id=g:376452
Bir Dilkwa	id=g:376453
Bi’r Dilkāwah	id=g:376454
Khor Dilbiyā	id=g:376455
Jabal Dili	id=g:376456
Dilco	id=g:376457
Dilchiek	id=g:376458
Dilbati	id=g:376459
Wādī Dila	id=g:376460
Jabal Dila	id=g:376461
Hagar ed Dil	id=g:376462
Dikka South	id=g:376463
Dikala	id=g:376464
Dik	id=g:376465
Dik	id=g:376466
Wādī Di-it	id=g:376467
Khawr Di-it	id=g:376468
Jabal Di‘irabab	id=g:376469
Diheish	id=g:376470
Dih	id=g:376471
Digu	id=g:376472
Dignyo	id=g:376473
Bir Digeis	id=g:376474
Digaia	id=g:376475
Qawz Diferaya	id=g:376476
May‘at Diferaya	id=g:376477
Difa	id=g:376478
Khawr Diet	id=g:376479
Dier Abwogh	id=g:376480
Diera Buk	id=g:376481
Dier	id=g:376482
Dido	id=g:376483
Didinga Hills	id=g:376484
Didinga	id=g:376485
Didi	id=g:376486
Didan el Abu	id=g:376487
Dīdān ‘Abbās	id=g:376488
Khor Dibunga	id=g:376489
Dibs	id=g:376490
Dibs	id=g:376491
Gezirat El Dibiya	id=g:376492
Wādī Dibdibbo	id=g:376493
Dibdi	id=g:376494
Dibbub	id=g:376495
Jebel Dibab Hubis	id=g:376496
Dibaba	id=g:376497
Khor Diawi	id=g:376498
Diaturu	id=g:376499
Khawr Dianglari	id=g:376500
Khawr Diang	id=g:376501
Khawr Diamama	id=g:376502
Diam	id=g:376503
Diak	id=g:376504
Diak	id=g:376505
Diai	id=g:376506
Diab Ankurye	id=g:376507
Jabal Dhanab al Kalb	id=g:376508
Danab	id=g:376509
Dhahabah	id=g:376510
Wadi Deyamon	id=g:376511
Jibāl Dōt	id=g:376512
Khawr Dewaikwan	id=g:376513
Detau	id=g:376514
Detafoka	id=g:376515
Desere	id=g:376516
Khor Dērudēb	id=g:376517
Jabal Durdēb	id=g:376518
Mahattat Dērudēb	id=g:376519
Jabal Dersi	id=g:376520
Jabal Derru	id=g:376521
Deroti	id=g:376522
Wādī Derota	id=g:376523
Derota	id=g:376524
Jabal Deromuda	id=g:376525
Derjeil	id=g:376526
Jabal Derish	id=g:376527
Deringat	id=g:376528
Khor Adrīdī	id=g:376529
Derib Jungara	id=g:376530
Deribat	id=g:376531
Deriba Lakes	id=g:376532
Wādī Dereis	id=g:376533
Jabal ad Dereis	id=g:376534
Bir Dereis	id=g:376535
Dereia	id=g:376536
Wādī Derbikwan	id=g:376537
Wādī Derbeikan	id=g:376538
Wādī Derassa	id=g:376539
Derar el Soghair Island	id=g:376540
Derar el Kebir Island	id=g:376541
Khor Deraireb	id=g:376542
Khor Dērākwān	id=g:376543
Deraheib	id=g:376544
Dentoang	id=g:376545
Denjok	id=g:376546
Jebel Dening	id=g:376547
Qawz Dengwiri	id=g:376548
Deng Shol	id=g:376549
Deng Rial	id=g:376550
Dengori	id=g:376551
Deng Mattiang	id=g:376552
Jabal Dengel	id=g:376553
Dengdur	id=g:376554
Dengdur	id=g:376555
Wādī Dengalia	id=g:376556
Deng Akol	id=g:376557
Deng	id=g:376558
Denchuk	id=g:376559
Dena	id=g:376560
Demtemma	id=g:376561
Demoth	id=g:376562
Demiyaga	id=g:376563
Jabal Demik	id=g:376564
Khor Demiakwok	id=g:376565
Khor Demiaiet	id=g:376566
Dembo	id=g:376567
Jebel Dema	id=g:376568
Wādī Delusidar	id=g:376569
Jabal Dalū Sagīt	id=g:376570
Khor Dalāwtīt	id=g:376571
Delingei	id=g:376572
Delindia	id=g:376573
Delindi	id=g:376574
Delili	id=g:376575
Jabal Delguna	id=g:376576
Jabal Deleti	id=g:376577
Deldum	id=g:376578
Delbeng	id=g:376579
Khawr Delaweb	id=g:376580
Khawr Delauelai	id=g:376581
Jabal Delauelai	id=g:376582
Ābār Delaw	id=g:376583
Jabal Dalamen	id=g:376584
Delal	id=g:376585
Delal	id=g:376586
Khor Dilay	id=g:376587
Delai	id=g:376588
Deladilla	id=g:376589
Delaba	id=g:376590
Wādī Diker Wawa	id=g:376591
Dekkadai	id=g:376592
Deishwek	id=g:376593
Jibāl Dirūrbā To-Hadal	id=g:376594
Deirurba To-Adar	id=g:376595
Deiro	id=g:376596
Deirirro	id=g:376597
Wadi Deri	id=g:376598
Deingyat	id=g:376599
Deingo	id=g:376600
Jabal ad Deinat	id=g:376601
Deimbo	id=g:376602
Jabal Dēmāyēt	id=g:376603
Wadi Deim	id=g:376604
Deim	id=g:376605
Bir Deila	id=g:376606
Jebel Deiga	id=g:376607
Jabal Deidu	id=g:376609
Dei	id=g:376610
Jebel Dehm	id=g:376611
Deheir	id=g:376612
Dehbai Well	id=g:376613
Jebel ed Dehami	id=g:376614
Khor al Aqaliyyin	id=g:376615
Degheim Fargi	id=g:376616
Degermis Island	id=g:376617
Degeisab	id=g:376618
Degeilat	id=g:376619
Defoi	id=g:376620
Wādī Defeis	id=g:376621
Defeis	id=g:376622
Defadi	id=g:376623
Defadi	id=g:376624
Jabal De-eb	id=g:376625
Jebel Dedika	id=g:376626
Debwar	id=g:376627
Debus Weiki	id=g:376628
Debtong	id=g:376629
Debtod	id=g:376630
Jibāl Dabranqa	id=g:376631
Debr Amar	id=g:376632
