Tervaletto	id=g:602343
Temminkivaara	id=g:602344
Temmingijärvi	id=g:602345
Teletoisentunturi	id=g:602346
Telejokk	id=g:602347
Teiriniemi	id=g:602348
Teirijoki	id=g:602349
Teg	id=g:602350
Tavvaskaite	id=g:602351
Tavvaätno	id=g:602352
Tavvaätno	id=g:602353
Tavträskliden	id=g:602354
Tavlesjön	id=g:602355
Tavelsjön	id=g:602356
Tavelsjö	id=g:602357
Tavelån	id=g:602358
Taveb Rienakvare	id=g:602359
Tavastögern	id=g:602360
Tavaskaite	id=g:602361
Tavajokk	id=g:602362
Tavajaure	id=g:602363
Tavaätno	id=g:602364
Taukivaara	id=g:602365
Taukijärvi	id=g:602366
Tarträsket	id=g:602367
Tarsnäs	id=g:602368
Tarrakoski	id=g:602369
Tåresvare	id=g:602370
Tåresåive	id=g:602371
Tärendöälven	id=g:602372
Tärendö	id=g:602373
Tapmokjaure	id=g:602374
Tapmokberget	id=g:602375
Tapmokåive	id=g:602376
Tantavaara	id=g:602378
Tantamanni	id=g:602379
Tansjärv	id=g:602380
Tansjärv	id=g:602381
Tandfors	id=g:602382
Tåmträsket	id=g:602383
Tåmeträsk	id=g:602384
Tämenpuolenvuoma	id=g:602385
Tåmfjärden	id=g:602386
Tåmeälv	id=g:602387
Tåme	id=g:602388
Tålsmark	id=g:602389
Tallvik	id=g:602390
Tallträsklandet	id=g:602391
Tallträsket	id=g:602392
Tällträsket	id=g:602393
Tallträsket	id=g:602394
Tallträskbäcken	id=g:602395
Tallträsk	id=g:602396
Tällträsk	id=g:602397
Tälltjärnen	id=g:602398
Tallsjön	id=g:602399
Talljärv	id=g:602400
Talljärv	id=g:602401
Tallholmsviken	id=g:602402
Tallberg	id=g:602403
Tallberget	id=g:602404
Tallberget	id=g:602405
Tällberget	id=g:602406
Tallberget	id=g:602407
Tallberg	id=g:602408
Tällberg	id=g:602409
Tällåsen	id=g:602410
Tallån	id=g:602411
Tallån	id=g:602412
Tallå	id=g:602413
Talinen	id=g:602414
Tåktåsvare	id=g:602415
Takajärvi	id=g:602416
Taipaleensuu	id=g:602417
Taipale	id=g:602418
Tahkovuoma	id=g:602419
Tahkojärvi	id=g:602420
Täfteträsk	id=g:602421
Täftefjärden	id=g:602422
Täftebölesjön	id=g:602423
Täftebole	id=g:602424
Täfteån	id=g:602425
Täfteå	id=g:602426
Tadtjapahta	id=g:602427
Tapmokvare	id=g:602428
Tabmokjegge	id=g:602429
