Nisberget	id=g:2689683
Niripeive	id=g:2689684
Nirak	id=g:2689685
Nipporiskirka	id=g:2689686
Nipliden	id=g:2689687
Nipfjället	id=g:2689688
Nipetjåkkå	id=g:2689689
Nipenålke	id=g:2689690
Nipen	id=g:2689691
Nipen	id=g:2689692
Nipberget	id=g:2689693
Nipberget	id=g:2689694
Nipåsen	id=g:2689695
Nimtekjaure	id=g:2689696
Nimmern	id=g:2689697
Nimijänkkä	id=g:2689698
Nilstorp	id=g:2689699
Nilstorp	id=g:2689700
Nilslarsberg	id=g:2689701
Nils Jonsavattnet	id=g:2689702
Nilshallen	id=g:2689703
Nilsessjön	id=g:2689704
Nilsbyn	id=g:2689705
Nilsby	id=g:2689706
Nilsbo	id=g:2689707
Nilsbo	id=g:2689708
Nilsbäcken	id=g:2689709
Nilsbacka	id=g:2689710
Niknoret	id=g:2689711
Niklastorpgölen	id=g:2689712
Niklasdamm	id=g:2689713
Nikkaluokta Kapell	id=g:2689714
Nikkaluokta	id=g:2689715
Nietajaure	id=g:2689716
Nierijaure	id=g:2689717
Nieras	id=g:2689718
Niepen	id=g:2689719
Nidingstorp	id=g:2689720
Nidingen	id=g:2689721
Nickusberg	id=g:2689722
Nicktuna	id=g:2689723
Nicktjärnsberget	id=g:2689724
Nickelsbo	id=g:2689725
Nickebo	id=g:2689726
Nickebo	id=g:2689727
Nickarvet	id=g:2689728
Nickårsjön	id=g:2689729
Nickåra	id=g:2689730
Nickalycke	id=g:2689731
Nibrunnberg	id=g:2689732
Nibbleåsen	id=g:2689733
Nibble	id=g:2689734
Nibble	id=g:2689735
Knivsta	id=g:2689736
Nibble	id=g:2689737
Nibble	id=g:2689738
Nibbarsbo	id=g:2689739
Niarne	id=g:2689740
Niannoret	id=g:2689741
Niannäset	id=g:2689742
Nianforsån	id=g:2689743
Nianfors	id=g:2689744
Nianfors	id=g:2689745
Nialletjåkkå	id=g:2689746
Niallajaure	id=g:2689747
Niakak	id=g:2689748
Nganässjön	id=g:2689749
Nevishög	id=g:2689750
Neva	id=g:2689752
Nesjöstötarna	id=g:2689753
Nesjön	id=g:2689754
Nerskjulen	id=g:2689755
Nerholm	id=g:2689756
Nerhammaren	id=g:2689757
Nergården	id=g:2689758
Neregården	id=g:2689759
Nereby	id=g:2689760
Nerbjärken	id=g:2689761
Nänsjö	id=g:2689762
Nenninge	id=g:2689763
Nennesmo	id=g:2689764
Nennesholm	id=g:2689765
Nelhammar	id=g:2689766
Nejsjön	id=g:2689767
Neitakåbbo	id=g:2689768
Näitatjåkkå	id=g:2689769
Neglingeviken	id=g:2689770
Neglinge	id=g:2689771
Negelstena	id=g:2689772
Nedre Virken	id=g:2689773
Nedsurt	id=g:2689774
Nedre Yttersjö	id=g:2689775
Nedre Vuoijaure	id=g:2689776
Nedre Viksjön	id=g:2689777
Nedre Vättern	id=g:2689778
Nedre Västerstad	id=g:2689779
Nedre Värnäs	id=g:2689780
Nedre Varggården	id=g:2689781
Nedre Vapstsjön	id=g:2689782
Nedre Vanbo	id=g:2689783
Nedre Vallsan	id=g:2689784
Nedre Upperudshöljen	id=g:2689785
Nedre Ullerud	id=g:2689786
Nedre Uggelfors	id=g:2689787
Nedre Tvängen	id=g:2689788
Nedre Trollforsen	id=g:2689789
Nedre Trollforsen	id=g:2689790
Nedre Trehörningen	id=g:2689791
Nedre Törnstjärn	id=g:2689792
Nedre Tappen	id=g:2689793
Nedre Tandberget	id=g:2689794
Nedre Tällbergssjön	id=g:2689795
Nedre Svarttjärn	id=g:2689796
Nedre Sundet	id=g:2689797
Nedre Stugsjön	id=g:2689798
Nedre Stubbersbo	id=g:2689799
Nedre Strand	id=g:2689800
Nedre Storesjö	id=g:2689801
Nedre Stensjön	id=g:2689802
Nedre Stavre	id=g:2689803
Nedre Skog	id=g:2689804
Nedre Skäftruna	id=g:2689805
Nedre Segerstad	id=g:2689806
Nedre Saxnäs	id=g:2689807
Nedre Savsjön	id=g:2689808
Nedre Särvsjön	id=g:2689809
Sårjusjav”ri	id=g:2689810
