Mofraa	id=g:166849
Wādī al Mizrāb	id=g:166850
‘Ayn Mizrāb	id=g:166851
Miznâz	id=g:166852
Mizghānā	id=g:166853
Miz̧allat Rasm Kassār	id=g:166854
Wādī al Miyāh	id=g:166855
Miţyāḩah	id=g:166856
Miţyāḩah	id=g:166857
Mitrās	id=g:166858
Mitrās	id=g:166859
Bi’r Misrad al ‘Umayrah	id=g:166860
Misqān	id=g:166861
Wādī Miskīnah	id=g:166862
Tall Mishrāqah	id=g:166863
Wādī al Mishq	id=g:166864
Thanīyat al Mishq	id=g:166865
Mishmishān	id=g:166866
Mishkū	id=g:166867
Jabal Mishbak Samrī	id=g:166868
Mişbāyā	id=g:166869
Mīrzā Shahīd	id=g:166870
Mīrwān	id=g:166871
Rujm Mirsāl	id=g:166872
Mīr Khān	id=g:166873
Mīrkān	id=g:166874
Mīr Isḩāq	id=g:166875
Mirdāsh	id=g:166876
Aş Şuḩbah	id=g:166877
Mir‘āyā	id=g:166878
Mīr al Ḩuşayn	id=g:166879
Wādī al Mīr	id=g:166880
Tall Miqdād aş Şaghīr	id=g:166881
Tall Miqdād	id=g:166882
Arḑ al Minyās	id=g:166884
Jabal Minshār	id=g:166885
Bi’r Minqār	id=g:166886
Jabal Minkhār ash Sharqī	id=g:166887
Jabal Minkhār al Gharbī	id=g:166888
Minīn	id=g:166889
Minḩāl as Sallāl	id=g:166890
Min‘āyā	id=g:166891
Mīnās	id=g:166892
Minaq	id=g:166893
Milyū	id=g:166894
Mīl Wīrān	id=g:166895
Millīs	id=g:166896
Millī	id=g:166897
Milkīyah	id=g:166898
Arḑ al Milk	id=g:166899
Tulūl al Milḩ	id=g:166900
Thanīyat al Milḩ	id=g:166901
Miland	id=g:166902
Milāḩ al ‘Uyūn	id=g:166903
Qārat al Milāḩ	id=g:166904
Ḑahr al Mīl	id=g:166905
Mīl	id=g:166906
Miksār	id=g:166907
Khirbat Miknāsī	id=g:166908
Bi’r Mikhār	id=g:166909
Tall al Miḩwāz	id=g:166910
Miḩassah	id=g:166911
Miftāḩ al Ḩajar	id=g:166912
Midraḩ	id=g:166913
Tall Middān	id=g:166914
Mī‘ār al Mchadd	id=g:166915
Wādī Mhesroûn	id=g:166916
Wādī al Mezrib	id=g:166917
Bi’r Mezrâne	id=g:166918
Mezqaret aţ Ţayr	id=g:166919
Tall Mesyâh	id=g:166920
Wādī al Mesdyé	id=g:166921
Wādī al Merhdane	id=g:166922
Wādī Méqar	id=g:166923
Wādī Mekmane	id=g:166924
Mekbeïss	id=g:166925
Mbayyā	id=g:166927
Mazzīn	id=g:166928
Mazyūnat al Ḩumr	id=g:166929
Māzūghlī	id=g:166930
Wādī al Mazroûi	id=g:166931
Mazra‘at Zabdīn	id=g:166932
Mazra‘at Şūfī	id=g:166933
Mazra‘at Shāhīn	id=g:166934
Mazra‘at Qunayţirah	id=g:166935
Mazra‘at Qafwah	id=g:166936
Mazra‘at Omaro	id=g:166937
Mazra‘at Nāb	id=g:166938
Mazra‘at Muslim	id=g:166939
Mazra‘at Muḩammad Aḩmad	id=g:166940
Mazra‘at Maḩmūd	id=g:166941
Mazra‘at Kanaf	id=g:166942
Mazra‘at Jabal Sīrī	id=g:166943
Mazra‘at Ḩarrān	id=g:166944
Mazra‘at Dāwūd	id=g:166945
Mazra‘at Bayt Jinn	id=g:166946
Mazra‘at Barakhtā	id=g:166947
Mazra‘at Bālah	id=g:166948
Mazra‘at as Sāmiyah	id=g:166949
Mazra‘at aş Şaghīr	id=g:166950
Mazra‘at ash Shuyūkh	id=g:166951
Mazra‘at ash Shamālī	id=g:166952
Mazra‘at ar Ruwayhib	id=g:166953
Mazra‘at ar Ru’ays	id=g:166954
Mazra‘at an Nufūr	id=g:166955
Mazra‘at ‘Āmūd	id=g:166956
Mazra‘at al Wusţá	id=g:166957
Mazra‘at al ‘Uyūn	id=g:166958
Mazra‘at al Mallū‘ā	id=g:166959
Mazra‘at al Mafajj	id=g:166960
Mazra‘at al Ḩanafīyah	id=g:166961
Mazra‘at al Ḩadīdah	id=g:166962
Mazra‘at al ‘Alā’	id=g:166963
Mazra‘at al Afandī	id=g:166964
Mazra‘at ad Danājī	id=g:166965
Mazra‘at Abū Jabbār	id=g:166966
Mazra‘at Abū Dālī	id=g:166967
Wādī al Mazra‘ah	id=g:166968
Wādī Mazra‘ah	id=g:166969
Mazra‘ah	id=g:166970
Mazra‘ah	id=g:166971
Mazra‘ah	id=g:166972
Mazqaft	id=g:166973
Maz̧lūm	id=g:166974
Wādī Mazlūf	id=g:166975
Wādī al Mazīn	id=g:166976
Māzijī	id=g:166977
Mazbūrah	id=g:166978
Mazban al Baqar	id=g:166979
Zaghbār	id=g:166980
Mazār Şulayb	id=g:166981
Jabal Mazār Muḩammad Ibn ‘Alī	id=g:166982
Mazār al Qaţrīyah	id=g:166983
Khirbat al Mazār	id=g:166984
Jabal Mazār	id=g:166985
Maz‘alah	id=g:166986
Wādī al Ma‘zah	id=g:166987
Tall Ma‘zah	id=g:166988
Khān al Ma‘zah	id=g:166989
Jabal Ma‘zah	id=g:166990
Ma‘zah	id=g:166991
Tall al Ma‘z	id=g:166992
Tall Ma‘z	id=g:166993
Tall Ma‘z	id=g:166994
Jabal Ma‘z	id=g:166995
Ma‘z	id=g:166996
Mayzah	id=g:166997
Wādī al Mayyālāt	id=g:166998
Tulūl al Mayyālāt	id=g:166999
Bi’r Ma‘yūf	id=g:167000
Khirbat Maysarī	id=g:167001
Maysarāt	id=g:167002
Tall Maysarah	id=g:167003
Khirbat al Maysarah	id=g:167004
Jabal Maysarah	id=g:167005
Arḑ al Maysarah	id=g:167006
Maysarah	id=g:167007
