Karabekaul’skiy Rayon	id=g:1219147
Karabekaul	id=g:1219148
Kolodets Kara-Bek	id=g:1219149
Kolodets Kara-Beik	id=g:1219150
Stantsiya Karabata	id=g:1219151
Kara-Bashlyk	id=g:1219152
Kolodets Kara-Baba	id=g:1219153
Karaba-Akhun	id=g:1219154
Kara-Agach	id=g:1219155
Kolodets Kara-Adzhi	id=g:1219156
Kolodets Kapandzhi	id=g:1219157
Dozhdevaya Yama Kapakly	id=g:1219158
Kapakly	id=g:1219159
Kolodets Kantar-Kui	id=g:1219160
Kanshar	id=g:1219161
Ovrag Kan-Say	id=g:1219162
Kolodets Kanganly	id=g:1219163
Kolodets Kandzhi-Bek	id=g:1219164
Kolodets Kandymly	id=g:1219165
Peski Kand-Gurumdy	id=g:1219166
Ozero Kandak	id=g:1219167
Kandak	id=g:1219168
Kolodets Kamyshlyk	id=g:1219169
Dozhdevaya Yama Kamyshly	id=g:1219170
Dozhdevaya Yama Kamysh-Akly	id=g:1219171
Kolodets Kamper-Ul’dy	id=g:1219172
Kolodets Kamakly-Adzhi	id=g:1219173
Kolodets Komakly	id=g:1219174
Kolodets Kalyn-Kuyu	id=g:1219175
Kolodets Kalyamdar	id=g:1219176
Kalyam	id=g:1219177
Kolodets Kalp	id=g:1219178
Kolodets Kala-Uruy	id=g:1219179
Kolodets Kalanar-Kuyu	id=g:1219180
Kolodets Kalanar	id=g:1219181
Stantsiya Kala-I-Mor	id=g:1219182
Galaýmor	id=g:1219183
Kolodets Kaklykli	id=g:1219184
Kolodets Kak-Guyar	id=g:1219185
Dozhdevaya Yama Kairin-Kak	id=g:1219186
Kolodets Kaib	id=g:1219187
Guýy Kagyzlysüýji	id=g:1219188
Kolodets Kagyzlyadzhi	id=g:1219189
Gora Kadzhagar-Bata	id=g:1219190
Kolodets Kadyrgatar	id=g:1219191
Dozhdevaya Yama Kader-Kak	id=g:1219192
Rodnik Kadanakh-Cheshme	id=g:1219193
Kolodets Kaburdy	id=g:1219194
Dozhdevaya Yama Kabasakhal-Kak	id=g:1219195
Kabasakal	id=g:1219196
Kolodets Kaba-Kandym	id=g:1219197
Kolodets Kabadzha	id=g:1219198
Kolodets Kaanchi	id=g:1219199
Kolodets Kaa-Ka	id=g:1219200
Itbash	id=g:1219201
Ispas	id=g:1219202
Kolodets Ismail	id=g:1219203
Islim-Cheshme	id=g:1219204
Iskra	id=g:1219205
Kolodets Iski	id=g:1219206
Vodokhranilishche Ishkak	id=g:1219207
Kolodets Ishan	id=g:1219208
Kolodets Ishak-Adzhi	id=g:1219209
Isfan-Tuda	id=g:1219210
Kolodets Isen-Nur-Ata	id=g:1219211
Mogila Isen-Khodzha-Baba	id=g:1219212
Kolodets Isankur	id=g:1219213
Isamli	id=g:1219214
Kolodets Isa-Bay	id=g:1219215
Kolodets Iris-Aksakal	id=g:1219216
Iolotanskoye Vodokhranilishche	id=g:1219217
Iolotanskiy Rayon	id=g:1219218
Internatsional	id=g:1219219
Internatsional	id=g:1219220
Internatsional	id=g:1219221
Internatsional	id=g:1219222
Inkylap	id=g:1219223
Inkylap	id=g:1219224
Inkylap	id=g:1219225
Ushchel’ye Inagly-Dara	id=g:1219226
Kolodets Inachi	id=g:1219227
Imeni Zhdanova	id=g:1219228
Imeni Zhdanova	id=g:1219229
Imeni Zhdanova	id=g:1219230
Imeni Zhdanova	id=g:1219231
Imeni Voroshilova	id=g:1219232
Imeni Voroshilova	id=g:1219233
Imeni Voroshilova	id=g:1219234
Imeni Voroshilova	id=g:1219235
Imeni Voroshilova	id=g:1219236
Imeni Voroshilova	id=g:1219237
Imeni Voroshilova	id=g:1219238
Imeni Voroshilova	id=g:1219239
Imeni Voroshilova	id=g:1219240
Imeni Voroshilova	id=g:1219241
Imeni Tel’mana	id=g:1219242
Imeni Stalina	id=g:1219243
Imeni Stalina	id=g:1219244
Imeni Stalina	id=g:1219245
Imeni Stalina	id=g:1219246
Imeni Stalina	id=g:1219247
Imeni Stalina	id=g:1219248
Imeni Stalina	id=g:1219249
Imeni Stalina	id=g:1219250
Imeni Stalina	id=g:1219251
Imeni Stalina	id=g:1219252
Imeni Stalina	id=g:1219253
Imeni Stalina	id=g:1219254
Imeni Stalina	id=g:1219255
Imeni Stalina	id=g:1219256
Imeni Stalina	id=g:1219257
Imeni Stalina	id=g:1219258
Imeni Stakhanova	id=g:1219259
Imeni Shvernika	id=g:1219260
Imeni Revolyutsii	id=g:1219261
Imeni Poltoratskogo	id=g:1219262
Imeni Ordzhonikidze	id=g:1219263
Imeni Molotova	id=g:1219264
Imeni Molotova	id=g:1219265
Imeni Molotova	id=g:1219266
Imeni Molotova	id=g:1219267
Imeni Molotova	id=g:1219268
Imeni Molotova	id=g:1219269
Imeni Molotova	id=g:1219270
Imeni Molotova	id=g:1219271
Imeni Molotova	id=g:1219272
Imeni Molotova	id=g:1219273
Imeni Molotova	id=g:1219274
Imeni Malenkova	id=g:1219275
Imeni Malenkova	id=g:1219276
Imeni Malenkova	id=g:1219277
Imeni Malenkova	id=g:1219278
Imeni Malenkova	id=g:1219279
Kolkhoz Imeni Lenina	id=g:1219280
Imeni Lenina	id=g:1219281
Imeni Lenina	id=g:1219282
Imeni Lenina	id=g:1219283
Imeni Lenina	id=g:1219284
Imeni Lenina	id=g:1219285
Imeni Lenina	id=g:1219286
Imeni Lenina	id=g:1219287
Imeni Lenina	id=g:1219288
Imeni Lenina	id=g:1219289
Imeni Lenina	id=g:1219290
Imeni Lenina	id=g:1219291
Imeni Lenina	id=g:1219292
Imeni Lenina	id=g:1219293
Imeni Lenina	id=g:1219294
Imeni Kuybysheva	id=g:1219295
Imeni Kuybysheva	id=g:1219296
Imeni Kuybysheva	id=g:1219297
Imeni Kuybysheva	id=g:1219298
Imeni Komsomola	id=g:1219299
Kolkhoz Imeni Kirova	id=g:1219300
Imeni Kirova	id=g:1219301
Imeni Kirova	id=g:1219302
Imeni Kirova	id=g:1219303
Imeni Kirova	id=g:1219304
Imeni Kirova	id=g:1219305
Imeni Kirova	id=g:1219306
Imeni Karla Marksa	id=g:1219307
Imeni Karla Marksa	id=g:1219308
Imeni Karla Marksa	id=g:1219309
Imeni Karla Marksa	id=g:1219310
Imeni Karla Marksa	id=g:1219311
Imeni Karla Marksa	id=g:1219312
Imeni Karla Marksa	id=g:1219313
Imeni Kalinina	id=g:1219314
Imeni Kalinina	id=g:1219315
Imeni Kalinina	id=g:1219316
Imeni Kalinina	id=g:1219317
Imeni Kalinina	id=g:1219318
Imeni Kalinina	id=g:1219319
Imeni Kalinina	id=g:1219320
Imeni Kalinina	id=g:1219321
Imeni Kalinina	id=g:1219322
Imeni Kalinina	id=g:1219323
Imeni Kalinina	id=g:1219324
Imeni Kalinina	id=g:1219325
Imeni Kaganovicha	id=g:1219326
Imeni Kaganovicha	id=g:1219327
Imeni Kaganovicha	id=g:1219328
Imeni Kaganovicha	id=g:1219329
Imeni Il’icha	id=g:1219330
Imeni Gor’kogo	id=g:1219331
Imeni Gorel’de	id=g:1219332
Imeni Gorel’de	id=g:1219333
Imeni Engel’sa	id=g:1219334
Kolkhoz Imeni Engel’sa	id=g:1219335
Imeni Dzerzhinskogo	id=g:1219336
Suhty	id=g:1219337
Imeni Chubina	id=g:1219338
Imeni Chkalova	id=g:1219339
Imeni Chapayeva	id=g:1219340
Imeni Budënnogo	id=g:1219341
Imeni Andreyeva	id=g:1219342
Imeni Andreyeva	id=g:1219343
Imeni Andreyeva	id=g:1219344
Imeni Andreyeva	id=g:1219345
Gora Imam-Sharif	id=g:1219346
Kolodets Imam-Nazar	id=g:1219347
Imambaba	id=g:1219348
Ilyari	id=g:1219349
Kolodets Ilyandy	id=g:1219350
Ilyaman-Kak	id=g:1219351
Ilyach	id=g:1219352
Il’mak	id=g:1219353
El’jik	id=g:1219354
Kolodets Il’gi-Milik	id=g:1219355
Kolodets Il’gemli	id=g:1219356
Kolodets Il’gemli	id=g:1219357
Dozhdevaya Yama Il’chi-Kak	id=g:1219358
Il’chik	id=g:1219359
Kolodets Ilanly	id=g:1219360
