Mirenda	id=g:422478
Butemba	id=g:422479
Butemba	id=g:422480
Kampezi	id=g:422481
Butobwe	id=g:422482
Rubira	id=g:422483
Cabumba	id=g:422484
Kirinzi	id=g:422485
Gitanga	id=g:422486
Gikobe	id=g:422487
Nyakaruruma	id=g:422488
Muyange	id=g:422489
Kiranzura	id=g:422490
Rutoke	id=g:422491
Mihande	id=g:422492
Rugenegene	id=g:422493
Nyakabingo	id=g:422494
Nyabisazi	id=g:422495
Nyankaya	id=g:422496
Misarara	id=g:422497
Tawe	id=g:422498
Muhotora	id=g:422499
Kangozi	id=g:422500
Nyarunazi	id=g:422501
Buhogo	id=g:422502
Kizama	id=g:422503
Gihanga	id=g:422504
Ntega	id=g:422505
Butezi	id=g:422506
Nyarukangaga	id=g:422507
Kimubanya	id=g:422508
Buriza	id=g:422509
Nyakuguma	id=g:422510
Nyamure	id=g:422511
Ruvyironza	id=g:422512
Gikwazo	id=g:422513
Musama	id=g:422514
Gahama	id=g:422515
Mihama	id=g:422516
Ruvumu	id=g:422517
Nyakagozi	id=g:422518
Mbote	id=g:422519
Mahwa	id=g:422520
Gasenyi	id=g:422521
Mungohoka	id=g:422522
Bigamba	id=g:422523
Karambi	id=g:422524
Munyegeri	id=g:422525
Muyogoro	id=g:422526
Kigomero	id=g:422527
Gikwazo	id=g:422528
Nyakabuye	id=g:422529
Karimbi	id=g:422530
Rusenge	id=g:422531
Rweru	id=g:422532
Nkuruba	id=g:422533
Rushoka	id=g:422534
Nyanzogera	id=g:422535
Mahwa	id=g:422536
Mahwa	id=g:422537
Gaheke	id=g:422538
Murara	id=g:422539
Karegeza	id=g:422540
Centre zootechnique Mahwa	id=g:422541
Makoto	id=g:422542
Mvungerumwe	id=g:422543
Kabasa	id=g:422544
Rango	id=g:422545
Nahufunzwe	id=g:422546
Ndago	id=g:422547
Nyanjabaga	id=g:422548
Nyamuswaga	id=g:422549
Ciyubake	id=g:422550
Kagozi	id=g:422551
Kivubo	id=g:422552
Bugunga	id=g:422553
Kagoti	id=g:422554
Condi	id=g:422555
Kinyanza	id=g:422556
Kivuruga	id=g:422557
Nyabibugu	id=g:422558
Kanyuzwa	id=g:422559
Nyabagase	id=g:422560
Gasange	id=g:422561
Sanzu	id=g:422562
Gihanga	id=g:422563
Gatare	id=g:422564
Gatongati	id=g:422565
Munyinya	id=g:422566
Bera	id=g:422567
Gatwenge	id=g:422568
Rwesero	id=g:422569
Dangara	id=g:422570
Kinganda	id=g:422571
Sorwe	id=g:422572
Rufunzwe	id=g:422573
Nyaminwe	id=g:422574
Nyamabenga	id=g:422575
Rukorokoro	id=g:422576
Nyamarebe	id=g:422577
Bumba	id=g:422578
Kigira	id=g:422579
Nyakabingo	id=g:422580
Nyarubimba	id=g:422581
Karwa	id=g:422582
Kinuka	id=g:422583
Rutanganika	id=g:422584
Nyakazu	id=g:422585
Kabingo	id=g:422586
Kigogo	id=g:422587
Cinyundo	id=g:422588
Musanzaza	id=g:422589
Ntobo	id=g:422590
Ntuku	id=g:422591
Kayokwe	id=g:422592
Nyagatovu	id=g:422593
Ruvuye	id=g:422594
Mugi	id=g:422595
Nyankende	id=g:422596
Mugengo	id=g:422597
Gisenyi	id=g:422598
Ngendo	id=g:422599
Ngoma	id=g:422600
Source chaude Nyakabingo	id=g:422601
Kabazo	id=g:422602
Nyamunyenga	id=g:422603
Gishiha	id=g:422604
Nyabisoma	id=g:422605
Butezi	id=g:422606
Burambi	id=g:422607
Mashuha	id=g:422608
Kagogo	id=g:422609
Nyesaro	id=g:422610
Museno	id=g:422611
Ruvyironza	id=g:422612
Nyanzigo	id=g:422613
Gendo	id=g:422614
Gakwande	id=g:422615
Rwamabuye	id=g:422616
Bartye	id=g:422617
Nyarwaga	id=g:422618
Nyaganza	id=g:422619
Nyakibaka	id=g:422620
Kirabuke	id=g:422621
Kinyeregeti	id=g:422622
Ruvumu	id=g:422623
Rubande	id=g:422624
Gatwaro	id=g:422625
Muheweza	id=g:422626
Jungwe	id=g:422627
Sabuvuge	id=g:422628
Gasenyi	id=g:422629
Nyankware	id=g:422630
Butambara	id=g:422631
Barege	id=g:422632
Museremu	id=g:422633
Nyagazangu	id=g:422634
Ndogoro	id=g:422635
Gitanga	id=g:422636
Gasarara	id=g:422637
Buraruka	id=g:422638
Kazeba	id=g:422639
Nyakabozi	id=g:422640
Gitongo	id=g:422641
Sources chaude Siguvyaye	id=g:422642
Bureau de commune Bukemba	id=g:422643
Bukemba	id=g:422644
