Saint-Barthélemy	id=g:3578477
Roches Rouges	id=g:3578499
Anse Reine	id=g:3578547
Quartier du Roi	id=g:3578555
Quartier de Lorient	id=g:3578558
Anse du Public	id=g:3578561
Public	id=g:3578562
Île de la Pointe	id=g:3578600
Anse de Petit Jean	id=g:3578645
Anse du Petit Galet	id=g:3578671
Petit Cul de Sac	id=g:3578678
Petit Cul-de-Sac	id=g:3578679
Île Pelé	id=g:3578698
Anse Paschal	id=g:3578710
Le Pain de Sucre	id=g:3578722
Canal de l'Ouest	id=g:3578726
Fort Oscar	id=g:3578729
Pointe Nègre	id=g:3578755
Anse de Marigot	id=g:3578849
Marigot	id=g:3578852
Morne Lurin	id=g:3578902
Lurin	id=g:3578903
Pointe Lorient	id=g:3578910
Anse de Lorient	id=g:3578911
Pointe Lézarde	id=g:3578921
Les Saintes	id=g:3578933
Les Gros Îlets	id=g:3578947
Les Grenadins	id=g:3578948
Les Baleines	id=g:3578956
Le Gouverneur	id=g:3578974
Le Carénage	id=g:3578986
La Tortue	id=g:3578992
La Saline	id=g:3579000
La Petite Anse	id=g:3579014
La Baleine	id=g:3579070
Fort Karl	id=g:3579073
Fort Gustavia	id=g:3579131
Gustavia	id=g:3579132
Anse de Gros Jean	id=g:3579166
Morne de Grand Fond	id=g:3579196
Anse du Grand Fond	id=g:3579197
Grand Fond	id=g:3579199
Anse de Grande Saline	id=g:3579209
Grande Saline	id=g:3579210
Grande Pointe	id=g:3579215
Anse du Grand Cul-de-Sac	id=g:3579242
Grand Cul-de-Sac	id=g:3579243
Pointe du Gouvernour	id=g:3579260
Anse du Gouverneur	id=g:3579261
Anse Gascon	id=g:3579285
Anse à Galets	id=g:3579296
Île Frégate	id=g:3579312
Fourmis	id=g:3579317
Île Fourchue	id=g:3579318
Anse des Flamands	id=g:3579340
Pointe à Étages	id=g:3579366
Anse Corossol	id=g:3579469
Corossol	id=g:3579470
Pointe à Colombier	id=g:3579482
Anse du Colombier	id=g:3579483
Colombier	id=g:3579485
Île Coco	id=g:3579505
Île Chevreau	id=g:3579520
Anse de Chauvette	id=g:3579528
Anse des Cayes	id=g:3579551
Île le Boulanger	id=g:3579636
Roche le Bœuf	id=g:3579677
Anse des Flamands	id=g:3579785
Anse des Cayes	id=g:3579787
Pointe du Précipice	id=g:3740072
Pointe à Corossol	id=g:3740073
L'Âne Rouge	id=g:3740074
Tropical Hotel	id=g:6482639
Manapany Cottage	id=g:6497040
Christopher Hotel	id=g:6497316
Hotel Le Christopher	id=g:6512023
Residence St Barth	id=g:6513963
Saint Barth S Beach Hotel	id=g:6516727
Le Sereno	id=g:6524979
Eden Rock	id=g:6532592
Le Tom Beach Hotel	id=g:6532604
Pointe Milou	id=g:6619267
Zeta Island	id=g:3572952
Wreck Hill	id=g:3572953
Wreck Bay	id=g:3572954
Five Star Island	id=g:3572955
William’s Point	id=g:3572956
Whitney’s Bay	id=g:3572957
White’s Island	id=g:3572958
White Point	id=g:3572959
White’s Island	id=g:3572960
White Flats	id=g:3572961
Whale Island	id=g:3572962
Whalebone Bay	id=g:3572963
West Whale Bay	id=g:3572964
Westcott Island	id=g:3572965
Well Bay	id=g:3572966
Watlington Point	id=g:3572967
Watford Island	id=g:3572968
Watford Bridge	id=g:3572969
Watch Hill	id=g:3572970
Warwick Pond	id=g:3572971
Warwick Parish	id=g:3572972
Warwick Long Bay	id=g:3572973
Warwick Camp	id=g:3572974
Walsingham Caves	id=g:3572975
Walsingham Bay	id=g:3572976
Waller’s Point	id=g:3572977
Fort Victoria	id=g:3572978
Tynes Bay	id=g:3572979
Two Way Shoal	id=g:3572980
Two Rock Passage	id=g:3572981
Turtle Hill	id=g:3572982
Turtle Bay	id=g:3572983
Turn-Up Breaker	id=g:3572984
Tudor’s Hill	id=g:3572985
Tudor’s Bay	id=g:3572986
Tucker’s Town Bay	id=g:3572987
Tucker’s Town	id=g:3572988
Tucker’s Bay	id=g:3572989
Trunk Island	id=g:3572990
Trott’s Pond	id=g:3572991
Trott’s Bay	id=g:3572992
Trimingham Hill	id=g:3572993
Town Hill	id=g:3572994
Town Cut	id=g:3572995
Tom Wood’s Bay	id=g:3572996
Todd’s Hill	id=g:3572997
Tobacco Bay	id=g:3572998
Timlin’s Narrows	id=g:3572999
The Rocky Partners	id=g:3573000
Flatt’s Village	id=g:3573001
The Chimneys	id=g:3573002
Tepping Shoals	id=g:3573003
Taylor’s Point	id=g:3573004
Tatem Point	id=g:3573005
Swan’s Bay	id=g:3573006
Surf Bay	id=g:3573007
Sunnyside	id=g:3573008
Sugarloaf Hill	id=g:3573009
Sugar Cane Point	id=g:3573010
Sue Wood Bay	id=g:3573011
Stovel Bay	id=g:3573012
Stonehole Bay	id=g:3573013
Stokes Point	id=g:3573014
Stocks Harbour	id=g:3573015
Stake Bay	id=g:3573016
The Stags	id=g:3573017
Stag Rocks	id=g:3573018
Spring Benny’s Bay	id=g:3573019
Spittal Pond	id=g:3573020
Spithead	id=g:3573021
Spencer’s Point	id=g:3573022
Spectacle Island	id=g:3573023
Spectacle Island	id=g:3573024
Spanish Point	id=g:3573025
Southampton Parish	id=g:3573026
Somerset Island	id=g:3573027
Somerset Bridge	id=g:3573028
Somerset	id=g:3573029
Smith’s Sound	id=g:3573030
Smith's Parish	id=g:3573031
Smith’s Island	id=g:3573032
Smith’s Bay	id=g:3573033
Skroggin’s Hill	id=g:3573034
Skroggin’s Bay	id=g:3573035
Sinky Bay	id=g:3573036
Ship Point	id=g:3573037
Shelly Bay Shoal	id=g:3573038
Shelly Bay	id=g:3573039
Shark Hole	id=g:3573040
Point Shares	id=g:3573041
Seymour’s Pond	id=g:3573042
Severn Bridge	id=g:3573043
Seon Point	id=g:3573044
Sea Venture Shoals	id=g:3573045
Scotts Hill	id=g:3573046
Scaur Fort	id=g:3573047
The Scaur	id=g:3573048
Sapphire Bay	id=g:3573049
Sandys Parish	id=g:3573050
Sandy Hole	id=g:3573051
Sam’s Point	id=g:3573052
Sam Hall’s Bay	id=g:3573053
Saltus Island	id=g:3573054
Salt Kettle Bay	id=g:3573055
Salt Kettle	id=g:3573056
Saint George's Parish	id=g:3573057
Saint George’s Island	id=g:3573058
Saint George’s Harbour	id=g:3573059
Saint George’s Channel	id=g:3573060
Saint George	id=g:3573061
Saint George	id=g:3573062
Saint David’s Island	id=g:3573063
Saint David’s Head	id=g:3573064
Saint Catherine Point	id=g:3573065
Fort Saint Catherine	id=g:3573066
Ruth’s Point	id=g:3573067
Ruth’s Bay	id=g:3573068
Rushy Island	id=g:3573069
Rose Hill	id=g:3573070
Rogue’s Island	id=g:3573071
Rocky Bay	id=g:3573072
Robinson Bay	id=g:3573073
Robert’s Point	id=g:3573074
Robert’s Hill	id=g:3573075
Riddell’s Bay	id=g:3573076
Richardson’s Bay	id=g:3573077
Red Hole	id=g:3573078
Red Hole	id=g:3573079
Red Hole	id=g:3573080
Red Hole	id=g:3573081
The Quintons	id=g:3573082
Prudden’s Bay	id=g:3573083
Fort Prospect	id=g:3573084
Ports Island	id=g:3573085
Plaice’s Point	id=g:3573086
Plaice’s Point	id=g:3573087
Pitt’s Bay	id=g:3573088
Pilchard Bay	id=g:3573089
Pigeon Rocks	id=g:3573090
Phillipps Cove	id=g:3573091
Peter Tucker’s Bay	id=g:3573092
Perot’s Island	id=g:3573093
Pendle Hill	id=g:3573094
Pembroke Parish	id=g:3573095
Pear Rock	id=g:3573096
Pearman Hill	id=g:3573097
Pearl Island	id=g:3573098
Paynter’s Hill	id=g:3573099
Patton’s Point	id=g:3573100
Partridge Island	id=g:3573101
Parson’s Bay	id=g:3573102
Paget Parish	id=g:3573103
Paget Marsh	id=g:3573104
Paget Island	id=g:3573105
Ordnance Island	id=g:3573106
Old Shoal	id=g:3573107
Charles’ Fort	id=g:3573108
North’s Point	id=g:3573109
North Shore Village	id=g:3573110
Nonsuch Island	id=g:3573111
Nonsuch Bay	id=g:3573112
Nelson Bay	id=g:3573113
Nelly Island	id=g:3573114
Nearon’s Cut	id=g:3573115
The Narrows	id=g:3573116
The Narrows	id=g:3573117
My Lord’s Bay	id=g:3573118
Murray’s Anchorage	id=g:3573119
Mullet Bay	id=g:3573120
Mount Pleasant	id=g:3573121
Mount Hill	id=g:3573122
Mosquito Hill	id=g:3573123
Morgan’s Island	id=g:3573124
Moresby’s Plain	id=g:3573125
Monkey Hole	id=g:3573126
Mills Breaker Ledge	id=g:3573127
Millhouse Bay	id=g:3573128
Mill Creek	id=g:3573129
Methelin Bay	id=g:3573130
Melrose	id=g:3573131
McGall’s Hill	id=g:3573132
McGall’s Bay	id=g:3573133
Marshall’s Island	id=g:3573134
Margaret’s Bay	id=g:3573135
Mangrove Lake	id=g:3573136
Mangrove Bay	id=g:3573137
Major’s Bay	id=g:3573138
Lusher Hill	id=g:3573139
Loyal Hill	id=g:3573140
Long Rock	id=g:3573141
Long Point	id=g:3573142
Long Island	id=g:3573143
Long Island	id=g:3573144
Long Bird Island	id=g:3573145
Long Bay	id=g:3573146
Long Bay	id=g:3573147
Lodge Point	id=g:3573148
Lobster Flat	id=g:3573149
Little Watford Bridge	id=g:3573150
Little Turtle Bay	id=g:3573151
Little Sound	id=g:3573152
Little Scaur	id=g:3573153
Little Head	id=g:3573154
Lambda Island	id=g:3573155
Knight’s Hole	id=g:3573156
Knapton Hill	id=g:3573157
King’s Point	id=g:3573158
King’s Point	id=g:3573159
King Charles Hole	id=g:3573160
Kindley Field	id=g:3573161
John Smith’s Bay	id=g:3573162
Jobson’s Point	id=g:3573163
Jobson’s Cove	id=g:3573164
