Wādī Medhar Brega	id=g:2469031
Wādī Medar Zareth	id=g:2469032
Hanshīr Mdellia	id=g:2469033
Mdaïa Roua	id=g:2469034
Jabal al Mcheltat	id=g:2469035
Bi’r Mbirou	id=g:2469036
Mu‘tamadīyat al Mazzūnah	id=g:2469037
Banc des Mazzarilles	id=g:2469038
Kudyat al Ma‘zūm	id=g:2469039
Raqūbat al Ma‘zūlah	id=g:2469040
Wādī al Ma‘zūl	id=g:2469041
Bi’r al Ma‘zūl	id=g:2469042
Mazra‘ Ghannūsh	id=g:2469043
‘Ayn Mazra‘	id=g:2469044
Wādī al Mazou	id=g:2469045
Wādī al Mazīyah	id=g:2469046
‘Ayn al Mazir	id=g:2469047
Bilād Mazil	id=g:2469048
Wādī Mazero	id=g:2469049
Jabbānat al Mazārīyah	id=g:2469050
Hanshīr al Mazārīyah	id=g:2469051
Oglat el Mezarigue	id=g:2469052
Bi’r Mazārah	id=g:2469053
Jebel Mazar	id=g:2469054
Wādī al Ma‘zah	id=g:2469055
Hanshīr al Ma‘zah	id=g:2469056
Dayr al Ma‘zah	id=g:2469057
Aïn el Maza	id=g:2469058
Wādī al Mayyit	id=g:2469059
Wādī al Mayyit	id=g:2469060
Wādī al Mayyit	id=g:2469061
Khashm al Mayyit	id=g:2469062
‘Irq al Mayyit	id=g:2469063
Bi’r al Ma‘yūfah	id=g:2469064
Wādī Maymūn	id=g:2469065
Jabal al Maymūn	id=g:2469066
Maxula-Radès	id=g:2469067
Oued el Moula	id=g:2469068
‘Uyūn Ma‘w	id=g:2469069
Jebel el Maou	id=g:2469070
Bir el Maou	id=g:2469071
Bi’r al Ma‘w	id=g:2469072
Oued el Maouna	id=g:2469073
Wādī al Maţyarah	id=g:2469074
Hanshīr Mattich	id=g:2469075
Maţrūḩat Khallād	id=g:2469076
Bir el Metroha	id=g:2469077
Wādī Matouss	id=g:2469078
Nāz̧ūr Matous	id=g:2469079
‘Uqlat Matnān	id=g:2469080
Maatmeur	id=g:2469081
Mu‘tamadīyat Maţmāţah	id=g:2469082
Jabal Maţmāţah	id=g:2469083
Maţmāţ	id=g:2469084
Māţir-Sud	id=g:2469085
Mu‘tamadīyat Māţir	id=g:2469086
Māţir	id=g:2469087
Mateur	id=g:2469088
Bi’r al Matich	id=g:2469089
Mathildeville	id=g:2469090
Bi’r al Maţbaq	id=g:2469091
Wādī al Maţāmīr	id=g:2469092
Bled Messaoudia	id=g:2469093
Mas‘ūd Bin ‘Aljīyah	id=g:2469094
Messaoud Elliana	id=g:2469095
Bi’r Mas‘ūd al Waşīf	id=g:2469096
Bir Messaouda	id=g:2469097
