Hakau Fusipala	id=g:4032647
Lua a Fuleheu	id=g:4032648
Fukave Island	id=g:4032649
Fuhu	id=g:4032650
Fua`amotu Island	id=g:4032651
Fua`amotu	id=g:4032652
Fo`ui	id=g:4032653
Foua Island	id=g:4032654
Fotula	id=g:4032655
Fotuha`a Island	id=g:4032656
Fotuaikamoana	id=g:4032657
Fotuaikamamaha	id=g:4032658
Ava Fonuaunga	id=g:4032659
Fonuaunga	id=g:4032660
Fonua`one`one	id=g:4032661
Fonualei	id=g:4032662
Fonualai	id=g:4032663
Fonuaika Island	id=g:4032664
Ava Fonuaika	id=g:4032665
Fonuafuu	id=g:4032666
Fonuafo`ou	id=g:4032667
Fono i Mukka Island	id=g:4032668
Fonoifua Island	id=g:4032669
Fonginonga	id=g:4032670
Folaha	id=g:4032671
Fofoa	id=g:4032672
Foelifuka	id=g:4032673
Foeata	id=g:4032674
Foa Island	id=g:4032675
Lua Fitu	id=g:4032676
Finau Patches	id=g:4032677
Fetokopunga	id=g:4032678
Fetoa Island	id=g:4032679
Felivai	id=g:4032680
Feletoa	id=g:4032681
Feinga Seamount	id=g:4032682
Fatumu	id=g:4032683
Hakau Fatumanono	id=g:4032684
Fatumanga Island	id=g:4032685
Fatuinangi Island	id=g:4032686
Fata`ulua	id=g:4032687
Fatai	id=g:4032688
Ngahi Hakau Fatafehi	id=g:4032689
Fata	id=g:4032690
Lua Fasi	id=g:4032691
Lua Fasi	id=g:4032692
Fa`onelua Tropical Garden	id=g:4032693
Fanuatapu	id=g:4032694
Fanga Uta	id=g:4032695
Fangasito Island	id=g:4032696
Fangaliki	id=g:4032697
Fanga Kakau	id=g:4032698
Fangaata	id=g:4032699
Falewitahi	id=g:4032700
Falevai	id=g:4032701
Faleono	id=g:4032702
Faleloa	id=g:4032703
Falehau	id=g:4032704
Falcon Bank	id=g:4032705
Lua Fakatele	id=g:4032706
Hakau Fakaosi Toume	id=g:4032707
Houma Fakalele	id=g:4032708
Fakakai	id=g:4032709
Fakahiku Island	id=g:4032710
Fakaamumei Anchorage	id=g:4032711
Faioa	id=g:4032712
Faihava Point	id=g:4032713
Faihava	id=g:4032714
Fahefa Beach	id=g:4032715
Fahefa	id=g:4032716
Lua Fahalolo	id=g:4032717
Hakau Faha	id=g:4032718
Fafini	id=g:4032719
Fafa Island	id=g:4032720
`Eueiki	id=g:4032721
`Euakafa	id=g:4032722
`Eua Island	id=g:4032723
`Eua Iki Island	id=g:4032724
Esk Shoals	id=g:4032725
Esia	id=g:4032726
English Road	id=g:4032727
Hakau Eihiho	id=g:4032728
Egeria Channel	id=g:4032729
Eeulah	id=g:4032730
Durham Shoal	id=g:4032731
Haka Tapu/Duff Reef	id=g:4032732
Doyland Reef	id=g:4032733
Disney Reef	id=g:4032734
Dido Shoal	id=g:4032735
David Patch	id=g:4032736
Curaçoa Reef	id=g:4032737
Cresswell Rock	id=g:4032738
Crawshaw Shoals	id=g:4032739
Captain Cooks Tree	id=g:4032740
Capricorn Tablemount	id=g:4032741
Campion Breakers	id=g:4032742
Campbell Rock	id=g:4032743
Buchanan Reef	id=g:4032744
Britten Reef	id=g:4032745
Bowers Rock	id=g:4032746
Bicentenary Seamount	id=g:4032747
Bethune Bank	id=g:4032748
Beach House	id=g:4032749
Barrier Reef	id=g:4032750
Balfour Patch	id=g:4032751
Ava	id=g:4032752
Ava Auhangamea	id=g:4032753
Augusta Rock	id=g:4032754
Lua Atofuaa	id=g:4032755
`Atele	id=g:4032756
`Atata Island	id=g:4032757
`Ata Island	id=g:4032758
`Ata	id=g:4032759
Apifo`ou	id=g:4032760
Ano Lagoon	id=g:4032761
Ano Ava	id=g:4032762
Angaha	id=g:4032763
Lua Anga	id=g:4032764
`Anahulu Beach	id=g:4032765
Anahulu Beach	id=g:4032766
Alinonga	id=g:4032767
Alibati Patch	id=g:4032768
Alexander Reef	id=g:4032769
Alert Shoal	id=g:4032770
Lua Aleingongo	id=g:4032771
`Alakipeau Island	id=g:4032772
Alaki Fonua	id=g:4032773
Alaki	id=g:4032774
Akkumanes Bank	id=g:4032775
`Ahau	id=g:4032776
Ahau	id=g:4032777
Ahanga Passage	id=g:4032778
Afungalalu	id=g:4032779
Afo	id=g:4032780
Afa	id=g:4032781
Motu Aali	id=g:4032782
Trerise Patch	id=g:4036395
Ha`utu	id=g:4036396
Pacific Ocean	id=g:4036621
Fua'Amotu	id=g:6299949
Haapai	id=g:6299950
Lupepau'u	id=g:6354933
Vava'u	id=g:6941102
Sandy Beach Resort	id=g:7116048
Rūdkhāneh-ye Qarah Sū	id=g:119762
Armenian Highland	id=g:145494
Araratyan Dasht	id=g:145498
Bayer	id=g:171959
Afrin Suyu	id=g:174183
Kultak	id=g:295776
Zuzaht	id=g:295777
Bayırlı	id=g:295778
Zurava	id=g:295779
Zuran	id=g:295780
Kale	id=g:295781
Zumbula	id=g:295782
Zülkefil Dağı	id=g:295783
Zilfokomu	id=g:295784
Zülfikâr	id=g:295785
Işık	id=g:295786
Zagoran	id=g:295787
Zugapa	id=g:295788
Zübeyir	id=g:295789
Akarköy	id=g:295790
Zorun	id=g:295791
Zorova	id=g:295792
Zorova	id=g:295793
Zorlar	id=g:295794
Yukarı Gören	id=g:295795
Zorgeçit	id=g:295796
Zor Dağ	id=g:295797
Zorbehan Dağı	id=g:295798
Zorava	id=g:295799
Günebakan	id=g:295800
Yıldız	id=g:295801
Zoktepeleri	id=g:295802
Zokayt	id=g:295803
Zok	id=g:295804
Zöhrecik	id=g:295805
Zugriegnik	id=g:295806
Zugrikelkum	id=g:295807
Zoğni	id=g:295808
Görlek	id=g:295809
Mesebağları	id=g:295810
Zizan	id=g:295811
Ziyaret Tepesi	id=g:295812
Ziyaret Tepesi	id=g:295813
Ziyaret Tepesi	id=g:295814
Ziyaret Tepesi	id=g:295815
Ziyaret Tepesi	id=g:295816
Ziyaret Tepesi	id=g:295817
Ziyaret Tepesi	id=g:295818
Ziyaret Tepesi	id=g:295819
Ziyarettepeleri	id=g:295820
Ziyarettepeleri	id=g:295821
Ziyaret Tepe	id=g:295822
Ziyaret Tepe	id=g:295823
Ziyaret Tepe	id=g:295824
Ziyaret Tepe	id=g:295825
Ziyaret Tepe	id=g:295826
Ziyaret Tepe	id=g:295827
Ziyaret Tepe	id=g:295828
Ziyaret Tepesi	id=g:295829
Ziyaret Tepe	id=g:295830
Ziyaretli	id=g:295831
Ziyaretköy	id=g:295832
Ziyaret Dağları	id=g:295833
Ziyaret Dağı	id=g:295834
Ziyaret Dağı	id=g:295835
Eren	id=g:295836
Ziyaret Dağı	id=g:295837
Ziyaret Çayı	id=g:295838
Ziyaret	id=g:295839
Ziyaret	id=g:295840
Ziyaret	id=g:295841
Ziyaret	id=g:295842
Ziyaret	id=g:295843
Ziyaret	id=g:295844
Ziyaret	id=g:295845
Ziyaret	id=g:295846
Ziyanlar	id=g:295847
Karçavuş	id=g:295848
Ziyade Deresi	id=g:295849
Ziyabeyçiftliği	id=g:295850
Zirva	id=g:295851
Zivink	id=g:295852
Zivinkçelik	id=g:295853
Zivink	id=g:295854
Zivikialimurada	id=g:295855
Demirsaban	id=g:295856
Zive	id=g:295857
Zivar Dağı	id=g:295858
Gözgölü	id=g:295859
Zırnak Tepe	id=g:295860
Kalkancık	id=g:295861
Zırlankaya	id=g:295862
Zirkit	id=g:295863
Zirink	id=g:295864
Alakan Deresi	id=g:295865
Ziri Dağı	id=g:295866
Ziri	id=g:295867
Zirekli	id=g:295868
Ziravya	id=g:295869
Ziranis	id=g:295870
Zir	id=g:295871
Zıpır	id=g:295872
Zinnap	id=g:295873
Zinekâr	id=g:295874
Zindan Tepesi	id=g:295875
Zincirlikuyu	id=g:295876
Zincirlikuyu	id=g:295877
Zincirli Dağ	id=g:295878
Zincirli	id=g:295879
Zincirkıran	id=g:295880
Zincir	id=g:295881
Zinar Deresi	id=g:295882
Zımara Deresi	id=g:295883
Zimak	id=g:295884
Zilli Çay	id=g:295885
Zile	id=g:295886
Zile	id=g:295887
Zilan	id=g:295888
Karşıbağlar	id=g:295889
Zikirciler	id=g:295890
Çiçekalan	id=g:295891
Sucular	id=g:295892
Zığra	id=g:295893
Zigak	id=g:295894
