Ordu	id=g:7454666
Kasyayla	id=g:7454667
Binekli	id=g:7454668
Tuzaksız	id=g:7454669
Günlüce	id=g:7454670
Kaçkaya	id=g:7454671
Yeniçakmak	id=g:7454875
Yuvalıcay	id=g:7454876
Sahinli	id=g:7454877
Kuşak	id=g:7454878
Güçbeyli	id=g:7454879
Bozağıl	id=g:7454880
Geçitli	id=g:7454881
Taşyuva	id=g:7454882
Ergünü	id=g:7454883
Boğazkapı	id=g:7454884
Kayadüzü	id=g:7454885
Serik	id=g:7454886
Çalışlar	id=g:7454887
Erikler	id=g:7454888
Soğanlı	id=g:7454889
Dibek	id=g:7454890
Dikbayır	id=g:7454891
Yuvalar	id=g:7454892
Üçdirek	id=g:7454893
Malatya Havaalanı	id=g:7457828
Battalgazi	id=g:7457829
Göller	id=g:7457830
İnönü Universitesi	id=g:7457831
Hacihaliloğu	id=g:7457832
Haciyusuf	id=g:7457833
Bulutlu	id=g:7457834
Yarımcahan	id=g:7457835
Kemerköprü	id=g:7457836
Gölpınar	id=g:7457837
Topsöğüt	id=g:7457838
Silahtar Mustafa Paşa Kervansarayı	id=g:7458036
Kıyıcak	id=g:7458037
Düzyol	id=g:7458038
Alhanuşağı	id=g:7458039
Salkimli	id=g:7458040
Tepebaşı	id=g:7458041
İkizpınar	id=g:7458042
Sarıot	id=g:7458043
Düztarla	id=g:7458044
Üçdeğirmen	id=g:7458045
Kumluyazı	id=g:7458046
Yenidamlar	id=g:7458047
Uyanık	id=g:7458048
Uzunhüseyin	id=g:7458049
Gözlüce	id=g:7458050
Koçköy	id=g:7458051
Örnekköy	id=g:7458179
Ziyaret Tepesi	id=g:7458180
Ulutaş	id=g:7458181
Camlıdere	id=g:7458182
Kökpınar	id=g:7458183
Görceli	id=g:7458184
Beydağı	id=g:7458185
Furuncu Höyük	id=g:7458186
Alitepe Höyüğü	id=g:7458187
Yakınca	id=g:7458188
Kozluk	id=g:7458189
Sütlüce	id=g:7458190
Suluköy	id=g:7458191
Özal	id=g:7458192
Şahnahan	id=g:7458193
Duruldu	id=g:7458194
Eskiköy	id=g:7458335
Koçharman	id=g:7458336
Yürekkaya	id=g:7458337
Gelindere	id=g:7458338
Kurudere	id=g:7458365
Aktaş	id=g:7458366
Altıntaş	id=g:7458429
Karaman	id=g:7458449
Korucak	id=g:7458450
İzce	id=g:7458451
Karacayır	id=g:7458452
Narlı	id=g:7458453
Aksu	id=g:7458454
Geçitli	id=g:7458455
Arıkonak	id=g:7458456
Sakız	id=g:7458457
Serince	id=g:7458458
Serindere	id=g:7458459
Taşkale	id=g:7458460
Saraycık	id=g:7458461
