Hsin-p’o-wei	id=g:1674891
Hsin-p’o-hsia	id=g:1674892
Hsin-p’o	id=g:1674893
Hsin-p’i Ta-ch’iao	id=g:1674894
Hsin-p’i Hsiang	id=g:1674895
Hsin-p’i	id=g:1674896
Xinbeitou Zhan	id=g:1674897
Hsin-pei-t’ou	id=g:1674898
Hsin-pei-liao	id=g:1674899
Pei-ta-t’ieh-k’eng	id=g:1674900
Hsin-pan-chiu	id=g:1674901
Hsin-pai-yang	id=g:1674902
Hsin-pa	id=g:1674903
Hsin-nien-chuang	id=g:1674904
Hsin-niang-fang	id=g:1674905
Hsin-nan-ts’un	id=g:1674906
Hsin-hsing	id=g:1674907
Hsin-nan	id=g:1674908
Nan-shih	id=g:1674909
Hsin-nan-shih	id=g:1674910
Hsin-ming	id=g:1674911
Shu-lin-tzu	id=g:1674912
Hsin-min	id=g:1674913
Hsin-min	id=g:1674914
Hsin-mei	id=g:1674915
Hsin-mang	id=g:1674916
Hsin-lu-wei	id=g:1674917
Hsin-lu-tzu	id=g:1674918
Hsin-lun	id=g:1674919
Hsin-lu Hsi	id=g:1674920
Hsin-lüeh-hsin-chuang	id=g:1674921
Ching-chung Wu-ts’un	id=g:1674922
Hsin-lu	id=g:1674923
Hsin-liu-ts’un	id=g:1674924
Hsin-li-tsu	id=g:1674925
Pu-chiang-lin	id=g:1674926
Hsin-liao-tzu	id=g:1674927
Hsin-liao Ts’un	id=g:1674928
Hsin-liao Shan	id=g:1674929
Hsin-liao	id=g:1674930
Hsin-liao	id=g:1674931
Hsin-liao	id=g:1674932
Hsin-liao	id=g:1674933
Hsin-liao	id=g:1674935
Hai-liao	id=g:1674936
Ch’ang-an	id=g:1674937
Hsin-liao	id=g:1674938
Hsin-liao	id=g:1674939
Hsin-liao	id=g:1674940
Hsin-liang	id=g:1674941
Ta-li	id=g:1674942
Hsin-ts’o-tzu	id=g:1674943
Hsin-kang	id=g:1674944
Hsin-lang-fang	id=g:1674945
Hsin Lai	id=g:1674946
Hsin-kuo Hsin-ts’un	id=g:1674947
Hsin-kung-kuan	id=g:1674948
T’ien-ti	id=g:1674949
Hsin-chi-chuang	id=g:1674950
