Katakwi	id=g:231947
Katagyengyera	id=g:231948
Katagurukwa	id=g:231949
Katagubwa	id=g:231950
Katabwa	id=g:231951
Katabok	id=g:231952
Katabok	id=g:231953
Katabi	id=g:231954
Katabatimba	id=g:231955
Katabasegu	id=g:231956
Katabarua	id=g:231957
Katabanda	id=g:231958
Katabanda	id=g:231959
Katabalanga	id=g:231960
Katabagole	id=g:231961
Katabagi	id=g:231962
Kataba	id=g:231963
Kaswa	id=g:231964
Kaswa	id=g:231965
Kaswa	id=g:231966
Kasusu	id=g:231967
Kasuro	id=g:231968
Kasunju	id=g:231969
Kasungwa	id=g:231970
Kasunganyanja	id=g:231971
Kasumba	id=g:231972
Kasuleta	id=g:231973
Kasule Island	id=g:231974
Kasule	id=g:231975
Kasubi	id=g:231976
Kasozi	id=g:231977
Kasozi	id=g:231978
Kasozi	id=g:231979
Kasozi	id=g:231980
Kasozi	id=g:231981
Kasozi	id=g:231982
Kasozi	id=g:231983
Kasozi	id=g:231984
Kasozi	id=g:231985
Kasozi	id=g:231986
Kasozi	id=g:231987
Kasozi	id=g:231988
Kasozi	id=g:231989
Kasozi	id=g:231990
Kasowa	id=g:231991
Kasooni	id=g:231992
Kasoni	id=g:231993
Kasongoire	id=g:231994
Kasongoire	id=g:231995
Kasongode	id=g:231996
Kasonga	id=g:231997
Kasonga	id=g:231998
Kasomora	id=g:231999
Kasomia	id=g:232000
Kasolwe	id=g:232001
Kasolosolo	id=g:232002
Kasolokamponye	id=g:232003
Kasolo	id=g:232004
Kasokwe	id=g:232005
Kasokwe	id=g:232006
Kasokwa	id=g:232007
Kasokoso	id=g:232008
Kasokolindo	id=g:232009
Kasokero	id=g:232010
Kasokero	id=g:232011
Kasokanyanja	id=g:232012
Kasojo	id=g:232013
Kasoga	id=g:232014
Kasodo	id=g:232015
Kasodo	id=g:232016
Kasoa	id=g:232017
Kasiyirize	id=g:232018
Kasita	id=g:232019
Kasiso	id=g:232020
Kasirye	id=g:232021
Kasiru	id=g:232022
Kasira	id=g:232023
Kasinina	id=g:232024
Kasingo	id=g:232025
Kasinga	id=g:232026
Kasinga	id=g:232027
Kasimu	id=g:232028
Kasimu	id=g:232029
Kasimbi	id=g:232030
Kasimbi	id=g:232031
Kasilo	id=g:232032
Kashwa	id=g:232033
Kashur	id=g:232034
Kashunga	id=g:232035
Kashozi	id=g:232036
Kashoya-Kitomi	id=g:232037
Kashongi	id=g:232038
Kashongi	id=g:232039
Kasheshe	id=g:232040
Kasheshe	id=g:232041
Kashesha	id=g:232042
Kashenyi	id=g:232043
Kashenyi	id=g:232044
Kashenyi	id=g:232045
Kashekye	id=g:232046
Kashekye	id=g:232047
Kashekye	id=g:232048
Kashasha	id=g:232049
Kashasha	id=g:232050
Kashasha	id=g:232051
Kashasha	id=g:232052
Kashasha	id=g:232053
Kashasha	id=g:232054
Kashari County	id=g:232055
Kasharara	id=g:232056
Kashanda	id=g:232057
Kashanda	id=g:232058
Kashanda	id=g:232059
Kashanda	id=g:232060
Kashambya	id=g:232061
Kashaka	id=g:232062
Kasewongera	id=g:232063
Kasesero	id=g:232064
Kasese	id=g:232065
Kasese	id=g:232066
Kaserwa Island	id=g:232067
Kasenyi	id=g:232068
Kasenyi	id=g:232069
Kasenyi	id=g:232070
Kasenyi	id=g:232071
Kasenyi	id=g:232072
Kasenyi	id=g:232073
Kasenyi	id=g:232074
Kasenyi	id=g:232075
Kasenso	id=g:232076
Kasenso	id=g:232077
Kasensero	id=g:232078
Kasenda	id=g:232079
Kasenda	id=g:232080
Kasemulamba	id=g:232081
Kasejere	id=g:232082
Kasega	id=g:232083
Kaseeru	id=g:232084
Kaseenyi	id=g:232085
Kasazi	id=g:232086
Kasayumba	id=g:232087
Kasawsula	id=g:232088
Kasawo Point	id=g:232089
Kasawo	id=g:232090
Kasawo	id=g:232091
Kasatora	id=g:232092
Kasato-Nankalangi Forest	id=g:232093
Kasato	id=g:232094
Kasasira	id=g:232095
Kasasa Swamp	id=g:232096
Lake Kasasa	id=g:232097
Kasasa	id=g:232098
Kasasa	id=g:232099
Kasasa	id=g:232100
Kasasa	id=g:232101
Kasasa	id=g:232102
Kasari	id=g:232103
Kasansala	id=g:232104
Kasanje	id=g:232105
Kasanje	id=g:232106
Kasanje	id=g:232107
Kasangombe	id=g:232108
Kasangayiye	id=g:232109
Kasangati	id=g:232110
Kasanga Swamp	id=g:232111
Kasangari	id=g:232112
Kasanga	id=g:232113
Kasanda	id=g:232114
Kasanda	id=g:232115
Kasana	id=g:232116
Kasana	id=g:232117
Kasana	id=g:232118
Kasana	id=g:232119
Kasana	id=g:232120
Kasana	id=g:232121
Kasana	id=g:232122
Kasambya	id=g:232123
Kasambya	id=g:232124
Kasambya	id=g:232125
Kasambya	id=g:232126
Kasambya	id=g:232127
Kasambya	id=g:232128
Kasambya	id=g:232129
Kasambya	id=g:232130
Kasambya	id=g:232131
Kasambya	id=g:232132
Kasambya	id=g:232133
Kasambya	id=g:232134
Kasambya	id=g:232135
Kasambya	id=g:232136
Kasambya	id=g:232137
Kasambya	id=g:232138
Kasambya	id=g:232139
Kasambira	id=g:232140
Kasambika	id=g:232141
Kasambika	id=g:232142
Kasambia	id=g:232143
Kasamba Point	id=g:232144
Kasalu	id=g:232145
Kasali	id=g:232146
Kasala	id=g:232147
Kasala	id=g:232148
Kasakat	id=g:232149
Kasaka	id=g:232150
Kasaka	id=g:232151
Kasaka	id=g:232152
Kasaka	id=g:232153
Kasaka	id=g:232154
Kasaka	id=g:232155
Kasaka	id=g:232156
Kasaikye	id=g:232157
Kasaikye	id=g:232158
Kasaiga	id=g:232159
Lake Kasago	id=g:232160
Kasagama	id=g:232161
Kasagala	id=g:232162
Kasa Forest	id=g:232163
Kasabwera	id=g:232164
Kasaayi	id=g:232165
Kasaana	id=g:232166
Kasaala	id=g:232167
Karyabuhoro	id=g:232168
Karwenyi	id=g:232169
Karwe	id=g:232170
Karwata Fort	id=g:232171
Karungu	id=g:232172
Karungu	id=g:232173
Karungu	id=g:232174
Lake Karunga	id=g:232175
Karundi	id=g:232176
Karuma Falls	id=g:232177
Karujumba	id=g:232178
Karujubu	id=g:232179
Karongo	id=g:232180
Karogoto	id=g:232181
Lake Kariya	id=g:232182
Lake Karitima	id=g:232183
Karita	id=g:232184
Karishonga	id=g:232185
Karinga	id=g:232186
Karienda	id=g:232187
Karienda	id=g:232188
Kariabor	id=g:232189
Lake Karengye	id=g:232190
Karenga	id=g:232191
Karemem	id=g:232192
Kare	id=g:232193
Karasei	id=g:232194
Lake Kararo	id=g:232195
Karapata	id=g:232196
Karangora	id=g:232197
Karan	id=g:232198
Karamrani	id=g:232199
Karambi	id=g:232201
Karambe	id=g:232202
Karama	id=g:232203
Karagwe	id=g:232204
Karach	id=g:232205
Kapyani	id=g:232206
Kapyani	id=g:232207
Kapyanga	id=g:232208
Kapujan	id=g:232209
Kapua	id=g:232210
Kaptokwoi	id=g:232211
Kaptokwoi	id=g:232212
Kapteret	id=g:232213
Kapochom	id=g:232214
Kapkot	id=g:232215
Kapita	id=g:232216
Kapiri	id=g:232217
Kapiri	id=g:232218
Kapimpini	id=g:232219
Kapia	id=g:232220
Kapeta	id=g:232221
Kapeta	id=g:232222
Kapesu	id=g:232223
Kapelebyong	id=g:232224
Kapendongor	id=g:232225
Kapeliyathe	id=g:232226
Kapelimoru	id=g:232227
Kapelimen	id=g:232228
Kapelepelot	id=g:232229
Kapel	id=g:232230
Kapekenyang	id=g:232231
Kapeka	id=g:232232
Kapedorr	id=g:232233
Kapedo	id=g:232234
Kapchorwa	id=g:232235
Kaparabyong	id=g:232236
Kapala	id=g:232237
Kaondwe	id=g:232238
Koa	id=g:232239
Kanzize	id=g:232240
Kanzira	id=g:232241
Kanzhobe	id=g:232242
Kanywa	id=g:232243
Kanyumu	id=g:232244
Kanyumba	id=g:232245
Kanyum	id=g:232246
Kanyonyi	id=g:232247
Kanyomozi Bay	id=g:232248
Kanyogoga	id=g:232249
Kanyogoga	id=g:232250
Kanyogoga	id=g:232251
Kanyogoga	id=g:232252
Kanyogoga	id=g:232253
Kanyogoga	id=g:232254
Kanyogoga	id=g:232255
Kanyogoga	id=g:232256
Kanyogoga	id=g:232257
Kanyogoga	id=g:232258
Kanyingabu	id=g:232259
Kanyinabulimano	id=g:232260
Kanyike	id=g:232261
Kanyigiri	id=g:232262
Kanyigiri	id=g:232263
Kanyenya	id=g:232264
Kanyawanjura	id=g:232265
Kanyashogi	id=g:232266
Kanyarigiri	id=g:232267
Kanyarieru	id=g:232268
Kanyara	id=g:232269
Kanyantembe	id=g:232270
Kanyansi	id=g:232271
Kanyangana	id=g:232272
Kanyanda	id=g:232273
Kanyanda	id=g:232274
Kanyamwerina	id=g:232275
Kanyamutam	id=g:232276
Kanyamutam	id=g:232277
Kanyamusanga Swamp	id=g:232278
Lake Kanyamukali	id=g:232279
Kanyampara	id=g:232280
Kanyampara	id=g:232281
Kanyamburara	id=g:232282
