Richards Cemetery	id=g:4048692
Bethlehem Cemetery	id=g:4048693
Prosperity	id=g:4048694
Bethlehem Cemetery	id=g:4048695
Reeds Crossing	id=g:4048696
Bethlehem Cemetery	id=g:4048697
Barlett Cemetery	id=g:4048698
Bethlehem Cemetery	id=g:4048699
Leton	id=g:4048700
Bethlehem Cemetery	id=g:4048701
Boyce Lake	id=g:4048702
Bethlehem Cemetery	id=g:4048703
WAIN-FM (Columbia)	id=g:4048704
Bethlehem Cemetery	id=g:4048705
Stricklett	id=g:4048706
Bethlehem Cemetery	id=g:4048707
Shingle Gap	id=g:4048708
Bethlehem Cemetery	id=g:4048709
Shearer Valley	id=g:4048710
Bethlehem Cemetery	id=g:4048711
Shallow Flats Fishing Point	id=g:4048712
Bethlehem Cemetery	id=g:4048713
Steinbaugh Cemetery	id=g:4048714
Bethlehem Cemetery	id=g:4048715
Smith Town	id=g:4048716
Bethlehem Cemetery	id=g:4048717
Snake Pond Ridge	id=g:4048718
Bethlehem Cemetery	id=g:4048719
Upper Howard Creek	id=g:4048720
Bethlehem Cemetery	id=g:4048721
Toms Branch Church	id=g:4048722
Bethlehem Cemetery	id=g:4048723
Stuart Powell Field	id=g:4048724
Bethlehem Cemetery	id=g:4048725
Sugarcamp Hollow	id=g:4048726
Bethlehem Cemetery	id=g:4048727
Upper Colly School (historical)	id=g:4048728
Bethlehem Cemetery	id=g:4048729
Townsend Cemetery	id=g:4048730
Bethlehem Cemetery	id=g:4048731
Turkey Creek Mission	id=g:4048732
Bethlehem Cemetery	id=g:4048733
Bellevue	id=g:4048734
Bethlehem Cemetery	id=g:4048735
Wilson	id=g:4048736
Bethlehem Christian Church	id=g:4048737
White and Francis Cemetery	id=g:4048738
Bethlehem Christian Methodist Episcopal Church	id=g:4048739
Wells Cemetery	id=g:4048740
Bethlehem Church	id=g:4048741
Wheel	id=g:4048742
Bethlehem Church	id=g:4048743
Williams Hill	id=g:4048744
Bethlehem Church	id=g:4048745
White Oak Branch	id=g:4048746
Bethlehem Church	id=g:4048747
Whitley Gap	id=g:4048748
Bethlehem Church	id=g:4048749
Bay Jaune	id=g:4048750
Bethlehem Church	id=g:4048751
Winslow	id=g:4048752
Bethlehem Church	id=g:4048753
Wilson Hill	id=g:4048754
Bethlehem Church	id=g:4048755
Wind Cave Church	id=g:4048756
Bethlehem Church	id=g:4048757
Ashridge (historical)	id=g:4048758
Bethlehem Church	id=g:4048759
Woodstock	id=g:4048760
Bethlehem Church	id=g:4048761
Afton	id=g:4048762
Bethlehem Church	id=g:4048763
La France Cemetery	id=g:4048764
Bethlehem Primitive Baptist Church	id=g:4048765
East Mouth	id=g:4048766
Victoria Baptist Church	id=g:4048767
Crow Cemetery	id=g:4048768
Bethlehem Church	id=g:4048769
Colt	id=g:4048770
Bethlehem Church	id=g:4048771
Brown Heights Pond	id=g:4048772
Bethlehem Primitive Baptist Church	id=g:4048773
Carson	id=g:4048774
Bethlehem Baptist Church	id=g:4048775
Cravens	id=g:4048776
Bethlehem Methodist Church	id=g:4048777
Comrade	id=g:4048778
Bethlehem Methodist Church	id=g:4048779
Courtville Cemetery	id=g:4048780
Bethlehem Church	id=g:4048781
Duhon Cemetery	id=g:4048782
Bethlehem Church	id=g:4048783
Davis Lake	id=g:4048784
Bethlehem Church	id=g:4048785
Cut-off Bayou	id=g:4048786
Bethlehem Baptist Church	id=g:4048787
Cypress Bayou Number Three	id=g:4048788
Bethlehem Church	id=g:4048789
Donner	id=g:4048790
Bethlehem Church	id=g:4048791
Parish Governing Authority District 16 (historical)	id=g:4048792
Bethlehem Church	id=g:4048793
Dixie Inn	id=g:4048794
Bethlehem Church	id=g:4048795
Killona Post Office	id=g:4048796
Bethlehem Church	id=g:4048797
Harbor	id=g:4048798
Bethlehem Baptist Church of Dothan	id=g:4048799
Foilage Park	id=g:4048800
Bethlehem Church	id=g:4048801
Ellsworth	id=g:4048802
Bethlehem Church	id=g:4048803
Ralph F Wilson Elementary School	id=g:4048804
Bethlehem United Methodist Church	id=g:4048805
Gum Cove Ferry	id=g:4048806
Bethlehem Church	id=g:4048807
