Rena	id=g:4128212
Rena Elementary School	id=g:4128213
Rena School (historical)	id=g:4128214
Rendezvous	id=g:4128215
Reneau Cemetery	id=g:4128216
Reobeth Cemetery	id=g:4128217
Reorganized Church of Jesus Christ of Latter Day Saints	id=g:4128218
Reeves Mountain	id=g:4128219
Reorganized Church of Jesus Christ of Latter Day Saints	id=g:4128220
Reorganized Church of Jesus Christ of Latter Day Saints	id=g:4128221
Reorganized Church of Jesus Christ of Latter Day Saints	id=g:4128222
Reorganized Church of Jesus Christ of Latter Day Saints	id=g:4128223
Reorganized Church of Jesus Christ of Latter Day Saints	id=g:4128224
Republican	id=g:4128225
Republican Cemetery	id=g:4128226
Republican School (historical)	id=g:4128227
Rescue Church (historical)	id=g:4128228
Reservoir Number One	id=g:4128229
Reservoir Park	id=g:4128230
Rest (historical)	id=g:4128231
Rest Haven Cemetery	id=g:4128232
Rest Haven Memorial Gardens	id=g:4128233
Rest Haven Memorial Gardens	id=g:4128234
Rest Haven Memorial Park	id=g:4128235
Rest Hills Cemetery	id=g:4128236
Rest in Peace Memorial Gardens	id=g:4128237
Retta	id=g:4128238
Retta Brown Elementary School	id=g:4128239
Reuther Park	id=g:4128240
Revel	id=g:4128241
Reves Knob	id=g:4128242
Reves Spring	id=g:4128243
Revilee	id=g:4128244
Revilee Church	id=g:4128245
Revilee Creek	id=g:4128246
Reorganized Church of Jesus Christ of Latter Day Saints	id=g:4128247
Revis Hill Assembly of God Church	id=g:4128248
Revival Center	id=g:4128249
Revival Center Pentecostal Church	id=g:4128250
Revival Temple	id=g:4128251
Revival Temple Full Gospel	id=g:4128252
Rex	id=g:4128253
Rex Hancock-Black Swamp Wildlife Management Area	id=g:4128254
Reyburn Creek	id=g:4128255
Township of Reveilee	id=g:4128256
Reydell Baptist Church	id=g:4128257
Reydell Brake	id=g:4128258
Reyno	id=g:4128259
Reyno School (historical)	id=g:4128260
Township of Reyno	id=g:4128261
Reynold Grove Church	id=g:4128262
Reynolds	id=g:4128263
Reynolds Cemetery	id=g:4128264
Reynolds Cemetery	id=g:4128265
Reynolds Church	id=g:4128266
Reynolds Elementary School	id=g:4128267
Reynolds Hollow	id=g:4128268
Reydell	id=g:4128269
Reynolds Lake Dam	id=g:4128270
Reynolds Mountain	id=g:4128271
Reynolds Mountain	id=g:4128272
Reynolds Mountain	id=g:4128273
Reynolds Mountain	id=g:4128274
Reynolds Park	id=g:4128275
Reynolds Park Lake	id=g:4128276
Reynolds Park Lake Dam	id=g:4128277
Township of Reynolds	id=g:4128278
Rhea	id=g:4128279
Rhea Cemetery	id=g:4128280
Rhea United Methodist Church	id=g:4128281
Rheas Mill (historical)	id=g:4128282
Township of Rheas Mill	id=g:4128283
Rhinehart Branch	id=g:4128284
Rhoads Cemetery	id=g:4128285
Rhodes Cemetery	id=g:4128286
Rhodes Cemetery	id=g:4128287
Rhodes Chapel United Methodist Church	id=g:4128288
Rhodes Chapel Cemetery	id=g:4128289
Rhyne	id=g:4128290
Ribbon Ridge	id=g:4128291
Rice Cemetery	id=g:4128292
Rice Cemetery	id=g:4128293
Rice Chapel (historical)	id=g:4128294
Rice Junction (historical)	id=g:4128295
Rice Memorial Baptist Church	id=g:4128296
Rice School (historical)	id=g:4128297
Ricebelt Vocational Technical School	id=g:4128298
Riceville	id=g:4128299
Riceville School (historical)	id=g:4128300
Rich	id=g:4128301
Rich Cemetery	id=g:4128302
Rich Hollow	id=g:4128303
Reynolds Lake	id=g:4128304
Rich Mountain	id=g:4128305
Rich Mountain	id=g:4128306
Rich Mountain	id=g:4128307
Rich Mountain	id=g:4128308
Rich Mountain Church	id=g:4128309
Rich Mountain Community College	id=g:4128310
