Faith Wesleyan Church	id=g:4154850
Faith Wesleyn Church	id=g:4154851
Faith World	id=g:4154852
Lake Faith	id=g:4154853
Faka Union Bay	id=g:4154854
Faka Union Canal	id=g:4154855
Faka Union River	id=g:4154856
Evergreen	id=g:4154857
Fakahatchee Bay	id=g:4154858
Fakahatchee Pass	id=g:4154859
Fakahatchee River	id=g:4154860
Fakahatchee	id=g:4154861
Fakahatchee Strand Preserve State Park	id=g:4154862
Falana Island	id=g:4154863
Falcon Heliport	id=g:4154864
Falcon Number Four Heliport	id=g:4154865
Falcon Ridge Airpark	id=g:4154866
Fallen Branch	id=g:4154867
Falling Branch	id=g:4154868
Fakahatchee Strand	id=g:4154869
Falling Creek	id=g:4154870
Falling Creek	id=g:4154871
Falling Creek	id=g:4154872
Falling Creek Church	id=g:4154873
Falling Water	id=g:4154874
Falling Water Hill	id=g:4154875
Falling Waters State Park	id=g:4154876
Falmouth	id=g:4154877
Falmouth Lookout Tower	id=g:4154878
Falmouth Spring	id=g:4154879
False Cape	id=g:4154880
False Channel	id=g:4154881
Family Worship Center	id=g:4154882
Family of God Fellowship	id=g:4154883
Fan Palm Hammock	id=g:4154884
Lake Fan	id=g:4154885
Fanlew	id=g:4154886
Lake Fannie	id=g:4154887
Fannin Bayou	id=g:4154888
Fanning Branch	id=g:4154889
Falling Creek Church	id=g:4154890
Fanning Springs	id=g:4154891
Fanning Springs	id=g:4154892
Fanning Springs Bridge	id=g:4154893
Fanning Springs State Park	id=g:4154894
Fanny Bass Pond	id=g:4154895
Fanny Bay	id=g:4154896
Fanny Keys	id=g:4154897
Fanny Lake	id=g:4154898
Lake Fanny	id=g:4154899
Lake Fanny	id=g:4154900
Farles Lake	id=g:4154901
Farles Prairie	id=g:4154902
Farles Prairie Recreation Area	id=g:4154903
Farley Creek	id=g:4154904
Fanning Island	id=g:4154905
Farm Air Service Airport	id=g:4154906
Farm Creek	id=g:4154907
Farm Hill	id=g:4154908
Farm Hill Church	id=g:4154909
Farmdale	id=g:4154910
Farmdale Bayou	id=g:4154911
Farley Island	id=g:4154912
Farmton	id=g:4154913
Farmton Wildlife Management Area	id=g:4154914
Farnell Cemetery	id=g:4154915
Farragut Academy	id=g:4154916
Lake Farrar	id=g:4154917
Farrell Cemetery	id=g:4154918
Fasulo Park	id=g:4154919
Fat Deer Key	id=g:4154920
Fatio	id=g:4154921
Fauck Ferry	id=g:4154922
Faulk Canal	id=g:4154923
Faulkner Cemetery	id=g:4154924
Faulkner Mound	id=g:4154925
Faulkner Street Elementary School	id=g:4154926
Faulks Ferry Landing	id=g:4154927
Faust Temple Church of God in Christ	id=g:4154928
Faver-Dykes State Park	id=g:4154929
Favoretta	id=g:4154930
Fawcett Memorial Hospital	id=g:4154931
Fawlers Prairie	id=g:4154932
Fawn Ford	id=g:4154933
Lake Fay	id=g:4154934
Faye Lake	id=g:4154935
Fayetteville Cemetery	id=g:4154936
Feather Sound	id=g:4154937
Feather Sound Square	id=g:4154938
Featherbed Bank	id=g:4154939
Featherbed Bay	id=g:4154940
Federal Hill Cemetery	id=g:4154941
Federal Mall	id=g:4154942
Federal Point	id=g:4154943
Federal Point	id=g:4154944
Fedhaven	id=g:4154945
Feinberg School	id=g:4154946
Feinsinger Lake	id=g:4154947
Felda	id=g:4154948
Felda	id=g:4154949
Felda Church	id=g:4154950
Felicia	id=g:4154951
Felkel	id=g:4154952
Fellowship	id=g:4154953
Fellowship Baptist Church	id=g:4154954
Fellowship Baptist Church	id=g:4154955
Fellowship Baptist Church	id=g:4154956
Fellowship Baptist Church	id=g:4154957
Fellowship Baptist Church	id=g:4154958
Fellowship Baptist Church	id=g:4154959
Fellowship Baptist School	id=g:4154960
Fellowship Bible Church	id=g:4154961
Fellowship Missionary Baptist Church	id=g:4154962
Fellowship Church	id=g:4154963
Fellowship Church	id=g:4154964
Fellowship Church	id=g:4154965
Fellowship Church (historical)	id=g:4154966
Fellowship Lutheran Church	id=g:4154967
Fellowship Park	id=g:4154968
