Barnett Cemetery	id=g:4181121
Barnett Church	id=g:4181122
Barnett Lake	id=g:4181123
Barnett Lake	id=g:4181124
Barnett Lake Dam	id=g:4181125
Barnett Lookout Tower	id=g:4181126
Barnett Shoals	id=g:4181127
Barnett Shoals Dam	id=g:4181128
Barnett Shoals Elementary School	id=g:4181129
Barnetts Bridge	id=g:4181130
Barnetts Creek	id=g:4181131
Barnett Bridge	id=g:4181132
Barnetts Creek Church	id=g:4181133
Barnetts Shoals	id=g:4181134
Barney	id=g:4181135
Barney Bluff	id=g:4181136
Barney Lake	id=g:4181137
Barney Post Office	id=g:4181138
Barneyville	id=g:4181139
Barnhart-Owens Cemetery	id=g:4181140
Barnhill	id=g:4181141
Barnhill Cemetery	id=g:4181142
Barnsley Church	id=g:4181143
Barnsley Gardens	id=g:4181144
Barnsley School (historical)	id=g:4181145
Barnum Branch	id=g:4181146
Barnetts Creek Cemetery	id=g:4181147
Barnwell Island	id=g:4181148
Barnwell Island Number 2	id=g:4181149
Barnwell Elementary School	id=g:4181150
Baroucho Creek	id=g:4181151
Barnwell Cemetery	id=g:4181152
Barr Bridge	id=g:4181153
Barr Lake	id=g:4181154
Barrel Head Church (historical)	id=g:4181155
Barrel Head School (historical)	id=g:4181156
Barrel Head Swamp	id=g:4181157
Barren Hills	id=g:4181158
Barren Lake	id=g:4181159
Barret Mountain	id=g:4181160
Barrett	id=g:4181161
Barrett Cemetery	id=g:4181162
Barrett Lake	id=g:4181163
Barrett Lake Dam	id=g:4181164
Barrett Lakes	id=g:4181165
Barrett Park	id=g:4181166
Barrett Pond	id=g:4181167
Barretts	id=g:4181168
Barretts Church	id=g:4181169
Barretts Mill	id=g:4181170
Barretts Mill (historical)	id=g:4181171
Barretts Mill (historical)	id=g:4181172
Barrettsville	id=g:4181173
Barrington	id=g:4181174
Barrington	id=g:4181175
Barrington Lake	id=g:4181176
Barron Cemetery	id=g:4181177
Barron Stadium	id=g:4181178
Barrons Lane	id=g:4181179
Barrough Cemetery	id=g:4181180
Barrow Church	id=g:4181181
Barrow County	id=g:4181182
Barrow County Courthouse	id=g:4181183
Barrow County Jail	id=g:4181184
Barrow Creek	id=g:4181185
Barr Bluff	id=g:4181186
Barrow Heights	id=g:4181187
Barrow Hill	id=g:4181188
Barrow Medical Center	id=g:4181189
Barrow Medical Center Heliport	id=g:4181190
Barrow Memorial Gardens	id=g:4181191
Barrow Plantation (historical)	id=g:4181192
Barrows Grove Church	id=g:4181193
Bart Top	id=g:4181194
Bartenfeld Dam	id=g:4181195
Bartenfeld Lake	id=g:4181196
Bartenfield Dam	id=g:4181197
Bartenfield Lake	id=g:4181198
Bartholomew Lake	id=g:4181199
Bartholomew Lake Dam	id=g:4181200
Bartlett	id=g:4181201
Bartlett Branch	id=g:4181202
Bartlett Branch	id=g:4181203
Barrow Hall	id=g:4181204
Bartletts Ferry (historical)	id=g:4181205
Bartletts Ferry Dam	id=g:4181206
Bartletts Ferry Lake	id=g:4181207
Bartley Road Estates	id=g:4181208
Bartow Elementary School	id=g:4181209
Barton Branch	id=g:4181210
Bartlett Middle School	id=g:4181211
Barton Village	id=g:4181212
Bartons Chapel	id=g:4181213
Bartow	id=g:4181214
Bartow	id=g:4181215
Bartow Beach	id=g:4181216
Bartow Cemetery	id=g:4181217
Bartow County	id=g:4181218
Bartow County Courthouse	id=g:4181219
Bartow County Jail	id=g:4181220
Bartow High School	id=g:4181221
Bartow Park	id=g:4181222
Bartow Post Office	id=g:4181223
Bartram Trail	id=g:4181224
Barwick	id=g:4181225
Barwick City Cemetery	id=g:4181226
Barwick Elementary School	id=g:4181227
Barwick Lafayette Airport	id=g:4181228
Barwick Mill Dam One	id=g:4181229
Barwick Mill Dam Two	id=g:4181230
Barwick Mills Lake Dam	id=g:4181231
Barwick Pond	id=g:4181232
Barwick Post Office	id=g:4181233
Barwick Reservoir	id=g:4181234
Bascom	id=g:4181235
Bascom Cemetery	id=g:4181236
Bascom Church (historical)	id=g:4181237
Bascom School (historical)	id=g:4181238
Bascomb Baptist Church	id=g:4181239
Bascomb Commercial Park	id=g:4181240
Bascombs Springs	id=g:4181241
Base Chapel	id=g:4181242
Base Spring Chapel	id=g:4181243
Basil Lake	id=g:4181244
Basil Lake Dam	id=g:4181245
Basin Creek	id=g:4181246
Barton Chapel Elementary School	id=g:4181247
Basin Pond	id=g:4181248
The Basin	id=g:4181249
The Basin	id=g:4181250
Basket Creek	id=g:4181251
Basket Creek	id=g:4181252
Basket Creek Church	id=g:4181253
Basket Creek Dam	id=g:4181254
Basket Creek Lake	id=g:4181255
Baskins Cemetery	id=g:4181256
Bass	id=g:4181257
Bass Branch	id=g:4181258
Bass Cemetery	id=g:4181259
Bass Cemetery	id=g:4181260
Bass Church	id=g:4181261
Bass Crossroads	id=g:4181262
Bass Ferry (historical)	id=g:4181263
Bass Ford	id=g:4181264
Bass High School	id=g:4181265
Bass Island	id=g:4181266
Bass Lake	id=g:4181267
Bass Pond	id=g:4181268
Bass School (historical)	id=g:4181269
Bass School (historical)	id=g:4181270
Bass Store	id=g:4181271
Bass-Coleman Family Cemetery	id=g:4181272
Bassinger Pond	id=g:4181273
Bassville	id=g:4181274
Bast Cut	id=g:4181275
Bastonville	id=g:4181276
Bateau Pond	id=g:4181277
Bateman Lake	id=g:4181278
Bateman Lake Dam	id=g:4181279
Bates Branch	id=g:4181280
Basin Lake	id=g:4181281
Bates Branch	id=g:4181282
Bates Cemetery	id=g:4181283
Bates Cemetery	id=g:4181284
Bates Pond	id=g:4181285
Bates Pond Dam	id=g:4181286
Batesville	id=g:4181287
Batesville	id=g:4181288
Bath	id=g:4181289
Bath Branch	id=g:4181290
Bates Cemetery	id=g:4181291
Batson	id=g:4181292
Batson Baptist Church (historical)	id=g:4181293
Batson Creek	id=g:4181294
Bath Cemetery	id=g:4181295
Batson Creek	id=g:4181296
Batson School (historical)	id=g:4181297
Batterbee Branch	id=g:4181298
Battery Backus (historical)	id=g:4181299
Battery Cemetery	id=g:4181300
Battery Church	id=g:4181301
Battery Fenwick (historical)	id=g:4181302
Battery Gantt (historical)	id=g:4181303
Battery Garland (historical)	id=g:4181304
Battery Habersham (historical)	id=g:4181305
Battery Horace Hambright (historical)	id=g:4181306
Battery Point	id=g:4181307
Battey Farm Road Cemetery	id=g:4181308
Battey State Hospital	id=g:4181309
Battle Branch	id=g:4181310
Battery Brumby (historical)	id=g:4181311
Battle Branch	id=g:4181312
Battle Branch	id=g:4181313
Battle Branch Church	id=g:4181314
Battle Creek	id=g:4181315
Battle Branch Mine	id=g:4181316
Battle Forest	id=g:4181317
Battle Hill Haven	id=g:4181318
Battle Park	id=g:4181319
Battle Park	id=g:4181320
Battle Pond	id=g:4181321
Battle Pond Dam	id=g:4181322
Battle of Gilgal Church	id=g:4181323
Battle-Cato Cemetery	id=g:4181324
Battle-Greeson Cemetery	id=g:4181325
Battleground Creek	id=g:4181326
Battle Creek Church	id=g:4181327
Baugh Family Cemetery	id=g:4181328
Baugh Mountain	id=g:4181329
BaughanStrozier Cemetery	id=g:4181330
Baughs Crossroads	id=g:4181331
Baughville	id=g:4181332
Baxley	id=g:4181333
Baxley Cemetery	id=g:4181334
Baxley Church of Christ	id=g:4181335
Baxley City Hall	id=g:4181336
Baxley Fellowship Church	id=g:4181337
Baxley Freewill Baptist Church	id=g:4181338
Baxley High School (historical)	id=g:4181339
Baxley Manor Nursing Home	id=g:4181340
Baxley Municipal Airport	id=g:4181341
Baxley Post Office	id=g:4181342
Baxley School	id=g:4181343
Baxley School (historical)	id=g:4181344
Baxley Seventh Day Adventist Church	id=g:4181345
Baxter	id=g:4181346
Baxter Bluff	id=g:4181347
Baxter Branch	id=g:4181348
Batts Grove Church	id=g:4181349
Baxter Cemetery	id=g:4181350
Baxter Creek	id=g:4181351
Baxter Bridge (historical)	id=g:4181352
Baxter Lake	id=g:4181353
Baxter Prospect	id=g:4181354
Baxter Street Shopping Center	id=g:4181355
Bay	id=g:4181356
