Township of Lewis	id=g:4260321
Lewisville	id=g:4260322
Lewisville	id=g:4260323
Lexington	id=g:4260324
Lexington Cemetery	id=g:4260325
Lexington Elementary School	id=g:4260326
Township of Lexington	id=g:4260327
Liberal	id=g:4260328
Liberty	id=g:4260329
Liberty Branch	id=g:4260330
Lewis Creek	id=g:4260331
Liberty Cemetery	id=g:4260332
Liberty Cemetery	id=g:4260333
Liberty Cemetery	id=g:4260334
Liberty Chapel	id=g:4260335
Liberty Church	id=g:4260336
Liberty Church	id=g:4260337
Liberty Church	id=g:4260338
Liberty Church	id=g:4260339
Liberty Church	id=g:4260340
Liberty Church	id=g:4260341
Liberty Church	id=g:4260342
Liberty Church	id=g:4260343
Liberty Church	id=g:4260344
Liberty Church	id=g:4260345
Liberty Church	id=g:4260346
Liberty Church	id=g:4260347
Liberty Church	id=g:4260348
Liberty Church	id=g:4260349
Liberty Junior High School	id=g:4260350
Liberty Park	id=g:4260351
Liberty School	id=g:4260352
Liberty View Church	id=g:4260353
Township of Liberty	id=g:4260354
Township of Liberty	id=g:4260355
Township of Liberty	id=g:4260356
Township of Liberty	id=g:4260357
Township of Liberty	id=g:4260358
Township of Liberty	id=g:4260359
Libertyville	id=g:4260360
Lick Branch	id=g:4260361
Liberty Cemetery	id=g:4260362
Lick Branch	id=g:4260363
Lick Branch	id=g:4260364
Lick Branch Church	id=g:4260365
Lick Creek	id=g:4260366
Lick Creek	id=g:4260367
Lick Creek	id=g:4260368
Lick Creek	id=g:4260369
Lick Creek	id=g:4260370
Lick Creek	id=g:4260371
Lick Creek	id=g:4260372
Lick Creek	id=g:4260373
Lick Creek	id=g:4260374
Lick Creek	id=g:4260375
Lick Creek	id=g:4260376
Lick Creek	id=g:4260377
Lick Creek	id=g:4260378
Lick Creek	id=g:4260379
Lick Creek	id=g:4260380
Lick Creek	id=g:4260381
Lick Creek	id=g:4260382
Lick Creek	id=g:4260383
Lick Creek	id=g:4260384
Lick Creek Church	id=g:4260385
Lick Fork	id=g:4260386
Lick Fork State Recreation Area	id=g:4260387
Lick Run	id=g:4260388
Lick Run	id=g:4260389
Lick Skillet Hollow	id=g:4260390
Lick Spring Church	id=g:4260391
Licking Creek	id=g:4260392
Licking Creek	id=g:4260393
Liechty Cemetery	id=g:4260394
Light Branch	id=g:4260395
Liggett	id=g:4260396
Light Cemetery	id=g:4260397
Light and Life Free Methodist Chapel	id=g:4260398
Lighthouse Tabernacle	id=g:4260399
Lillard Ditch	id=g:4260400
Lillian Emery Elementary School	id=g:4260401
Lillian M Reiffel Elementary School	id=g:4260402
Lillian Schmitt Elementary School	id=g:4260403
Lilly Creek	id=g:4260404
Light Cemetery	id=g:4260405
Lilly Dale Church	id=g:4260406
Lilly Lookout Tower	id=g:4260407
Lilly Run	id=g:4260408
Lilly Dale	id=g:4260409
Limb Run	id=g:4260410
Lime Run	id=g:4260411
Limedale	id=g:4260412
Limekiln Ridge	id=g:4260413
Limestone Branch	id=g:4260414
Lilly School Number 53 (historical)	id=g:4260415
Limestone Creek	id=g:4260416
Limestone Creek	id=g:4260417
Lincoln Back Branch	id=g:4260418
Lincoln Boyhood National Memorial	id=g:4260419
Lincoln Church	id=g:4260420
Lincoln City	id=g:4260421
Lincoln Creek	id=g:4260422
Lincoln Cabin Site	id=g:4260423
Lincoln Elementary School	id=g:4260424
Lincoln Elementary and Junior High School	id=g:4260425
Lincoln High School	id=g:4260426
Lincoln High School	id=g:4260427
Lincoln Hill	id=g:4260428
Lincoln Junior High School	id=g:4260429
Lincoln Memorial Bridge	id=g:4260430
Lincoln Memory Gardens Cemetery	id=g:4260431
Lincoln Park	id=g:4260432
Lincoln Park Elementary School	id=g:4260433
Lincoln Pioneer Village	id=g:4260434
Lincoln School	id=g:4260435
Lincoln School	id=g:4260436
Lincoln School	id=g:4260437
Lincoln School	id=g:4260438
Lincoln State Park	id=g:4260439
Lincoln Toll Road Bridge	id=g:4260440
Township of Lincoln	id=g:4260441
Linden Hollow	id=g:4260442
Lincoln Elementary School	id=g:4260443
Lindsey Chapel	id=g:4260444
Line Brook	id=g:4260445
Lindenwood	id=g:4260446
Linger Longer Lake	id=g:4260447
Lingle Cemetery	id=g:4260448
Link Hollow	id=g:4260449
Linn Creek	id=g:4260450
Linnewebber Ditch	id=g:4260451
Linthieum Church	id=g:4260452
Linton	id=g:4260453
Township of Linton	id=g:4260454
Linton-Stockton High School	id=g:4260455
Linton-Stockton Junior High School	id=g:4260456
Linwood Christian Church	id=g:4260457
Linwood Square Shopping Center	id=g:4260458
Lion Creek	id=g:4260459
Linebarger Chapel	id=g:4260460
Lisher Cemetery	id=g:4260461
Littens Branch	id=g:4260462
Little Acre	id=g:4260463
Little Africa Cemetery	id=g:4260464
Little Arlington Cemetery	id=g:4260465
Little Battle Creek	id=g:4260466
Lippe	id=g:4260467
Little Bear Creek	id=g:4260468
Little Bear Creek	id=g:4260469
Little Bethel Baptist Church	id=g:4260470
Little Birch Creek	id=g:4260471
Little Blue Creek	id=g:4260472
Little Blue River	id=g:4260473
Little Blue River	id=g:4260474
Little Blue River	id=g:4260475
Little Blue River Church	id=g:4260476
Little Blue River Church	id=g:4260477
Little Brandywine Creek	id=g:4260478
Little Blue River Church	id=g:4260479
Little Brushy Fork	id=g:4260480
Little Buck Creek	id=g:4260481
Little Bull Creek	id=g:4260482
Little Camp Creek	id=g:4260483
Little Caney Fork	id=g:4260484
Little Cedar Creek	id=g:4260485
Little Cedar Creek School (historical)	id=g:4260486
Little Chain Cutoff	id=g:4260487
Little Cedar Grove Church	id=g:4260488
Little Clear Creek	id=g:4260489
Little Children Home Church	id=g:4260490
Little Clifty Branch	id=g:4260491
Little Clifty Creek	id=g:4260492
Little Clifty Falls	id=g:4260493
Little Conger Creek	id=g:4260494
Little Conns Creek	id=g:4260495
Little Cool Creek	id=g:4260496
Little Creek	id=g:4260497
Little Creek	id=g:4260498
Little Creek	id=g:4260499
Little Creek	id=g:4260500
Little Creek	id=g:4260501
Little Creek	id=g:4260502
Little Creek	id=g:4260503
Little Creek	id=g:4260504
Little Creek Cemetery	id=g:4260505
Little Crooked Creek	id=g:4260506
Little Deer Creek	id=g:4260507
Little Deer Creek	id=g:4260508
Little Ditch	id=g:4260509
Little Doe Run	id=g:4260510
Little Ditney Hill	id=g:4260511
Little Dollar Hide Creek	id=g:4260512
Little Duck Creek	id=g:4260513
Little Eagle Creek	id=g:4260514
Little Eagle Creek	id=g:4260515
Little Egypt Baptist Church	id=g:4260516
Little Flat Creek	id=g:4260517
Little Flatrock Church	id=g:4260518
Little Flatrock River	id=g:4260519
Little Flock Cemetery	id=g:4260520
Little Flock Church	id=g:4260521
Little Four Mile Creek	id=g:4260522
Little Flock Church	id=g:4260523
Little Fox Lake Dam	id=g:4260524
Little Graham Creek	id=g:4260525
Little Fox Lake	id=g:4260526
Little Haw Creek	id=g:4260527
Little Grassy Pond	id=g:4260528
Little Hogan Creek	id=g:4260529
Little Hickory Ridge Cemetery	id=g:4260530
Little Honey Creek	id=g:4260531
Little Hurricane Creek	id=g:4260532
Little Hurricane Hill	id=g:4260533
Little Indian Creek	id=g:4260534
Little Indian Creek	id=g:4260535
Little Indian Creek	id=g:4260536
Little Indian Creek	id=g:4260537
Little Indian Creek	id=g:4260538
Little Indian Creek	id=g:4260539
Little Indian Creek	id=g:4260540
Little Indian Creek	id=g:4260541
Little Jameson Creek	id=g:4260542
Little Joe Creek	id=g:4260543
Little John Cemetery	id=g:4260544
Little Laughery Creek	id=g:4260545
Little Leatherwood Creek	id=g:4260546
Little Lewis Creek	id=g:4260547
Little Lost Creek	id=g:4260548
Little Mann Creek	id=g:4260549
Little Memory Church	id=g:4260550
Little Mill Creek	id=g:4260551
Little Mosquito Creek	id=g:4260552
Little Mount Cemetery	id=g:4260553
Little Mutton Creek	id=g:4260554
Little Mount Cemetery	id=g:4260555
Little Oil Creek	id=g:4260556
Little Nebo Lake	id=g:4260557
Little Otter Creek	id=g:4260558
Little Otter Creek	id=g:4260559
Little Otter Fork	id=g:4260560
Little Ox Creek	id=g:4260561
Little Patoka River	id=g:4260562
Little Pigeon Church	id=g:4260563
Little Pigeon Creek	id=g:4260564
Little Pigeon Creek	id=g:4260565
Little Piney Pond	id=g:4260566
Little Point	id=g:4260567
Little Poison Creek	id=g:4260568
Little Pitcher Lake	id=g:4260569
Little Raccoon Creek	id=g:4260570
Little Raccoon Creek	id=g:4260571
Little Raccoon Creek	id=g:4260572
Little Raccoon Creek	id=g:4260573
Little Raccoon Creek	id=g:4260574
Little Raccoon Structure Number 11	id=g:4260575
Little Raccoon Structure Number 16	id=g:4260576
Little Raccoon Structure Number 2-C	id=g:4260577
Little Raccoon Structure Number 3	id=g:4260578
Little Raccoon Structure Number 8	id=g:4260579
Little Red Creek	id=g:4260580
Little Raccoon Structure Number 15	id=g:4260581
Little Richland Creek	id=g:4260582
Little Rock	id=g:4260583
Little Rocky Fork Creek	id=g:4260584
Little Run	id=g:4260585
Little Rusty Gut	id=g:4260586
Little Saint Louis	id=g:4260587
Little Salt Creek	id=g:4260588
Little Salt Creek	id=g:4260589
Little Salt Creek	id=g:4260590
Little Salt Creek	id=g:4260591
Little Salt Creek Cemetery	id=g:4260592
Little Saluda Creek	id=g:4260593
Little Sand Creek	id=g:4260594
Little Sand Creek Cemetery	id=g:4260595
Little Sandy Creek	id=g:4260596
Little Sanes Creek	id=g:4260597
Little Slough	id=g:4260598
Little Slough	id=g:4260599
Little Sugar Creek	id=g:4260600
Little Sugar Creek	id=g:4260601
Little Sugar Creek	id=g:4260602
Little Sugar Creek Cemetery	id=g:4260603
Little Sulphur Creek	id=g:4260604
Little Sugar Creek Church	id=g:4260605
Little Sulphur Creek	id=g:4260606
Little Sumner Ditch	id=g:4260607
Little Tough Creek	id=g:4260608
Little Turkey Creek	id=g:4260609
Little Turtle Creek	id=g:4260610
Little Union Church	id=g:4260611
Little Vermilion River	id=g:4260612
Little Walnut Cemetery	id=g:4260613
Little Walnut Creek	id=g:4260614
Little Walnut Creek Structure Number 3	id=g:4260615
Little Walnut Fork	id=g:4260616
Little Williams Creek	id=g:4260617
Little Windy Creek	id=g:4260618
Little York	id=g:4260619
Little Zion Church	id=g:4260620
Littles	id=g:4260621
Livezey Cemetery	id=g:4260622
Livingston Cemetery	id=g:4260623
Livingston Cemetery	id=g:4260624
Livingston Cemetery	id=g:4260625
Livonia	id=g:4260626
Lizton	id=g:4260627
Llewellyn Lake	id=g:4260628
Lloyd Cemetery	id=g:4260629
Lloyd Hahn Lake	id=g:4260630
Lloyd Hahn Lake Dam	id=g:4260631
Loafers Station	id=g:4260632
Lock Spring	id=g:4260633
Lock Spring Post Office (historical)	id=g:4260634
Lock and Dam Number 46	id=g:4260635
Lock and Dam Number 48	id=g:4260636
Lockerbie Square United Methodist Church	id=g:4260637
Township of Lockhart	id=g:4260638
Lockner Ridge	id=g:4260639
Lockwood Branch	id=g:4260640
Little York Cemetery	id=g:4260641
Locust Creek	id=g:4260642
Lockwood Ditch	id=g:4260643
Locust Grove	id=g:4260644
Locust Grove Cemetery	id=g:4260645
Locust Grove Church	id=g:4260646
Locust Grove Church	id=g:4260647
Locust Hill Cemetery	id=g:4260648
Locust Point	id=g:4260649
Lodge Creek	id=g:4260650
Locust Creek	id=g:4260651
Lodge School	id=g:4260652
Lodi	id=g:4260653
Loefler Ditch	id=g:4260654
Log Church Cemetery	id=g:4260655
Log Creek	id=g:4260656
Lodge Elementary School	id=g:4260657
Log Lick Creek	id=g:4260658
Log Creek Church	id=g:4260659
Logan	id=g:4260660
Logan	id=g:4260661
Logan Cemetery	id=g:4260662
Logan Cemetery	id=g:4260663
Logan Creek	id=g:4260664
Logan Creek Church	id=g:4260665
Logan Hollow	id=g:4260666
Log Run	id=g:4260667
Township of Logan	id=g:4260668
Township of Logan	id=g:4260669
Logson Branch	id=g:4260670
Logan Nine Hundred Forty-Five Ditch	id=g:4260671
Lomax Hollow	id=g:4260672
London	id=g:4260673
Lone Tree	id=g:4260674
Lonesome Hollow	id=g:4260675
London Heights	id=g:4260676
Long Acres Branch	id=g:4260677
Long Bed	id=g:4260678
Long Branch	id=g:4260679
Long Branch	id=g:4260680
Long Branch	id=g:4260681
Long Branch	id=g:4260682
Long Branch	id=g:4260683
Long Branch	id=g:4260684
Long Branch	id=g:4260685
Long Branch	id=g:4260686
Long Branch Church	id=g:4260687
Long Chapel	id=g:4260688
Long Creek	id=g:4260689
Long Cemetery	id=g:4260690
Long Hollow Hill	id=g:4260691
Long Lake	id=g:4260692
Long Lake	id=g:4260693
Long Pond	id=g:4260694
Long Pond	id=g:4260695
Long Pond	id=g:4260696
Long Pond	id=g:4260697
Long Pond	id=g:4260698
Long Pond Ditch	id=g:4260699
Long Ridge	id=g:4260700
Long Run	id=g:4260701
Long Ditch	id=g:4260702
Long Run	id=g:4260703
Long Run	id=g:4260704
Long Run	id=g:4260705
Long Run Church	id=g:4260706
Longacre Park	id=g:4260707
Longfellow School	id=g:4260708
Longview Beach	id=g:4260709
Longwood Crossing	id=g:4260710
Loogootee	id=g:4260711
Loogootee High School	id=g:4260712
Look Run	id=g:4260713
Long Run	id=g:4260714
Lopp Hollow	id=g:4260715
Lookout	id=g:4260716
Lora B Pearson Elementary School	id=g:4260717
Lord of Life Lutheran Church	id=g:4260718
Lorraine Park	id=g:4260719
Lost Bridge	id=g:4260720
Lost Creek	id=g:4260721
Lost Creek	id=g:4260722
Lost Creek	id=g:4260723
Lopps Landing (historical)	id=g:4260724
Lost Creek	id=g:4260725
Lost Creek Church	id=g:4260726
Lost Creek Community Grove	id=g:4260727
Lost Creek Conservation Club Lake	id=g:4260728
Lost Creek Conservation Club Lake Dam	id=g:4260729
Lost Creek Elementary School	id=g:4260730
Township of Lost Creek	id=g:4260731
Lost Drain	id=g:4260732
Lost Creek Church	id=g:4260733
Lost Fork	id=g:4260734
Lost Fork Creek	id=g:4260735
Lost Hill	id=g:4260736
Lost Knob Brook	id=g:4260737
Lost Knob	id=g:4260738
Lost Lake	id=g:4260739
Lost Lake Pond	id=g:4260740
Lost Ridge	id=g:4260741
Lost River	id=g:4260742
Lost River	id=g:4260743
Lost Lake	id=g:4260744
Lost Run	id=g:4260745
Lost River Church	id=g:4260746
Lottes Lake Dam	id=g:4260747
Lottick Corner	id=g:4260748
Lotus	id=g:4260749
Louden Ridge	id=g:4260750
Loudens Chapel	id=g:4260751
Lough Cemetery	id=g:4260752
Love Cemetery	id=g:4260753
Love Hollow	id=g:4260754
Lottes Lake	id=g:4260755
Lovett	id=g:4260756
Township of Lovett	id=g:4260757
Loving Missionary Baptist Church	id=g:4260758
Low Gap	id=g:4260759
Low Gap	id=g:4260760
Low Gap	id=g:4260761
Low Gap Branch	id=g:4260762
Loveless Cemetery	id=g:4260763
Lowe Cemetery	id=g:4260764
Lowe Creek	id=g:4260765
Lowder Cemetery	id=g:4260766
Lowell Branch	id=g:4260767
Lowell	id=g:4260768
Lowell Elementary School	id=g:4260769
Lowell School Number 51	id=g:4260770
Lower Cataract Falls	id=g:4260771
Lower Cummings Cemetery	id=g:4260772
Lower Limestone Creek	id=g:4260773
Lowell Elementary School	id=g:4260774
Lower Paradise Lake Dam	id=g:4260775
Lower Schooner Creek	id=g:4260776
Lower Paradise Lake	id=g:4260777
Lower Spring Lake	id=g:4260778
Lower Spring Lake Dam	id=g:4260779
Lower Union Cemetery	id=g:4260780
Lower Wildwood Lake Dam	id=g:4260781
Lowery Cemetery	id=g:4260782
Lowery Creek	id=g:4260783
Lower Shaker Prairie Ditch	id=g:4260784
Lowman Creek	id=g:4260785
Lowes Cemetery	id=g:4260786
Lubker Cemetery	id=g:4260787
Lucas Cemetery	id=g:4260788
Lucas Cemetery	id=g:4260789
Lucas Hollow	id=g:4260790
Lowry Cemetery	id=g:4260791
Township of Luce	id=g:4260792
Luck Creek	id=g:4260793
Luce Elementary School	id=g:4260794
Ludlow Church	id=g:4260795
Ludlow Hill	id=g:4260796
Ludlow Post Office (historical)	id=g:4260797
Luebking Cemetery	id=g:4260798
Luke Decker Claim	id=g:4260799
Luke Knob	id=g:4260800
Lusk Chapel	id=g:4260801
Lusks Mills (historical)	id=g:4260802
Lusks Springs (historical)	id=g:4260803
Lutes Cemetery	id=g:4260804
Lutgring Branch	id=g:4260805
Lucky Point	id=g:4260806
Luther McDonald Ditch	id=g:4260807
Lutheran Cemetery	id=g:4260808
Lutheran Cemetery	id=g:4260809
Lutheran Church Camp Dam	id=g:4260810
Lutheran Church of the Good Shepherd	id=g:4260811
Lutheran Hills Lake	id=g:4260812
Lutheran Lake	id=g:4260813
Lutheran Laymans League Lake	id=g:4260814
Lutheran Laymans League Lake Dam	id=g:4260815
Lutherania Cemetery	id=g:4260816
Lutherwood Childrens Home	id=g:4260817
Lux Lake	id=g:4260818
Lux Lake Dam	id=g:4260819
Luxenburger Cemetery	id=g:4260820
Luxhaven	id=g:4260821
Lydick Cemetery	id=g:4260822
Lyford	id=g:4260823
Lyford Dike and Levee Association Ditch	id=g:4260824
Lykens Cemetery	id=g:4260825
Lyles	id=g:4260826
Lynch School	id=g:4260827
Lynhurst	id=g:4260828
Lynhurst Baptist Church	id=g:4260829
Lynn Creek	id=g:4260830
Lutgring Hill	id=g:4260831
Lynnville	id=g:4260832
Lynnville Cemetery	id=g:4260833
Lynnville Elementary School	id=g:4260834
Lynnville Mine	id=g:4260835
Lynwood Farm Purdue University	id=g:4260836
Lyons	id=g:4260837
