Westwood Branch	id=g:4266879
Westfork Church	id=g:4266880
Westwood Run	id=g:4266881
Westwood Park Reservoir	id=g:4266882
Wetnight Ditch	id=g:4266883
Wheatland	id=g:4266884
Wheatley Creek	id=g:4266885
Wetherill Cemetery	id=g:4266886
Wheatly Branch	id=g:4266887
Wheatonville	id=g:4266888
Wheel Run	id=g:4266889
Wheeler Cemetery	id=g:4266890
Wheeler Creek	id=g:4266891
Wheeler Hollow	id=g:4266892
Wheeler Mission Campground	id=g:4266893
Wheeler Ridge	id=g:4266894
Wheeler School	id=g:4266895
Wheeling	id=g:4266896
Whiley Chapel Cemetery	id=g:4266897
Whipple Ditch	id=g:4266898
Whippoorwill Branch	id=g:4266899
Wheeler Prairie	id=g:4266900
Whippoorwill Lake	id=g:4266901
Whippoorwill Lake Dam	id=g:4266902
Whippoorwill Lake Dam	id=g:4266903
Whiskey Hollow	id=g:4266904
Whippoorwill Lake	id=g:4266905
Whiskey Run	id=g:4266906
Whiskey Run	id=g:4266907
Whispering Pines Pond	id=g:4266908
Whispering Wind Lake Dam	id=g:4266909
Whistle Creek	id=g:4266910
Whispering Wind Lake	id=g:4266911
Whistle Creek	id=g:4266912
Whitaker	id=g:4266913
Whitaker Creek	id=g:4266914
Whitaker-Patrick Cemetery	id=g:4266915
Whitcomb Cemetery	id=g:4266916
Whitcomb Heights	id=g:4266917
White Branch	id=g:4266918
Whitcomb	id=g:4266919
White Cemetery	id=g:4266920
White Cemetery	id=g:4266921
White Cemetery	id=g:4266922
White Chapel	id=g:4266923
White Chapel Cemetery	id=g:4266924
White Cloud	id=g:4266925
White Creek	id=g:4266926
White Branch Church	id=g:4266927
White Creek	id=g:4266928
White Creek Church	id=g:4266929
White Creek Post Office (historical)	id=g:4266930
White Eye Branch	id=g:4266931
White Creek Lutheran School	id=g:4266932
White Eye Hollow	id=g:4266933
White Heart Cemetery	id=g:4266934
White Hollow	id=g:4266935
White Lick Baptist Cemetery	id=g:4266936
White Lick Creek	id=g:4266937
White Lick Presbyterian Church	id=g:4266938
White Oak Branch	id=g:4266939
White Lick Golf Course	id=g:4266940
White Oak Creek	id=g:4266941
White Oak Lake	id=g:4266942
White Oak Public Fishing Area	id=g:4266943
White Oak State Fishing Area	id=g:4266944
White Ridge	id=g:4266945
White River	id=g:4266946
White River	id=g:4266947
White Oak Lake Dam	id=g:4266948
White River Church	id=g:4266949
White River School	id=g:4266950
Township of White River	id=g:4266951
Township of White River	id=g:4266952
White Rose	id=g:4266953
White Sulphur Springs	id=g:4266954
White Water Camp	id=g:4266955
Whiteford Cemetery	id=g:4266956
Whitehall	id=g:4266957
Whitehall Cemetery	id=g:4266958
Whitehouse Cemetery	id=g:4266959
Whiteland	id=g:4266960
Whiteland Community High School	id=g:4266961
Whiteoak	id=g:4266962
Whiteriver Airfield	id=g:4266963
Whites Hill	id=g:4266964
Whitestown	id=g:4266965
Whitesville	id=g:4266966
Whitewater	id=g:4266967
Whitewater Canal	id=g:4266968
Whitewater Canal	id=g:4266969
Whitewater Canal Memorial	id=g:4266970
Whitewater Canal Memorial Lock	id=g:4266971
Whitewater Lake	id=g:4266972
Whitewater School (historical)	id=g:4266973
Whitewater State Park	id=g:4266974
Whitewater State Park Lake Dam	id=g:4266975
Township of Whitewater	id=g:4266976
Whitfield	id=g:4266977
Whitham Cemetery	id=g:4266978
Whitley Lake	id=g:4266979
Whitley Lake Dam	id=g:4266980
Whitson Cemetery	id=g:4266981
Whitson Hollow	id=g:4266982
White River Cemetery	id=g:4266983
Whittaker Ditch	id=g:4266984
Whittier School	id=g:4266985
Whittman Bottom	id=g:4266986
Whitwater Canal	id=g:4266987
Whorley Ditch	id=g:4266988
Wicker Ditch	id=g:4266989
Wickliffe	id=g:4266990
Wickville	id=g:4266991
Township of Widner	id=g:4266992
Wigal Cemetery	id=g:4266993
Wikoff Ditch	id=g:4266994
Wilbur	id=g:4266995
Wilbur Wright Creek	id=g:4266996
Whittier School Number 33 (historical)	id=g:4266997
Wilbur Wright Memorial	id=g:4266998
Wildcat Branch	id=g:4266999
Wilbur Wright Elementary School	id=g:4267000
Wildcat Brook	id=g:4267001
Wildcat Knob	id=g:4267002
Wildcat Run	id=g:4267003
Wildwood Bridge	id=g:4267004
Wildwood Lake	id=g:4267005
Wildwood Lake	id=g:4267006
Wiles Cemetery	id=g:4267007
Wiley Branch	id=g:4267008
Wildwood Camp	id=g:4267009
Wiley Indian Mound	id=g:4267010
Wiley Thompson Ditch	id=g:4267011
Wilfred	id=g:4267012
Wilhite Cemetery	id=g:4267013
Wilhoit Cemetery	id=g:4267014
Wilkerson Cemetery	id=g:4267015
Wilkerson Hill	id=g:4267016
Wilkersons Airport	id=g:4267017
Wilkins Mill Covered Bridge	id=g:4267018
Wilkinson	id=g:4267019
Wilkinson Ditch	id=g:4267020
Will Creek	id=g:4267021
Wiley High School	id=g:4267022
Will Hay Branch	id=g:4267023
Willard J Gambold Junior High School	id=g:4267024
Willard Park	id=g:4267025
Willard School Number 80 (historical)	id=g:4267026
Willcox Airport	id=g:4267027
Willcraft Lake Lower Dam	id=g:4267028
