Risen Cemetery	id=g:4306179
Rising Sun Ridge	id=g:4306180
Risner	id=g:4306181
Risner Branch	id=g:4306182
Ringos Mills	id=g:4306183
Risner Branch	id=g:4306184
Risner Cemetery	id=g:4306185
Risner Cemetery	id=g:4306186
Ritchey Bridge	id=g:4306187
Ritchie	id=g:4306188
Ritner	id=g:4306189
Rittenhouse Slough	id=g:4306190
Ritter Branch	id=g:4306191
Risner Cemetery	id=g:4306192
River Bluff	id=g:4306193
River Branch	id=g:4306194
River Church	id=g:4306195
River Fork	id=g:4306196
River	id=g:4306197
River Hill School	id=g:4306198
River Hollow	id=g:4306199
River Hollow	id=g:4306200
River Hill Holiness Church	id=g:4306201
River Ridge	id=g:4306202
River Road Country Club	id=g:4306203
River Slough	id=g:4306204
River Ridge	id=g:4306205
Riverside	id=g:4306206
Riverside Beach	id=g:4306207
Riverside Cemetery	id=g:4306208
Riverside Cemetery	id=g:4306209
Riverside Cemetery	id=g:4306210
Riverside Christian Training School	id=g:4306211
Riverside Church	id=g:4306212
Riverside Church	id=g:4306213
Riverside Creek	id=g:4306214
River View Cemetery	id=g:4306215
Riverside Hospital	id=g:4306216
Riverside Park	id=g:4306217
Riverside School	id=g:4306218
Riverview	id=g:4306219
Riverview	id=g:4306220
Riverview Airport	id=g:4306221
Riverview Cemetery	id=g:4306222
Riverview Church	id=g:4306223
Riverview Estates	id=g:4306224
Riverwood	id=g:4306225
Rives Cemetery	id=g:4306226
Roach Cemetery	id=g:4306227
Roach Hollow	id=g:4306228
Roachville	id=g:4306229
Road Branch	id=g:4306230
Riverside Gardens	id=g:4306231
Road Branch	id=g:4306232
Road Branch	id=g:4306233
Road Branch	id=g:4306234
Road Branch	id=g:4306235
Road Branch	id=g:4306236
Road Branch	id=g:4306237
Road Branch	id=g:4306238
Road Fork	id=g:4306239
Road Creek	id=g:4306240
Road Fork	id=g:4306241
Road Fork	id=g:4306242
Road Fork	id=g:4306243
Road Fork	id=g:4306244
Road Fork	id=g:4306245
Road Fork	id=g:4306246
Road Fork	id=g:4306247
Road Fork	id=g:4306248
Road Fork	id=g:4306249
Road Fork	id=g:4306250
Road Fork	id=g:4306251
Road Fork	id=g:4306252
Road Fork	id=g:4306253
Road Fork	id=g:4306254
Road Fork	id=g:4306255
Road Fork	id=g:4306256
Road Fork	id=g:4306257
Road Fork	id=g:4306258
Road Fork	id=g:4306259
Road Fork	id=g:4306260
Road Fork	id=g:4306261
Road Fork	id=g:4306262
