Buffalo Creek Campground	id=g:4379037
Buffalo Ditch Number 39	id=g:4379038
Township of Buffalo Hart	id=g:4379039
Buffalo Hole Bend	id=g:4379040
Buffalo Island	id=g:4379041
Buffalo Island	id=g:4379042
Buffalo Island	id=g:4379043
Buffalo Knob	id=g:4379044
Buffalo Knob	id=g:4379045
Township of Buffalo May	id=g:4379046
Buffalo Municipal Airport	id=g:4379047
Buffalo Prairie Church	id=g:4379048
Buffalo Prairie School (historical)	id=g:4379049
Buffalo Ridge School	id=g:4379050
Buffalo School	id=g:4379051
Buffalo School	id=g:4379052
Buffalo School (historical)	id=g:4379053
Buffalo School (historical)	id=g:4379054
Buffalo School (historical)	id=g:4379055
Buffalo Spring	id=g:4379056
Buffalo Wallow	id=g:4379057
Township of Buffalo	id=g:4379058
Township of Buffalo	id=g:4379059
Township of Buffalo	id=g:4379060
Township of Buffalo	id=g:4379061
Buffington	id=g:4379062
Buffington Cemetery	id=g:4379063
Buffington Hollow	id=g:4379064
Buffalo Ditch Number 39	id=g:4379065
Buffum Iron Mine	id=g:4379066
Buford Mountain	id=g:4379067
Buford Pond	id=g:4379068
Bugg School	id=g:4379069
Bugger Boo Bay	id=g:4379070
Buggs Cemetery	id=g:4379071
Buhl Lake	id=g:4379072
Buick	id=g:4379073
Buick Lookout Tower	id=g:4379074
Buick Mine	id=g:4379075
Buick Mine Tailings Dam	id=g:4379076
Buick School (historical)	id=g:4379077
Builderback Cemetery	id=g:4379078
Builderback Hollow	id=g:4379079
Buffington School (historical)	id=g:4379080
Bull Branch	id=g:4379081
Lake Buleo	id=g:4379082
Bull Camp Hollow	id=g:4379083
Bull Branch	id=g:4379084
Bull Creek	id=g:4379085
Bull Cemetery	id=g:4379086
Bull Creek	id=g:4379087
Bull Creek	id=g:4379088
Bull Lot Hollow	id=g:4379089
Bull Rock	id=g:4379090
Bull Run Camp	id=g:4379091
Bull Run Hollow	id=g:4379092
Bull Run Bluff	id=g:4379093
Bullard Lake Dam	id=g:4379094
Bullians Landing	id=g:4379095
Bullington Cemetery	id=g:4379096
Bullock Hollow	id=g:4379097
Bullar Lake Dam	id=g:4379098
Bullskin Creek	id=g:4379099
Bumgarden Ford	id=g:4379100
Bumgarner Lake Section 11 Dam	id=g:4379101
Bumgarner Lake Section 3 Dam	id=g:4379102
Bump Hollow	id=g:4379103
Bumgarner Cemetery	id=g:4379104
Bumpass Creek	id=g:4379105
Bumpass Cemetery	id=g:4379106
