Fair Haven Lake Dam	id=g:4511248
Fair Haven Methodist Church	id=g:4511249
Fair Oak (historical)	id=g:4511250
Fair Oaks	id=g:4511251
Fair Oaks Baptist Church	id=g:4511252
Fair Oaks Shopping Center	id=g:4511253
Fair Place	id=g:4511254
Fair Play Church	id=g:4511255
Fair Play School (historical)	id=g:4511256
Fair Plaza Shopping Center	id=g:4511257
Fair Street Christian Church	id=g:4511258
Fair View Cemetery	id=g:4511259
Fair View Cemetery	id=g:4511260
Eagles Nest Golf Course	id=g:4511261
Fairacres Lake	id=g:4511262
Fairborn	id=g:4511263
Fairborn Church	id=g:4511264
Fairborn Enterprise Baptist Church	id=g:4511265
Fairborn High School	id=g:4511266
Fairborn Plaza Shopping Center	id=g:4511267
Fairborn Post Office	id=g:4511268
Fairborn-Wright Office Park	id=g:4511269
Fairbrook Elementary School	id=g:4511270
Fairchild Cemetery	id=g:4511271
Fairchild Church	id=g:4511272
Faircreek Church	id=g:4511273
Fairfax	id=g:4511274
Fairfax	id=g:4511275
Fairfax Cemetery	id=g:4511276
Fairfax Church of the Nazarene	id=g:4511277
Fairfax Elementary School	id=g:4511278
Fairfax Elementary School	id=g:4511279
Fairfax Methodist Church	id=g:4511280
Fairfax Post Office (historical)	id=g:4511281
Fairfax Presbyterian Church	id=g:4511282
Fairfield	id=g:4511283
Fairfield Acres	id=g:4511284
Fairfield Beach	id=g:4511285
Fairfield Branch Library	id=g:4511286
Fairfield Cemetery	id=g:4511287
Fairfield Cemetery	id=g:4511288
Fairfield Center Mall Shopping Center	id=g:4511289
Fairfield Central Elementary School	id=g:4511290
Fairfield Methodist Church	id=g:4511291
Fairfield Church Cemetery	id=g:4511292
Fairfield Church Cemetery	id=g:4511293
Fairfield Church of the Nazarene	id=g:4511294
Fairfield County	id=g:4511295
Fairfield County Airport	id=g:4511296
Fairfield County Childrens Home	id=g:4511297
Fairfield County Courthouse	id=g:4511298
Fairfield County Fairgrounds	id=g:4511299
Fairfield County Home	id=g:4511300
Fairfield County Jail	id=g:4511301
Fairfield County Library	id=g:4511302
Fairfield County Mental Health and Retardation Center	id=g:4511303
Fair Elementary School	id=g:4511304
Fairfield Golf Course	id=g:4511305
Fairfield High School	id=g:4511306
Fairfield High School	id=g:4511307
Fairfield Industrial Park	id=g:4511308
Fairfield Middle School	id=g:4511309
Fairfield North Elementary School	id=g:4511310
Fairfield Optimist Park	id=g:4511311
Fairfield Park	id=g:4511312
Fairfield Post Office	id=g:4511313
Fairfield Quaker Meeting House	id=g:4511314
Fairfield School for Boys (historical)	id=g:4511315
Fairfield South Elementary School	id=g:4511316
Fairfield Trustees Cemetery	id=g:4511317
Fairfield Union School	id=g:4511318
Fairfield Wesleyan Church	id=g:4511319
Fairfield West Baptist Church	id=g:4511320
