Mirassol	id=g:6322383
Mirassolândia	id=g:6322384
Mococa	id=g:6322385
Mogi das Cruzes	id=g:6322386
Mogi-Mirim	id=g:6322387
Mombuca	id=g:6322388
Monções	id=g:6322389
Mongaguá	id=g:6322390
Monte Alegre do Sul	id=g:6322391
Monte Alto	id=g:6322392
Monte Aprazível	id=g:6322393
Monte Azul Paulista	id=g:6322394
Monte Castelo	id=g:6322395
Monteiro Lobato	id=g:6322396
Monte Mor	id=g:6322397
Morro Agudo	id=g:6322398
Morungaba	id=g:6322399
Motuca	id=g:6322400
Murutinga do Sul	id=g:6322401
Nantes	id=g:6322402
Narandiba	id=g:6322403
Natividade da Serra	id=g:6322404
Nazaré Paulista	id=g:6322405
Neves Paulista	id=g:6322406
Nhandeara	id=g:6322407
Nipoã	id=g:6322408
Nova Aliança	id=g:6322409
Nova Campina	id=g:6322410
Nova Europa	id=g:6322411
Nova Granada	id=g:6322412
Nova Guataporanga	id=g:6322413
Nova Independência	id=g:6322414
Novais	id=g:6322415
Nova Luzitânia	id=g:6322416
Novo Horizonte	id=g:6322417
Nuporanga	id=g:6322418
Ocauçu	id=g:6322419
Óleo	id=g:6322420
Olímpia	id=g:6322421
Onda Verde	id=g:6322422
Oriente	id=g:6322423
Orindiúva	id=g:6322424
Orlândia	id=g:6322425
Osasco	id=g:6322426
Oscar Bressane	id=g:6322427
Osvaldo Cruz	id=g:6322428
Ourinhos	id=g:6322429
Ouroeste	id=g:6322430
Ouro Verde	id=g:6322431
Pacaembu	id=g:6322432
Palestina	id=g:6322433
Palmares Paulista	id=g:6322434
Palmeira d'Oeste	id=g:6322435
Palmital	id=g:6322436
Panorama	id=g:6322437
Paraguaçu Paulista	id=g:6322438
Paraibuna	id=g:6322439
Paraíso	id=g:6322440
Paranapanema	id=g:6322441
Paranapuã	id=g:6322442
Parapuã	id=g:6322443
Pardinho	id=g:6322444
Pariquera-Açu	id=g:6322445
Parisi	id=g:6322446
Paulicéia	id=g:6322447
Paulínia	id=g:6322448
Paulo de Faria	id=g:6322449
Pederneiras	id=g:6322450
Pedra Bela	id=g:6322451
Pedranópolis	id=g:6322452
Pedregulho	id=g:6322453
Pedrinhas Paulista	id=g:6322454
Pedro de Toledo	id=g:6322455
Pereira Barreto	id=g:6322456
Pereiras	id=g:6322457
Peruíbe	id=g:6322458
Piacatu	id=g:6322459
Piedade	id=g:6322460
Pilar do Sul	id=g:6322461
Pindamonhangaba	id=g:6322462
Pindorama	id=g:6322463
Pinhalzinho	id=g:6322464
Piquerobi	id=g:6322465
Piquete	id=g:6322466
Piracaia	id=g:6322467
Piraju	id=g:6322468
Pirajuí	id=g:6322469
Pirangi	id=g:6322470
Pirapora do Bom Jesus	id=g:6322471
Pirassununga	id=g:6322472
Pitangueiras	id=g:6322473
Planalto	id=g:6322474
Platina	id=g:6322475
Poá	id=g:6322476
Poloni	id=g:6322477
Pompéia	id=g:6322478
Pongaí	id=g:6322479
Pontal	id=g:6322480
Pontalinda	id=g:6322481
Populina	id=g:6322482
Porangaba	id=g:6322483
Porto Feliz	id=g:6322484
Porto Ferreira	id=g:6322485
Potim	id=g:6322486
Potirendaba	id=g:6322487
Pracinha	id=g:6322488
Pradópolis	id=g:6322489
Pratânia	id=g:6322490
Presidente Alves	id=g:6322491
Presidente Epitácio	id=g:6322492
Presidente Venceslau	id=g:6322493
Promissão	id=g:6322494
Quadra	id=g:6322495
Quatá	id=g:6322496
Queiroz	id=g:6322497
Queluz	id=g:6322498
Quintana	id=g:6322499
Rafard	id=g:6322500
Rancharia	id=g:6322501
Redenção da Serra	id=g:6322502
Regente Feijó	id=g:6322503
Reginópolis	id=g:6322504
Registro	id=g:6322505
Restinga	id=g:6322506
Ribeira	id=g:6322507
Ribeirão Bonito	id=g:6322508
Ribeirão Branco	id=g:6322509
Ribeirão Corrente	id=g:6322510
Ribeirão do Sul	id=g:6322511
Ribeirão dos Índios	id=g:6322512
Ribeirão Grande	id=g:6322513
Ribeirão Pires	id=g:6322514
Ribeirão Preto	id=g:6322515
Riversul	id=g:6322516
Rifaina	id=g:6322517
Rincão	id=g:6322518
Rinópolis	id=g:6322519
Rio Claro	id=g:6322520
Rio das Pedras	id=g:6322521
Rio Grande da Serra	id=g:6322522
Rosana	id=g:6322523
Roseira	id=g:6322524
Rubiácea	id=g:6322525
Rubinéia	id=g:6322526
Sabino	id=g:6322527
Sagres	id=g:6322528
Sales Oliveira	id=g:6322529
Salesópolis	id=g:6322530
Salmourão	id=g:6322531
Salto	id=g:6322532
Salto de Pirapora	id=g:6322533
Salto Grande	id=g:6322534
Sandovalina	id=g:6322535
Santa Adélia	id=g:6322536
Santa Albertina	id=g:6322537
Santa Bárbara d'Oeste	id=g:6322538
Santa Branca	id=g:6322539
Santa Clara d'Oeste	id=g:6322540
Santa Cruz da Esperança	id=g:6322541
Santa Cruz das Palmeiras	id=g:6322542
Santa Cruz do Rio Pardo	id=g:6322543
Santa Ernestina	id=g:6322544
Santa Fé do Sul	id=g:6322545
Santa Gertrudes	id=g:6322546
Santa Isabel	id=g:6322547
Santa Lúcia	id=g:6322548
Santa Maria da Serra	id=g:6322549
Santa Mercedes	id=g:6322550
Santana da Ponte Pensa	id=g:6322551
Santana de Parnaíba	id=g:6322552
Santa Rita d'Oeste	id=g:6322553
Santa Rita do Passa Quatro	id=g:6322554
Santa Rosa de Viterbo	id=g:6322555
Santa Salete	id=g:6322556
Santo Anastácio	id=g:6322557
Santo André	id=g:6322558
Santo Antônio da Alegria	id=g:6322559
Santo Antônio de Posse	id=g:6322560
Santo Antônio do Aracanguá	id=g:6322561
Santo Antônio do Jardim	id=g:6322562
Santo Antônio do Pinhal	id=g:6322563
Santo Expedito	id=g:6322564
