Goldmine Hollow	id=g:4537702
Golden Lodge Cemetery	id=g:4537703
Goldsby Church	id=g:4537704
Township of Goldsby	id=g:4537705
Goldsmith Cemetery	id=g:4537706
Goldville Divide	id=g:4537707
Golsby Field	id=g:4537708
Goltry	id=g:4537709
Good Hope Cemetery	id=g:4537710
Good Hope Cemetery	id=g:4537711
Good Hope Church	id=g:4537712
Good Hope School	id=g:4537713
Good News Church	id=g:4537714
Good News Fellowship	id=g:4537715
Good Samaritan Baptist Church	id=g:4537716
Good Shepard Baptist Church	id=g:4537717
Good Shepherd Christian Church	id=g:4537718
Good Shepherd Lutheran Church	id=g:4537719
Good Shepherd Lutheran School	id=g:4537720
Good Shepherd Ministry Church	id=g:4537721
Good Shepherd Presbyterian Church	id=g:4537722
Good Spring Church	id=g:4537723
Good Springs Church	id=g:4537724
Good Will Church	id=g:4537725
Township of Good	id=g:4537726
Gooden Creek	id=g:4537727
Goldsby	id=g:4537728
Goodholm Park	id=g:4537729
Goodhope Bottom	id=g:4537730
Goodhope Ramp Public Use Area	id=g:4537731
Goodhope School	id=g:4537732
Goodin Arm	id=g:4537733
Goodin Spring	id=g:4537734
Goodlake	id=g:4537735
Goodland	id=g:4537736
Goodland Cemetery	id=g:4537737
Goodland Church	id=g:4537738
Goodland School	id=g:4537739
Goodman Branch	id=g:4537740
Goodhill School	id=g:4537741
Goodrich Memorial United Church	id=g:4537742
Goodtraveler Cemetery	id=g:4537743
Goodwater	id=g:4537744
Goodwater Church	id=g:4537745
Goodwater Church	id=g:4537746
Goodwater Creek	id=g:4537747
Goodnight	id=g:4537748
Goodwater Creek	id=g:4537749
Goodwill Church of God	id=g:4537750
Goose Creek	id=g:4537751
Goose Creek	id=g:4537752
Goose Neck Bend	id=g:4537753
Goose Neck Cemetery	id=g:4537754
Goose Neck Lake	id=g:4537755
Gooseneck Bend	id=g:4537756
Gordon Lake	id=g:4537757
Gordon Lake Dam	id=g:4537758
Gordon Mountain	id=g:4537759
Gore	id=g:4537760
Gore Boulevard Church	id=g:4537761
Gore Cemetery	id=g:4537762
Gore Landing	id=g:4537763
Gore Median Park	id=g:4537764
Gore Park	id=g:4537765
Gore Plaza	id=g:4537766
Gore School	id=g:4537767
Township of Gore	id=g:4537768
Gospel Assembly Church	id=g:4537769
Gospel Celebration Fellowship Church	id=g:4537770
Gospel Chapel	id=g:4537771
Gospel Mission Baptist Church	id=g:4537772
Gospel Rescue Mission	id=g:4537773
Gospel Tabernacle	id=g:4537774
Gospel Tabernacle Church	id=g:4537775
Goss	id=g:4537776
Gotebo	id=g:4537777
Gotebo Cemetery	id=g:4537778
Gould	id=g:4537779
Gould Bridge	id=g:4537780
Gould Cemetery	id=g:4537781
Government Spring	id=g:4537782
Government Springs	id=g:4537783
Governors Mansion Heliport	id=g:4537784
Gowen	id=g:4537785
Gowen Cemetery	id=g:4537786
Township of Gowen	id=g:4537787
Gower Cemetery	id=g:4537788
Grace Academy	id=g:4537789
Grace Apostolic Temple	id=g:4537790
Grace Assembly of God Church	id=g:4537791
Grace Assembly of God Church	id=g:4537792
Grace Baptist Church	id=g:4537793
Grace Baptist Church	id=g:4537794
Grace Baptist Church	id=g:4537795
Grace Baptist Church	id=g:4537796
Grace Baptist Church	id=g:4537797
Grace Baptist Church	id=g:4537798
Grace Baptist Church	id=g:4537799
Grace Baptist Church	id=g:4537800
Grace Baptist Church	id=g:4537801
Grace Baptist Church	id=g:4537802
Grace Bible Church	id=g:4537803
Grace Bible Church	id=g:4537804
Grace Bible Church	id=g:4537805
Grace Bible Church	id=g:4537806
Grace Cathedral Pentecostal Church	id=g:4537807
Grace Chapel	id=g:4537808
Grace Chapel	id=g:4537809
Grace Chapel	id=g:4537810
Grace Church	id=g:4537811
Grace Church	id=g:4537812
Grace Church	id=g:4537813
Grace Church of the Nazarene	id=g:4537814
Grace Community Bible Church	id=g:4537815
Grace Community Fellowship Church	id=g:4537816
Grace Covenant Church	id=g:4537817
Grace Discipleship Church	id=g:4537818
Grace Episcopal Church	id=g:4537819
Grace Episcopal Church	id=g:4537820
Grace Epworth United Methodist Church	id=g:4537821
Grace Family Fellowship	id=g:4537822
Grace Fellowship Church	id=g:4537823
Grace Fellowship Church	id=g:4537824
Grace Free Will Baptist Church	id=g:4537825
Grace Freewill Baptist Church	id=g:4537826
Grace Gospel Chapel	id=g:4537827
Grace Hill Cemetery	id=g:4537828
Grace Lawn Cemetery	id=g:4537829
Grace Lutheran Church	id=g:4537830
Grace Lutheran Church	id=g:4537831
Grace Lutheran Church	id=g:4537832
Grace Mennonite Church	id=g:4537833
Grace Mountain	id=g:4537834
Grace Pentecostal Church	id=g:4537835
Grace Place Baptist Church	id=g:4537836
Grace Presbyterian Church	id=g:4537837
Grace Presbyterian Church	id=g:4537838
Grace United Methodist Church	id=g:4537839
Grace United Methodist Church	id=g:4537840
Grace United Methodist Church	id=g:4537841
Grace United Methodist Church	id=g:4537842
Grace World Outreach Church	id=g:4537843
Gracemont	id=g:4537844
Gracemont Baptist Church	id=g:4537845
Gracemont Cemetery	id=g:4537846
Gracemont Elementary School	id=g:4537847
Township of Gracemont	id=g:4537848
Graceway Baptist Church	id=g:4537849
Gracie Chambers Dam	id=g:4537850
Gracie Chambers Reservoir	id=g:4537851
Grady	id=g:4537852
Grady Cemetery	id=g:4537853
Grady County	id=g:4537854
Grady Memorial Hospital	id=g:4537855
Graham	id=g:4537856
Graham Flat	id=g:4537857
Graham Memorial Cemetery	id=g:4537858
Graham School	id=g:4537859
Township of Graham	id=g:4537860
Grainola	id=g:4537861
Grainville	id=g:4537862
Grama Flat	id=g:4537863
Grama Lake	id=g:4537864
Gramma Lake	id=g:4537865
Gramma Lake Dam	id=g:4537866
Grand Army of the Republic Cemetery	id=g:4537867
Grand Assembly of God Church	id=g:4537868
Grand Avenue United Methodist Church	id=g:4537869
Grand Boulevard Assembly	id=g:4537870
Grand Boulevard Baptist Church	id=g:4537871
Grand Boulevard Church-Christ	id=g:4537872
Grand Cemetery	id=g:4537873
Grand Lake O' the Cherokees	id=g:4537874
Grand Lake Towne	id=g:4537875
Grand Rapids	id=g:4537876
Grand River Pumping Station	id=g:4537877
Grand School	id=g:4537878
Grand Valley Hospital Heliport	id=g:4537879
Grandview Cemetery	id=g:4537880
Township of Grand View	id=g:4537881
Township of Grand	id=g:4537882
Grandcraft Landing Strip	id=g:4537883
Grandfield	id=g:4537884
Grandfield Cemetery	id=g:4537885
Grandfield Elementary School	id=g:4537886
Grandfield High School	id=g:4537887
Grandfield Municipal Airport	id=g:4537888
Grandview Cemetery	id=g:4537889
Grandview Cemetery	id=g:4537890
Grandview Center	id=g:4537891
Grandview Chapel	id=g:4537892
Grandview Church	id=g:4537893
Grandview Church	id=g:4537894
Grandview Church	id=g:4537895
Grandview Community Center	id=g:4537896
Grandview Heights	id=g:4537897
Grandview School	id=g:4537898
Grandview School	id=g:4537899
Grandview School	id=g:4537900
Grandview Shopping Center	id=g:4537901
Grandview Shopping Center	id=g:4537902
Township of Grandview	id=g:4537903
Granite	id=g:4537904
Granite Cemetery	id=g:4537905
Granite Mountain	id=g:4537906
Granite Mountains	id=g:4537907
Township of Granite	id=g:4537908
Granny Branch	id=g:4537909
Goodwin	id=g:4537910
Grant	id=g:4537911
Grant Chapel	id=g:4537912
Grant Chapel African Methodist Episcopal Church	id=g:4537913
Grant County	id=g:4537914
Grant Creek	id=g:4537915
Granny Graham Mountain	id=g:4537916
Grant Osborn Dam	id=g:4537917
Grant Osborn Reservoir	id=g:4537918
Grant School	id=g:4537919
Grant Square	id=g:4537920
Township of Grant	id=g:4537921
Township of Grant	id=g:4537922
Township of Grant	id=g:4537923
Grantham Church	id=g:4537924
Grants Gap	id=g:4537925
Grape Creek	id=g:4537926
Grapevine Mountain	id=g:4537927
Grapevine Mountain	id=g:4537928
Grapevine Mountain	id=g:4537929
Grapevine Mountain	id=g:4537930
Grass Roots Airport	id=g:4537931
Grassy Branch	id=g:4537932
U S Grant High School	id=g:4537933
Grassy Creek	id=g:4537934
Grassy Creek	id=g:4537935
Grassy Creek	id=g:4537936
Grassy Hollow	id=g:4537937
Grassy Hollow	id=g:4537938
Grassy Lake	id=g:4537939
Grassy Lake	id=g:4537940
Grassy Lake	id=g:4537941
Grassy Lake	id=g:4537942
Grassy Lake Hollow	id=g:4537943
Grassy Lake	id=g:4537944
Grave Creek	id=g:4537945
Grave Creek Church	id=g:4537946
Graves Creek	id=g:4537947
Graveyard Bluff	id=g:4537948
Gray	id=g:4537949
Gray Cemetery	id=g:4537950
Gray High School	id=g:4537951
Gray Horse	id=g:4537952
Gray Horse Cemetery	id=g:4537953
Gray Horse Creek	id=g:4537954
Grassy Slough	id=g:4537955
Gray Horse Creek	id=g:4537956
Gray Mountain	id=g:4537957
Gray Squirrel Hollow	id=g:4537958
Gray Oil Field	id=g:4537959
Gray Wolf Spring	id=g:4537960
Grays Hollow	id=g:4537961
Gray Wolf Crossing	id=g:4537962
Grayson Cemetery	id=g:4537963
Grayson Cemetery	id=g:4537964
Grayson Cemetery	id=g:4537965
Grayson Church	id=g:4537966
Grayson Creek	id=g:4537967
Grayson	id=g:4537968
Township of Grayson	id=g:4537969
Greasy	id=g:4537970
Greasy Creek	id=g:4537971
Grayson Oil Field	id=g:4537972
Greasy Creek	id=g:4537973
Greasy Creek	id=g:4537974
Greasy Creek	id=g:4537975
Greasy Lake	id=g:4537976
Great Hope Cemetery	id=g:4537977
Great Plains Area Vocational Technical School	id=g:4537978
Great Plains Baptist Church	id=g:4537979
Great Plains Hospital	id=g:4537980
Great Plains State Park	id=g:4537981
Great Salt Plains Dam	id=g:4537982
Great Salt Plains Lake	id=g:4537983
Great Salt Plains Reservoir	id=g:4537984
Great Salt Plains State Park	id=g:4537985
Greater Bethel Baptist Church	id=g:4537986
Greater Coates Temple Church	id=g:4537987
Greater Concord Missionary Church	id=g:4537988
Greater Faith Apostolic Church	id=g:4537989
Greater Faith Baptist Church	id=g:4537990
Greater Fellowship Baptist Church	id=g:4537991
Greater First Baptist Church	id=g:4537992
Greater First Baptist Church	id=g:4537993
Greater First Deliverance Church	id=g:4537994
Greater Galilee Church	id=g:4537995
Greater Gospel Kingdom Church	id=g:4537996
Greater Heights Assembly-God Church	id=g:4537997
Greater Jones Chapel	id=g:4537998
Greater Landsing Church of God	id=g:4537999
Greater Marshall Memorial Baptist Church	id=g:4538000
Greater Mount Carmel Baptist Church	id=g:4538001
Greater Mount Hermon Church	id=g:4538002
Greater Mount Olive Baptist Church	id=g:4538003
Greater Mount Zion Church	id=g:4538004
Greater New Zion Baptist Church	id=g:4538005
Greater Sapp Institutional Church	id=g:4538006
Greater Shiloh Baptist Church	id=g:4538007
Greater Shiloh Baptist Church	id=g:4538008
Greater Sunrise Missionary Church	id=g:4538009
Greater Union Baptist Church	id=g:4538010
Greater Visions Church	id=g:4538011
Greeley Elementary School	id=g:4538012
Green	id=g:4538013
Green	id=g:4538014
Green Chapel	id=g:4538015
Green Country Airpark	id=g:4538016
Green Country Christian Church	id=g:4538017
Green Country Christian Church	id=g:4538018
Green Country Estates	id=g:4538019
Green Creek	id=g:4538020
Green Creek	id=g:4538021
Greasy School	id=g:4538022
Green Hill Cemetery	id=g:4538023
Green Hill Cemetery	id=g:4538024
Green Hill Church	id=g:4538025
Green Hill Church	id=g:4538026
Green Lake	id=g:4538027
Green Lawn Cemetery	id=g:4538028
Green Leaf Church	id=g:4538029
Green Meadow Acres	id=g:4538030
Green Pasture Elementary School	id=g:4538031
Green Pastures	id=g:4538032
Green Valley Cemetery	id=g:4538033
Green Valley Church	id=g:4538034
Township of Green Valley	id=g:4538035
Greenbriar Church	id=g:4538036
Greenbriar Church of Christ	id=g:4538037
Greenfield	id=g:4538038
Greenfield Cemetery	id=g:4538039
Greenfield Church	id=g:4538040
Greenhaws Shopping Center	id=g:4538041
Greenleaf Canyon	id=g:4538042
Green Hill Cemetery	id=g:4538043
Greenleaf Cemetery	id=g:4538044
Greenleaf Church	id=g:4538045
Greenleaf Church	id=g:4538046
Greenleaf Creek	id=g:4538047
Greenleaf Cemetery	id=g:4538048
Greenleaf Creek	id=g:4538049
Greenleaf Lake	id=g:4538050
Greenleaf Lake State Park	id=g:4538051
Greenleaf School	id=g:4538052
Greenup Siding	id=g:4538053
Greenvale School	id=g:4538054
Greenville	id=g:4538055
Greenville Cemetery	id=g:4538056
Greenville Oil Field	id=g:4538057
Greenway Plaza	id=g:4538058
Greenway Village	id=g:4538059
Greenwood	id=g:4538060
Greenwood Cemetery	id=g:4538061
Greenwood Cemetery	id=g:4538062
Greenwood Cemetery	id=g:4538063
Greenwood Cemetery	id=g:4538064
Greenwood Cemetery	id=g:4538065
Greenwood Cemetery	id=g:4538066
Greenwood Cemetery	id=g:4538067
Greenwood Church	id=g:4538068
Greenwood Creek	id=g:4538069
Greenleaf Lake Dam	id=g:4538070
Greenwood Playground	id=g:4538071
Greenwood School	id=g:4538072
Township of Greenwood	id=g:4538073
Greer County	id=g:4538074
Greer Downs	id=g:4538075
Greer Park	id=g:4538076
Gregory	id=g:4538077
Gregory Church	id=g:4538078
Gregory Lake	id=g:4538079
Gregory Lake Dam	id=g:4538080
Gregory Oil and Gas Field	id=g:4538081
Gregory School	id=g:4538082
Grenade Crossing	id=g:4538083
Grey Noret Church	id=g:4538084
Greystone Presbyterian Church	id=g:4538085
Grider Gss Number 1 Dam	id=g:4538086
Grider Gss Number 1 Reservoir	id=g:4538087
Grief Creek	id=g:4538088
Greenwood Lake	id=g:4538089
Grierson Hill Church	id=g:4538090
Griever Creek	id=g:4538091
Grierson Hill	id=g:4538092
Griffin Memorial Hospital Annex	id=g:4538093
Griffin Mountain	id=g:4538094
Griffith Independent School	id=g:4538095
Grimes	id=g:4538096
Grimes Airport	id=g:4538097
Grimes Cemetery	id=g:4538098
Grimes School	id=g:4538099
Grindstone Creek	id=g:4538100
Griffin Memorial Hospital	id=g:4538101
Gritts Cemetery	id=g:4538102
Gritts Hill	id=g:4538103
Groendyke Pond Number 1	id=g:4538104
