Okeene Municipal Airport	id=g:4544267
Okeene Sewage Disposal Pond North	id=g:4544268
Okeene Sewage Disposal Pond North Dam	id=g:4544269
Okeene Sewage Disposal Pond South	id=g:4544270
Okeene Sewage Disposal Pond South Dam	id=g:4544271
Okemah	id=g:4544272
Okemah Dam	id=g:4544273
Okemah Flying Field	id=g:4544274
Okemah High School	id=g:4544275
Okemah Lake	id=g:4544276
Okemah Middle School	id=g:4544277
Okemah Oil Field	id=g:4544278
Township of Okemah	id=g:4544279
Okesa	id=g:4544280
Okfuskee	id=g:4544281
Okfuskee Cemetery	id=g:4544282
Okfuskee Church	id=g:4544283
Okfuskee County	id=g:4544284
Okfuskee Tributaries Site B-4 Dam	id=g:4544285
Okfuskee Tributaries Site B-4 Reservoir	id=g:4544286
Okfuskee Tributaries Site B1 Dam	id=g:4544287
Okfuskee Tributaries Site B1 Reservoir	id=g:4544288
Okfuskee Tributaries Site B3 Dam	id=g:4544289
Okfuskee Tributaries Site B3 Reservoir	id=g:4544290
Okfuskee Tributaries Site H-1 Dam	id=g:4544291
Okfuskee Tributaries Site H-1 Reservoir	id=g:4544292
Okfuskee Tributaries Site H-10 Dam	id=g:4544293
Okfuskee Tributaries Site H-10 Reservoir	id=g:4544294
Okfuskee Tributaries Site H-3 Dam	id=g:4544295
Okfuskee Tributaries Site H-3 Reservoir	id=g:4544296
Okfuskee Tributaries Site H-4 Dam	id=g:4544297
Okfuskee Tributaries Site H-4 Reservoir	id=g:4544298
Okfuskee Tributaries Site H-5 Dam	id=g:4544299
Okfuskee Tributaries Site H-5 Reservoir	id=g:4544300
Okfuskee Tributaries Site H-6 Dam	id=g:4544301
Okfuskee Tributaries Site H-6 Reservoir	id=g:4544302
Okfuskee Tributaries Site H-7 Dam	id=g:4544303
Okfuskee Tributaries Site H-7 Reservoir	id=g:4544304
Okfuskee Tributaries Site H-8 Dam	id=g:4544305
Okfuskee Tributaries Site H-8 Reservoir	id=g:4544306
Okfuskee Tributaries Site N-1 Dam	id=g:4544307
Okfuskee Tributaries Site N-1 Reservoir	id=g:4544308
Okfuskee Tributaries Site N-10 Dam	id=g:4544309
Okfuskee Tributaries Site N-10 Reservoir	id=g:4544310
Okfuskee Tributaries Site N-2 Dam	id=g:4544311
Okfuskee Tributaries Site N-2 Reservoir	id=g:4544312
Okfuskee Tributaries Site N-4 Dam	id=g:4544313
Okfuskee Tributaries Site N-4 Reservoir	id=g:4544314
Okfuskee Tributaries Site N-9 Dam	id=g:4544315
Okfuskee Tributaries Site N-9 Reservoir	id=g:4544316
Okfuskee Tributaries Site N6 Dam	id=g:4544317
Okfuskee Tributaries Site N6 Reservoir	id=g:4544318
Okfuskee Tributaries Site W-1 Dam	id=g:4544319
Okfuskee Tributaries Site W-1 Reservoir	id=g:4544320
Okfuskee Tributaries Site W-10 Dam	id=g:4544321
Okfuskee Tributaries Site W-10 Reservoir	id=g:4544322
Okfuskee Tributaries Site W-2 Dam	id=g:4544323
Okfuskee Tributaries Site W-2 Reservoir	id=g:4544324
Okfuskee Tributaries Site W-3 Dam	id=g:4544325
Okfuskee Tributaries Site W-4 Dam	id=g:4544326
Okfuskee Tributaries Site W-4 Reservoir	id=g:4544327
Okfuskee Tributaries Site W-5 Dam	id=g:4544328
Okfuskee Tributaries Site W-5 Reservoir	id=g:4544329
Okfuskee Tributaries Site W-7 Dam	id=g:4544330
Okfuskee Tributaries Site W-7 Reservoir	id=g:4544331
Okfuskee Tributaries Site W-8 Dam	id=g:4544332
Okfuskee Tributaries Site W-8 Reservoir	id=g:4544333
Okfuskee Tributaries Site W-9 Dam	id=g:4544334
Okfuskee Tributaries Site W-9 Reservoir	id=g:4544335
