Durbin Creek Cemetery	id=g:4577162
Durham Grove School (historical)	id=g:4577163
Durham Pond	id=g:4577164
Durham Pond	id=g:4577165
Durham School (historical)	id=g:4577166
Durham Shopping Center	id=g:4577167
Durkes Pond	id=g:4577168
Durst Avenue Church of God	id=g:4577169
Dusty Bend	id=g:4577170
Dusty Hill Golf Club	id=g:4577171
Dutart Creek	id=g:4577172
Durham Grove Church	id=g:4577173
Dutch Fork School	id=g:4577174
Dutch Fork School Number 2	id=g:4577175
Dutch Square	id=g:4577176
Dutch Square Shopping Center	id=g:4577177
Dutch Village	id=g:4577178
Dutchbrook	id=g:4577179
Dutchman	id=g:4577180
Dutchman Acres	id=g:4577181
Dutchman Creek	id=g:4577182
Dutchman Creek	id=g:4577183
Dutch Fork	id=g:4577184
Dutchman School (historical)	id=g:4577185
Dutchman Shores	id=g:4577186
Dutchmans Creek	id=g:4577187
Dutchman Island	id=g:4577188
Dwight Creek	id=g:4577189
Dutes Pond	id=g:4577190
Dwight Pond	id=g:4577191
Dwight School (historical)	id=g:4577192
Dye Branch	id=g:4577193
Dwight Crossroads	id=g:4577194
Dye Creek	id=g:4577195
Dye Cemetery	id=g:4577196
Dye Creek	id=g:4577197
Dye Mill Branch	id=g:4577198
Dyers Hill	id=g:4577199
Dyers Hill School	id=g:4577200
Dykes School (historical)	id=g:4577201
Dysart Lake	id=g:4577202
Dysart Lake Dam D-2851	id=g:4577203
Dyson	id=g:4577204
Dysons Bridge	id=g:4577205
E A Fogles Pond Dam D-3752	id=g:4577206
E Antley Pond Dam D-2789	id=g:4577207
E Cauldwell Pond Dam D-3353	id=g:4577208
E E Taylor Elementary School	id=g:4577209
E L Wright Middle School	id=g:4577210
E Lee Incorporated Pond	id=g:4577211
E Lee Incorporated Pond Dam D-3314	id=g:4577212
E M M D Plant Heliport	id=g:4577213
E P Collins Lake Dam D-2875	id=g:4577214
E Reservoir	id=g:4577215
E Stone Pond Dam D-1402	id=g:4577216
E W Martin Lake	id=g:4577217
E W Martin Lake Dam D-3395	id=g:4577218
E W Nowland Pond Dam D-3333	id=g:4577219
E Woodfin Lake	id=g:4577220
E Woodfin Lake Dam D-3309	id=g:4577221
Eaddy Big Lake	id=g:4577222
Eaddy Cemetery	id=g:4577223
Eaddy Pond	id=g:4577224
Eaddy Pond Dam D-3575	id=g:4577225
Eaddy-Ford Cemetery	id=g:4577226
Eadytown	id=g:4577227
Eagle Creek	id=g:4577228
Dyers Hill Church	id=g:4577229
Eagle Crest	id=g:4577230
Eagle Island	id=g:4577231
Eagle Nest Golf Course	id=g:4577232
Eagle Point	id=g:4577233
Eagle Point	id=g:4577234
Eagle Point	id=g:4577235
Eagles Nest	id=g:4577236
Eagles Nest-Fairview Airpark	id=g:4577237
Eargle Cemetery	id=g:4577238
Earl Church	id=g:4577239
Earl Davis Elementary School	id=g:4577240
Earle	id=g:4577241
Earle (historical)	id=g:4577242
Earle Hall	id=g:4577243
Earle Lookout Tower	id=g:4577244
Earle School (historical)	id=g:4577245
Earle School (historical)	id=g:4577246
Earle School (historical)	id=g:4577247
Earle Street Baptist Church	id=g:4577248
Earles Bridge (historical)	id=g:4577249
Earles Grove	id=g:4577250
Earles Grove Baptist Church	id=g:4577251
Earles Grove School (historical)	id=g:4577252
Earls Bridge	id=g:4577253
Earls Ford Recreation Site	id=g:4577254
Earls Lake	id=g:4577255
