Freewill	id=g:4623751
Freewill Baptist Church	id=g:4623752
Freewill Church	id=g:4623753
Freewill Church	id=g:4623754
Freewill Church (historical)	id=g:4623755
Freewill Ridge	id=g:4623756
Freewill School (historical)	id=g:4623757
Fremont	id=g:4623758
Fremont Cemetery	id=g:4623759
Fremont Church of Christ	id=g:4623760
French Broad	id=g:4623761
French Broad	id=g:4623762
French Broad	id=g:4623763
French Broad (historical)	id=g:4623764
French Broad Academy (historical)	id=g:4623765
French Broad Boating Site	id=g:4623766
French Broad Church	id=g:4623767
French Broad Church	id=g:4623768
French Broad Recreation Site	id=g:4623769
French Broad River	id=g:4623770
Freeman School (historical)	id=g:4623771
French Broad Valley Church	id=g:4623772
French Cemetery	id=g:4623773
French Cemetery	id=g:4623774
French Cemetery	id=g:4623775
French Cemetery	id=g:4623776
French Cemetery	id=g:4623777
French Hill	id=g:4623778
French Hollow	id=g:4623779
French Broad Shoals	id=g:4623780
French Hollow	id=g:4623781
French Mill	id=g:4623782
Frenchs Mill (historical)	id=g:4623783
Frese Pond	id=g:4623784
Freshour Branch	id=g:4623785
French Village Square Shopping Center	id=g:4623786
Freshour Hollow	id=g:4623787
Frey Branch	id=g:4623788
Frey Branch	id=g:4623789
Friar Branch	id=g:4623790
Friars Island (historical)	id=g:4623791
Friday Cemetery	id=g:4623792
Friendly Baptist Church	id=g:4623793
Friendly Chapel	id=g:4623794
Friendly Chapel (historical)	id=g:4623795
Friendly Church	id=g:4623796
Friendly Valley Church	id=g:4623797
Friends Cemetery	id=g:4623798
Friends Chapel	id=g:4623799
Friends Chapel Cemetery	id=g:4623800
Friends Church	id=g:4623801
Friends Church	id=g:4623802
Friends Station	id=g:4623803
Friendship	id=g:4623804
Friendship	id=g:4623805
Friendship	id=g:4623806
Friendship	id=g:4623807
Friendship	id=g:4623808
Friendship	id=g:4623809
Friendship Baptist Church	id=g:4623810
Friendship Baptist Church	id=g:4623811
Friendship Baptist Church	id=g:4623812
Friendship Baptist Church	id=g:4623813
Friendship Baptist Church	id=g:4623814
Friendship Baptist Church	id=g:4623815
Friendship Baptist Church	id=g:4623816
Friendship Baptist Church	id=g:4623817
Friendship Baptist Church (historical)	id=g:4623818
Friendship Boat Dock	id=g:4623819
Friendship Cemetery	id=g:4623820
Friendship Cemetery	id=g:4623821
Friendship Cemetery	id=g:4623822
Friendship Cemetery	id=g:4623823
Friendship Cemetery	id=g:4623824
Friendship Cemetery	id=g:4623825
Friendship Cemetery	id=g:4623826
Friendship Cemetery	id=g:4623827
Friendship Chapel Baptist Church	id=g:4623828
Friendship Church	id=g:4623829
Friendship Church	id=g:4623830
Friendship Church	id=g:4623831
Friendship Church	id=g:4623832
Friendship Church	id=g:4623833
Friendship Church	id=g:4623834
Friendship Church	id=g:4623835
Friendship Church	id=g:4623836
Friendship Church	id=g:4623837
Friendship Church	id=g:4623838
Friendship Church	id=g:4623839
Friendship Church	id=g:4623840
Friendship Church	id=g:4623841
Friendship Church	id=g:4623842
Friendship Church of Christ	id=g:4623843
Friendship Church	id=g:4623844
Friendship Church	id=g:4623845
Friendship Church	id=g:4623846
Friendship Church	id=g:4623847
Friendship Church	id=g:4623848
Friendship Church	id=g:4623849
Friendship Church	id=g:4623850
Friendship Church	id=g:4623851
Friendship Church	id=g:4623852
Friendship Church	id=g:4623853
Friendship Church	id=g:4623854
Friendship Church	id=g:4623855
Friendship Church (historical)	id=g:4623856
Friendship Church (historical)	id=g:4623857
Friendship Church (historical)	id=g:4623858
Friendship Church (historical)	id=g:4623859
Friendship Church (historical)	id=g:4623860
Friendship Church of the Nazarene	id=g:4623861
Friendship Elementary School	id=g:4623862
Friendship Hollow	id=g:4623863
Friday Cemetery	id=g:4623864
Friendship Missionary Baptist Church	id=g:4623865
Friendship Pentecostal Church	id=g:4623866
Friendship School	id=g:4623867
Friendship School (historical)	id=g:4623868
Friendship School (historical)	id=g:4623869
Friendship School (historical)	id=g:4623870
Friendship School (historical)	id=g:4623871
Friendship School (historical)	id=g:4623872
Friendship School (historical)	id=g:4623873
Friendship School (historical)	id=g:4623874
Friendship School (historical)	id=g:4623875
Friendship State Line Church	id=g:4623876
Friendship Temple	id=g:4623877
Friendsview Baptist Church	id=g:4623878
Friendsville	id=g:4623879
Friendsville Academy	id=g:4623880
Friendsville Cemetery	id=g:4623881
Friendsville Church	id=g:4623882
Friendsville Church	id=g:4623883
Friendsville Elementary School	id=g:4623884
Friendsville High School (historical)	id=g:4623885
Frierson Chapel	id=g:4623886
Frierson Town	id=g:4623887
Frisco	id=g:4623888
Frisco Branch	id=g:4623889
Friendship Missionary Baptist Church	id=g:4623890
Frith Spring Branch	id=g:4623891
Fritz Landing	id=g:4623892
Fritz School (historical)	id=g:4623893
Fritzsche Creek	id=g:4623894
Fritz Revetment	id=g:4623895
Frog Alley	id=g:4623896
Frog Branch	id=g:4623897
Frizzell Cemetery	id=g:4623898
Frog Branch	id=g:4623899
Frog Branch	id=g:4623900
Frog Chapel (historical)	id=g:4623901
Frog Hollow	id=g:4623902
Frog Hollow	id=g:4623903
Frog Hollow Branch	id=g:4623904
Frog Jump	id=g:4623905
Frog Level	id=g:4623906
Frog Level	id=g:4623907
Frog Level Branch	id=g:4623908
Frog Jump	id=g:4623909
Frog Pond	id=g:4623910
Frog Pond	id=g:4623911
Frog Pond-Friendship Cemetery	id=g:4623912
Frog Pond Church	id=g:4623913
Frog Pond Hollow	id=g:4623914
Frog Mine	id=g:4623915
Frog Pond School (historical)	id=g:4623916
Frog Pond Valley	id=g:4623917
Frog Pond School (historical)	id=g:4623918
Frogge Chapel	id=g:4623919
Frogge Chapel	id=g:4623920
Frogge Chapel Cemetery	id=g:4623921
Frogge Mountain	id=g:4623922
Frogmoor Yards	id=g:4623923
Frogpond Hollow	id=g:4623924
Frogg Mountain	id=g:4623925
Front Hollow	id=g:4623926
Frost	id=g:4623927
Frost Bottom	id=g:4623928
Frost Bottom Baptist Church	id=g:4623929
Frost Bottom School (historical)	id=g:4623930
Frost Branch	id=g:4623931
Frost Bit School (historical)	id=g:4623932
Frost Branch	id=g:4623933
Frost Cemetery	id=g:4623934
Frost Ford	id=g:4623935
Frost Spring	id=g:4623936
Frost Spring Hollow	id=g:4623937
Frost Cemetery	id=g:4623938
Frozen Branch	id=g:4623939
Frozen Head	id=g:4623940
Frozen Head Mountain	id=g:4623941
Frozen Head State Environmental Education Area	id=g:4623942
Frozen Knob	id=g:4623943
Fruedenberg Creek	id=g:4623944
Frozen Head Mine	id=g:4623945
Fruit Valley	id=g:4623946
Fruitland	id=g:4623947
Fruitland Baptist Church	id=g:4623948
Fruitland Post Office	id=g:4623949
Fruitland School	id=g:4623950
Fruits Island Ford	id=g:4623951
Fruitvale	id=g:4623952
Fry Branch	id=g:4623953
Fruedenberg Ridge	id=g:4623954
Fry Branch Church	id=g:4623955
Fry Branch School (historical)	id=g:4623956
Fry Cemetery	id=g:4623957
Fry Cemetery	id=g:4623958
Fry Cemetery	id=g:4623959
Fry Church	id=g:4623960
Fry Fields	id=g:4623961
Fry Hollow	id=g:4623962
Fry Branch	id=g:4623963
Fryar Cemetery	id=g:4623964
Fryar Cemetery	id=g:4623965
Fryar Stadium	id=g:4623966
Frye Branch	id=g:4623967
Fryar Cemetery	id=g:4623968
Frys Point Cemetery	id=g:4623969
Frys Point Church	id=g:4623970
Fudge Chapel	id=g:4623971
Fudge Hollow	id=g:4623972
Frying Pan	id=g:4623973
Fudgearound	id=g:4623974
Fuga School (historical)	id=g:4623975
Fugate Cemetery	id=g:4623976
Fugate Ford	id=g:4623977
Fugate Gap	id=g:4623978
Fugate School	id=g:4623979
Fugate Siding (historical)	id=g:4623980
Fulcher Cemetery	id=g:4623981
Fulgum Cemetery	id=g:4623982
Fulkerson Cemetery	id=g:4623983
