Turners United Methodist Church	id=g:4663713
Turnersville	id=g:4663714
Turney	id=g:4663715
Turney Branch	id=g:4663716
Turner Lake	id=g:4663717
Turney Center for Youthful Offenders	id=g:4663718
Turney Ford Field	id=g:4663719
Turney Knob	id=g:4663720
Turney-Jacob Cemetery	id=g:4663721
Turnipseed Creek	id=g:4663722
Turney Cemetery	id=g:4663723
Turnpike	id=g:4663724
Turnpike Cemetery	id=g:4663725
Turnpike Point	id=g:4663726
Turnpike Spring	id=g:4663727
Turpin Cemetery	id=g:4663728
Turpin Hollow	id=g:4663729
Turnover Hill	id=g:4663730
Turpine Lake	id=g:4663731
Turtletown	id=g:4663732
Turtletown Baptist Church	id=g:4663733
Turtletown Creek	id=g:4663734
Turpin Spring	id=g:4663735
Turtletown Post Office	id=g:4663736
Tusculum	id=g:4663737
Tusculum	id=g:4663738
Tusculum Baptist Church	id=g:4663739
Tusculum Chapel	id=g:4663740
Tusculum Church of Christ	id=g:4663741
Tusculum College	id=g:4663742
Tusculum College Historic District	id=g:4663743
Tusculum College Post Office	id=g:4663744
Tusculum Cumberland Presbyterian Church	id=g:4663745
Tusculum Elementary School	id=g:4663746
Tusculum Heights	id=g:4663747
Tusculum Hills Baptist Church	id=g:4663748
Tusculum Place	id=g:4663749
Tusculum School (historical)	id=g:4663750
Tusculum Shopping Center	id=g:4663751
Tusculum Town Hall	id=g:4663752
Tusculum View Elementary School	id=g:4663753
Tuscumbia River	id=g:4663754
Turtletown Elementary School	id=g:4663755
Tuscumbia River Canal	id=g:4663756
Tuskeegee (historical)	id=g:4663757
Tuttle Hollow	id=g:4663758
Tweed Trail	id=g:4663759
Twelve Corners Cemetery	id=g:4663760
Twelve Corners Church (historical)	id=g:4663761
Twelve Corners Hollow	id=g:4663762
Tweed Trail	id=g:4663763
Twilley Hollow	id=g:4663764
Twelve Oaks	id=g:4663765
Twin Branch	id=g:4663766
Twin Arches	id=g:4663767
Twin Cove	id=g:4663768
Twin Cove Boat Dock	id=g:4663769
Twin Creek	id=g:4663770
Twin Bridges	id=g:4663771
Twin Creek	id=g:4663772
Twin Creek Golf Course	id=g:4663773
Twin Creeks Uplands Research Laboratory	id=g:4663774
Twin Lake	id=g:4663775
Twin Lake	id=g:4663776
Twin Lake Dam	id=g:4663777
Twin Lakes	id=g:4663778
Twin Lakes	id=g:4663779
Twin Lakes	id=g:4663780
Twin Lakes	id=g:4663781
Twin Lakes Number One Dam	id=g:4663782
Twin Lakes Number One Lake	id=g:4663783
Twin Lakes Number Three Dam	id=g:4663784
Twin Lakes Number Three Lake	id=g:4663785
Twin Lakes Number Two Dam	id=g:4663786
Twin Lakes Number Two Lake	id=g:4663787
Twin Lakes Plaza Shopping Center	id=g:4663788
Twin Oak	id=g:4663789
Twin Oak Church	id=g:4663790
Twin Oak Estates	id=g:4663791
Twin Oak School	id=g:4663792
Twin Oak Spring	id=g:4663793
Twin Oaks	id=g:4663794
Twin Oaks	id=g:4663795
Twin Oaks	id=g:4663796
Twin Oaks	id=g:4663797
Twin Oaks	id=g:4663798
Twin Rivers Ferry (historical)	id=g:4663799
Twin Springs	id=g:4663800
Twin Springs	id=g:4663801
Twin Springs	id=g:4663802
Twin Springs	id=g:4663803
Twin Springs Dam	id=g:4663804
Twin Springs Estates	id=g:4663805
Twin Springs Lake	id=g:4663806
Twin Springs Picnic Area	id=g:4663807
Twin States Fairgrounds (historical)	id=g:4663808
Twin Valley	id=g:4663809
Twinton	id=g:4663810
Twinton School (historical)	id=g:4663811
Twinville	id=g:4663812
Twinville Church	id=g:4663813
Twisting Falls	id=g:4663814
Twitty City-Music Village USA	id=g:4663815
Twitty Hollow	id=g:4663816
Twitty Knob	id=g:4663817
Twitty Spring	id=g:4663818
Two Chestnut	id=g:4663819
Two Hills	id=g:4663820
Two Mile Branch	id=g:4663821
Twin Creeks Government Headquarters (historical)	id=g:4663822
Two Rivers Golf Club	id=g:4663823
Two Rivers High School	id=g:4663824
Two Rivers Lake	id=g:4663825
Two Rivers Lake Dam	id=g:4663826
Two Rivers Mall Shopping Center	id=g:4663827
Two Rivers Park	id=g:4663828
Two Spjrings spring	id=g:4663829
Twomey	id=g:4663830
Twomey Hole	id=g:4663831
Twomey Hole Branch	id=g:4663832
Two Rivers Church	id=g:4663833
Twomile Branch	id=g:4663834
Twomey Spring	id=g:4663835
Twomile Branch	id=g:4663836
Twomile Lead	id=g:4663837
Tyes Branch	id=g:4663838
Tyler Branch	id=g:4663839
Tyler Branch	id=g:4663840
Tyler Branch	id=g:4663841
Tyler Cemetery	id=g:4663842
Tyler Mountain	id=g:4663843
Tyler Mountain	id=g:4663844
Tyler Ridge	id=g:4663845
Tyler-Compton Cemetery	id=g:4663846
Tylersville	id=g:4663847
Tyner	id=g:4663848
Tyner Baptist Church	id=g:4663849
Tyner Church of Christ	id=g:4663850
Tyner High School	id=g:4663851
Tyner Hills	id=g:4663852
Tyner Junior High School	id=g:4663853
Tyner Post Office	id=g:4663854
Tyner United Methodist Church	id=g:4663855
Tyrant Branch	id=g:4663856
Tyler Cemetery	id=g:4663857
Tyree Lake	id=g:4663858
Tyree Springs	id=g:4663859
Tyree Springs (historical)	id=g:4663860
Tyson Alumni Center	id=g:4663861
Tyson Cemetery	id=g:4663862
Tyson Junior High School	id=g:4663863
Tyson Lake	id=g:4663864
Tyson Lake Dam	id=g:4663865
Tyson Park	id=g:4663866
Tyson Store	id=g:4663867
Tysonville (historical)	id=g:4663868
U T Department of Agriculture	id=g:4663869
Uffelman Elementary School	id=g:4663870
Ugly Creek	id=g:4663871
Ugly Creek Mines	id=g:4663872
Ugly Hollow	id=g:4663873
Tyree Cove	id=g:4663874
Umstead Branch	id=g:4663875
Umphreys Cemetery	id=g:4663876
Una Baptist Church	id=g:4663877
Una Church of Christ	id=g:4663878
Una School	id=g:4663879
Unaka Baptist Church	id=g:4663880
Unaka Baptist Church	id=g:4663881
Unaka Church	id=g:4663882
Unaka Church	id=g:4663883
Unaka Elementary School	id=g:4663884
Unaka High School	id=g:4663885
Unaka Mountain	id=g:4663886
Unaka Mountain Campground	id=g:4663887
Unaka Mountain Recreation Area	id=g:4663888
Unaka Mountain Scenic Area	id=g:4663889
Unaka Mountain Scenic Trail	id=g:4663890
Unaka Mountain Wilderness	id=g:4663891
Unaka Mountains	id=g:4663892
Unaka Ranger Station	id=g:4663893
Unaka School (historical)	id=g:4663894
Unaka Springs	id=g:4663895
Unaka Springs	id=g:4663896
Unaka Springs Prospect	id=g:4663897
