Wortham Lake Number 1	id=g:4743181
Wortham Lake Number 1 Dam	id=g:4743182
Wortham Lake Number 2	id=g:4743183
Wortham Lake Number 2 Dam	id=g:4743184
Wortham Oil Field	id=g:4743185
Worthing	id=g:4743186
Worthing High School	id=g:4743187
Worthing High School	id=g:4743188
Worthington Lake	id=g:4743189
Worthington Lake	id=g:4743190
Worthington Lake Dam	id=g:4743191
Worthington Lake Number 1	id=g:4743192
Worthington Lake Number 1 Dam	id=g:4743193
Worthington Lake Number 2	id=g:4743194
Worthington Lake Number 2 Dam	id=g:4743195
Worthington Lake Number 3	id=g:4743196
Worthington Lake Number 3 Dam	id=g:4743197
Worthington Missionary Baptist Church	id=g:4743198
Worthy Cemetery	id=g:4743199
Wounded Man Reach	id=g:4743200
Wow Cemetery	id=g:4743201
Wranosky Park	id=g:4743202
Wray Cemetery	id=g:4743203
Wrede Community House	id=g:4743204
Wren Branch	id=g:4743205
Wortham Lake	id=g:4743206
Wrenn Middle School	id=g:4743207
Wright	id=g:4743208
Wright Branch	id=g:4743209
Wrenn Cemetery	id=g:4743210
Wright Branch	id=g:4743211
Wright Branch	id=g:4743212
Wright Brothers Materials Plant Dam	id=g:4743213
Wright Cemetery	id=g:4743214
Wright Cemetery	id=g:4743215
Wright Cemetery	id=g:4743216
Wright Cemetery	id=g:4743217
Wright Cemetery	id=g:4743218
Wright Cemetery	id=g:4743219
Wright City	id=g:4743220
Wright Creek	id=g:4743221
Wright Creek	id=g:4743222
Wright Brothers Materials Plant Reservoir	id=g:4743223
Wright Creek	id=g:4743224
Wright Cuney Park	id=g:4743225
Wright Dam Number 2	id=g:4743226
Wright Dam Number 3	id=g:4743227
Wright Dam Number 4	id=g:4743228
Wright Elementary School	id=g:4743229
Wright Elementary School	id=g:4743230
Wright Grove Baptist Church	id=g:4743231
Wright Kingery Bend	id=g:4743232
Wright Knobs	id=g:4743233
Wright Lake	id=g:4743234
Wright Lake	id=g:4743235
Wright Lake Dam	id=g:4743236
Wright Mountain Oil Field	id=g:4743237
Wright Park	id=g:4743238
Wright Patman Dam	id=g:4743239
Wright Patman Lake	id=g:4743240
Wright Ranch Airport	id=g:4743241
Wright School	id=g:4743242
Wright School	id=g:4743243
Wright Springs	id=g:4743244
Wright-Henderson-Duncan House	id=g:4743245
Wrights Cemetery	id=g:4743246
Wrights Chapel Cemetery	id=g:4743247
Wrights Creek	id=g:4743248
Wright Dam Number 1	id=g:4743249
Wrightsboro	id=g:4743250
Wrist Point	id=g:4743251
Wroe-Bustin House	id=g:4743252
Wunderlich Intermediate School	id=g:4743253
Wunsche Brothers Saloon and Hotel	id=g:4743254
Wunsche Cemetery	id=g:4743255
Wunsche Ditch	id=g:4743256
Wunsche High School	id=g:4743257
Wunsche School	id=g:4743258
Wuthering Heights Park	id=g:4743259
Wuthrich Hill	id=g:4743260
Wuthrich Hill Cemetery	id=g:4743261
Wyach Lake	id=g:4743262
Wyatt Airport	id=g:4743263
Wyatt Creek	id=g:4743264
Wrights Creek Cemetery	id=g:4743265
Wyatt Park	id=g:4743266
Wyatt Street Seventh Day Adventist Church	id=g:4743267
Wyatt Street Shotgun House Historic District	id=g:4743268
Wyatt-Hickie Ranch Complex	id=g:4743269
Wyche Park	id=g:4743270
Wycliff Ave Dam	id=g:4743271
Wycliff Ave Lake	id=g:4743272
Wye Siding	id=g:4743273
Wyldwood	id=g:4743274
Wylie	id=g:4743275
Wylie	id=g:4743276
Wylie Church of God	id=g:4743277
Wylie Community Park Trail	id=g:4743278
Wylie Elementary School	id=g:4743279
Wylie High School	id=g:4743280
Wylie High School	id=g:4743281
Wylie Intermediate School	id=g:4743282
Wylie Intermediate School	id=g:4743283
Wylie Junior High School	id=g:4743284
Wylie Junior High School	id=g:4743285
Wylie Lake	id=g:4743286
Wylie Lake Dam	id=g:4743287
Wylie Memorial Church	id=g:4743288
Wylie Middle School	id=g:4743289
Wylie Sewage Disposal	id=g:4743290
Wylie United Methodist Church	id=g:4743291
Wyndam Charter School	id=g:4743292
Wyndrock Baptist Church	id=g:4743293
Wynn Mountain	id=g:4743294
Wynn School	id=g:4743295
Wynn Seale Junior High School	id=g:4743296
Wynn Seale Junior High School	id=g:4743297
Wynn Seale School	id=g:4743298
Wynne Ranch	id=g:4743299
Wynne State Prison Farm	id=g:4743300
Wynnewood Church	id=g:4743301
Wynnewood Park	id=g:4743302
Wynnewood Village Shopping Center	id=g:4743303
Wynns Bayou	id=g:4743304
Wyatt Drive Baptist Church	id=g:4743305
Wyser Bluff	id=g:4743306
Wyser Bottom	id=g:4743307
X-Ray Cemetery	id=g:4743308
X-Ray Gas Field	id=g:4743309
XX Farms Colonia	id=g:4743310
Xavier School	id=g:4743311
Xenia Voigt Elementary School	id=g:4743312
Ximenes Chapel	id=g:4743313
Y O Ranch Airport	id=g:4743314
YMCA Park	id=g:4743315
YO Ranch	id=g:4743316
Yale Academic Center	id=g:4743317
Yale Elementary School	id=g:4743318
Yale Park	id=g:4743319
Yale Street Baptist Church	id=g:4743320
Yale Street Tabernacle Church of God in Christ	id=g:4743321
Yampalita Creek	id=g:4743322
Wynnwood Park	id=g:4743323
Yancey Cemetery	id=g:4743324
Yancey Creek	id=g:4743325
Yancey	id=g:4743326
Yankee Branch	id=g:4743327
Yankee Creek	id=g:4743328
Yanta Gas Field	id=g:4743329
Yantis Cemetery	id=g:4743330
Yantis Gas and Oil Field	id=g:4743331
Yarboro	id=g:4743332
Yarboro Cemetery	id=g:4743333
Yarboro Dam	id=g:4743334
Yarboro Lake	id=g:4743335
Yarborough	id=g:4743336
Yarborough Park	id=g:4743337
Yarborough Pass	id=g:4743338
Yarborough Springs	id=g:4743339
Yarbrough Lake	id=g:4743340
Yard	id=g:4743341
Yard	id=g:4743342
Yard School	id=g:4743343
Yarrell Well Number Two	id=g:4743344
Yarrelton	id=g:4743345
Yates	id=g:4743346
Yates Airport	id=g:4743347
Yates Bayou	id=g:4743348
Yates Branch	id=g:4743349
Yantis	id=g:4743350
Yates Branch	id=g:4743351
Yates Cemetery	id=g:4743352
Yates Cove	id=g:4743353
Yates Creek	id=g:4743354
Yates Cemetery	id=g:4743355
Yates Creek	id=g:4743356
Yates Field	id=g:4743357
Yates High School	id=g:4743358
Yates Hill	id=g:4743359
Yates Park	id=g:4743360
Yaupon Creek	id=g:4743361
Yeabon Presbyterian Church	id=g:4743362
Yeager Creek	id=g:4743363
Yates Gully	id=g:4743364
Yeager Elementary School	id=g:4743365
Yeager Elementary School	id=g:4743366
Yeager Oil Field	id=g:4743367
Yeager School	id=g:4743368
Yearling Branch	id=g:4743369
Yeager Creek	id=g:4743370
Yearling Tick Branch	id=g:4743371
Yearling Head Mountain	id=g:4743372
Yegua Creek	id=g:4743373
Yegua Creek Park	id=g:4743374
Yegua Knobbs	id=g:4743375
Yegua Tank	id=g:4743376
Yeguas Windmill	id=g:4743377
Yeguas Windmill	id=g:4743378
Loma de las Yeguas	id=g:4743379
Yell Cemetery	id=g:4743380
Yell Cemetery	id=g:4743381
Yellow Bank Cemetery	id=g:4743382
Yellow Bank Creek	id=g:4743383
Yegua Creek Park Nature Trail	id=g:4743384
Yellow Bank Creek	id=g:4743385
Yellow Bayou	id=g:4743386
Yellow Bluff	id=g:4743387
Yellow Bluff	id=g:4743388
Yellow Bluff	id=g:4743389
Yellow Bluff Draw	id=g:4743390
Yellow Bluff	id=g:4743391
Yellow Branch	id=g:4743392
Yellow Bluff Lake	id=g:4743393
Yellow Branch	id=g:4743394
Yellow Branch	id=g:4743395
Yellow Branch	id=g:4743396
Yellow Branch	id=g:4743397
Yellow Branch	id=g:4743398
Yellow Branch	id=g:4743399
Yellow Creek	id=g:4743400
Yellow Creek	id=g:4743401
Yellow Fever Cemetery	id=g:4743402
Yellow Gap	id=g:4743403
Yellow Jacket Stadium	id=g:4743404
Yellow Jacket Stadium	id=g:4743405
Yellow Jacket Stadium	id=g:4743406
Yellow Lake	id=g:4743407
Yellow Lake	id=g:4743408
Yellow Rabbit Branch	id=g:4743409
Yellow Fork Cemetery	id=g:4743410
Yellow Spring	id=g:4743411
Yellow Steer Slough	id=g:4743412
Yellowjacket Branch	id=g:4743413
Yellow Ridge Church	id=g:4743414
Yellowpine	id=g:4743415
Yellowpine Lake	id=g:4743416
Yellowpine Lookout	id=g:4743417
Yellowpine Ranger District Office	id=g:4743418
Yellowpine Work Center	id=g:4743419
Yellowstone Boulevard Missionary Baptist Church	id=g:4743420
Yellowstone Park	id=g:4743421
Yellowstone Park	id=g:4743422
Yellowtop Windmill	id=g:4743423
Yeo High School	id=g:4743424
Yerba Anis Windmill	id=g:4743425
Yett Basin Pond	id=g:4743426
Yettie Polk Park	id=g:4743427
Ygnacio Creek	id=g:4743428
