North River Gorge Trail	id=g:4776456
North River Elementary School	id=g:4776457
North River District	id=g:4776458
North River District	id=g:4776459
North River Picnic Area	id=g:4776460
North Rolleston	id=g:4776461
North Run	id=g:4776462
North River Campground	id=g:4776463
North Run Church	id=g:4776464
North Run Estates	id=g:4776465
North Run Park	id=g:4776466
North Elementary School	id=g:4776467
North Elementary School	id=g:4776468
North Shore	id=g:4776469
North Side Church	id=g:4776470
North Sister Knob	id=g:4776471
North Springfield	id=g:4776472
North Springfield Elementary School	id=g:4776473
North Springfield Park	id=g:4776474
North Springfield Post Office	id=g:4776475
North Stafford High School	id=g:4776476
North Stafford Industrial Park	id=g:4776477
North Stafford Public Library	id=g:4776478
North Stanton	id=g:4776479
North Tazewell	id=g:4776480
North Tazewell Elementary School	id=g:4776481
North Tazewell Post Office	id=g:4776482
North Thimble Island	id=g:4776483
North Twin Lake	id=g:4776484
North Twin Lake Dam	id=g:4776485
North Valley Trail	id=g:4776486
North View	id=g:4776487
North View Church	id=g:4776488
North View School (historical)	id=g:4776489
North Virginia Beach	id=g:4776490
Northern Virginia Community College - Annandale Campus	id=g:4776491
North Wales Estate	id=g:4776492
North Weems	id=g:4776493
North Wellville	id=g:4776494
North Wilderness Run	id=g:4776495
North Run Church	id=g:4776496
Northam Creek	id=g:4776497
Northam Narrows	id=g:4776498
Northampton Accomack Memorial Hospital Heliport	id=g:4776499
Northampton County	id=g:4776500
Northampton County Courthouse	id=g:4776501
Northampton County Courthouse Historic District	id=g:4776502
Northampton High School	id=g:4776503
Northampton Memorial Library	id=g:4776504
Northampton Middle School	id=g:4776505
Northampton Shopping Center	id=g:4776506
Shore Memorial Hospital	id=g:4776507
Northbrook Park	id=g:4776508
Northbury	id=g:4776509
Northeast Branch Sarah Creek	id=g:4776510
Northampton	id=g:4776511
Northeast Creek	id=g:4776512
Northeast Channel	id=g:4776513
Northeast Creek	id=g:4776514
Northeast Ditch	id=g:4776515
Northeast Fork Blackwater Creek	id=g:4776516
Northeast Peak	id=g:4776517
Northend Point	id=g:4776518
Northerly	id=g:4776519
Northern County Government Center	id=g:4776520
Northern Gate Office Center	id=g:4776521
Northern District	id=g:4776522
Northern Neck Historical Society Research Library	id=g:4776523
Northern Virginia 4 - H Educational Center	id=g:4776524
Northern Virginia Baptist Center	id=g:4776525
Northern Virginia Community College - Manassas Campus	id=g:4776526
Northern Virginia Community College - Loudoun Campus	id=g:4776527
Northern Virginia Community Hospital	id=g:4776528
Northern Virginia Hebrew Congregational Synagogue	id=g:4776529
Northern Virginia Jewish Community Center	id=g:4776530
Northern Virginia Mental Health Institute	id=g:4776531
Northern Virginia Regional Park	id=g:4776532
Northern Virginia Regional Park Shooting Center	id=g:4776533
Northern Virginia Training Center	id=g:4776534
Northfield	id=g:4776535
Northfield	id=g:4776536
Northfield Cemetery	id=g:4776537
Northfield Church (historical)	id=g:4776538
