Bear Hunter Trail	id=g:4798138
Bear Knob	id=g:4798139
Bear Knob Cemetery	id=g:4798140
Bear Mountain	id=g:4798141
Bear Mountain	id=g:4798142
Bear Pen Run Trail	id=g:4798143
Bear Ridge	id=g:4798144
Bear Ridge	id=g:4798145
Bear Rocks	id=g:4798146
Bear Run	id=g:4798147
Bear Knob	id=g:4798148
Bear Run	id=g:4798149
Bear Run	id=g:4798150
Bear Run	id=g:4798151
Bear Run	id=g:4798152
Bear Run	id=g:4798153
Bear Run	id=g:4798154
Bear Run	id=g:4798155
Bear Run	id=g:4798156
Bear Run	id=g:4798157
Bear Run	id=g:4798158
Bear Run	id=g:4798159
Bear Run	id=g:4798160
Bear Run	id=g:4798161
Bear Run	id=g:4798162
Bear Run	id=g:4798163
Bear Run	id=g:4798164
Bear Run	id=g:4798165
Bear Run	id=g:4798166
Bear Run	id=g:4798167
Bear Run	id=g:4798168
Bear Run	id=g:4798169
Bear Run	id=g:4798170
Bear Run	id=g:4798171
Bear Run	id=g:4798172
Bear Run	id=g:4798173
Bear Run	id=g:4798174
Bear Run	id=g:4798175
Bear Run	id=g:4798176
Bear Run	id=g:4798177
Bear Run	id=g:4798178
Bear Run	id=g:4798179
Bear Run School (historical)	id=g:4798180
Bear Run School (historical)	id=g:4798181
Bear Run School (historical)	id=g:4798182
Bear Run Trail	id=g:4798183
Bear Spring Branch	id=g:4798184
Bear Run Church	id=g:4798185
Bear Track Run	id=g:4798186
Bearcamp Branch	id=g:4798187
Bearcamp Run	id=g:4798188
Beard Heights	id=g:4798189
Beard Hollow	id=g:4798190
Beard Lick Run	id=g:4798191
Beard Spring	id=g:4798192
Bearden Knob	id=g:4798193
Beards Fork	id=g:4798194
Beard Spring	id=g:4798195
Beards Fork Elementary School (historical)	id=g:4798196
Beards Run	id=g:4798197
Beardsley Mill (historical)	id=g:4798198
Beargarden Knob	id=g:4798199
Bearhole Fork	id=g:4798200
Beards Fork	id=g:4798201
Bearlick Knob	id=g:4798202
Bearlick Run	id=g:4798203
Bearhole Ridge	id=g:4798204
Bearpen Branch	id=g:4798205
Bearpen Fork	id=g:4798206
Bearpen Hollow	id=g:4798207
Bearpen Fork	id=g:4798208
Bearpen Hollow	id=g:4798209
Bearpen Ridge	id=g:4798210
Bearpen Run	id=g:4798211
Bears Hell	id=g:4798212
Bears Hell Run	id=g:4798213
Bearsville	id=g:4798214
Beartown Branch	id=g:4798215
Beartown	id=g:4798216
Beartown Fork	id=g:4798217
Beartown Church	id=g:4798218
Beartown Ridge	id=g:4798219
Beartown State Park	id=g:4798220
Beartree Branch	id=g:4798221
Beartown Fork Dam	id=g:4798222
Beartree Run	id=g:4798223
Beartree Run	id=g:4798224
Bearwallow Branch	id=g:4798225
Bearwallow Branch	id=g:4798226
Bearwallow Branch	id=g:4798227
Bearwallow Branch	id=g:4798228
Bearwallow Branch	id=g:4798229
Bearwallow Branch	id=g:4798230
Bearwallow Creek	id=g:4798231
Bearwallow Knob	id=g:4798232
Bearwallow Ridge	id=g:4798233
Bearwallow Ridge	id=g:4798234
Bearwallow Ridge	id=g:4798235
Bearwallow Run	id=g:4798236
Bearwallow Knob	id=g:4798237
Bearwallow Run	id=g:4798238
Bearwallow Run	id=g:4798239
