Mulligan Creek	id=g:5128141
Charles A Mulligan School	id=g:5128142
Mullins Flow	id=g:5128143
Mullins Marsh Creek	id=g:5128144
Mullin Hill	id=g:5128145
Mumford	id=g:5128146
Mumford Rural Cemetery	id=g:5128147
Mundale	id=g:5128148
Munger Brook	id=g:5128149
Marguerite L Mulvey School	id=g:5128150
Mungers Corners	id=g:5128151
Munn Lake	id=g:5128152
Munns	id=g:5128153
Munnsville	id=g:5128154
Munnsville West Hill	id=g:5128155
Munsey Park	id=g:5128156
Munson Corners	id=g:5128157
Munson Hill	id=g:5128158
Munson Pond	id=g:5128159
Munson Pond	id=g:5128160
Munson-Williams-Proctor Arts Institute	id=g:5128161
Munsons Corner	id=g:5128162
Munsons Corners	id=g:5128163
Munsonville	id=g:5128164
Murder Bridge Hill	id=g:5128165
Murder Creek	id=g:5128166
Munger Cemetery	id=g:5128167
Murderers Creek	id=g:5128168
Murder Hill	id=g:5128169
Murdock Mountain	id=g:5128170
Murdock Woods	id=g:5128171
Murdocks Point	id=g:5128172
Murmur Creek	id=g:5128173
Murphy Brook	id=g:5128174
Murdoch Point	id=g:5128175
Murphy Corners	id=g:5128176
Murphy Hill	id=g:5128177
Murphy Hill	id=g:5128178
Murphy Hill Brook	id=g:5128179
Murphy Center	id=g:5128180
Murphy Lake	id=g:5128181
Murphy Park	id=g:5128182
Murphy Vly	id=g:5128183
Murphys Landing Strip	id=g:5128184
Murray	id=g:5128185
Murray Avenue School	id=g:5128186
Murray Brook	id=g:5128187
Murphy Islands	id=g:5128188
Murray Brook	id=g:5128189
Murray Cemetery	id=g:5128190
Murray Cemetery	id=g:5128191
Murray Hill	id=g:5128192
Murray Hill	id=g:5128193
Murray Hill	id=g:5128194
Murray Hill	id=g:5128195
Murray Hill Station	id=g:5128196
Murray Hollow	id=g:5128197
Murray Isle	id=g:5128198
Town of Murray	id=g:5128199
Murrays Corner	id=g:5128200
Murrays Pond	id=g:5128201
Murrey Pond	id=g:5128202
Murry Bergtraum High School	id=g:5128203
Muscoot Dam	id=g:5128204
Muscoot Farm Park	id=g:5128205
Muscoot Reservoir	id=g:5128206
Muscoot River	id=g:5128207
Murray Cemetery	id=g:5128208
Museum School 25	id=g:5128209
Museum of Arts	id=g:5128210
Museum of Modern Art	id=g:5128211
Museum of the Jewish Heritage	id=g:5128212
Music Terrace	id=g:5128213
Muskalonge Cemetery	id=g:5128214
Muskellunge Bay	id=g:5128215
Muskellunge Creek	id=g:5128216
Museum Middle School	id=g:5128217
Muskellunge Point	id=g:5128218
Lake Muskoday	id=g:5128219
Muskrat Bay	id=g:5128220
Muskrat Brook	id=g:5128221
Muskellunge Lake	id=g:5128222
Muskrat Creek	id=g:5128223
Muskrat Creek	id=g:5128224
Muskrat Pond	id=g:5128225
Muskrat Pond	id=g:5128226
Muskrat Pond	id=g:5128227
Mutton Hill	id=g:5128228
Mutton Hill	id=g:5128229
Mutton Hill Pond	id=g:5128230
Mutton Hollow	id=g:5128231
Muskrat Pond	id=g:5128232
Mutton Hollow	id=g:5128233
Mutton Ridge	id=g:5128234
Muttontown Country Club	id=g:5128235
Mycenae	id=g:5128236
Myers	id=g:5128237
Myers Corner	id=g:5128238
Myers Corners	id=g:5128239
Myers Creek	id=g:5128240
Muttontown	id=g:5128241
Myers Hill	id=g:5128242
Myers Park	id=g:5128243
Myers Point	id=g:5128244
Myers Swamp	id=g:5128245
Mynderse Academy	id=g:5128246
Myosotis Lake	id=g:5128247
Myrtle Brook	id=g:5128248
Myers Grove	id=g:5128249
Myrtle Cemetery	id=g:5128250
Myrtle Grove Cemetery	id=g:5128251
Mystery Point	id=g:5128252
NEW York State Boat Channel	id=g:5128253
NMY	id=g:5128254
Nail Creek	id=g:5128255
Myrtle Cemetery	id=g:5128256
Nameless Creek	id=g:5128257
Namkee Creek	id=g:5128258
Nancokus Hollow	id=g:5128259
Nances Hill	id=g:5128260
Nanny Hagen Brook	id=g:5128261
Nancy Ryan Mountain	id=g:5128262
Nanticoke Creek	id=g:5128263
Nanticoke	id=g:5128264
Town of Nanticoke	id=g:5128265
Nanuet	id=g:5128266
Napanoch	id=g:5128267
Napanoch Point	id=g:5128268
Napeague	id=g:5128269
Napeague Bay	id=g:5128270
Napeague Bay	id=g:5128271
Napeague Beach	id=g:5128272
Napeague Harbor	id=g:5128273
Napeague Meadows	id=g:5128274
Napeague Pond	id=g:5128275
Naples	id=g:5128276
Naples Creek	id=g:5128277
Nanticoke Valley Cemetery	id=g:5128278
Napoli	id=g:5128279
Napoli Cemetery	id=g:5128280
Town of Napoli	id=g:5128281
Nardin School	id=g:5128282
Narraskatuck Creek	id=g:5128283
Town of Naples	id=g:5128284
Narrow Falls Brook	id=g:5128285
Narrow Bay	id=g:5128286
