Ryan Library	id=g:5134683
Ryan Mountain	id=g:5134684
Ryan Pond	id=g:5134685
Ryan Trail	id=g:5134686
Ryans Brook	id=g:5134687
Rutland Hollow Cemetery	id=g:5134688
Ryder Park	id=g:5134689
Ryder Pond	id=g:5134690
Ryder School (historical)	id=g:5134691
Ryders Skyport Airport	id=g:5134692
Rye	id=g:5134693
Rye Beach	id=g:5134694
Rye Bridge	id=g:5134695
Rye Brook	id=g:5134696
Rye Church	id=g:5134697
Rye Field Ridge	id=g:5134698
Rye Golf Club	id=g:5134699
Rye High School	id=g:5134700
Rye Lake	id=g:5134701
Rye Nature Center	id=g:5134702
Rye Neck School (historical)	id=g:5134703
Rye Neck High School	id=g:5134704
Rye Point	id=g:5134705
Rye Point	id=g:5134706
Rye Post Office	id=g:5134707
Rye Presbyterian Church	id=g:5134708
Rye Station	id=g:5134709
Rye Town Park	id=g:5134710
City of Rye	id=g:5134711
Town of Rye	id=g:5134712
Ryers Creek	id=g:5134713
Rylstone Isle	id=g:5134714
Rynex Corners	id=g:5134715
Rysedorph Hill	id=g:5134716
Ryther Mountain	id=g:5134717
Rythus Creek	id=g:5134718
Sabael	id=g:5134719
Sabarney Gile Swamp	id=g:5134720
Sabattis	id=g:5134721
Mount Sabattis	id=g:5134722
Sabbath Day Point	id=g:5134723
Sabin Point	id=g:5134724
Sable Island	id=g:5134725
Sable Mountains	id=g:5134726
Sacandaga Camp	id=g:5134727
Sacandaga Lake	id=g:5134728
Sacandaga Park	id=g:5134729
Sacandaga Park Reservoir	id=g:5134730
Sacandaga Public Campsite	id=g:5134731
Sacandaga River	id=g:5134732
Ryder Hill	id=g:5134733
Sachem High School	id=g:5134734
Sackets Harbor	id=g:5134735
Sackets Harbor	id=g:5134736
Sackets Harbor Battlefield State Park	id=g:5134737
Sackets Harbor Light	id=g:5134738
Sackett Creek	id=g:5134739
Sacandaga Elementary School	id=g:5134740
Sacketts Harbor	id=g:5134741
Sacketts Harbor	id=g:5134742
Sackrider Cemetery	id=g:5134743
Sacred Heart Cemetery	id=g:5134744
Sacred Heart Academy	id=g:5134745
Sacred Heart Academy	id=g:5134746
Sacred Heart Cemetery	id=g:5134747
Sacred Heart Cemetery	id=g:5134748
Sacred Heart Cemetery	id=g:5134749
Sacred Heart Cemetery	id=g:5134750
Sacred Heart Cemetery	id=g:5134751
Sacred Heart Cemetery	id=g:5134752
Sacred Heart Cemetery	id=g:5134753
Sacred Heart Cemetery	id=g:5134754
Sacred Heart Cemetery	id=g:5134755
Sacred Heart Cemetery	id=g:5134756
Sacred Heart Cemetery	id=g:5134757
Sacred Heart Church	id=g:5134758
Sacred Heart Church	id=g:5134759
Sacred Heart Church	id=g:5134760
Sacred Heart Church	id=g:5134761
Sacred Heart Church	id=g:5134762
Sacred Heart Church	id=g:5134763
Sacred Heart High School	id=g:5134764
Sacred Heart Home	id=g:5134765
