Trail Number 10	id=g:5141290
Trail Number 2	id=g:5141291
Trail Number 4	id=g:5141292
Trail Number 4	id=g:5141293
Trail Number 4 A	id=g:5141294
Trail Number 5	id=g:5141295
Trail Number 9	id=g:5141296
Train Pond	id=g:5141297
Trainor Hill	id=g:5141298
Trammel Creek	id=g:5141299
Tracy Creek Church	id=g:5141300
Transfiguration School	id=g:5141301
Transit Bridge	id=g:5141302
Transit Bridge Church	id=g:5141303
Transit Cemetery	id=g:5141304
Transit Church	id=g:5141305
Transit Rural Cemetery	id=g:5141306
Transitown Shopping Center	id=g:5141307
Transport Rock	id=g:5141308
Trap Brook	id=g:5141309
Trap Cliff	id=g:5141310
Trapping Brook	id=g:5141311
Transfiguration School	id=g:5141312
Trask Pond	id=g:5141313
Traulsen-College Point Heliport	id=g:5141314
Traver Cemetery	id=g:5141315
Traver Hill	id=g:5141316
Traver Hollow	id=g:5141317
Trapps Bridge	id=g:5141318
Travers Island	id=g:5141319
Travis	id=g:5141320
Travis Brook	id=g:5141321
Travers Corners	id=g:5141322
Travis Hill Park	id=g:5141323
Travis Point	id=g:5141324
Travis Point	id=g:5141325
Tray Mill Brook	id=g:5141326
Travis Corners	id=g:5141327
Treadway Mountain Trail	id=g:5141328
Treadwell	id=g:5141329
Treadwell Bay	id=g:5141330
Treadwell Creek	id=g:5141331
Treadway Mountain	id=g:5141332
Treasure Lake	id=g:5141333
Treasure Pond	id=g:5141334
Treet Hill	id=g:5141335
Tremaines Corners	id=g:5141336
Lake Treman	id=g:5141337
Trembleau Mountain	id=g:5141338
Trembleau Point	id=g:5141339
Trembleau Point	id=g:5141340
Tremley Point Reach	id=g:5141341
Tremont	id=g:5141342
Tremont Elementary School	id=g:5141343
Tremper Kill	id=g:5141344
Treasure Island	id=g:5141345
Trenton Assembly Park	id=g:5141346
Trenton Chasm	id=g:5141347
Tremper Mountain	id=g:5141348
Trenton Falls Station	id=g:5141349
Town of Trenton	id=g:5141350
Tressmar	id=g:5141351
Trestle Corners	id=g:5141352
Trestle Lake	id=g:5141353
Trevor Park	id=g:5141354
Tri County Airways Airport	id=g:5141355
Tri Valley School	id=g:5141356
Tri Village Airport	id=g:5141357
Tri-Cities Airport	id=g:5141358
Triangle	id=g:5141359
Triangle Camp	id=g:5141360
Triangle Lake	id=g:5141361
Triangle Pond	id=g:5141362
Triangle Pond	id=g:5141363
Town of Triangle	id=g:5141364
Tribeca	id=g:5141365
Tribes Hill	id=g:5141366
Triboro Hospital (historical)	id=g:5141367
Triboro School	id=g:5141368
J J Downing Memorial Stadium	id=g:5141369
Robert F Kennedy Memorial Bridge	id=g:5141370
Trim Hill	id=g:5141371
Trinity - Saint Paul's Episcopal Church	id=g:5141372
Trinity Cemetery	id=g:5141373
Trinity Cemetery	id=g:5141374
Trinity Cemetery	id=g:5141375
Trinity Cemetery	id=g:5141376
Trinity Cemetery	id=g:5141377
Trinity Cemetery	id=g:5141378
Trinity Chapel	id=g:5141379
Trinity Chapel School (historical)	id=g:5141380
Trinity Church	id=g:5141381
Trinity Church	id=g:5141382
