Richford Center Cemetery	id=g:5240268
Richford Country Club	id=g:5240269
Richford Country Club	id=g:5240270
Richford Elementary School	id=g:5240271
Richford Junior / Senior High School	id=g:5240272
Richford Town Hall	id=g:5240273
Town of Richford	id=g:5240274
Richmond	id=g:5240275
Richmond Brook	id=g:5240276
Rich Cemetery	id=g:5240277
Richmond Elementary School	id=g:5240278
Richmond Hill	id=g:5240279
Richmond Pond	id=g:5240280
Richmond Post Office	id=g:5240281
Town of Richmond	id=g:5240282
Richville	id=g:5240283
Richville	id=g:5240284
Richville Dam	id=g:5240285
Richville Pond	id=g:5240286
Richville Wildlife Management Area	id=g:5240287
Ricker Campground	id=g:5240288
Ricker Dam	id=g:5240289
Ricker Mills	id=g:5240290
Ricker Mountain	id=g:5240291
Ricker Pond	id=g:5240292
Ricker Recreational Area	id=g:5240293
Riddall Cemetery	id=g:5240294
Riddel Pond	id=g:5240295
Riders Corners	id=g:5240296
Ridge Cemetery	id=g:5240297
Ridgewell-Central Cemetery	id=g:5240298
Ridley Brook	id=g:5240299
Richmond Congregational Church	id=g:5240300
Riford Brook	id=g:5240301
Riford Hill	id=g:5240302
Riley Bostwick Wildlife Management Area	id=g:5240303
Ripton	id=g:5240304
Ripton Elementary School	id=g:5240305
Town of Ripton	id=g:5240306
Ritterbush Camp	id=g:5240307
Ritterbush Pond	id=g:5240308
River City Arts and White River Theater	id=g:5240309
River Road Cemetery	id=g:5240310
River Road Covered Bridge	id=g:5240311
East Haven River School	id=g:5240312
River School (historical)	id=g:5240313
River Street Cemetery	id=g:5240314
River View Cemetery	id=g:5240315
River View School	id=g:5240316
Riverbank Cemetery	id=g:5240317
Riverbank Cemetery	id=g:5240318
Rivers Bend Campground	id=g:5240319
Riverside	id=g:5240320
Riverside	id=g:5240321
Riverside Bridge	id=g:5240322
Riverside Cemetery	id=g:5240323
Riverside Cemetery	id=g:5240324
Riverside Cemetery	id=g:5240325
Riverside Cemetery	id=g:5240326
Riverside Cemetery	id=g:5240327
Riverside Cemetery	id=g:5240328
Riverside Cemetery	id=g:5240329
Riverside Cemetery	id=g:5240330
Riverside Cemetery	id=g:5240331
Riverside Cemetery	id=g:5240332
Riverside Middle School	id=g:5240333
Riverside Park	id=g:5240334
Riverside Reformatory	id=g:5240335
Riverside School	id=g:5240336
Riverside School	id=g:5240337
Riverside-Smart-Fellows-South Cemetery	id=g:5240338
Riverton Cemetery	id=g:5240339
Riverview Cemetery	id=g:5240340
Roach Pond	id=g:5240341
Roaring Branch	id=g:5240342
Rikert Ski Touring Center Bread Loaf Campus	id=g:5240343
Roaring Branch	id=g:5240344
Roaring Branch Walloomsac Brook	id=g:5240345
Roaring Brook	id=g:5240346
Roaring Brook	id=g:5240347
Roaring Brook	id=g:5240348
Roaring Brook	id=g:5240349
Roaring Brook	id=g:5240350
Roaring Brook	id=g:5240351
Roaring Brook	id=g:5240352
Roaring Brook	id=g:5240353
Roaring Brook	id=g:5240354
Roaring Brook	id=g:5240355
Roaring Brook Park	id=g:5240356
Robbins Branch	id=g:5240357
Robbins Mountain	id=g:5240358
Robeby Museum	id=g:5240359
Robert Burns Memorial Statue	id=g:5240360
Robert Frost Home (historical)	id=g:5240361
Robert Frost Interpretive Trail	id=g:5240362
Robert Frost Mountain	id=g:5240363
Robert Frost Wayside	id=g:5240364
Robert Frost Wayside	id=g:5240365
Robert Hull Fleming Museum	id=g:5240366
Roberts Brook	id=g:5240367
Robbins Mountain Wildlife Management Area	id=g:5240368
Roberts Family Cemetery	id=g:5240369
Robinson Brook	id=g:5240370
Roberts Cemetery	id=g:5240371
Robinson Cemetery	id=g:5240372
Robinson Cemetery	id=g:5240373
Robinson Dalewood Cemetery	id=g:5240374
Robinson Elementary School	id=g:5240375
Robinson Hill	id=g:5240376
Robinson Hill	id=g:5240377
Robinson Hill	id=g:5240378
Robinson Point	id=g:5240379
Robinson Point	id=g:5240380
Robinson School	id=g:5240381
Rochester	id=g:5240382
Rochester Gap	id=g:5240383
Rochester Mountain	id=g:5240384
Rochester Ranger Station	id=g:5240385
Rochester Elementary / High School	id=g:5240386
Town of Rochester	id=g:5240387
Rock Brook	id=g:5240388
Robinson Cemetery	id=g:5240389
Rock Hill	id=g:5240390
Rock Island	id=g:5240391
Rock Island	id=g:5240392
Rock Landing	id=g:5240393
Rock Point School	id=g:5240394
Rock River	id=g:5240395
Rock River Bay	id=g:5240396
Rock River Bridge	id=g:5240397
Rock of Ages Granite Quarry	id=g:5240398
Rockingham	id=g:5240399
Rockingham Free Public Library	id=g:5240400
Rockingham Meeting-House	id=g:5240401
Rockingham Meeting-House Cemetery	id=g:5240402
Rockingham Town Forest	id=g:5240403
Rockingham Town Hall	id=g:5240404
Town of Rockingham	id=g:5240405
Rockville	id=g:5240406
Rockwell Bay	id=g:5240407
Rocky Dale	id=g:5240408
Rocky Pond	id=g:5240409
Rocky Ridge	id=g:5240410
Rocky Ridge Golf Course	id=g:5240411
Rodman Brook	id=g:5240412
Rock Dunder	id=g:5240413
Roegan Road Cemetery	id=g:5240414
Roger Hill	id=g:5240415
Rogers Branch	id=g:5240416
