Brookwood High School	id=g:5246884
Brookwood Village Shopping Center	id=g:5246885
Brophy Nursing Center	id=g:5246886
Brothertown	id=g:5246887
Brothertown Harbor	id=g:5246888
Town of Brothertown	id=g:5246889
Brouwer Building	id=g:5246890
Brown Beaver Lake	id=g:5246891
Brown Branch Spafford Creek	id=g:5246892
Brookside School	id=g:5246893
Brown Cemetery	id=g:5246894
Brown Cemetery	id=g:5246895
Brown Church	id=g:5246896
Brown Church (historical)	id=g:5246897
Brown County	id=g:5246898
Brown County Courthouse	id=g:5246899
Brown County Fair Grounds	id=g:5246900
Brown County Jail	id=g:5246901
Brown County Library	id=g:5246902
Brown County Mental Health Center	id=g:5246903
Brown County Veterans Memorial Arena	id=g:5246904
Brown Creek	id=g:5246905
Brown Creek	id=g:5246906
Brown Cemetery	id=g:5246907
Brown Creek	id=g:5246908
Brown Creek	id=g:5246909
Brown Deer High School	id=g:5246910
Brown Deer Middle School	id=g:5246911
Brown Deer Park	id=g:5246912
Brown Deer Public Library	id=g:5246913
Brown Deer School	id=g:5246914
Village of Brown Deer	id=g:5246915
Brown Hollow	id=g:5246916
Brown Deer	id=g:5246917
Brown Memorial Camp	id=g:5246918
Brown Ridge	id=g:5246919
Brown School (historical)	id=g:5246920
Brown School (historical)	id=g:5246921
Brown School (historical)	id=g:5246922
Brown School (historical)	id=g:5246923
Brown School (historical)	id=g:5246924
Brown Street School	id=g:5246925
Riverpoint Village Shopping Center	id=g:5246926
Brownes Point	id=g:5246927
Browning Lake	id=g:5246928
Browning School	id=g:5246929
Town of Browning	id=g:5246930
Brownlee Creek	id=g:5246931
Brown Lake	id=g:5246932
Brownlee School (historical)	id=g:5246933
Browns Beach	id=g:5246934
Browns Creek	id=g:5246935
Brownlee G12 6 Dam	id=g:5246936
Browns Lake	id=g:5246937
Browns Lake	id=g:5246938
Browns Lake Golf Course	id=g:5246939
Browns Landing (historical)	id=g:5246940
Browns Valley	id=g:5246941
Browns Lake	id=g:5246942
Brownstone Falls	id=g:5246943
Brownsville	id=g:5246944
Village of Brownsville	id=g:5246945
Browntown	id=g:5246946
Browntown Oak Forest State Natural Area	id=g:5246947
Village of Browntown	id=g:5246948
Brownville	id=g:5246949
Bruce	id=g:5246950
Bruce Creek	id=g:5246951
Browns Valley School	id=g:5246952
Bruce High School	id=g:5246953
Bruce Lake	id=g:5246954
Bruce Lake	id=g:5246955
Bruce Mound	id=g:5246956
Bruce Mound School (historical)	id=g:5246957
Bruce Protestant Cemetery	id=g:5246958
Bruce Valley Church	id=g:5246959
Bruce Valley Creek	id=g:5246960
Bruce Elementary School	id=g:5246961
Village of Bruce	id=g:5246962
Brueckerville School	id=g:5246963
Bruemmer County Park	id=g:5246964
Bruemmer Creek	id=g:5246965
Bruce Valley School (historical)	id=g:5246966
Brule	id=g:5246967
Brule Creek	id=g:5246968
Bruemmerville	id=g:5246969
Brule Island Power Plant	id=g:5246970
Brule Lookout Tower	id=g:5246971
Brule Point	id=g:5246972
Brule Island Dam	id=g:5246974
Brule River Recreation Area	id=g:5246975
Brule River State Forest	id=g:5246976
Brule River State Forest Annex	id=g:5246977
Brule River State Forest Waterfowl Management Area	id=g:5246978
Brule School (historical)	id=g:5246979
Brule Springs	id=g:5246980
Town of Brule	id=g:5246981
Brult School (historical)	id=g:5246982
Brunet Flowage 30	id=g:5246983
Brunet Island	id=g:5246984
Brunet Island State Park	id=g:5246985
Brunet Lookout Tower	id=g:5246986
Brunet Methodist Church	id=g:5246987
Brunet River	id=g:5246988
Brule River Cliffs State Natural Area	id=g:5246989
Brunner Coulee	id=g:5246990
Brunette School (historical)	id=g:5246991
Brunner Valley	id=g:5246992
Brunner Dam	id=g:5246993
Bruno Lake Ditch	id=g:5246994
Brunsweiler Creek 2WP613 Dam	id=g:5246995
Brunsweiler River	id=g:5246996
Bruno Lake	id=g:5246997
Town of Brunswick	id=g:5246998
Brush Creek	id=g:5246999
Brunswick Cemetery	id=g:5247000
Brush Creek	id=g:5247001
Brush Creek	id=g:5247002
Brush Creek	id=g:5247003
Brush Creek	id=g:5247004
Brush Creek	id=g:5247005
Brush Creek School (historical)	id=g:5247006
Brush Hollow	id=g:5247007
Brush Hollow Cemetery	id=g:5247008
Brush Island	id=g:5247009
Brush Lake	id=g:5247010
Brush Lake	id=g:5247011
Brush Prairie School (historical)	id=g:5247012
Brusher Lake	id=g:5247013
Brushville	id=g:5247014
Brushwood Island	id=g:5247015
Brushy Lake	id=g:5247016
Brushy Mound Lake	id=g:5247017
Brushy Ridge	id=g:5247018
Bruske School (historical)	id=g:5247019
Brussels Hill	id=g:5247020
Town of Brussels	id=g:5247021
Bryan Valley School (historical)	id=g:5247022
Bryant	id=g:5247023
Bryant Elementary School	id=g:5247024
Bryn Zion Church	id=g:5247025
Brynwood Country Club	id=g:5247026
Brzezinski Park	id=g:5247027
Bubar Island	id=g:5247028
Buchanan Ridge	id=g:5247029
Town of Buchanan	id=g:5247030
Buchholz Farm Airport	id=g:5247031
Buchner Park	id=g:5247032
Bucholtz Park	id=g:5247033
Buck Creek	id=g:5247034
Brush Hollow School (historical)	id=g:5247035
Buck Creek	id=g:5247036
Buck Creek	id=g:5247037
Buck Lake	id=g:5247038
Buck Lake	id=g:5247039
Buck Lake	id=g:5247040
Buck Lake	id=g:5247041
Buck Lake	id=g:5247042
Buck Lake	id=g:5247043
Buck Lake	id=g:5247044
Buck Lake	id=g:5247045
Buck Lakes	id=g:5247046
Buckatahpon 1909c361 Dam	id=g:5247047
Buckatabon Creek	id=g:5247048
Buck Creek School (historical)	id=g:5247049
Buckety Creek	id=g:5247050
Buckbee	id=g:5247051
Buckeye Lookout Tower	id=g:5247052
Buckeye Ridge	id=g:5247053
Buckeye School (historical)	id=g:5247054
Buckholz Corners	id=g:5247055
Buckhorn Barrens State Natural Area	id=g:5247056
Buckhorn Bridge	id=g:5247057
Buckhorn Corner	id=g:5247058
Buckhorn State Park	id=g:5247059
Buckhorn State Wildlife Area	id=g:5247060
Buckley Creek	id=g:5247061
Buckeye Island	id=g:5247062
Buckley Park	id=g:5247063
Buckleys Bridge	id=g:5247064
Buckman	id=g:5247065
Buckman Lake	id=g:5247066
Bucks Lake	id=g:5247067
Bucks Lake 7.7	id=g:5247068
Buckskin Creek	id=g:5247069
Buckley Park	id=g:5247070
Buckskin Lake	id=g:5247071
Buckskin Ridge	id=g:5247072
Buckskin School	id=g:5247073
Buckskin School Creek	id=g:5247074
Buckskin Lake	id=g:5247075
Buckwheat Ridge	id=g:5247076
Buckwheat Ridge Cemetery	id=g:5247077
Buckwheat Valley	id=g:5247078
Buckstaff Observatory	id=g:5247079
Buddy School (historical)	id=g:5247080
Buds Landing Airport	id=g:5247081
Budsberg Lake	id=g:5247082
Budsin	id=g:5247083
Buehler Valley	id=g:5247084
Bud	id=g:5247085
Buell Valley	id=g:5247086
Buell Valley School (historical)	id=g:5247087
Buena Park	id=g:5247088
Buena Park	id=g:5247089
Buena Vista	id=g:5247090
Buena Vista	id=g:5247091
Buena Vista Airport	id=g:5247092
Buena Vista Cemetery	id=g:5247093
Buena Vista Church	id=g:5247094
Buena Vista Creek	id=g:5247095
Buena Lake	id=g:5247096
Buena Vista Prairie Chicken Meadow State Natural Area	id=g:5247097
Buena Vista Quarry Prairie State Natural Area	id=g:5247098
Town of Buena Vista	id=g:5247099
Town of Buena Vista	id=g:5247100
Buff Church	id=g:5247101
Buff Creek	id=g:5247102
Buff Creek	id=g:5247103
Buff Lake	id=g:5247104
Buffalo Bay	id=g:5247105
Buffalo Church	id=g:5247106
Buffalo City	id=g:5247107
Buffalo County	id=g:5247108
Buffalo County Fair Grounds	id=g:5247109
Buffalo Island	id=g:5247110
Buffalo Lake	id=g:5247111
Buffalo Lake	id=g:5247112
Buffalo Lake	id=g:5247113
Buffalo Lake	id=g:5247114
Buffalo Lake	id=g:5247115
Buffalo Lake 398	id=g:5247116
Buffalo Ridge	id=g:5247117
Buffalo Ridge School (historical)	id=g:5247118
Buffalo River	id=g:5247119
Buena Vista Park	id=g:5247120
Buffalo Slough	id=g:5247121
Buffalo Slough	id=g:5247122
Buffalo Shore Estates	id=g:5247123
City of Buffalo City	id=g:5247124
Town of Buffalo	id=g:5247125
Town of Buffalo	id=g:5247126
Buffalo-Trinity Cemetery	id=g:5247127
Bufo Lake	id=g:5247128
Bug Lake	id=g:5247129
Bug Lake	id=g:5247130
Bug Lake	id=g:5247131
Buggert Lake	id=g:5247132
Bughouse Lake	id=g:5247133
Bughs Lake	id=g:5247134
Bugle Lake	id=g:5247135
Bugle Lake 110	id=g:5247136
Bukolt Park	id=g:5247137
Bull Branch	id=g:5247138
Buffalo Slu	id=g:5247139
Bull Branch	id=g:5247140
Bull Brook	id=g:5247141
Bull Creek	id=g:5247142
Bull Falls	id=g:5247143
Bull Gus Creek	id=g:5247144
Bull Junior Creek	id=g:5247145
Bull Moose Lake	id=g:5247146
Bull Run	id=g:5247147
Bullamore Forks School	id=g:5247148
Bullen Junior High School	id=g:5247149
The Bullet Chute	id=g:5247150
Bulldog Springs	id=g:5247151
Bullfrog Lake	id=g:5247152
Bullfrog Lake	id=g:5247153
Bullgrass Flowage	id=g:5247154
Bullhead Lake	id=g:5247155
Bullhead Lake	id=g:5247156
Bullhead Lake	id=g:5247157
Bullhead Lake	id=g:5247158
Bullhead Lake	id=g:5247159
Bullhead Lake	id=g:5247160
Bullhead Lake	id=g:5247161
Bullhead Lake	id=g:5247162
Bullhead Lake	id=g:5247163
Bullhead Lake	id=g:5247164
Bullhead Lake	id=g:5247165
Bullhead Lake	id=g:5247166
Bullhead Lake	id=g:5247167
Bullhead Lake	id=g:5247168
Bullhead Lake	id=g:5247169
Bullhead Lake	id=g:5247170
Bullhead Lake	id=g:5247171
Bullhead Pond	id=g:5247172
Bullhead Slu	id=g:5247173
Lake Bullhead	id=g:5247174
The Bullpen Bay	id=g:5247175
Bundy	id=g:5247176
Bundy Creek	id=g:5247177
Bullet Lake	id=g:5247178
Bungalow School (historical)	id=g:5247179
Bunker Bay	id=g:5247180
Bunker Hill	id=g:5247181
Bunker Hill	id=g:5247182
Bunker Hill	id=g:5247183
Bunker Hill	id=g:5247184
Bunker Hill School	id=g:5247185
Bunker Hill School (historical)	id=g:5247186
Bunker Lake	id=g:5247187
Bunnels Bluff	id=g:5247188
Bunyans Hat Island	id=g:5247189
Burbank Elementary School	id=g:5247190
Burbank Park	id=g:5247191
Burbank School	id=g:5247192
Burbank School (historical)	id=g:5247193
Burd Lake	id=g:5247194
Burdge Elementary School	id=g:5247195
Burdick Cemetery	id=g:5247196
Burdick Elementary School	id=g:5247197
Burdon Hill	id=g:5247198
Burgess Corners	id=g:5247199
Burgy Creek	id=g:5247200
Bundy Hollow	id=g:5247201
Burke Lutheran Church	id=g:5247202
Burke School (historical)	id=g:5247203
Burke Station School	id=g:5247204
Town of Burke	id=g:5247205
Burkett Mine	id=g:5247206
Burkhardt	id=g:5247207
Burkhardt Mill Pond 169.1	id=g:5247208
Burkhardt Station	id=g:5247209
Burkhart Creek	id=g:5247210
Burke	id=g:5247211
Burleigh Elementary School	id=g:5247212
Burlingame Lake	id=g:5247213
Burlington	id=g:5247214
Burlington 2WP311 Dam	id=g:5247215
Burlington Cemetery	id=g:5247216
Burlington City Hall	id=g:5247217
Burlington High School	id=g:5247218
Burlington Junior High School	id=g:5247219
Burlington Municipal Airport	id=g:5247220
Burlington Post Office	id=g:5247221
Burlington Public Library	id=g:5247222
Burlington Water Works	id=g:5247223
City of Burlington	id=g:5247224
Town of Burlington	id=g:5247225
Burlock Lake	id=g:5247226
Burman School (historical)	id=g:5247227
Burnett	id=g:5247228
Burnett Corners	id=g:5247229
Burnett County	id=g:5247230
Burnett County Airport	id=g:5247231
Burnett County Camp	id=g:5247232
Burnett County Fairground	id=g:5247233
Burnett Ditch	id=g:5247234
Burnett Flowage	id=g:5247235
Burnett General Hospital	id=g:5247236
Burnett General Hospital Heliport	id=g:5247237
Burnett Union Cemetery	id=g:5247238
Town of Burnett	id=g:5247239
Burney Lake	id=g:5247240
Burnham Canal	id=g:5247241
Burnham Creek	id=g:5247242
Burkhart School (historical)	id=g:5247243
Burnham Creek	id=g:5247244
Burnham Lake	id=g:5247245
Burnham Shopping Center	id=g:5247246
Lake Burnita	id=g:5247247
Burns	id=g:5247248
Burns Cemetery	id=g:5247249
Burns Cemetery	id=g:5247250
Burns Corners	id=g:5247251
Burns Cove	id=g:5247252
Burns Creek	id=g:5247253
Burnham Lake	id=g:5247254
Burns Creek	id=g:5247255
Burns Dam	id=g:5247256
Burns Lake	id=g:5247257
Burns Valley Church	id=g:5247258
Town of Burns	id=g:5247259
Burnside School (historical)	id=g:5247260
Town of Burnside	id=g:5247261
Burnt Bridge Campground	id=g:5247262
Burnt Point Rapids	id=g:5247263
Burnt Rollways 1909c361 Dam	id=g:5247264
Burnt Rollways Dam	id=g:5247265
Burnt Rollways Reservoir 129	id=g:5247266
Burnt Shanty Creek	id=g:5247267
Burns Creek	id=g:5247268
Burnt Wagon Lake	id=g:5247269
Burr Oak	id=g:5247270
Burr Oak School	id=g:5247271
Burr Oak School	id=g:5247272
Burr Oak School	id=g:5247273
Burr Oak School	id=g:5247274
Burr Oak School	id=g:5247275
Burr Oak Stock and Dairy Farm	id=g:5247276
Burr Oak Stock Farm	id=g:5247277
Burr Ridge	id=g:5247278
Burr Wesleyan Church	id=g:5247279
Burroughs Hall	id=g:5247280
John Burroughs Middle School	id=g:5247281
Burrows Lake	id=g:5247282
Burrows Park	id=g:5247283
Burton	id=g:5247284
Burton Bridge	id=g:5247285
Burton E Nelson Field	id=g:5247286
Burton Field	id=g:5247287
Burton School	id=g:5247288
Burton School (historical)	id=g:5247289
Burton School (historical)	id=g:5247290
Burzynski E 5088.1 Dam	id=g:5247291
Bush Cemetery	id=g:5247292
Bush Creek	id=g:5247293
Burnt Shanty Rapids	id=g:5247294
Bush Prairie School	id=g:5247295
Bushnell Creek	id=g:5247296
Bush Lake	id=g:5247297
Bushnell Park	id=g:5247298
Bushy Lake	id=g:5247299
Buskey Bay	id=g:5247300
Buss's Corners	id=g:5247301
