Lincoln Creek Parkway	id=g:5260127
Lindgren Lake	id=g:5260128
Lindina	id=g:5260129
Town of Lindina	id=g:5260130
Lindow G7265 Dam	id=g:5260131
Lindquist Lake	id=g:5260132
Lindsay Creek	id=g:5260133
Lindgren Elementary School	id=g:5260134
Lindsey Bluffs	id=g:5260135
Lindsey Cemetery	id=g:5260136
Lindstrom Creek	id=g:5260137
Lindsay Park	id=g:5260138
Lindy Lake	id=g:5260139
Line Lake	id=g:5260140
Line Lake	id=g:5260141
Linen Mill Dam	id=g:5260142
Linfield Hall	id=g:5260143
Linfield School	id=g:5260144
Ling School (historical)	id=g:5260145
Linie Lac	id=g:5260146
Link Coulee	id=g:5260147
Lindvig Ridge	id=g:5260148
Link Hill	id=g:5260149
Town of Linn	id=g:5260150
Linnehan Valley	id=g:5260151
Link Creek	id=g:5260152
Linnunpuro Creek	id=g:5260153
Linrud School (historical)	id=g:5260154
Linton	id=g:5260155
Linwood Park	id=g:5260156
Linwood School	id=g:5260157
Linwood Union Cemetery	id=g:5260158
Town of Linwood	id=g:5260159
Linzy Brook School (historical)	id=g:5260160
Linzy Creek	id=g:5260161
Lins Valley	id=g:5260162
Lions Beach	id=g:5260163
Lions Hall	id=g:5260164
Lions Lake	id=g:5260165
Lions Park	id=g:5260166
Lions Park	id=g:5260167
Lions Park	id=g:5260168
Lions Park	id=g:5260169
Lions Point Playground	id=g:5260170
Lipp Lake	id=g:5260171
Lipsett Lake	id=g:5260172
Lipsky Swamp	id=g:5260173
Liquid Cargo Pier	id=g:5260174
Lisbon Church	id=g:5260175
Town of Lisbon	id=g:5260176
Town of Lisbon	id=g:5260177
Liske H2393 Dam	id=g:5260178
Listeman Arboretum	id=g:5260179
Little Amnicon River	id=g:5260180
Lion School (historical)	id=g:5260181
Little Archibald Lake	id=g:5260182
Little Arkansaw Creek	id=g:5260183
Little Arbor Vitae Lake	id=g:5260184
Little Balsam Creek	id=g:5260185
Little Arkansaw School (historical)	id=g:5260186
Little Baraboo River	id=g:5260187
Little Banana Island	id=g:5260188
Little Bass Lake	id=g:5260189
Little Bass Lake	id=g:5260190
Little Bass Lake	id=g:5260191
Little Bass Lake	id=g:5260192
Little Bass Lake	id=g:5260193
Little Bass Lake	id=g:5260194
Little Bass Lake	id=g:5260195
Little Bass Lake	id=g:5260196
Little Bass Lake	id=g:5260197
Little Bass Lake	id=g:5260198
Little Bass Lake	id=g:5260199
Little Bass Lake	id=g:5260200
Little Bass Lake	id=g:5260201
Little Bass Lake	id=g:5260202
Little Bass Lake	id=g:5260203
Little Bass Lake	id=g:5260204
Little Bateau Lake	id=g:5260205
Little Bean Brook	id=g:5260206
Little Baraboo Valley Stock and Dairy Farm	id=g:5260207
Little Bear Creek	id=g:5260208
Little Bear Creek	id=g:5260209
Little Bear Creek	id=g:5260210
Little Bear Creek	id=g:5260211
