Petty Acres	id=g:5266727
Petty Lake	id=g:5266728
Petzke Park	id=g:5266729
Peufald Lakes	id=g:5266730
Pewaukee	id=g:5266731
Pewaukee Hi.2 Dam	id=g:5266732
Pewaukee High School	id=g:5266733
Pewaukee Lake	id=g:5266734
Pewaukee Lake 27.6	id=g:5266735
Pewaukee River	id=g:5266736
Petrifying Springs Park	id=g:5266737
City of Pewaukee	id=g:5266738
Village of Pewaukee	id=g:5266739
Pewits Nest School (historical)	id=g:5266740
Peyton	id=g:5266741
Pfaff School (historical)	id=g:5266742
Pfaffenroth Private Airport	id=g:5266743
Phantom Lake	id=g:5266744
Phantom Lake	id=g:5266745
Phantom Lake	id=g:5266746
Phantom Lake Bypass	id=g:5266747
Phantom Ranch Boys Camp	id=g:5266748
Pheasant Branch	id=g:5266749
Pheasant Branch	id=g:5266750
Pewaukee West	id=g:5266751
Phelan Creek	id=g:5266752
Phelps	id=g:5266753
Phelps Cemetery	id=g:5266754
Phelps Municipal Landing Strip	id=g:5266755
Town of Phelps	id=g:5266756
Phernetton Lake	id=g:5266757
Philadelphia Missionary Baptist Church	id=g:5266758
Philippine Islands	id=g:5266759
Emanuel L Philipp Elementary School (historical)	id=g:5266760
Phillip School (historical)	id=g:5266761
Phillip School (historical)	id=g:5266762
Phillip School (historical)	id=g:5266763
Phillips	id=g:5266764
Phillips Creek	id=g:5266765
Pheffercorn Lake	id=g:5266766
Phillips High School	id=g:5266767
Phillips Lake	id=g:5266768
Phillips Lake	id=g:5266769
Phillips Lake	id=g:5266770
Phillips Marsh	id=g:5266771
Phillips Ridge School (historical)	id=g:5266772
Phillips School (historical)	id=g:5266773
City of Phillips	id=g:5266774
Phils Island	id=g:5266775
Phipps	id=g:5266776
Phipps Flowage	id=g:5266777
Phipps Lake	id=g:5266778
Phipps Spring	id=g:5266779
Phlox	id=g:5266780
Phlox Lake	id=g:5266781
Phlox Pond 13	id=g:5266782
Phlox WP269 Dam	id=g:5266783
Phoenix Middle School	id=g:5266784
Phoenix Park	id=g:5266785
Phoenix Sports Center	id=g:5266786
Physa Lake	id=g:5266787
Piacenza	id=g:5266788
Picatee Creek	id=g:5266789
Phillips Elementary School	id=g:5266790
