Boundary Tank	id=g:5286641
Boundary Tanks	id=g:5286642
Bouquet Ranch	id=g:5286643
Bourdon Tank	id=g:5286644
Bourdon Windmill	id=g:5286645
Bourgade Catholic High School	id=g:5286646
Bourke Canyon	id=g:5286647
Boulder Well	id=g:5286648
Bourke Tank	id=g:5286649
Bouse	id=g:5286650
Bouse Airport	id=g:5286651
Bouse Hills	id=g:5286652
Bouse Wash	id=g:5286653
Bourke Point	id=g:5286654
Bow Ribbon Tanks	id=g:5286655
Bow and Arrow Park	id=g:5286656
Bowdon Tank	id=g:5286657
Bower Tank	id=g:5286658
Bowie	id=g:5286659
Bowie Airport	id=g:5286660
Bowie Elementary School	id=g:5286661
Bowie High School	id=g:5286662
Bowie Junction (historical)	id=g:5286663
Bowie Mountain	id=g:5286664
Bowie Post Office	id=g:5286665
Bowie Railroad Station	id=g:5286666
Bowie Substation	id=g:5286667
Bowie Turbine Station	id=g:5286668
Bowl Creek	id=g:5286669
Bow Ribbon Park	id=g:5286670
Bowman Ranch	id=g:5286671
Bowman Spring	id=g:5286672
Box Bar Ranch	id=g:5286673
Box Camp Canyon	id=g:5286674
Bowman Memorial Park	id=g:5286675
Box Canyon	id=g:5286676
Box Canyon	id=g:5286677
Box Canyon	id=g:5286678
Box Canyon	id=g:5286679
Box Canyon	id=g:5286680
Box Canyon	id=g:5286681
Box Canyon	id=g:5286682
Box Canyon	id=g:5286683
Box Canyon	id=g:5286684
Box Canyon	id=g:5286685
Box Canyon	id=g:5286686
Box Canyon	id=g:5286687
Box Canyon	id=g:5286688
Box Canyon	id=g:5286689
Box Canyon	id=g:5286690
Box Canyon	id=g:5286691
Box Canyon	id=g:5286692
Box Canyon	id=g:5286693
Box Canyon Pueblo (historical)	id=g:5286694
Box Canyon Tank	id=g:5286695
Box Canyon Tank	id=g:5286696
Box Canyon Tank Number Two	id=g:5286697
Box Canyon Wash	id=g:5286698
Box Canyon Springs	id=g:5286699
Box Canyon Wash	id=g:5286700
Box Canyon Well	id=g:5286701
Box Elder Spring	id=g:5286702
Box K Dam	id=g:5286703
Box K Ranch	id=g:5286704
Box K Tank	id=g:5286705
Box O Hills	id=g:5286706
Box O Ranch	id=g:5286707
Box O Wash	id=g:5286708
Box Canyon Windmill	id=g:5286709
Box Spring	id=g:5286710
Box Spring	id=g:5286711
Box Spring	id=g:5286712
Box Spring	id=g:5286713
Box Spring	id=g:5286714
Box Spring	id=g:5286715
Box Spring	id=g:5286716
Box Spring	id=g:5286717
Box Spring	id=g:5286718
