Dry Lake	id=g:5293307
Dry Lakes	id=g:5293308
Dry Lakes	id=g:5293309
Dry Lakes Well	id=g:5293310
Dry Mesa	id=g:5293311
Dry Mesa	id=g:5293312
Dry Mesa Dam	id=g:5293313
Dry Mesa Tank	id=g:5293314
Dry Mountain	id=g:5293315
Dry Park	id=g:5293316
Dry Park Lakes	id=g:5293317
Dry Park Lookout	id=g:5293318
Dry Pasture Well	id=g:5293319
Dry Pocket Tank	id=g:5293320
Dry Pocket Wash	id=g:5293321
Dry Lakes	id=g:5293322
Dry Prong	id=g:5293323
Dry Prong Canyon	id=g:5293324
Dry Prong Creek	id=g:5293325
Dry Prong Dam	id=g:5293326
Dry Prong Tank	id=g:5293327
Dry Prong Tank	id=g:5293328
Dry Prong Trail Forty-five	id=g:5293329
Dry Reservoir	id=g:5293330
Dry Spring	id=g:5293331
Dry Spring Well	id=g:5293332
Dry Tank	id=g:5293333
Dry Tank	id=g:5293334
Dry Tank	id=g:5293335
Dry Tank	id=g:5293336
Dry Tank	id=g:5293337
Dry Tank	id=g:5293338
Dry Tank	id=g:5293339
Dry Tank	id=g:5293340
Dry Tank	id=g:5293341
Dry Tank	id=g:5293342
Dry Tank	id=g:5293343
Dry Tank	id=g:5293344
Dry Tank	id=g:5293345
Dry Tank	id=g:5293346
Dry Tank	id=g:5293347
Dry Tank	id=g:5293348
Dry Trap Tank	id=g:5293349
Dry Valley	id=g:5293350
Dry Prong Seep	id=g:5293351
Dry Wash	id=g:5293352
Dry Valley Tank	id=g:5293353
Dry Wash	id=g:5293354
Dry Wash	id=g:5293355
Dry Wash	id=g:5293356
Dry Wash	id=g:5293357
Dry Wash Mineral Creek	id=g:5293358
Dry Weather Ford Tank	id=g:5293359
Dry Well	id=g:5293360
Dry Well	id=g:5293361
Dry Well	id=g:5293362
Drye Tank	id=g:5293363
Dubacher Canyon	id=g:5293364
Dry Well	id=g:5293365
Dublin	id=g:5293366
Duck Corral Tank	id=g:5293367
Duck Lake	id=g:5293368
Duck Lake	id=g:5293369
Duck Lake	id=g:5293370
Duck Lake	id=g:5293371
Duck Lake Tank	id=g:5293372
Duck Lake Tank	id=g:5293373
Duck Spring	id=g:5293374
Duck Tank	id=g:5293375
Duck Tank	id=g:5293376
