Limekiln Hill	id=g:5366362
Limekiln Spring	id=g:5366363
Limerick Elementary School	id=g:5366364
Limerock Canyon	id=g:5366365
Limekiln School	id=g:5366366
Limestone Campground	id=g:5366367
Limestone Campsite	id=g:5366368
Limestone Canyon	id=g:5366369
Limerock Peak	id=g:5366370
Limit Gun Club	id=g:5366371
Limon	id=g:5366372
Limoneira	id=g:5366373
Limonite Avenue Christian Fellowship Church	id=g:5366374
Lincoln	id=g:5366375
Lincoln (historical)	id=g:5366376
Lincoln Acres	id=g:5366377
Lincoln Acres Branch San Diego Public Library	id=g:5366378
Lincoln Acres County Park	id=g:5366379
Lincoln Acres Elementary School	id=g:5366380
Lincoln Alternative Elementary School	id=g:5366381
Lincoln Art Center	id=g:5366382
Lincoln Avenue Baptist Church	id=g:5366383
Lincoln Avenue Baptist Church	id=g:5366384
Lincoln Avenue Celestial Temple	id=g:5366385
Lincoln Avenue Church of Christ	id=g:5366386
Lincoln Avenue Presbyterian Church	id=g:5366387
Lincoln Avenue Presbyterian Church	id=g:5366388
Lincoln Beach	id=g:5366389
Lincoln Bluff	id=g:5366390
Lincoln Canal	id=g:5366391
Lincoln Center Mobile Home Park	id=g:5366392
Lincoln City Hall	id=g:5366393
Lincoln Convalescent Hospital	id=g:5366394
Lincoln Creek	id=g:5366395
Limestone Point	id=g:5366396
Lincoln Crest	id=g:5366397
Lincoln Cunningham Park	id=g:5366398
Lincoln Development Center	id=g:5366399
Lincoln Elementary School	id=g:5366400
Lincoln Elementary School	id=g:5366401
Lincoln Elementary School	id=g:5366402
Lincoln Elementary School	id=g:5366403
Lincoln Elementary School	id=g:5366404
Lincoln Elementary School	id=g:5366405
Lincoln Elementary School	id=g:5366406
Lincoln Elementary School	id=g:5366407
Lincoln Elementary School	id=g:5366408
Lincoln Elementary School	id=g:5366409
Lincoln Elementary School	id=g:5366410
Lincoln Elementary School	id=g:5366411
Lincoln Elementary School	id=g:5366412
Lincoln Elementary School	id=g:5366413
Lincoln Elementary School	id=g:5366414
Lincoln Elementary School	id=g:5366415
Lincoln Elementary School	id=g:5366416
Lincoln Elementary School	id=g:5366417
Lincoln Elementary School	id=g:5366418
Lincoln Elementary School	id=g:5366419
Lincoln Elementary School	id=g:5366420
Lincoln Elementary School	id=g:5366421
Lincoln Elementary School	id=g:5366422
Lincoln Elementary School	id=g:5366423
Lincoln Elementary School	id=g:5366424
Lincoln Elementary School	id=g:5366425
Lincoln Elementary School	id=g:5366426
Lincoln Elementary School	id=g:5366427
Lincoln Elementary School	id=g:5366428
Lincoln Elementary School	id=g:5366429
Lincoln Elementary School	id=g:5366430
Lincoln Elementary School	id=g:5366431
Lincoln Elementary School	id=g:5366432
Lincoln Estates Park	id=g:5366433
Lincoln Glen Church	id=g:5366434
Lincoln Glen Manor for Seniors	id=g:5366435
Lincoln Glen Park	id=g:5366436
Lincoln Glen School	id=g:5366437
Lincoln Grammar School (historical)	id=g:5366438
Lincoln Heights	id=g:5366439
Lincoln Heights Baptist Mission	id=g:5366440
Lincoln Heights Branch Los Angeles Public Library	id=g:5366441
Lincoln Heights Convalescent Hospital	id=g:5366442
Lincoln Heights Recreation Center	id=g:5366443
Lincoln Heights Station Los Angeles Post Office	id=g:5366444
Lincoln High School	id=g:5366445
Lincoln High School	id=g:5366446
Lincoln Highway Park	id=g:5366447
Lincoln Hill	id=g:5366448
Lincoln Hospital Medical Center	id=g:5366449
Lincoln Junior High School	id=g:5366450
Lincoln Memorial Park	id=g:5366451
