12131 Water Well	id=g:5452511
12132 Water Well	id=g:5452512
12134 Water Well	id=g:5452513
12135 Water Well	id=g:5452514
12136 Water Well	id=g:5452515
12137 Water Well	id=g:5452516
12138 Water Well	id=g:5452517
12139 Water Well	id=g:5452518
12140 Water Well	id=g:5452519
12141 Water Well	id=g:5452520
12142 Water Well	id=g:5452521
12143 Water Well	id=g:5452522
12144 Water Well	id=g:5452523
12145 Water Well	id=g:5452524
12146 Water Well	id=g:5452525
12148 Water Well	id=g:5452526
12150 Water Well	id=g:5452527
12151 Water Well	id=g:5452528
12152 Water Well	id=g:5452529
12153 Water Well	id=g:5452530
12154 Water Well	id=g:5452531
12155 Water Well	id=g:5452532
12158 Water Well	id=g:5452533
12159 Water Well	id=g:5452534
12161 Water Well	id=g:5452535
12162 Water Well	id=g:5452536
12165 Water Well	id=g:5452537
12166 Water Well	id=g:5452538
12167 Water Well	id=g:5452539
12170 Water Well	id=g:5452540
12173 Water Well	id=g:5452541
12174 Water Well	id=g:5452542
12175 Water Well	id=g:5452543
12176 Water Well	id=g:5452544
12177 Water Well	id=g:5452545
12178 Water Well	id=g:5452546
12178 Water Well	id=g:5452547
12179 Water Well	id=g:5452548
12180 Water Well	id=g:5452549
12183 Water Well	id=g:5452550
12184 Water Well	id=g:5452551
12185 Water Well	id=g:5452552
12186 Water Well	id=g:5452553
12187 Water Well	id=g:5452554
12188 Water Well	id=g:5452555
12189 Water Well	id=g:5452556
12190 Water Well	id=g:5452557
12191 Water Well	id=g:5452558
12192 Water Well	id=g:5452559
12193 Water Well	id=g:5452560
12194 Water Well	id=g:5452561
12195 Water Well	id=g:5452562
12196 Water Well	id=g:5452563
12197 Water Well	id=g:5452564
12198 Water Well	id=g:5452565
12199 Water Well	id=g:5452566
12200 Water Well	id=g:5452567
12201 Water Well	id=g:5452568
12202 Water Well	id=g:5452569
12203 Water Well	id=g:5452570
12204 Water Well	id=g:5452571
12205 Water Well	id=g:5452572
12206 Water Well	id=g:5452573
12207 Water Well	id=g:5452574
12208 Water Well	id=g:5452575
12209 Water Well	id=g:5452576
12210 Water Well	id=g:5452577
12211 Water Well	id=g:5452578
12212 Water Well	id=g:5452579
12213 Water Well	id=g:5452580
12214 Water Well	id=g:5452581
12215 Water Well	id=g:5452582
12216 Water Well	id=g:5452583
12217 Water Well	id=g:5452584
12218 Water Well	id=g:5452585
12219 Water Well	id=g:5452586
12220 Water Well	id=g:5452587
12222 Water Well	id=g:5452588
12223 Water Well	id=g:5452589
12224 Water Well	id=g:5452590
12225 Water Well	id=g:5452591
12226 Water Well	id=g:5452592
12227 Water Well	id=g:5452593
12228 Water Well	id=g:5452594
12229 Water Well	id=g:5452595
12230 Water Well	id=g:5452596
12231 Water Well	id=g:5452597
12232 Water Well	id=g:5452598
12233 Water Well	id=g:5452599
12234 Water Well	id=g:5452600
12235 Water Well	id=g:5452601
12236 Water Well	id=g:5452602
12237 Water Well	id=g:5452603
12238 Water Well	id=g:5452604
12239 Water Well	id=g:5452605
12240 Water Well	id=g:5452606
12241 Water Well	id=g:5452607
12242 Water Well	id=g:5452608
12243 Water Well	id=g:5452609
12245 Water Well	id=g:5452610
12246 Water Well	id=g:5452611
12247 Water Well	id=g:5452612
12248 Water Well	id=g:5452613
12249 Water Well	id=g:5452614
12250 Water Well	id=g:5452615
12251 Water Well	id=g:5452616
12252 Water Well	id=g:5452617
12253 Water Well	id=g:5452618
12258 Water Well	id=g:5452619
12259 Water Well	id=g:5452620
