Bennie Creek	id=g:5639542
Bennett Homestead	id=g:5639543
Bennie Peer Creek	id=g:5639544
Bennie Hill	id=g:5639545
Benning Creek	id=g:5639546
Benolken Ranch	id=g:5639547
Benrud Post Office (historical)	id=g:5639548
Bensley Creek	id=g:5639549
Benrud (historical)	id=g:5639550
Benson Coulee	id=g:5639551
Benson Creek	id=g:5639552
Benson Creek	id=g:5639553
Benson Draw	id=g:5639554
Benson Peak	id=g:5639555
Bensons Bluff	id=g:5639556
Bensons Landing (historical)	id=g:5639557
Bensons Landing Post Office (historical)	id=g:5639558
Bent Creek	id=g:5639559
Benson Ranch	id=g:5639560
Bent Spring	id=g:5639561
Bent Trail	id=g:5639562
Benteen	id=g:5639563
Benteen (historical)	id=g:5639564
Bentel Divide	id=g:5639565
Benton (historical)	id=g:5639566
Benton Avenue Cemetery	id=g:5639567
Benton Avenue Cemetery Park	id=g:5639568
Benton Bench	id=g:5639569
Benton Eye Clinic	id=g:5639570
Benton Gulch	id=g:5639571
Bent Mountain	id=g:5639572
Benton Gulch Mine	id=g:5639573
Benton Home School (historical)	id=g:5639574
Benton Lake	id=g:5639575
Benton Lake (historical)	id=g:5639576
Benton Lake Elementary School	id=g:5639577
Benton Lake National Wildlife Refuge	id=g:5639578
Benton Medical Clinic	id=g:5639579
Benton Trail Lakes	id=g:5639580
Bentonite Flats	id=g:5639581
Bentonite Number 1 Mine	id=g:5639582
Bentonite Number 2 Mine	id=g:5639583
Bentonite Number 3 Mine	id=g:5639584
Bentonite Number 4 Mine	id=g:5639585
Bentonite Number 5 Mine	id=g:5639586
Bentonite Number 6 Mine	id=g:5639587
Bentz Mine	id=g:5639588
Benz	id=g:5639589
Benzien	id=g:5639590
Benzien Post Office (historical)	id=g:5639591
Benzien School	id=g:5639592
Bercail	id=g:5639593
Bercail Post Office (historical)	id=g:5639594
Bercail School (historical)	id=g:5639595
Berens Coulee	id=g:5639596
Benton Gulch Guard Station	id=g:5639597
Berg School (historical)	id=g:5639598
La Berge Creek	id=g:5639599
Berg Dam	id=g:5639600
Berger Creek	id=g:5639601
Berger Reservoir	id=g:5639602
Bergland Coulee	id=g:5639603
Berger School (historical)	id=g:5639604
Bergschrund Lake	id=g:5639605
Bergsicker Creek	id=g:5639606
Bergman School (historical)	id=g:5639607
Bergstrom School (historical)	id=g:5639608
Bergstroms Farms Dam	id=g:5639609
Bergstroms Farms Number 2 Dam	id=g:5639610
Bergum Coulee	id=g:5639611
Bergsland School (historical)	id=g:5639612
Berkeley Pit	id=g:5639613
Berkeley Pit Information Center	id=g:5639614
Berkeley Pit Viewing Stand	id=g:5639615
Berkely Ski Trail	id=g:5639616
Berkholder Dam	id=g:5639617
Berkholder Reservoir	id=g:5639618
Berkin Flat	id=g:5639619
Berkin Gulch	id=g:5639620
Berkebile School (historical)	id=g:5639621
Berkins Butte	id=g:5639622
Berland Homestead	id=g:5639623
Berland Skorupa Berland Dam	id=g:5639624
Berlene Mine	id=g:5639625
Berlin Mine	id=g:5639626
Bernard Creek	id=g:5639627
Berkins Bar	id=g:5639628
Bernice	id=g:5639629
Bernice (historical)	id=g:5639630
Bernice Post Office (historical)	id=g:5639631
Bernier Ranch	id=g:5639632
Berray Creek	id=g:5639633
Berne Memorial Park	id=g:5639634
Berray Mountain Trail	id=g:5639635
Berry Coulee	id=g:5639636
Berray Mountain	id=g:5639637
Berry Coulee	id=g:5639638
Berry Creek	id=g:5639639
Berry Creek	id=g:5639640
Berry Creek	id=g:5639641
Berry Creek	id=g:5639642
Berry Creek	id=g:5639643
Berry Gulch	id=g:5639644
Berry Gulch	id=g:5639645
Berry Lake	id=g:5639646
Berry Meadows	id=g:5639647
Berry Rush Mine	id=g:5639648
Berry School (historical)	id=g:5639649
Berry Spring	id=g:5639650
Berrys Land Dam	id=g:5639651
Berrys Land Number 2 Dam	id=g:5639652
Berrys Land Number 3 Dam	id=g:5639653
Berrys Land Number 4 Dam	id=g:5639654
Berrys Meadows	id=g:5639655
Berrys Ski Trail	id=g:5639656
Bert Creek	id=g:5639657
Bert Creek	id=g:5639658
Berry Lake	id=g:5639659
Bert Road Ski Trail	id=g:5639660
Bert Woods Homestead	id=g:5639661
Berten Mine	id=g:5639662
Bertha Creek	id=g:5639663
Bert Mooney Airport	id=g:5639664
Bertha Mine	id=g:5639665
Bertha Mine	id=g:5639666
Berthelote Dam	id=g:5639667
