Interstate Firehouse Cultural Center	id=g:5733028
Interstate Log Pond	id=g:5733029
Inventory Creek	id=g:5733030
Inlet Recreation Site	id=g:5733031
Ione City Park	id=g:5733032
Ione Post Office	id=g:5733033
Ione Substation	id=g:5733034
Iowa Hill	id=g:5733035
Iowa Hill Cemetery	id=g:5733036
Iowa Hill School (historical)	id=g:5733037
Iowa Mine	id=g:5733038
Iowa Slough	id=g:5733039
Iowa Slough Post Office (historical)	id=g:5733040
Ipsoot Butte	id=g:5733041
Ira Keller Fountain	id=g:5733042
Irby Reservoir	id=g:5733043
Ireland Spring	id=g:5733044
Mount Ireland	id=g:5733045
Iremonger Spring	id=g:5733046
Iris Creek	id=g:5733047
Ione	id=g:5733048
Irish Bend	id=g:5733049
Irish Bend County Park	id=g:5733050
Irish Bend School (historical)	id=g:5733051
Irish Camp Lake	id=g:5733052
Irish Gulch	id=g:5733053
Iris Pond	id=g:5733054
Irish Lake	id=g:5733055
Irish Lake	id=g:5733056
Irish Mountain	id=g:5733057
Irish Spring	id=g:5733058
Irish Spring	id=g:5733059
Irish and Taylor Recreation Site	id=g:5733060
Irishmans Campground	id=g:5733061
Irma Post Office (historical)	id=g:5733062
Iron Creek	id=g:5733063
Irish Hill	id=g:5733064
Iron Creek	id=g:5733065
Iron Creek	id=g:5733066
Iron Creek	id=g:5733067
Iron Door Mine	id=g:5733068
Iron Gulch	id=g:5733069
Iron Gulch	id=g:5733070
Iron Gulch	id=g:5733071
Iron Gulch	id=g:5733072
Iron Hand	id=g:5733073
Iron Knob	id=g:5733074
Iron Mountain	id=g:5733075
Iron Mountain	id=g:5733076
Iron Mountain	id=g:5733077
Iron Mountain	id=g:5733078
Iron Mountain	id=g:5733079
Iron Mountain	id=g:5733080
Iron Mountain	id=g:5733081
Iron Mountain	id=g:5733082
Iron Mountain	id=g:5733083
Iron Mountain	id=g:5733084
Iron Mountain	id=g:5733085
Iron Mountain	id=g:5733086
Iron Mountain	id=g:5733087
Iron Mountain	id=g:5733088
Iron Mountain	id=g:5733089
Iron Mountain Canyon	id=g:5733090
Iron King Mine	id=g:5733091
Iron Mountain Creek	id=g:5733092
Iron Mountain City Park	id=g:5733093
Iron Mountain Spring	id=g:5733094
Iron Pit Reservoir	id=g:5733095
Iron Point	id=g:5733096
Iron Point Reservoir	id=g:5733097
Iron Spring Creek	id=g:5733098
Iron Mountain Flat	id=g:5733099
Iron Spring Gulch	id=g:5733100
Irondyke Creek	id=g:5733101
Irondyke Mine	id=g:5733102
Ironhill (historical)	id=g:5733103
Ironside	id=g:5733104
Ironside Butte	id=g:5733105
Ironside C and H Corrals	id=g:5733106
Ironside Cemetery	id=g:5733107
Ironside Mine	id=g:5733108
Ironside Mountain	id=g:5733109
Ironside Post Office	id=g:5733110
Ironside School (historical)	id=g:5733111
Ironside Valley	id=g:5733112
Irondyke Recreation Site	id=g:5733113
Irrigon Cemetery (historical)	id=g:5733114
Irrigon Lower Range	id=g:5733115
Irrigon Marina Park	id=g:5733116
Irrigon Middle Range Channel	id=g:5733117
Irrigon Post Office	id=g:5733118
Irvin Canyon	id=g:5733119
Irrigon	id=g:5733120
Irving	id=g:5733121
Irving City Park	id=g:5733122
Irving Creek	id=g:5733123
Irvine (historical)	id=g:5733124
Irving Post Office (historical)	id=g:5733125
Irving Elementary School	id=g:5733126
Irving Slough	id=g:5733127
Irving Glacier	id=g:5733128
Irvington	id=g:5733129
Irvington Elementary School	id=g:5733130
Irvinville (historical)	id=g:5733131
Irwin Cemetery	id=g:5733132
Irwin Cemetery	id=g:5733133
Irwin City Park	id=g:5733134
Irwin Creek	id=g:5733135
Irving Spring	id=g:5733136
Irwins Pump	id=g:5733137
Isaac Canyon	id=g:5733138
Irwin Rocks	id=g:5733139
Mount Isaac	id=g:5733140
Isaackson Reservoir	id=g:5733141
Isabell (historical)	id=g:5733142
Mount Isabelle	id=g:5733143
Isadore (historical)	id=g:5733144
Isadore Butte	id=g:5733145
Isadore Ranch	id=g:5733146
Ish Tish Creek	id=g:5733147
Isaac Canyon Spring	id=g:5733148
Isham Creek	id=g:5733149
Isham Spring	id=g:5733150
Island Branch	id=g:5733151
Isherwood Lake	id=g:5733152
Island Canyon	id=g:5733153
Island City	id=g:5733154
Island City Post Office (historical)	id=g:5733155
Island Creek	id=g:5733156
Island City Cemetery	id=g:5733157
Island Lake	id=g:5733158
Island Lake	id=g:5733159
Island Lake	id=g:5733160
Island Lake	id=g:5733161
Island Lake	id=g:5733162
Island Lake Campground (historical)	id=g:5733163
Island Lake Trail	id=g:5733164
Island Meadow	id=g:5733165
Island Meadow Trail	id=g:5733166
Island Park	id=g:5733167
Island Ranch	id=g:5733168
Island Rapids	id=g:5733169
Island Recreation Site	id=g:5733170
Island Recreation Site	id=g:5733171
Island Reservoir	id=g:5733172
Island Rock	id=g:5733173
Island Windmill	id=g:5733174
The Island	id=g:5733175
The Island	id=g:5733176
The Island	id=g:5733177
The Island	id=g:5733178
Islet Point	id=g:5733179
Islet Recreation Site	id=g:5733180
Isolate Post Office (historical)	id=g:5733181
Israel Well	id=g:5733182
Isthmus Point	id=g:5733183
Isthmus Slough	id=g:5733184
Island Ditch	id=g:5733185
Italian Spring	id=g:5733186
Mount Italy	id=g:5733187
Ithema Spring	id=g:5733188
Ivan (historical)	id=g:5733189
Ivan Flats Airstrip	id=g:5733190
Ivan Oakes Park	id=g:5733191
Ivan Post Office (historical)	id=g:5733192
Iven Stephens Homestead	id=g:5733193
Lake Ivern	id=g:5733194
Ivers Peak	id=g:5733195
Ivers Spring	id=g:5733196
Iverson Log Ponds	id=g:5733197
Ives Creek	id=g:5733198
The Isthmus	id=g:5733199
Ives Gulch	id=g:5733200
Ives Spring	id=g:5733201
Ivey Creek	id=g:5733202
Ivison (historical)	id=g:5733203
Ivory Pine Mill	id=g:5733204
Ivy (historical)	id=g:5733205
Ivy Creek	id=g:5733206
Ivison Post Office (historical)	id=g:5733207
Ivy May Mine	id=g:5733208
Ivy Station	id=g:5733209
Izee	id=g:5733210
Izee Cemetery	id=g:5733211
Izee Post Office (historical)	id=g:5733212
Izee Spring	id=g:5733213
J Bar L Ranch	id=g:5733214
J C L Mine	id=g:5733215
J Canal	id=g:5733216
J Cole Logging Company (historical)	id=g:5733217
J F Spring	id=g:5733218
J H Baxter Company (historical)	id=g:5733219
J Herbert Stone Nursery	id=g:5733220
J J Collins Memorial Park	id=g:5733221
J L Spring	id=g:5733222
J M Ranch	id=g:5733223
J Miller Place	id=g:5733224
J N Bishop Spring	id=g:5733225
J Pond	id=g:5733226
J Reservoir	id=g:5733227
J S Burres State Park	id=g:5733228
J Spring	id=g:5733229
J T Spring	id=g:5733230
J V Withers Ranch	id=g:5733231
J W Poynter Middle School	id=g:5733232
J-1 Canal	id=g:5733233
J-H Canal	id=g:5733234
JB Reservoir	id=g:5733235
JC Collins Ranch	id=g:5733236
JD Reservoir	id=g:5733237
Jaca Creek	id=g:5733238
Ivy Creek	id=g:5733239
Jaca Place	id=g:5733240
Jaca Reservoir	id=g:5733241
Jack Andy Creek	id=g:5733242
Jaca Dam	id=g:5733243
Jack Bear Cabin	id=g:5733244
Jack Cabin Meadow	id=g:5733245
Jack Canyon	id=g:5733246
Jack B Lively Memorial Park	id=g:5733247
Jack Canyon	id=g:5733248
Jack Canyon Creek	id=g:5733249
Jack City Park	id=g:5733250
Jack Creek	id=g:5733251
Jack Creek	id=g:5733252
Jack Creek	id=g:5733253
Jack Creek	id=g:5733254
Jack Creek	id=g:5733255
Jack Creek	id=g:5733256
Jack Creek	id=g:5733257
Jack Creek	id=g:5733258
Jack Creek	id=g:5733259
Jack Creek	id=g:5733260
Jack Creek	id=g:5733261
Jack Creek	id=g:5733262
Jack Creek	id=g:5733263
Jack Creek	id=g:5733264
Jack Creek	id=g:5733265
Jack Creek	id=g:5733266
Jack Creek	id=g:5733267
Jack Creek Hill	id=g:5733268
Jack Creek Recreation Site	id=g:5733269
Jack Creek Reservoir	id=g:5733270
Jack Creek Spring	id=g:5733271
Jack Davis Creek	id=g:5733272
Jack Creek Corral	id=g:5733273
Jack Falls	id=g:5733274
Jack Falls	id=g:5733275
Jack Flat	id=g:5733276
Jack Flat	id=g:5733277
Jack Franz Bridge	id=g:5733278
Jack Frost Spring	id=g:5733279
Jack Hays Creek	id=g:5733280
Jack Fine Place	id=g:5733281
Jack Horner Creek	id=g:5733282
Jack Lake	id=g:5733283
Jack Lake Recreation Site	id=g:5733284
Jack Lowery Creek	id=g:5733285
Jack Lake	id=g:5733286
Jack Miller Ranch	id=g:5733287
Jack Morgan County Park	id=g:5733288
Jack Mountain	id=g:5733289
Jack Mountain	id=g:5733290
Jack Pine Spring	id=g:5733291
Jack Point	id=g:5733292
Jack Reservoir	id=g:5733293
Jack Reservoir	id=g:5733294
Jack Shelter	id=g:5733295
Jack Slough	id=g:5733296
Jack Spring	id=g:5733297
Jack Spring	id=g:5733298
Jack Spring	id=g:5733299
Jack Springs	id=g:5733300
Jack Well	id=g:5733301
Jack Wilson Spring	id=g:5733302
Jack and Jenny Buttes	id=g:5733303
Jackalope Spring	id=g:5733304
Jackass Butte	id=g:5733305
Jackass Butte	id=g:5733306
Jackass Canyon	id=g:5733307
Jack McCord Spring	id=g:5733308
Jackass Canyon	id=g:5733309
Jackass Creek	id=g:5733310
Jackass Creek	id=g:5733311
Jackass Creek	id=g:5733312
Jackass Creek	id=g:5733313
Jackass Creek	id=g:5733314
Jackass Creek	id=g:5733315
Jackass Creek	id=g:5733316
Jackass Mountain	id=g:5733317
Jackass Mountain	id=g:5733318
Jackass Prairie	id=g:5733319
Jackass Ridge	id=g:5733320
Jackass Spring	id=g:5733321
Jackass Spring	id=g:5733322
Jackass Spring	id=g:5733323
Jacket Springs	id=g:5733324
Jackie Husen Park	id=g:5733325
Jackies Butte	id=g:5733326
Jackies Thicket	id=g:5733327
Jackings Hole	id=g:5733328
Jackknife Canyon	id=g:5733329
Jackass Mountain	id=g:5733330
Jackknife Creek	id=g:5733331
Jackknife Flat	id=g:5733332
Jackman Park	id=g:5733333
Jackman Park Campground	id=g:5733334
Jackpot Meadow	id=g:5733335
Jackpot Mine	id=g:5733336
Jacks Bridge	id=g:5733337
Jacks Camp	id=g:5733338
Jacks Canyon	id=g:5733339
Jackknife Spring	id=g:5733340
Jacks Creek	id=g:5733341
Jacks Lakes	id=g:5733342
Jacks Prairie	id=g:5733343
Jacks Saddle	id=g:5733344
Jacks Spring	id=g:5733345
Jacks Spring	id=g:5733346
Jackson Bottom	id=g:5733347
Jackson Buttes	id=g:5733348
Jackson Cemetery	id=g:5733349
Jackson Cemetery	id=g:5733350
Jackson County	id=g:5733351
Jackson County Sports Park	id=g:5733352
Jackson Creek	id=g:5733353
Jacks Place	id=g:5733354
Jackson Creek	id=g:5733355
Jackson Creek	id=g:5733356
Jackson Creek	id=g:5733357
Jackson Creek	id=g:5733358
Jackson Creek	id=g:5733359
Jackson Creek	id=g:5733360
Jackson Creek	id=g:5733361
Jackson Creek	id=g:5733362
Jackson Creek	id=g:5733363
Jackson Creek	id=g:5733364
Jackson Creek	id=g:5733365
Jackson Creek	id=g:5733366
Jackson Creek	id=g:5733367
Jackson Creek	id=g:5733368
Jackson Creek	id=g:5733369
Jackson Creek	id=g:5733370
Jackson Creek	id=g:5733371
Jackson Creek	id=g:5733372
Jackson Creek Guard Station	id=g:5733373
Jackson Creek Recreation Site	id=g:5733374
Jackson Creek Reservoir	id=g:5733375
Jackson Creek Reservoir	id=g:5733376
Jackson Creek Spring	id=g:5733377
Jackson Creek Trail	id=g:5733378
Jackson F Kimball State Park	id=g:5733379
Jackson Falls	id=g:5733380
Jackson Family Cemetery	id=g:5733381
Jackson Family Cemetery	id=g:5733382
Jackson Gap	id=g:5733383
Jackson Gulch	id=g:5733384
Jackson Creek Ranch	id=g:5733385
Jackson Hole	id=g:5733386
Jackson Hot Springs	id=g:5733387
Jackson Lake	id=g:5733388
Jackson Middle School	id=g:5733389
Jackson Park	id=g:5733390
Jackson Peak	id=g:5733391
Jackson Prairie	id=g:5733392
Jackson Quarry Reservoir	id=g:5733393
Jackson Recreation Site	id=g:5733394
Jackson Reservoir	id=g:5733395
Jackson Reservoir	id=g:5733396
Jackson Reservoir	id=g:5733397
Jackson Reservoir	id=g:5733398
Jackson Ridge	id=g:5733399
Jackson Elementary School	id=g:5733400
Jackson Slough	id=g:5733401
Jackson Hill	id=g:5733402
Jackson Spring	id=g:5733403
Jackson Spring	id=g:5733404
Jackson Summit	id=g:5733405
Jackson Summit Reservoir	id=g:5733406
Jackson Frazier Wetland	id=g:5733407
Jacksons Mill (historical)	id=g:5733408
Jacksonville	id=g:5733409
Jacksonville Cemetery	id=g:5733410
Jacksonville Dam	id=g:5733411
Jacksonville Hill	id=g:5733412
Jacksonville Post Office	id=g:5733413
Jacksonville Reservoir	id=g:5733414
Jacktown	id=g:5733415
Jacob Creek	id=g:5733416
Jackson Spring	id=g:5733417
Jacobs Reservoir	id=g:5733418
Jacobs Square	id=g:5733419
Jacobsen Ditch	id=g:5733420
Jacobsen Gulch	id=g:5733421
Jacobs Bend	id=g:5733422
Jacobson Springs	id=g:5733423
Jacoby Butte	id=g:5733424
Jacoby Creek	id=g:5733425
Jacobson Reid Lumber Company (historical)	id=g:5733426
Jacques Creek	id=g:5733427
Jacoby Mountain	id=g:5733428
Jade Creek	id=g:5733429
Jade Camp	id=g:5733430
Jahn Reservoir	id=g:5733431
Jake Creek	id=g:5733432
Jade Reservoir	id=g:5733433
Jake Hughes Reservoir	id=g:5733434
Jake Lakes	id=g:5733435
Jake Spring Reservoir	id=g:5733436
Jakey Ridge	id=g:5733437
Jalland Creek	id=g:5733438
Jake Green Spring	id=g:5733439
James Canyon	id=g:5733440
James Butte	id=g:5733441
James Creek	id=g:5733442
James Cemetery	id=g:5733443
James Dyke Place	id=g:5733444
James John Elementary School	id=g:5733445
James Madison Middle School	id=g:5733446
James Meadow	id=g:5733447
James O Fisher Dam	id=g:5733448
James O Fisher Reservoir	id=g:5733449
James Park	id=g:5733450
James Park	id=g:5733451
James Post Office (historical)	id=g:5733452
James Reservoir	id=g:5733453
James Spring	id=g:5733454
James Templeton Elementary School	id=g:5733455
James Wood Park	id=g:5733456
Jameson Canyon	id=g:5733457
James Creek Shelter	id=g:5733458
Jameson Creek	id=g:5733459
Jameson Ranch	id=g:5733460
Jamestown Post Office (historical)	id=g:5733461
Jamieson	id=g:5733462
Jamieson Gulch	id=g:5733463
Jamestown (historical)	id=g:5733464
Jamieson Post Office	id=g:5733465
Jamison Creek	id=g:5733466
Jamieson Gulch Reservoir	id=g:5733467
Jamison Gulch	id=g:5733468
Jamison Meadow	id=g:5733469
Jamison Square	id=g:5733470
Jandina Park	id=g:5733471
Lake Janice	id=g:5733472
Janssen Ranch	id=g:5733473
Janssen Spring	id=g:5733474
Janssen Spring Creek	id=g:5733475
Jamison Ranch	id=g:5733476
Jantzen Beach Safety Rest Area	id=g:5733477
January Creek	id=g:5733478
Janus Butte	id=g:5733479
Janus Butte Trail	id=g:5733480
Janzen Reservoir	id=g:5733481
Japanese American Historical Plaza	id=g:5733482
Japanese Creek	id=g:5733483
Jantzen Beach Post Office (historical)	id=g:5733484
Japanese Creek	id=g:5733485
Japanese Creek	id=g:5733486
Japanese Gardens	id=g:5733487
Japanese Hollow	id=g:5733488
Japanese Meadow	id=g:5733489
Jaquith Park	id=g:5733490
Jarboe Creek	id=g:5733491
Japanese Springs	id=g:5733492
Gervais Creek	id=g:5733493
Jarboe Meadow	id=g:5733494
Jarvis Turn	id=g:5733495
Jason Lee Mission Historical Marker	id=g:5733496
Jasper	id=g:5733497
Jasper Creek	id=g:5733498
Jarvis Ponds	id=g:5733499
Jasper Creek	id=g:5733500
Jasper Post Office	id=g:5733501
Jasper State Park	id=g:5733502
Jasper-Wallace Cemetery	id=g:5733503
Jaussaud Corral	id=g:5733504
Jaussaud Creek	id=g:5733505
Jasper Spring	id=g:5733506
Jay Bird Mine	id=g:5733507
Jay Lake	id=g:5733508
Jaybird Creek	id=g:5733509
Jay Bird Mine	id=g:5733510
Jaynes Ridge	id=g:5733511
Jaynes Well	id=g:5733512
Jazel Reservoir	id=g:5733513
Jazz Creek	id=g:5733514
Jaycee Park	id=g:5733515
Jean Baptiste Charbonneau Grave	id=g:5733516
Jean Lake	id=g:5733517
Jeans Creek	id=g:5733518
Jean	id=g:5733519
Jeerys Flat	id=g:5733520
Jeeter Creek	id=g:5733521
Jeep Ride Spring	id=g:5733522
Jeff Creek	id=g:5733523
Jeeter Prairie	id=g:5733524
Jeff Creek	id=g:5733525
Jeff Creek	id=g:5733526
Jeff Davis Creek	id=g:5733527
Jeff Davis Creek	id=g:5733528
Jeffers Creek	id=g:5733529
Jeffers Garden	id=g:5733530
Jeffers Slough	id=g:5733531
Jefferson	id=g:5733532
Jefferson City Park	id=g:5733533
Jefferson County	id=g:5733534
Jefferson County Fairgrounds	id=g:5733535
Jefferson Creek	id=g:5733536
Jefferson Cemetery	id=g:5733537
Jefferson Ditch	id=g:5733538
Jefferson Elementary School	id=g:5733539
Jefferson High School	id=g:5733540
Jefferson High School	id=g:5733541
Arts and Technology Academy at Jefferson	id=g:5733542
Jefferson Lake	id=g:5733543
Jefferson Lake Trail	id=g:5733544
Jefferson Park	id=g:5733545
Jefferson Park Trail	id=g:5733546
Jefferson Plywood Company Dam	id=g:5733547
Jefferson Plywood Company Mill Pond	id=g:5733548
