Township of Le Beau	id=g:5766422
Le Compte Creek	id=g:5766423
Le Beau Recreation Area	id=g:5766424
Lead	id=g:5766425
Lead Country Club	id=g:5766426
Lead Draw	id=g:5766427
Le Framboise Island Recreation Area	id=g:5766428
Leatherburg Spring	id=g:5766429
Leavenworth Creek	id=g:5766430
City of Lead	id=g:5766431
Lee Burrows Dike Mine	id=g:5766432
Lee Crower Dam Number 1	id=g:5766433
Lee Dam	id=g:5766434
Lee Lake	id=g:5766435
Leek Ranch	id=g:5766436
Left Hand Bear Creek	id=g:5766437
Leavenworth Monument	id=g:5766438
Leger Badlands Dam	id=g:5766439
Leger Dam	id=g:5766440
Leger East Dam	id=g:5766441
Leger Irrigation Dam	id=g:5766442
Legion Lake	id=g:5766443
Legion Lake Dam	id=g:5766444
Leir (historical)	id=g:5766445
Leland Edwards Dam	id=g:5766446
Leland Edwards Dam	id=g:5766447
Leland Edwards Dam	id=g:5766448
Leland Edwards Dam	id=g:5766449
Lemm Dam	id=g:5766450
Lemming Draw	id=g:5766451
Legal Tender Mine	id=g:5766452
Lemmon	id=g:5766453
Lemmon Butte	id=g:5766454
Lemmon Creek	id=g:5766455
Lemming Well	id=g:5766456
Lemmon Lake State Game Production Area	id=g:5766457
Lemmon Municipal Airport	id=g:5766458
Lemmon State Lake Dam	id=g:5766459
City of Lemmon	id=g:5766460
Unorganized Territory of Lemmon	id=g:5766461
Lems Creek	id=g:5766462
Lemmon Lake	id=g:5766463
Lena Gulch	id=g:5766464
Lena Spring Number One	id=g:5766465
Lenard Chapman Dam	id=g:5766466
Lenard Chapman Dam	id=g:5766467
Lenling Airstrip	id=g:5766468
Lensegrav Ranch Airstrip	id=g:5766469
Leo Berens Dam	id=g:5766470
Leo Ritter Dam	id=g:5766471
Leo Ruona Pond Number 1 Dam	id=g:5766472
Leonard Frein Ranch	id=g:5766473
Leonard Kjerstad Number 2 Dam	id=g:5766474
Leonard Kjerstad Number 3 Dam	id=g:5766475
Leonard Wenck Dam	id=g:5766476
Lermeny Ranch	id=g:5766477
Leslie (historical)	id=g:5766478
Leslie Caldwell Dam	id=g:5766479
Lessering Draw	id=g:5766480
Lena Spring Number Two	id=g:5766481
Lester Hetzel Dam	id=g:5766482
Lewellan Engelhardt Dam	id=g:5766483
Township of Lewellyn Park	id=g:5766484
Lewis Creek	id=g:5766485
Lessering Ranch	id=g:5766486
Lewis Lime Plant Mine	id=g:5766487
Lewis Ranch	id=g:5766488
Lewis Schmidt Dam	id=g:5766489
Lewiston (historical)	id=g:5766490
Lewiston Post Office (historical)	id=g:5766491
Lexington Hill	id=g:5766492
Lexington Hill Mine (historical)	id=g:5766493
Liberty School	id=g:5766494
Liberty School	id=g:5766495
Liberty Townhall	id=g:5766496
Township of Liberty	id=g:5766497
Township of Liberty	id=g:5766498
Township of Liberty	id=g:5766499
Township of Liberty	id=g:5766500
Libolt Ranch	id=g:5766501
Liebelt School	id=g:5766502
Lien Airfield	id=g:5766503
Lietner Ranch	id=g:5766504
Lightcap School	id=g:5766505
Lightning Creek	id=g:5766506
Lewis Dam	id=g:5766507
Lightning Creek	id=g:5766508
Lightning Draw	id=g:5766509
Lilly Creek	id=g:5766510
Limekiln Creek	id=g:5766511
Limekiln Creek	id=g:5766512
Limestone Butte Dam	id=g:5766513
Limestone Butte Reservoir	id=g:5766514
Limestone Canyon	id=g:5766515
Limestone Butte	id=g:5766516
Limestone Plateau	id=g:5766517
Limestone Spring	id=g:5766518
Township of Limestone	id=g:5766519
Township of Lincoln	id=g:5766520
Lincoln School	id=g:5766521
Lincoln School	id=g:5766522
Lincoln School	id=g:5766523
Lincoln School	id=g:5766524
Lincoln School	id=g:5766525
Township of Lincoln	id=g:5766526
Township of Lincoln	id=g:5766527
Township of Lincoln	id=g:5766528
Township of Lincoln	id=g:5766529
Lind Camp	id=g:5766530
Lind Gulch	id=g:5766531
Limestone Hill	id=g:5766532
Linden Pioneer Cemetery	id=g:5766533
Lindia Sattler Dam	id=g:5766534
Lindsay Butte	id=g:5766535
Lindsay Cemetery	id=g:5766536
Lindsay Post Office (historical)	id=g:5766537
Lindsey Draw	id=g:5766538
Lindbergh School	id=g:5766539
Lindsley Canyon	id=g:5766540
Lindseys Ranch (historical)	id=g:5766541
Line Creek	id=g:5766542
Line Camp	id=g:5766543
Line Creek	id=g:5766544
Linn School	id=g:5766545
Linwood Mine	id=g:5766546
Lithia (historical)	id=g:5766547
Township of Lithia	id=g:5766548
Lithia Post Office (historical)	id=g:5766549
Lithia School	id=g:5766550
Lithograph Canyon	id=g:5766551
Lintvedt Number 1 Dam	id=g:5766552
Little Badlands	id=g:5766553
Little Beam Creek	id=g:5766554
Lithograph Spring	id=g:5766555
Little Bear Creek	id=g:5766556
Little Bear Creek	id=g:5766557
Little Bear Run	id=g:5766558
Little Bend	id=g:5766559
Little Bend (historical)	id=g:5766560
Little Bend (historical)	id=g:5766561
Little Bend Post Office (historical)	id=g:5766562
Little Bend Recreational Area	id=g:5766563
Township of Little Bend	id=g:5766564
Little Blue Mine	id=g:5766565
Little Brown Church	id=g:5766566
Little Buffalo Creek	id=g:5766567
Little Bend	id=g:5766568
Little Canyon	id=g:5766569
Township of Little Buffalo	id=g:5766570
Little Cedar Creek	id=g:5766571
Little Cheyenne Creek	id=g:5766572
Little Corral Draw	id=g:5766573
Little Cottonwood Creek	id=g:5766574
Little Cottonwood Creek	id=g:5766575
Little Cowboy Creek	id=g:5766576
Little Creek	id=g:5766577
Little Crow Peak	id=g:5766578
Little Dam Draw	id=g:5766579
Little Devils Tower	id=g:5766580
Little Dog Creek	id=g:5766581
Little Dog Cemetery	id=g:5766582
Little Dog Draw	id=g:5766583
Little Dog Dam	id=g:5766584
Little Dog Ear Lake State Game Production Area	id=g:5766585
Little Dog Spring Creek	id=g:5766586
Little Dog Ear Lake	id=g:5766587
Little Elk Canyon	id=g:5766588
Little Eagle	id=g:5766589
Little Elk Creek	id=g:5766590
Little Flat	id=g:5766591
Little Grand River	id=g:5766592
Little Flats	id=g:5766593
Little Grass Creek	id=g:5766594
Little Grindstone Creek	id=g:5766595
Little Joe Spring	id=g:5766596
Little Moreau Lake	id=g:5766597
Little Moreau Lake Dam	id=g:5766598
Little Moreau River	id=g:5766599
Little Locke Lake	id=g:5766600
Little Mud Creek	id=g:5766601
Little Moreau State Recreation Area	id=g:5766602
Little Nasty Creek	id=g:5766603
Little Negro Creek	id=g:5766604
Little Oak Creek	id=g:5766605
Little Oak Creek	id=g:5766606
Little Oak Creek Church	id=g:5766607
Township of Little Oak	id=g:5766608
Little Pond Dam	id=g:5766609
Little Prairie Dog Creek	id=g:5766610
Little Oak School	id=g:5766611
Little Soldier Creek	id=g:5766612
Little Sand Lake	id=g:5766613
Little Spearfish Creek	id=g:5766614
Little Spearfish Guard Station	id=g:5766615
Badger Clark Creek	id=g:5766616
Little Spearfish Spring	id=g:5766617
Little Squaw-Humper Creek	id=g:5766618
Little Squaw-Humper Table	id=g:5766619
Little Tepee Creek	id=g:5766620
Little Thompson Draw	id=g:5766621
Little Tornado Mine (historical)	id=g:5766622
Little Turtle Creek	id=g:5766623
Little Trickle Tube Dam	id=g:5766624
Little White River	id=g:5766625
Little Two Top Butte	id=g:5766626
Little White River Pool Reservoir	id=g:5766627
Little White River Project Dam	id=g:5766628
Little Willow Creek	id=g:5766629
Little White River Dike Dam	id=g:5766630
Littleburg	id=g:5766631
Livermant Lake	id=g:5766632
Livermore Dam	id=g:5766633
Llewellyn Johns Memorial State Recreation Area	id=g:5766634
Lloyd Fox Dam Number 3	id=g:5766635
Lloyd Fox Number 2 Dam	id=g:5766636
Locate Creek	id=g:5766637
Little Wound School	id=g:5766638
Locke Creek	id=g:5766639
Lodge Pole Buttes	id=g:5766640
Lodgepole	id=g:5766641
Lodgepole Creek	id=g:5766642
Lodge School	id=g:5766643
Lodgepole School	id=g:5766644
Township of Lodgepole	id=g:5766645
Log Spring	id=g:5766646
Township of Logan	id=g:5766647
Lola Butte	id=g:5766648
Lolley Ranch	id=g:5766649
Lone Butte	id=g:5766650
Lone Grave Cemetery (historical)	id=g:5766651
Lone Mountain	id=g:5766652
Lone Star (historical)	id=g:5766653
Lone Star School	id=g:5766654
Lone Tree Creek	id=g:5766655
Lodgepole Dam	id=g:5766656
Lone Tree Creek	id=g:5766657
Lone Tree Creek	id=g:5766658
Lone Tree Creek	id=g:5766660
Lone Tree Creek	id=g:5766661
